"user";"totalPR"
"5kg";1
"7hil";1
"abrowne2";1
"achalddave";2
"AdamStelmaszczyk";2
"ajkl";1
"ajschumacher";1
"akash1810";1
"akiomik";1
"akosiorek";3
"alexlee-gk";1
"alfredtofu";2
"alicanb";1
"alito";1
"AlOa";1
"ariandyy";1
"arntanguy";3
"ashafaei";4
"Ashwani001";1
"Austriker";1
"bacharliran";1
"baeuml";3
"bamos";1
"bchu";2
"beam2d";2
"beijbom";1
"berleon";1
"bhack";5
"BlGene";6
"bobpoekert";1
"boechat107";2
"buaaliyi";1
"bwilbertz";3
"caotto";1
"cassinaj";1
"cbalint13";1
"CDLuminate";7
"cdoersch";4
"cepiross";1
"chenzeyuczy";1
"chuckcho";1
"chyojn";2
"cjwyesong";1
"ClimbsRocks";3
"cnDelbert";1
"cNikolaou";1
"crazytan";2
"crizCraig";3
"crowsonkb";1
"cypof";8
"danielgordon10";2
"danielhamngren";1
"darrengarvey";4
"darxriggs";1
"davidbrai";1
"dgolden1";10
"dineshj1";1
"DmitryUlyanov";1
"dpaiton";1
"dplarson";1
"drewabbot";1
"drnikolaev";1
"drohit92";1
"DrSleep";1
"ducha-aiki";4
"dwt";1
"ebadawy";1
"eelstork";15
"eerwitt";3
"elezar";1
"elhigu";1
"emaggiori";1
"erictzeng";5
"EricZeiberg";1
"ernest-tg";1
"errord";1
"flx42";9
"forderud";2
"forresti";2
"Franck-Dernoncourt";1
"ftokarev";2
"fyu";3
"garion9013";1
"gcinbis";1
"gdh1995";4
"ghost";1
"glebm";1
"GlueCrow";1
"gongzg";19
"graphaelli";1
"gustavla";4
"gut";1
"HeGaoYuan";1
"hgaiser";1
"hmybmny";1
"hojonathanho";1
"ianfhunter";1
"intbots";1
"intelfx";2
"intelmm";1
"IsaacYangSLA";1
"ixartz";2
"jackculpepper";1
"jainanshul";1
"jamt9000";6
"jczaja";2
"jeffdonahue";129
"jfolz";1
"jjkjkj";1
"jklontz";1
"jreniecki";1
"jsupancic";1
"junshi15";3
"jyegerlehner";5
"karas84";1
"kashefy";4
"kentashoji";1
"keskarnitish";1
"kibum14";2
"kjkjava";1
"kkhoot";3
"kli-nlpr";1
"kloudkl";31
"kmatzen";3
"koki0702";1
"ksimonyan";1
"kts";1
"lalelale";2
"Lewuathe";1
"lionleaf";1
"longjon";78
"lukeyeager";32
"lvchaxj";1
"maaskola";1
"malreddysid";1
"marco-c";1
"MartinThoma";3
"mattdawkins";1
"matthiasplappert";1
"mausoomsarkar";1
"mavenlin";2
"mfigurnov";1
"millskyle";1
"mlamarre";1
"mlapin";1
"mlloreda";1
"mlopezantequera";1
"mnogu";3
"mohomran";5
"mprat";1
"mtamburrano";1
"Nerei";4
"netheril96";2
"ngaloppo";1
"nickcarlevaris";2
"nihui";1
"nitnelave";4
"niuzhiheng";2
"norouzi";1
"npanpaliya";1
"nsubtil";2
"olesalscheider";1
"ozancaglayan";1
"panmari";1
"pannous";1
"PatWie";1
"pcampr";1
"petewarden";1
"pgao";2
"philkr";20
"pluskid";1
"pra85";1
"qipeng";9
"Queuecumber";1
"raffienficiaud";1
"rayglover-ibm";1
"rbgirshick";3
"rickardnorlander";1
"rmanor";1
"robwhess";3
"rodrigob";1
"rohitgirdhar";1
"rokm";1
"ronghanghu";27
"rscohn2";1
"Russell91";1
"ryotat";1
"SaganBolliger";1
"samster25";1
"savy-91";1
"schenker";1
"seanbell";5
"semitrivial";1
"sergeyk";22
"sguada";34
"sh1r0";1
"ShaggO";3
"shaibagon";3
"Shamanoid";1
"shelhamer";117
"sjbrown";1
"small-yellow-duck";1
"solrex";1
"spmallick";1
"stoneyang";1
"sungjunhong";1
"szha";1
"t-abe";1
"tdomhan";2
"thatguymike";1
"tiangolo";1
"tianzhi0549";1
"timmeinhardt";2
"tishibas";2
"tleyden";1
"tnarihi";6
"TorosFanny";1
"tpwrules";1
"tsocha";1
"ttdt";1
"twmht";1
"vfdev-5";1
"viirya";1
"vivkul";1
"w1res";1
"wakamori";1
"weinman";1
"williford";4
"willyd";20
"wk910930";2
"xianjiec";1
"xmyqsh";1
"yalesong";1
"yanchen036";1
"yang-song";1
"Yangqing";21
"yaronli";1
"yosinski";4
"yosssi";1
"yrevar";2
"YS-L";1
"zhang-xin";1
"ZhouYzzz";1
"zoharby";1
"Zylphrex";1
