"user";"totalPR"
"AbhishekGarg";1
"alexgarrett";1
"arantius";1
"arturoromeroslc";1
"austinoneil";2
"ben4ever";1
"bglick";1
"BobChao87";1
"booleanbetrayal";1
"brianhall";1
"btford";4
"butla";1
"caitp";6
"chirayuk";34
"Codier";9
"dcherman";1
"diegomrsantos";1
"dmandelin";1
"drpicox";1
"dulybon1";1
"elfgoh";1
"eljobe";1
"FGasper";1
"franciscovelez";1
"frederikprijck";1
"gdi2290";1
"geoffreybauduin";1
"gkalpak";4
"gordonmzhu";1
"Harvinator";1
"hppycoder";1
"ibriq";1
"IgorMinar";66
"ihatehandles";1
"JamieMason";1
"jason-larigakis-hs";1
"JasonCust";1
"jbedard";4
"jeffbcross";14
"jesselpalmer";9
"jezzay";1
"jfreyre";1
"jodytate";1
"joshkurz";2
"jsoref";2
"juliemr";9
"kamronbatman";1
"knpwrs";1
"kseamon";1
"ksheedlo";1
"lgalfaso";2
"lioman";1
"matsko";6
"meldaravaniel";1
"mgol";20
"mhevery";21
"moroshko";1
"mprobst";6
"Narretz";80
"Nikhil22";1
"petebacondarwin";60
"pharkare";1
"philip-morning";1
"pkozlowski-opensource";2
"prashantpawar";1
"pvasek";1
"red2678";1
"rkirov";1
"rodyhaddad";4
"Roshanjossey";1
"sethbattin";1
"shahata";2
"shepheb";1
"sjbarker";1
"snapwich";1
"sreeramu";1
"stsvilik";1
"tbosch";16
"thorn0";1
"ThornWinters";1
"VictorQueiroz";1
"vitvad";1
"vojtajina";51
"waahhhh";1
"wesleycho";4
"Xazzzi";1
"zky829";1
