"user";"totalPR"
"0x20h";1
"Abioy";1
"advance512";3
"andygrunwald";1
"andyli029";2
"ankopainting";1
"annulen";1
"AnuragRamdasan";3
"anydot";4
"AquaGeek";1
"asheldon";1
"badboy";18
"baishaofei";1
"be-hase";1
"bilalhusain";1
"bitterb";1
"bmcmanus";1
"bnoordhuis";1
"bogdanvlviv";1
"bradvoth";1
"Brochen";1
"c2nes";1
"catwell";3
"charsyam";8
"chobits";1
"chooper";1
"codeeply";1
"coderholic";1
"cofyc";1
"danielhtshih";1
"danmaz74";1
"davidcelis";1
"deep011";2
"deepakverma";1
"deepsolo9";1
"diegok";1
"Dieken";1
"djanowski";3
"dtran320";1
"dvirsky";9
"dwlt";1
"erikdubbelboer";3
"evilpacket";1
"florean";2
"FuGangqiang";1
"gdi2290";1
"gnethercutt";1
"guoxiao";1
"guybe7";1
"h0x91b";1
"Hailei";2
"hampus";1
"HeartSaVioR";2
"hgfischer";1
"huachaohuang";1
"huangz1990";2
"hylepo";1
"ideal";1
"inkel";1
"ioddly";1
"itamarhaber";12
"jamespedwards42";1
"janoberst";1
"jasondavies";1
"jbergstroem";4
"jerem";1
"Joe8Bit";1
"jokea";1
"jonahharris";1
"josephjang";1
"jspraul";1
"jstncarvalho";1
"july2993";2
"jvain";1
"jybaek";1
"jzawodn";1
"kaoshijuan";1
"kashif";1
"Keruspe";1
"kevinmcgehee";1
"Kiemes";1
"kingsumos";1
"kmerenkov";1
"lamby";4
"landmime";1
"linfangrong";1
"lsbardel";1
"ltnwgl";1
"mariano-perez-rodriguez";3
"MasahikoSawada";1
"mattcollier";1
"mattrobenolt";1
"mattsta";46
"melo";4
"miaout17";2
"michael-grunder";4
"MichaelTSS";1
"MichielDeMey";1
"mihirvj";1
"mishan";1
"MiterV1";1
"mkwiatkowski";1
"MOON-CLJ";2
"mrb";2
"NanXiao";3
"nirvdrum";1
"nparry";1
"ofirluzon";1
"oranagra";14
"Palethorn";1
"pietern";13
"pkulchenko";3
"Poincare";1
"ptjm";1
"pyr";1
"qrush";1
"QuChen88";1
"quiver";2
"raydog";1
"razzle";1
"redsquirrel";1
"rhoml";2
"RockLi";1
"rogerlz";1
"rojingeorge";1
"ronnix";1
"run";1
"ryanschwartz";1
"saj";3
"SaurabhJha";1
"schlenk";1
"seppo0010";1
"sergeyklay";1
"serphen";1
"sethbergman";1
"sisirkoppaka";1
"smly";1
"soveran";1
"sskorgal";1
"steevel";1
"sunheehnus";9
"superlogical";1
"svnpenn";1
"ThePicard";1
"therealbill";2
"tielei";1
"tnm";2
"tobstarr";1
"trink";1
"twang817";1
"vambo";1
"veselov";1
"vito";1
"waywardmonkeys";1
"wenduo";1
"whatacold";1
"WheresAlice";1
"woowenjie";1
"wshn13";1
"wyxustcsa09";1
"xiaost";1
"yaauie";3
"yamt";2
"yihuang";1
"yoav-steinberg";2
"yossigo";14
"yyoshiki41";1
"ZhukovAlexander";1
"zionwu";1
"zshipko";1
