"user";"totalPR"
"21E14";3
"34ro";1
"accraze";1
"achow101";5
"adlawren";1
"ajtowns";1
"AmirAbrams";3
"andersoyvind";1
"anditto";1
"anduck";1
"askmike";1
"benma";4
"bitcoinsSG";1
"bitstein";1
"btcdrak";7
"carryforward";1
"catilac";1
"cbarcenas";1
"ChoHag";1
"Christewart";4
"Cocosoft";1
"cqtenq";1
"crowning-";1
"da2x";1
"dagurval";1
"dcousens";3
"Derek701";1
"dexX7";1
"djpnewton";2
"domob1812";5
"dooglus";2
"droark";7
"EthanHeilman";2
"fanquake";40
"fsb4000";2
"gmaxwell";34
"greenaddress";1
"gtsui";1
"gubatron";1
"harding";1
"ian-kelling";2
"in3rsha";1
"instagibbs";19
"isle2983";8
"ivdsangen";1
"jafaber";1
"jamesmacwhite";1
"JeremyRand";1
"JeremyRubin";8
"jl2012";13
"jlopp";1
"jmcorgan";2
"jnewbery";34
"jonasnick";1
"jonasschnelli";57
"jtimon";13
"juscamarena";1
"kallewoof";11
"kazcw";8
"keystrike";2
"kirit93";1
"kobake";1
"kokifpen";1
"KrzysiekJ";1
"laanwj";96
"laudaa";1
"leijurv";1
"luke-jr";30
"maiiz";1
"MarcoFalke";125
"marijnfs";1
"mcelrath";2
"Michagogo";2
"Mirobit";2
"mitchellcash";3
"morcos";30
"mrbandrews";3
"mruddy";2
"mrwhythat";4
"murtyjones";1
"nathaniel-mahieu";1
"netsafe";1
"NicolasDorier";8
"nomnombtc";1
"paveljanik";36
"petertodd";4
"pooleja";1
"practicalswift";20
"prusnak";1
"pstratem";14
"randy-waterhouse";1
"rat4";1
"rebroad";6
"richardkiss";1
"robmcl4";1
"rodasmith";1
"roques";1
"ryanofsky";38
"s-matthew-english";7
"sdaftuar";37
"sevastos";1
"sigwo";1
"sipa";67
"spencerlievens";1
"TheBlueMatt";49
"thelazier";1
"theuni";40
"tjps";1
"tuladhar";1
"Tyler-Hardin";3
"UdjinM6";3
"unsystemizer";2
"visvirial";1
"wbnns";2
"wjx";1
"wodry";1
"wtogami";3
