"user";"totalPR"
"aaboffill";3
"aaronelliotross";1
"aaugustin";2
"accraze";1
"adamchainz";24
"adamzap";4
"adstastic";1
"aeby";1
"akki";5
"alasdairnicol";3
"albertoconnor";1
"aleksihakli";1
"Alex-CS";1
"Alexkane";1
"alix-";2
"AmaliaSoucek";1
"amw";1
"ana-balica";2
"andersonresende";2
"andrewnester";6
"andriisoldatenko";1
"apollo13";4
"ar4s";2
"aruseni";3
"asendecka";1
"atombrella";11
"auvipy";3
"baterson";1
"berkerpeksag";10
"bersace";1
"bmispelon";1
"bradmerlin";1
"camilonova";2
"carljm";3
"chadwhitman";1
"charettes";59
"chescales";1
"chexex";2
"ChillarAnand";4
"christianbundy";1
"cjerdonek";8
"ClairePhila";1
"claudep";90
"Collederas";1
"collinanderson";1
"davidszotten";2
"dcwatson";1
"decibyte";1
"deltaskelta";1
"denisra";1
"desecho";14
"dgladkov";1
"dhoffman34";1
"djk2";1
"dracos";1
"dsanders11";7
"Dunedan";1
"edevil";1
"edmorley";8
"elky";2
"ellmetha";2
"eltronix";7
"erikr";1
"eukreign";1
"ewjoachim";2
"fat-crocodile";1
"felixxm";43
"Flimm";1
"FlipperPA";4
"francoisfreitag";6
"frankwiles";1
"frewsxcv";1
"funkybob";1
"garrypolley";1
"getup8";1
"Guest007";1
"h4ck3rm1k3";1
"haiiiiiyun";2
"HenryDangPRG";2
"hirokiky";1
"Ian-Foote";1
"IanLee1521";1
"igniteflow";1
"illia-v";2
"Imperat";1
"inglesp";2
"inondle";2
"intgr";2
"ivanchenkodmitry";1
"jackieleng";1
"jarshwah";4
"JBKahn";1
"jdufresne";42
"jensen-cochran";1
"jezeniel";1
"jiaaro";1
"Jibodeah";1
"jinankjain";1
"joncasdam";1
"jschneier";1
"jsma";1
"jwilk";1
"kapilgarg1996";1
"kappataumu";1
"kas";1
"Keda87";1
"kmtracey";1
"knbk";3
"knyghty";1
"koniiiik";2
"KrzysiekJ";1
"Kulikovpavel";1
"lamby";3
"lb1c";1
"Leila20";2
"lingxiaoyang";1
"loic";6
"lostick";1
"lovmat";1
"lucasloisp";1
"lwm";1
"manikos";1
"marfire";1
"mark-summerfield";1
"MarkusH";8
"marky1991";1
"martinarroyo";1
"mastizada";1
"matthiask";1
"mbeijen";1
"merike";1
"meshy";3
"metamatik";1
"mgalgs";1
"miketheman";1
"mlorant";2
"monoidal";1
"nadege";1
"navidkhn1";1
"nemesisdesign";1
"nikolas";1
"nimasmi";1
"noenglishprofessorbut";1
"openjck";1
"PamelaM";1
"pauloxnet";1
"PavloKapyshin";1
"pelme";1
"perry";1
"petedmarsh";1
"Phil9l";1
"PREM1980";1
"prestontimmons";1
"pwmarcz";1
"raminfp";1
"ramiro";2
"raphaelm";1
"raphaelmerx";1
"reficul31";1
"REVIMI";1
"rhertzog";1
"rivol";1
"rixx";2
"rlmv";2
"roboslone";1
"romgar";2
"roques";1
"rpkilby";1
"rsalmaso";1
"rtpg";1
"sadaf2605";1
"sajattack";1
"sbast";1
"schinckel";2
"scop";7
"seanfagan";1
"shiblystory";1
"sir-sigurd";44
"solarissmoke";1
"spacediver";1
"srinivasreddy";3
"Stranger6667";1
"SubhrajyotiSen";1
"suligap";1
"Surgo";1
"tedmiston";1
"thomwiggers";1
"timgraham";325
"timmartin";1
"tobiasmcnulty";4
"toolness";1
"toshka";1
"treyhunner";1
"vesteinn";1
"victor-o-silva";1
"vinayinvicible";2
"VincentTide";1
"vlt";2
"vytisb";12
"whs";1
"wimglenn";1
"wkornewald";1
"xncbf";1
"xrmx";1
"yellowcap";4
"za";1
"zachborboa";1
"Zapelini";1
"zgyarmati";1
"zsiciarz";2
"zw3n";1
"zwernberg";1
