"user";"totalPR"
"0bp";1
"abayer";8
"aheritier";2
"akbertram";1
"albers";1
"aldaris";2
"alshopov";2
"alvarolobato";5
"amuniz";6
"andrealaura";2
"andreldm";1
"andresrc";6
"atcarmo";1
"aureliesalles";1
"baaym";1
"batmat";21
"BenjaminHerbert";1
"bhenderson";1
"bmillemathias";1
"boaglio";1
"bpedersen2";1
"bryant1410";1
"bschelberg";1
"bwalding";1
"Carbenium";2
"carlossg";2
"casz";1
"cherokie";1
"chris-daw";1
"ChrisA89";1
"christ66";3
"clguimanMSFT";1
"corngood";1
"csiden";2
"csimons";11
"cyrille-leclerc";2
"dalbertom";1
"dalcouffe";1
"damianszczepanik";18
"daniel-beck";83
"DanielWeber";1
"dariver";1
"darxriggs";8
"daspilker";11
"dbroady1";1
"deadmoose";16
"dennisjlee";1
"dirk-thomas";1
"Dohbedoh";2
"dominiquebrice";1
"eidottermihi";2
"eitoball";1
"erral";1
"escoem";2
"evernat";1
"FarmGeek4Life";1
"fbelzunc";12
"fbonerandi";1
"felfert";1
"fengxx";1
"fjcapdevila";1
"FreddieV4";1
"fuentesj";1
"gastaldi";1
"ge-vi";2
"ghostganz";1
"godfath3r";2
"Grogdunn";1
"gusreiber";7
"hayderimran7";2
"ikedam";9
"imeredith";1
"intelradoux";1
"jbaranov";1
"jcechace";1
"jernst";1
"jglick";130
"Jimilian";6
"johnou";1
"jordimas";1
"jpbriend";2
"jpederzolli";1
"jsoref";1
"jtnord";20
"JTSweet";1
"kamilszymanski";1
"karnauskas";1
"kbrowder";1
"kohsuke";26
"KostyaSha";21
"kuisathaverat";1
"kzantow";37
"leelavery";2
"liorhson";2
"lksndr";1
"lpancescu";1
"madhead";1
"ManuelB";1
"MarkEWaite";1
"matejzero";1
"matthewreiter";1
"mattmoor";1
"mawinter69";1
"mawulf";2
"mfriedenhagen";1
"michaelneale";1
"mkochenough";1
"mmitche";1
"mrcarlosrendon";1
"mslusarczyk";1
"muhammedeminakbulut";2
"mwinter69";1
"ndeloof";13
"ocadaruma";1
"oldelvet";2
"oleg-nenashev";79
"olivergondza";41
"olivierdagenais";1
"orrc";5
"pagio81";1
"patbos";1
"pdalpra";1
"peppelan";1
"PeterDaveHello";1
"petermarcoen";3
"phoenix384";1
"pjanouse";33
"pjdarton";1
"pjfanning";1
"pra85";1
"pwielgolaski";1
"qerub";1
"ReadmeCritic";1
"recampbell";4
"recena";21
"rodrigc";7
"rpionke";2
"rsandell";6
"rtyler";15
"rupinr";1
"russinholi";1
"samrocketman";1
"sbilinski";1
"scherler";2
"SebastienFlochlay";1
"SebastienGllmt";1
"senk";1
"sereinity";1
"simon-andrews";1
"skyline00";1
"slide";4
"smccarthy";1
"smehrbrodt";1
"Sounie";1
"ssogabe";2
"stephenc";69
"stochmial";1
"stuchy3";1
"superboum";1
"svanoort";4
"swashbuck1r";1
"sylvestre";1
"szpak";1
"t0r0X";1
"tfennelly";22
"ThomasGP";1
"thomassuckow";2
"tjramos";1
"tn-osimis";1
"tomass";4
"tototoman";1
"TristanFAURE";1
"tuladhar";1
"urkon";1
"varmenise";13
"vb-linetco";1
"vivek";2
"vjuranek";1
"vlajos";1
"Vlatombe";16
"waldyr";2
"warden";1
"Wilfred";2
"ydubreuil";5
"yogeek";1
