"user";"totalPR"
"810";3
"alex7r";1
"AlexRed";2
"alikon";22
"andrepereiradasilva";82
"asika32764";1
"Bakual";93
"bembelimen";5
"bertmert";8
"brianpeat";1
"brianteeman";111
"C-Lodder";26
"chrBrd";1
"chrisdavenport";8
"ciar4n";53
"coolcat-creations";2
"cpfeifer";3
"csiteru";1
"csthomas";30
"demis-palma";1
"Devportobello";1
"dgt41";27
"eorisis";1
"eshiol";1
"Fedik";12
"frankmayer";55
"ggppdk";5
"Hackwar";8
"Harmageddon";1
"imanickam";1
"infograf768";64
"izharaazmi";12
"jajodiaraghav";2
"jeckodevelopment";6
"joeforjoomla";2
"joomdonation";21
"joomlabeat";2
"klas";1
"Kubik-Rubik";1
"laoneo";70
"marcochirienti";14
"marrouchi";4
"MartijnMaandag";1
"matrikular";2
"MATsxm";5
"mbabker";55
"milux";1
"nicksavov";1
"okonomiyaki3000";8
"pe7er";1
"PhilETaylor";10
"photodude";13
"phproberto";5
"piotr-cz";1
"pocketpc";1
"Quy";2
"ralain";2
"rbsl-manisha";1
"rdeutz";10
"regularlabs";3
"roland-d";2
"sanderpotjer";1
"shur";2
"smehrbrodt";1
"SniperSister";1
"SoftForge";2
"sweco-semhul";2
"tecpromotion";1
"tonypartridge";11
"uglyeoin";1
"viocassel";2
"wilsonge";17
"wojsmol";1
"yasirunilan";1
"yvesh";6
"zero-24";62
