"user";"totalPR"
"aakoch";1
"ajpiano";3
"alexlouden";1
"all3fox";1
"anton-ryzhov";1
"azatoth";7
"Bubbi";1
"cmcnulty";1
"cowboy";2
"csnover";14
"ctalkington";1
"danheberden";8
"datag";1
"dcherman";1
"DenisKnauf";1
"dmethvin";14
"DouglasMeyer";1
"fracmak";1
"gf3";1
"gibson042";11
"gnarf";6
"hwiechers";1
"inukshuk";1
"jaubourg";2
"jbedard";1
"jboesch";4
"jclain";1
"JessThrysoee";1
"jitter";9
"JustinDrake";1
"jzaefferer";2
"kflorence";1
"Krinkle";2
"kswedberg";1
"louisremi";8
"markelog";12
"mathiasbynens";1
"mgol";38
"mikesherov";3
"nanto";1
"paulirish";1
"petersendidit";1
"presbrey";1
"rdworth";2
"RedWolves";1
"rjgotten";1
"robmorgan";1
"russtacular";1
"rwaldron";49
"sbisbee";1
"scottgonzalez";2
"scottjehl";2
"shichuan";1
"sindresorhus";1
"SlexAxton";3
"TechQuery";1
"timmywil";24
"tjvantoll";1
"xavi-";1
"xavierm02";1
