"user";"totalPR"
"abigwonderful";1
"abishekrsrikaanth";1
"ac1982";1
"Adam14Four";1
"adamgoose";2
"adamwathan";1
"AdenFraser";1
"adityamenon";1
"adriaanzon";1
"aeberhardo";3
"aebersold";2
"ahmed3mar";1
"ajb";1
"ajschmaltz";1
"akhodakivskiy";1
"akuzemchak";5
"al0mie";1
"alexandre-butynski";1
"alexgalletti";2
"alexsoft";1
"alexwhitman";2
"alnutile";2
"ameech";1
"amochohan";1
"Anahkiasen";3
"anakadote";1
"anaxamaxan";2
"andershammar";1
"AndreasHeiberg";1
"AndrewBNZ";2
"andrewhood125";1
"anewmanjones";1
"anhskohbo";1
"anik786";1
"anlutro";1
"anteriovieira";1
"anthonyholmes";1
"antoinebeaumont";1
"antonioribeiro";2
"antonybudianto";2
"anvanza";1
"Apathetic012";2
"apit";1
"arcanedev-maroc";2
"arenowebdev";1
"arisk";1
"atefBB";1
"AustinW";1
"authman";1
"balping";1
"barryvdh";9
"BartHuis";1
"baspeters";1
"baycanaydin";2
"bbashy";4
"bencorlett";9
"benjam-es";1
"benjaminreede";1
"Bering";1
"billmn";3
"blainesch";1
"bmitch";1
"boffey";1
"bpierre";1
"BrandonSurowiec";2
"brayniverse";1
"bretterer";1
"briankiewel";6
"browner12";2
"brunogaspar";1
"bruston";1
"bryannielsen";1
"bryantebeek";2
"bryanwood";1
"bryceadams";1
"bshaffer";1
"bstrahija";1
"bworwa";1
"byCedric";1
"carlosmtrinidad";1
"ccovey";1
"chrisberthe";1
"chrishow";1
"christianztamayo";1
"cjaoude";1
"cmenke";1
"Codeklopper";1
"coderabbi";1
"codler";7
"CoolGoose";1
"coolpraz";1
"craigpaul";1
"crloscstillo";1
"crynobone";19
"CupOfTea696";1
"CurvesTech";1
"cviebrock";16
"dakira";1
"danharper";2
"danielboendergaard";2
"dannyvink";1
"danro";1
"daris";1
"davedx";1
"david-ridgeonnet";1
"DavidLemayian";1
"davzie";1
"daylerees";24
"dbudwin";1
"dcelasun";3
"dciancu";1
"deerawan";1
"deiucanta";1
"dejangeci";4
"demsey2";1
"dersvenhesse";1
"diogoazevedos";5
"dlpetrie";3
"dohpaz42";1
"DojoGeekRA";1
"dongilbert";1
"donnes";1
"dotramses";1
"dprvig";2
"dr-dimitru";1
"drakakisgeo";3
"driesvints";7
"drowe";1
"DServy";1
"ebynum";1
"eddiemonge";1
"eddmann";1
"effenberger";1
"eklundkristoffer";1
"EliuFlorez";2
"ellisio";3
"ericbarnes";7
"ericdowell";1
"erikdubbelboer";1
"etelford";1
"ethaizone";1
"euantorano";1
"everclear";1
"EvgenyKovalev";3
"fabpot";1
"fernandobandeira";1
"fideloper";1
"fla";1
"flakerimi";1
"flaviozantut";1
"fpirsch";1
"frankwong";1
"franzliedke";43
"Fuxy22";1
"fwartner";1
"fzoske";1
"gaker";1
"gaomd";1
"Garbee";1
"Gargron";1
"garygreen";1
"ghost";1
"GrahamCampbell";25
"greabock";1
"gregoryduckworth";1
"guilambert";1
"guilhermegonzaga";1
"halaei";2
"hamuz";1
"hannesvdvreken";2
"helmut";1
"HendrikJan";1
"hernandev";1
"heruputra";1
"hikouki";1
"hinathan";1
"HiroKws";6
"ianlandsman";1
"ibrasho";2
"idhamperdameian";1
"insoutt";1
"inverse";1
"iolson";1
"ipalaus";2
"irazasyed";1
"itavy";1
"itised";1
"itsDamien";1
"j20";1
"jackmcdade";1
"jackmu95";1
"JacobBennett";1
"jadjoubran";1
"Jakobud";8
"jamesmills";1
"jan-j";1
"jasonlewis";12
"jasonlfunk";1
"jasonmccreary";1
"jaylinski";1
"jbruni";1
"jcxm360";1
"JeffreyWay";6
"jehadassaf";1
"Jelle-S";1
"jerguslejko";1
"JesseObrien";6
"jhmilan";1
"jhoff";1
"jimmypuckett";1
"jirehstudios";1
"jjaffeux";1
"jkudish";1
"jlaswell";1
"joecohens";2
"joecwallace";4
"johnhout";1
"jonathanmarvens";1
"jonathantorres";1
"JoostK";3
"jorgemurta";1
"josem";1
"JosephSilber";13
"josezenem";2
"joshbetz";1
"joual";1
"jpavon";1
"jpkleemans";1
"jpmurray";1
"jrean";2
"jspekken";1
"jspringe";1
"JulienTant";1
"jumilla";2
"juukie";4
"jwalton512";4
"jwpage";1
"kamaroly";1
"kapv89";4
"kbanman";8
"kdocki";1
"KennedyTedesco";3
