"user";"totalPR"
"aheckmann";1
"aksaharan";1
"akshaynathan";1
"alexkleiman";1
"AndrewCEmil";1
"asya999";1
"azat";2
"cathoderay";1
"charsyam";3
"comerford";2
"craiggwilson";1
"daveh86";3
"dcodix";1
"derickr";2
"dgottlieb";1
"dhatch";1
"djcsdy";1
"dorothychen";1
"dstorch";2
"guanqun";6
"hawka";1
"hoffrocket";1
"idbentley";1
"jamesblackburn";1
"jameswahlin";2
"jcesareo";2
"jmikola";1
"johanhedin";1
"ksuarz";1
"laudrup";1
"miketheman";5
"MSchireson";1
"nosh";1
"npmccallum";1
"presbrey";1
"ranman";1
"rozza";2
"samantharitter";3
"shelman";1
"spencerjackson";2
"sphing";1
"stennie";1
"stevebriskin";1
"tadmarshall";8
"tychoish";5
"TylerBrock";3
"ukd1";1
"utaal";6
"visemet";1
"vrtx";2
"WilliamZola";1
"ymarkovitch";2
"zakhark";3
"zhemao";2
