"user";"totalPR"
"abratchik";7
"acinader";1
"adamrankin";1
"addisonElliott";2
"AdeelH";1
"adl1995";1
"alalek";189
"alekcac";2
"Algomorph";1
"anatolix";1
"andy-held";3
"anirudt";1
"apavlenko";5
"Aravind-Suresh";3
"ArkadiuszRaj";6
"arrybn";1
"Asalle";2
"asmorkalov";5
"atinfinity";5
"avartenkov";1
"BadrinathS";1
"bae43";1
"bedbad";1
"belgraviton";1
"berak";15
"bkuhls";1
"Bleach665";3
"BloodAxe";1
"bramton";1
"Cartucho";2
"catree";22
"cbalint13";1
"cclauss";1
"chacha21";2
"ChristofKaufmann";1
"chrizandr";4
"ColinFinck";1
"CSBVision";1
"csukuangfj";19
"D-Barber";1
"daB0bby";4
"DabeDotCom";1
"danil-tolkachev";1
"debjan";1
"dec1";2
"derlunz";1
"dharezlak";1
"Dikay900";2
"Dmitry-Me";1
"DmtKats";1
"dreifachstein";1
"dtmoodie";6
"Dubrzr";1
"ealbuz";1
"eduardohenriquearnold";1
"egorpugin";1
"eladj";1
"eliao";2
"erichkeane";1
"es0m";1
"ezavesky";1
"ezheidtmann";1
"fegorsch";1
"filipsladek";1
"filnet";1
"Finfa811";1
"fnorf";1
"fran6co";1
"fraserharris";1
"gongzg";1
"grahamfyffe";1
"guoxuedong";1
"guycook";1
"guysoft";1
"gylns";1
"haikusw";1
"hailong-wang";1
"hewj03";2
"hgaiser";1
"hrnr";2
"huang-qiao";1
"iclemens";1
"ilijapuaca";1
"ilya-lavrenov";17
"jacobdang";1
"janstarzy";2
"Jejos";1
"Jeroonk";1
"jet47";7
"jexner";1
"jinay1991";1
"jlguardi";2
"jlubawy";1
"jmgomezpoveda";1
"JoeHowse";1
"jokereactive";1
"jpaveggio";1
"jrheard";1
"juliendehos";1
"justayak";1
"K-Shinotsuka";32
"kesinger";1
"kevin-coder";2
"kevinhughes27";1
"khnaba";5
"Kotrix";1
"Kronopath";1
"krrishnarraj";1
"kuanyili";1
"kudeh";1
"LaurentBerger";9
"Legoless";2
"LeoBras";1
"lewgate";2
"lletourn";1
"logic1988";2
"LorenaGdL";1
"lpea";1
"lpetre";1
"lr-morales";1
"LucasSolomon";1
"ludv1x";2
"LukeZheZhu";1
"lupustr3";12
"lvv";1
"m039";1
"maff91";1
"matrush";1
"matthieu-ft";1
"mattmyne";1
"mbarnach";1
"mnoskova";1
"mpkh";1
"mrquorr";2
"mschoeneck";4
"mself";3
"mshabunin";56
"msk-repo01";1
"mvukad";1
"mzajko";2
"nevir";1
"nnadeau";1
"ogreen";1
"ohnozzy";4
"onetimking";1
"onixie";1
"ottogin";1
"oulenz";1
"OzgrCn";1
"panxiaochun";2
"parismita";2
"paroj";25
"patrikhuber";1
"patsp";1
"pengli";9
"peterentwistle";1
"peters";2
"philippefoubert";2
"PhilLab";7
"piotr-semenov";1
"PkLab";8
"pnordhus";1
"PolarNick239";1
"polevoy-d-v";1
"pranavg189";1
"pwuertz";1
"pylbert";1
"rahulchhabra07";1
"ramele1907";1
"renu285";1
"reunanen";4
"rgov";1
"rishirajsurti";1
"rjray-nvidia";2
"robbertkl";2
"rokm";1
"Sahloul";3
"saskatchewancatch";1
"savuor";21
"schenker";1
"seanlis";1
"seanm";2
"Sejsel";1
"sergboec";1
"sergiud";2
"serval2412";1
"shengyu7697";2
"shruthikashyap";2
"sim642";1
"simonhaenisch";1
"Slonegg";2
"smigielski";1
"snosov1";2
"solosuper";1
"souch55";6
"sovrasov";43
"SpecLad";3
"SSteve";1
"StevenEWright";1
"StevenPuttemans";36
"straywarrior";1
"sturkmen72";12
"superbort";1
"taketwo";1
"Tauranis";1
"tech2077";1
"terfendail";45
"Tetragramm";3
"tfauck";1
"theg4sh";3
"themightyoarfish";1
"thiell";1
"Tomin1";1
"tomoaki0705";53
"tonytheodore";1
"Trojahn";1
"trombipeti";1
"Tytan";2
"umbraclet16";1
"UnaNancyOwen";1
"utibenkei";2
"vagran";1
"valeriyvan";8
"vicproon";1
"ville-v";1
"virtuald";1
"vonnieda";1
"vpisarev";34
"vrabaud";1
"vskarlsruhe";3
"wangguoqin1001";1
"Wing0";1
"wiryls";3
"wolever";2
"wykvictor";1
"xuning0";1
"yadavankit";1
