"user";"totalPR"
"Aayush-Kasurde";1
"accraze";1
"adamchainz";1
"adamobeng";1
"adityaathalye";1
"ahlen";1
"ahmedakef";1
"aisipos";1
"ajschumacher";1
"AkaiKitsune";1
"Akasurde";1
"akavlie";1
"akshar-raaj";1
"alekzvik";9
"alexcouper";1
"alexk307";2
"alexpearce";1
"alexwlchan";1
"alexyer";1
"allevo";1
"almet";1
"ameya-pandilwar";1
"antsar";4
"aphexcx";1
"apiguy";1
"aqueiros";1
"ArchRoller";1
"aromanovich";1
"atupal";1
"augiwan";2
"AustenDSouza";1
"avborhanian";1
"AvivC";1
"awsum";1
"bagratte";1
"baijum";1
"barracks510";1
"bastianh";1
"bdarnell";1
"bdh1011";1
"ben4ever";2
"BenRuns";1
"benselme";1
"bev-a-tron";1
"bfontaine";1
"bngsudheer";1
"BobStevens";1
"bool-dev";1
"boreq";1
"brannerchinese";1
"brettgerry";1
"brousch";2
"bruston";1
"brwr";1
"brycepg";1
"bsutherland";1
"bulatb";1
"callahad";1
"Carreau";1
"cbron";1
"cenkalti";1
"cerivera";1
"cgar";2
"cgoldberg";1
"chaosagent";1
"charlax";1
"charleswhchan";1
"chason";1
"christophercurrie";1
"Cixelyn";1
"clenimar";2
"combinatorist";1
"csu";1
"cvrebert";3
"d0ugal";1
"d1ffuz0r";2
"d3spis3d";1
"danielquinn";2
"danielrichman";1
"DasIch";1
"dataforger";1
"dave-shawley";2
"davide-ceretti";1
"davidism";2
"dawran6";2
"daybarr";1
"dcfix";1
"defuz";6
"djoume";1
"dlmackin";1
"dmishe";3
"dmizelle";1
"dongweiming";1
"dougthor42";1
"drewja";3
"dthul";1
"edburnett";1
"ekoka";1
"eltonlaw";1
"embe";3
"enkore";1
"eradman";1
"ericdill";1
"erikrose";2
"erogers6264";1
"esaurito";1
"etothemanders";1
"ezramorris";1
"ezyang";1
"fchapoton";2
"fengsp";2
"finbarrocallaghan";1
"florentx";1
"flowerhack";1
"flying-sheep";2
"FND";3
"fordhurley";1
"gaetan-petit";1
"garbados";1
"GCorbel";1
"georgschoelly";1
"geusebi";1
"gliptak";1
"gpjt";1
"grampajoe";1
"greyli";1
"hadleyrich";1
