"user";"totalPR"
"0oneo";1
"achinn";1
"acrich";1
"adamcrown";1
"adamgamble";1
"aditya-kapoor";1
"akihiro17";1
"alexanderkustov";1
"alexcameron89";9
"alpaca-tc";1
"amaierhofer";2
"amatsuda";1
"andrewhood125";1
"annejohnson";1
"apauly";1
"apepper";1
"aripollak";1
"arthurnn";1
"badosu";1
"baerjam";3
"baweaver";1
"bcardarella";1
"benoittgt";2
"betesh";1
"bf4";1
"bianjp";1
"biow0lf";1
"bogdan";1
"bogdanvlviv";11
"bolek";1
"bouk";1
"brchristian";1
"brunofacca";1
"budnik";1
"caramelcat";1
"casperisfine";6
"cefigueiredo";1
"cemonti";1
"ChakreshwarSharma";1
"chancancode";3
"chriscarter90";1
"chuckdishmon";1
"chukitow";1
"cih";1
"ck3g";1
"claudiob";10
"codeodor";1
"Cohen-Carlisle";1
"colleenmcguckin";1
"composerinteralia";1
"conradbeach";1
"coreyward";2
"csgavino";1
"damireh";1
"Danila";1
"davidsherline";1
"davydovanton";1
"dcarral";1
"denisovlev";1
"denniszelada";1
"Devinsuit";1
"devonestes";1
"dharamgollapudi";1
"dhh";8
"dijonkitchen";2
"dixpac";3
"djpowers";1
"domcleal";4
"duffyjp";1
"dylanahsmith";5
"eavgerinos";1
"ebeigarts";1
"Edouard-chin";2
"eikes";1
"eileencodes";3
"elfassy";1
"elorest";1
"elpic";2
"Envek";1
"erickueen";1
"Erol";7
"etdsoft";2
"eugeneius";6
"everestmz";1
"fareastside";1
"fernandes";1
"fphilipe";1
"frewsxcv";1
"FriedSock";1
"frodsan";1
"fxn";1
"Gaurav2728";1
"georgeclaghorn";2
"girishso";2
"goddamnhippie";1
"godfat";1
"greenbigfrog";2
"grosser";2
"gsamokovarov";1
"guilleiguaran";3
"HashNotAdam";1
"headius";9
"HISAS";1
"hsbt";2
"iainbeeston";3
"iancanderson";1
"iguchi1124";1
"ipmsteven";1
"itsmeduncan";1
"j-dexx";1
"j1wilmot";1
"j3ck";1
"jaredbeck";2
"jarijokinen";1
"jasl";1
"javan";2
"javiercr";1
"javierjulio";1
"jcoleman";3
"jeremy";1
"JessRudder";1
"Jesus";1
"jhawthorn";1
"jmccartie";1
"jmgarnier";1
"jnicklas";1
"jnoortheen";1
"joevandyk";1
"johnnyshields";1
"jonatack";1
"jonhyman";1
"jordanlewis";2
"jules2689";1
"JunichiIto";1
"k3rni";1
"kami-zh";1
"kamipo";173
"kaspth";4
"kbrock";1
"kenta-s";40
"kevinhughes27";1
"kevinzwhuang";1
"kirs";26
"kjellberg";2
"kjg";1
"kmcphillips";4
"knugie";1
"koic";8
"koppen";1
"kou";1
"larskanis";1
"lastgabs";3
"lcpriest";1
"Le6ow5k1";1
"ledermann";1
"Liceth";1
"louim";2
"lucasmazza";1
"lzap";1
"maclover7";39
"maicher";1
"martijn";1
"marutosi";1
"matrix9180";3
"matthewd";23
"maxboisvert";1
"MaxLap";1
"meagar";2
"mechanicles";4
"meinac";1
"MentalPower";1
"metaskills";3
"mgpnd";1
"michaellennox";1
"mikecmpbll";1
"mjhoy";1
"monfresh";1
"mpugach";1
"MQuy";1
"mrreynolds";1
"MSP-Greg";2
"mtsmfm";11
"mu29";1
"mylake";1
"namusyaka";1
"nanaya";2
"nathanl";1
"naw";1
"Neodelf";9
"NickLaMuro";1
"nikolai-b";1
"notapatch";1
"npezza93";1
"ojiry";4
"olimart";1
"olivierlacan";2
"orhantoy";1
"oss92";1
"ota42y";2
"palkan";2
"Paxa";2
"philipqnguyen";2
"philnash";1
"phoet";1
"pixeltrix";9
"plentz";1
"prathamesh-sonpatki";34
"printercu";1
"pvalena";1
"qinix";1
"rafaelfranca";5
"rafamanzo";1
"ream88";1
"renchap";1
"richardmonette";1
"richseviora";1
"riseshia";5
"rmarone";1
"robertomiranda";1
"robin850";5
"roryokane";1
"rothhound";1
"rubys";1
"rutaka-n";1
"rwz";1
"s-jcs";1
"sachin21";1
"samphilipd";1
"samphippen";1
"schleyfox";1
"schmijos";1
"schneems";5
"schpet";1
"scottgonzalez";3
"scottyantipa";1
"Sen-Zhang";1
"senny";1
"sergey-alekseev";1
"sevenseacat";1
"sfaxon";1
"sgrif";3
"shardulparab97";1
"shime";2
"shingo-nakanishi";1
"sikachu";1
"simi";1
"sinogermany";1
"skateman";1
"smellsblue";2
"sngeth";1
"SpartaSixZero";1
"spdawson";2
"spk";1
"st0012";3
"stefanmb";1
"stomar";2
"stouset";1
"supercaracal";1
"tangposmarvin";1
"tarcieri";1
"tarebyte";1
"tbalthazar";2
"tbrisker";1
"tejasbubane";1
"TempestMia";1
"tenderlove";4
"tgxworld";1
"tjai89";2
"tjschuck";3
"tomprats";1
"toshimaru";2
"treiff";1
"tricknotes";1
"ttanimichi";1
"tylerhunt";1
"tzabaman";1
"unasuke";1
"utilum";10
"vfonic";1
"vinagrito";1
"vipulnsward";12
"wjordan";1
"wytesk133";2
"y-yagi";150
"yachibit";1
"yahonda";9
"yasulab";1
"ysksn";1
"yui-knk";8
"yukideluxe";2
"zachahn";1
"zachaysan";1
"zegomesjf";1
"zzak";2
"zzz6519003";1
