"user";"totalPR"
"aantono";2
"abobov";1
"aclement";1
"AlexYursha";1
"bclozel";16
"bwestrich";1
"carsonmcdonald";1
"dreis2211";4
"dsyer";2
"Enigo";1
"eujungkim";1
"fdesu";1
"fj";1
"garyrussell";1
"gcuisinier";1
"glyn";1
"gregturn";1
"hupfis";1
"izeye";1
"JanespenCerpus";1
"johnktims";1
"kazuki43zoo";11
"kmiya";1
"kryger";1
"leizhiyuan";1
"markhobson";1
"mebigfatguy";1
"mikesir87";1
"moores-expedia";1
"nkjackzhang";2
"ok2c";1
"olivergierke";1
"panchenko";1
"philwebb";2
"platan";1
"poutsma";5
"rjozwik";1
"royclarkson";1
"rstoyanchev";3
"rwinch";5
"sbrannen";6
"sdeleuze";6
"trisberg";1
"violetagg";1
"vpavic";1
"wilkinsona";2
"Youmoo";1
