"user";"totalPR"
"a7744hsc";1
"abhitopia";3
"aceveggie";1
"adalq";1
"admcrae";2
"AfirSraftGarrier";1
"ageron";1
"ahundt";3
"aj-michael";1
"alanwang93";1
"aldanor";1
"Alec-DeSouza";1
"alrojo";2
"alsrgv";1
"anand-c-goog";3
"andreas-eberle";2
"AndreasMadsen";1
"andrewharp";10
"Andyccs";1
"AnishShah";3
"ankeshanand";1
"Anmol-Sharma";1
"annarev";4
"aptro";1
"ariejdl";2
"aselle";6
"ashutoshdas96";1
"asimshankar";7
"av8ramit";8
"avloss";2
"b-3-n";1
"b0noI";5
"bakunyo";1
"barnjamin";1
"benbarsdell";1
"benoitsteiner";31
"beopst";1
"besirkurtulmus";1
"Bihaqo";1
"BinRoot";1
"blodan";1
"bogatyy";1
"boing102";1
"bostelk";2
"BoyuanJiang";1
"bradyz";1
"buaaliyi";1
"burness";1
"byronyi";1
"c0g";1
"caisq";42
"calpa";1
"cancan101";4
"carlthome";1
"Carmezim";5
"cberner";1
"chadkennedyonline";1
"ChihChengLiang";1
"chihuahua";1
"chorig9";1
"ClarkZinzow";1
"codingyourlife";1
"comicchang";1
"Conchylicultor";2
"conqer";5
"critiqjo";1
"cwhipkey";3
"cwlbraa";1
"daj";2
"damienmg";3
"dandelionmane";8
"danielgordon10";1
"darcyliu";1
"darrengarvey";4
"davidbrai";1
"DavidNorman";3
"davidzchen";6
"daxlab";1
"dimpavloff";1
"DjangoPeng";2
"djones";1
"dm0";1
"dpwe";1
"drag0";2
"DreSimpelo";1
"drpngx";10
"dsmilkov";1
"dtrebbien";4
"eaigner";1
"eddiepierce";1
"elirex";1
"erfannoury";1
"EronWright";2
"evancofer";1
"fabriciojoc";1
"fanlu";3
"fayeshine";2
"fcbruce";1
"feiskyer";1
"Fenugreek";1
"finbarrtimbers";1
"fishercoder1534";1
"foreverfaint";1
"foxik";1
"fp";1
"Franck-Dernoncourt";2
"gaohuazuo";2
"gar1t";1
"gautam1858";3
"Ghedeon";1
"gibiansky";2
"girving";4
"gojira";1
"gokceneraslan";1
"golbin";1
"Gubarev";1
"guidj";1
"gunan";105
"guoguo12";2
"guotong1988";3
"guschmue";15
"haosdent";6
"Haroenv";1
"hartb";1
"hawkinsp";1
"hevensun";1
"hholst80";2
"hoangmit";1
"hprovenza";3
"hrldcpr";1
"hsiaoyi0504";1
"Hvass-Labs";1
"ilblackdragon";1
"inflation";4
"Invisibility";1
"iRapha";2
"itsmeolivia";1
"JacobIsrael123";1
"jangsoopark";1
"JarnoRFB";1
"jart";13
"jasonmorton";1
"javidcf";1
"javiribera";2
"jbobba";1
"jendap";1
"jerryshao";1
"jgavris";1
"jhaux";1
"jhseu";28
"Jiaming-Liu";1
"Jihadik";1
"jihunchoi";3
"jithinoc";1
"JoanThibault";1
"joapaspe";1
"johmathe";1
"johndpope";1
"jonasrauber";4
"jsawruk";1
"Julian";1
"junpenglao";1
"jusjusjus";2
"kamcpp";1
"kamilhryniewicz";1
"Kankroc";1
"Karel-van-de-Plassche";1
"karllessard";1
"kashif";2
"kborer";1
"kbrems";1
"kbrose";1
"kchodorow";1
"keveman";1
"kirilg";1
"Kjeanclaude";1
"klattimer";1
"KyotoSunshine";2
"LaurenLuoYun";1
"LaurentMazare";1
"leftnoteasy";1
"leomao";1
"leonardgithub";2
"Lewuathe";2
"Lezcano";1
"LiamHe";1
"lingz";1
"liuyipei";1
"llhe";9
"luheng";1
"lyuwenyu";1
"maciekcc";2
"mahmoud-abuzaina";1
"malmaud";1
"malzantot";1
"martinwicke";14
"mbasilyan";1
"mdeff";1
"medhat-omr";1
"memo";1
"meteorcloudy";21
"mgharbi";1
"mhue";1
"MicaelCarvalho";2
"MikalaiDrabovich";1
"MircoT";1
"Mistobaan";7
"mkolod";4
"mlucool";1
"mortenjust";1
"mrdavey";1
"MrQianJinSi";2
"mrry";36
"mszep";1
"mvpatel2000";1
"Mycosynth";1
"nagachika";2
"namrata-ibm";2
"Nayana-ibm";1
"nealwu";3
"neilhan";1
"newge";1
"NewProggie";1
"nghiattran";1
"nharada1";1
"nicholasbutlin";1
"nikhilmishra000";1
"nikste";1
"nirajpatel";3
"nkconnor";1
"noqcks";1
"normanheckscher";1
"nschuc";1
"nsriram13";1
"nsuke";1
"ofilip";2
"olesalscheider";1
"OscarDPan";1
"oskopek";1
"otzy";1
"palimarrao";1
"panmari";3
"pavelbulanov";1
"perrier1034";1
"persiyanov";1
"person594";2
"petewarden";2
"PhilJd";1
"philokey";1
"pmc01";1
"polonez";1
"ppries";1
"ppwwyyxx";5
"pra85";1
"primetang";1
"ptakopysk";1
"ptrendx";2
"PuchatekwSzortach";1
"pwnall";3
"qbx2";1
"qjivy";1
"Quarazy";1
"raix852";1
"rasbt";2
"raviqqe";5
"rbspark";1
"rizasif";1
"rkaplan";1
"rmlarsen";11
"rohan100jain";6
"ronrest";1
"rpryzant";1
"rshin";1
"RustingSword";1
"samjabrahams";4
"SamPutnam";1
"sandersk";2
"sanosay";1
"seaotterman";1
"selay01";1
"senden9";1
"seongahjo";1
"shaurya0";1
"shirriff";1
"skavulya";1
"sleighsoft";1
"snnn";10
"soloice";1
"SriramRamesh";1
"sueyllam";1
"sugyan";2
"suharshs";1
"suiyuan2009";2
"Syndrome777";1
"tatatodd";2
"tbonza";1
"teldridge11";1
"temporaer";1
"terrytangyuan";20
"tfboyd";1
"tgy";2
"theflofly";2
"thesuperzapper";2
"TheUSER123";1
"thjashin";1
"thuyen";2
"tillahoffmann";4
"timanglade";1
"tiriplicamihai";1
"tntnatbry";1
"tomasreimers";1
"tomergafner";1
"tsee";1
"tusharsoni08";1
"tweksteen";1
"tyfkda";1
"ultraklon";1
"unsalted";1
"uschmidt83";1
"vamsi-sripathi";1
"velaia";1
"viirya";1
"villasv";2
"vincentvanhoucke";2
"vit-stepanovs";7
"vivek-rane";5
"vladfi1";1
"vmalyi";1
"vrv";21
"wangg12";1
"wangyum";2
"willdzeng";2
"wookayin";2
"wrmsr";1
"wujingyue";1
"xioryu";1
"xmbrst";1
"xodus7";1
"XuesongYang";1
"yaroslavvb";14
"yifeif";55
"yilei";1
"yjmade";1
"yongtang";7
"youyou3";1
"yufengg";1
"zafartahirov";4
"zasdfgbnm";1
"zheng-xq";2
"zhongyuk";1
"zifeitong";1
"zuoxingdong";7
