"sir-sigurd";1;"8242";0;0;1;2;7;3;0;12;1;NA;NA;NA;NA
"felixxm";1;"8241";3;9;1;4;16;27;1;8;2;0.5;1;34;4
"sir-sigurd";1;"8240";0;0;1;1;1;10;0;6;0;NA;NA;NA;NA
"sir-sigurd";1;"8237";2;0;1;1;0;3;0;7;0;0;2;52;26
"sajattack";1;"8236";0;0;1;1;1;0;1;10;1;NA;NA;NA;NA
"sir-sigurd";1;"8235";0;2;1;1;11;3;1;13;2;NA;NA;NA;NA
"timgraham";1;"8233";1;2;1;5;27;4;3;13;1;NA;1;2;2
"sir-sigurd";1;"8231";2;0;1;1;65;36;0;9;0;0;2;19;9.5
"kapilgarg1996";1;"8229";0;0;1;2;7;1;2;11;9;NA;NA;NA;NA
"felixxm";1;"8228";0;2;1;6;9;9;0;9;0;NA;NA;NA;NA
"sir-sigurd";1;"8226";1;0;1;1;1;1;0;10;1;NA;1;9;9
"timgraham";1;"8225";0;0;1;3;6;6;0;12;4;NA;NA;NA;NA
"garrypolley";1;"8223";0;0;1;1;2;3;0;6;48;NA;NA;NA;NA
"sir-sigurd";1;"8221";0;1;1;1;3;3;1;11;1;NA;NA;NA;NA
"felixxm";1;"8220";0;0;1;13;16;16;0;5;0;NA;NA;NA;NA
"sir-sigurd";1;"8218";0;3;1;1;4;2;2;9;0;NA;NA;NA;NA
"timgraham";1;"8217";0;0;2;2;13;13;1;12;1;NA;NA;NA;NA
"decibyte";1;"8216";2;0;1;1;1;7;1;9;8;0;2;66;33
"sir-sigurd";1;"8215";0;0;1;2;25;1;4;8;1;NA;NA;NA;NA
"sir-sigurd";1;"8214";0;0;1;2;0;4;1;2;3;NA;NA;NA;NA
"felixxm";1;"8213";2;0;1;1;5;10;2;12;0;0;2;113;56.5
"sir-sigurd";1;"8212";1;2;1;5;11;39;3;4;4;NA;1;4;4
"jdufresne";1;"8211";0;0;1;2;4;4;2;10;1;NA;NA;NA;NA
"timgraham";1;"8210";0;0;1;1;6;0;2;12;4;NA;NA;NA;NA
"aaboffill";1;"8209";0;0;1;2;2;1;1;11;63;NA;NA;NA;NA
"aaboffill";1;"8206";0;0;1;1;18;0;1;4;19;NA;NA;NA;NA
"atombrella";1;"8205";2;0;2;1;6;6;1;5;34;1;2;36;18
"timgraham";1;"8204";0;0;1;1;3;1;4;9;1;NA;NA;NA;NA
"seanfagan";1;"8203";2;0;2;2;3;3;4;6;18;2;2;22;11
"timgraham";1;"8201";0;5;1;6;74;7;4;11;26;NA;NA;NA;NA
"timgraham";1;"8199";0;0;1;2;6;4;0;8;6;NA;NA;NA;NA
"sir-sigurd";1;"8197";0;0;1;1;1;3;0;7;6;NA;NA;NA;NA
"sir-sigurd";1;"8195";0;0;1;1;3;1;0;7;0;NA;NA;NA;NA
"alasdairnicol";1;"8194";2;0;1;5;6;6;1;7;0;0;2;50;25
"timgraham";1;"8193";1;0;1;23;93;102;1;5;12;NA;1;16;16
"sir-sigurd";1;"8190";0;0;1;3;8;3;1;10;0;NA;NA;NA;NA
