"svenstaro";1;"2209";2;2;3;2;21;1;0;8;31;0;2;6;3
"iref";1;"2204";0;0;1;1;4;4;0;7;32;NA;NA;NA;NA
"johnbodley";1;"2203";0;0;1;1;2;1;0;5;27;NA;NA;NA;NA
"BenRuns";1;"2202";0;0;1;1;1;1;0;6;0;NA;NA;NA;NA
"staticfox";1;"2201";0;0;1;6;8;8;0;3;0;NA;NA;NA;NA
"eltonlaw";1;"2199";0;0;1;1;2;2;0;7;14;NA;NA;NA;NA
"greyli";1;"2196";1;2;3;1;17;1;1;8;29;NA;1;1;1
"lepture";1;"2193";8;2;4;6;11;8;6;9;15;0;3;207;15.5
"combinatorist";1;"2186";1;0;1;1;1;1;0;4;0;NA;1;1;1
"nficano";1;"2182";1;0;1;1;2;2;0;5;8;NA;1;1;1
"jeffwidman";1;"2180";1;0;1;22;43;43;0;6;6;NA;1;1;1
"jeffwidman";1;"2179";1;0;1;1;1;1;0;3;1;NA;1;1;1
"swanhtet1992";1;"2175";1;0;1;1;2;2;0;5;70;NA;1;2;2
"vojtekb";1;"2173";6;0;4;5;10;10;2;3;50;0;3;296;23
"kblomqvist";1;"2155";0;1;2;1;1;1;0;4;18;NA;NA;NA;NA
"jeffwidman";1;"2154";2;0;1;1;1;1;1;10;23;1;2;9;4.5
"r0fls";1;"2152";12;9;5;1;8;8;1;9;2;0;5;353;17
"barracks510";1;"2151";8;0;1;1;5;5;0;3;8;0;3;193;21.5
"onovy";1;"2149";0;0;1;1;5;2;0;9;26;NA;NA;NA;NA
"drewja";1;"2148";0;3;1;4;9;5;0;5;28;NA;NA;NA;NA
"prmtl";1;"2141";0;0;1;1;2;2;55;7;0;NA;NA;NA;NA
"brycepg";1;"2138";1;0;1;1;1;1;0;5;55;NA;1;1;1
"untitaker";1;"2135";1;0;1;1;1;57;1;3;2;NA;1;8;8
"wgwz";1;"2131";13;0;5;10;37;0;16;4;191;0;4;491;29
"gliptak";1;"2126";1;0;1;1;1;1;0;3;0;NA;1;1;1
"untitaker";1;"2123";1;2;3;3;24;3;1;5;2;NA;1;12;12
"svenstaro";1;"2120";0;0;1;1;2;2;0;5;10;NA;NA;NA;NA
"Hopsken";1;"2119";0;0;1;1;7;3;0;4;6;NA;NA;NA;NA
"svenstaro";1;"2116";0;0;1;1;1;1;1;3;7;NA;NA;NA;NA
"r0fls";1;"2093";3;8;1;1;14;10;31;6;0;0.5;3;82;16
"jirikuncar";1;"2089";0;0;2;2;10;1;34;5;15;NA;NA;NA;NA
"ezramorris";1;"2088";1;0;1;1;1;0;1;7;0;NA;1;1;1
"jezdez";1;"2085";1;0;1;1;1;1;0;6;5;NA;1;1;1
"gpjt";1;"2081";0;0;1;1;1;0;0;7;51;NA;NA;NA;NA
"kumabotz";1;"2075";0;0;1;1;3;2;0;4;0;NA;NA;NA;NA
"kumabotz";1;"2074";0;0;1;1;1;1;0;4;0;NA;NA;NA;NA
"alexk307";1;"2073";7;6;6;1;9;15;2;2;0;0;3;187;33
"mjpieters";1;"2072";1;0;1;1;1;13;0;2;69;NA;1;3;3
"alexk307";1;"2071";3;3;3;2;9;2;0;5;10;0.5;2;27;8
"clenimar";1;"2070";1;0;1;1;2;1;0;4;10;NA;1;1;1
"wgwz";1;"2068";2;0;1;3;3;3;0;5;62;0;2;34;17
"clenimar";1;"2067";0;0;1;4;5;5;5;4;4;NA;NA;NA;NA
"xlotlu";1;"2063";0;0;0;0;0;0;0;2;0;NA;NA;NA;NA
"sjbrown";1;"2061";0;0;0;0;0;0;14;2;0;NA;NA;NA;NA
"Purring";1;"2057";1;0;0;0;0;0;0;10;25;NA;1;3;3
"Heasummn";1;"2052";1;0;1;1;1;1;0;7;0;NA;1;2;2
"mrecachinas";1;"2047";16;16;12;3;51;0;11;2;79;0;3;278;14.5
"mrecachinas";1;"2046";1;0;2;2;5;5;0;5;43;NA;1;1;1
"dongweiming";1;"2039";1;0;1;1;1;1;0;3;120;NA;1;22;22
"dougthor42";1;"2038";1;0;0;0;0;0;1;8;43;NA;1;1;1
"magne4000";1;"2031";2;16;2;3;93;9;6;9;14;1;1;9;4.5
"ben4ever";1;"2028";0;0;0;0;0;0;0;5;14;NA;NA;NA;NA
"Thalmann";1;"2026";1;0;1;1;1;1;0;3;14;NA;1;1;1
"drewja";1;"2025";0;0;1;1;1;3;0;4;14;NA;NA;NA;NA
"pombredanne";1;"2024";0;0;1;1;3;0;48;5;63;NA;NA;NA;NA
"pablogamboa";1;"2022";1;0;1;1;2;2;0;4;22;NA;1;1;1
"wgwz";1;"2021";1;0;3;1;36;11;0;2;47;NA;1;1;1
"mitsuhiko";1;"2019";15;0;3;3;5;11;2;9;75;0;2;761;34
"drewja";1;"2015";1;0;1;1;1;1;0;5;37;NA;1;17;17
"iakbar";1;"2014";1;0;1;1;1;1;0;6;23;NA;1;1;1
"mitsuhiko";1;"2013";1;3;1;3;50;4;2;6;28;NA;1;15;15
"untitaker";1;"2006";14;0;1;3;1;6;0;4;21;0;4;1541;53
"aqueiros";1;"2004";1;1;2;1;3;3;0;6;36;NA;1;1;1
"r-m-n";1;"2003";0;0;0;0;0;0;0;5;23;NA;NA;NA;NA
"wgwz";1;"2002";7;7;6;8;67;40;7;10;28;0.5;3;305;23
"pheanex";1;"2001";0;0;1;1;1;1;0;7;14;NA;NA;NA;NA
"wgwz";1;"2000";2;0;1;2;2;1;0;8;60;0;2;27;13.5
"jsoref";1;"1998";1;2;6;5;5;5;0;1;14;NA;1;1;1
"untitaker";1;"1996";2;0;1;3;5;4;0;4;17;0;2;79;39.5
"mitsuhiko";1;"1993";10;0;1;2;5;0;18;5;38;0;2;333;31
"sanderl-mediamonks";1;"1990";2;0;1;1;1;1;0;9;0;0;2;24;12
"untitaker";1;"1988";8;0;3;4;103;30;6;6;17;0;2;154;17.5
"teichopsia-";1;"1987";0;0;1;1;7;7;1;2;10;NA;NA;NA;NA
"OrangeTux";1;"1976";0;0;0;0;0;0;0;7;2;NA;NA;NA;NA
"SaturnR";1;"1973";0;3;1;1;1;1;18;3;14;NA;NA;NA;NA
"jeffwidman";1;"1967";3;0;0;0;0;0;0;4;34;0.5;2;75;17
"shakib609";1;"1956";0;0;0;0;0;0;1;5;10;NA;NA;NA;NA
"wgwz";1;"1954";18;6;4;17;29;11;41;7;64;1;2;432;20
"ahmedakef";1;"1951";5;0;1;1;2;2;19;6;43;0;2;110;24
"nateprewitt";1;"1950";7;0;1;2;9;1;35;9;103;1;2;132;16
"wgwz";1;"1945";1;0;5;26;323;127;0;8;22;NA;1;6;6
"georgschoelly";1;"1932";0;0;1;1;1;1;0;6;13;NA;NA;NA;NA
"davidism";1;"1928";0;0;2;1;2;1;0;5;9;NA;NA;NA;NA
"bngsudheer";1;"1921";2;0;1;1;2;2;0;3;3;0;2;37;18.5
"alexyer";1;"1920";3;4;1;1;18;29;15;7;3;5.5;2;65;7
"ameya-pandilwar";1;"1918";5;0;0;0;0;0;3;8;3;0;3;60;11
"bfontaine";1;"1917";9;0;0;0;0;0;0;5;0;0;4;300;25
"ArchRoller";1;"1913";0;0;0;0;0;0;0;2;0;NA;NA;NA;NA
"untitaker";1;"1912";0;0;1;1;1;16;0;4;2;NA;NA;NA;NA
"dcfix";1;"1900";2;6;2;1;13;8;7;12;25;0;2;13;6.5
"avborhanian";1;"1892";1;0;1;1;1;1;0;8;23;NA;1;1;1
"ryanbackman";1;"1890";1;0;1;1;1;1;0;6;18;NA;1;1;1
"hyunchel";1;"1889";1;3;1;1;18;3;1;3;35;NA;1;12;12
"dawran6";1;"1888";8;0;1;1;3;0;85;8;25;2;3;271;19.5
"antsar";1;"1884";1;0;1;1;16;1;78;5;7;NA;1;1;1
"karlw00t";1;"1883";1;2;1;2;21;0;0;3;15;NA;1;1;1
"hyunchel";1;"1882";3;0;1;1;14;11;32;2;27;0;2;45;15
"antsar";1;"1881";7;0;1;1;15;1;4;4;0;0;4;95;12
