"jglick";1;"2819";2;2;1;4;30;2;3;4;40;1;2;44;22
"daniel-beck";1;"2813";8;0;2;423;0;4106;4;7;304;0;5;635;16.5
"daniel-beck";1;"2812";3;2;1;58;57;692;3;3;142;0.5;2;85;28
"jglick";1;"2809";2;0;1;1;2;1;6;10;8;6;2;66;33
"batmat";1;"2805";4;2;1;1;5;1;3;4;215;0;3;50;2.5
"oleg-nenashev";1;"2803";14;3;3;1;65;0;6;12;275;0;3;300;20
"oleg-nenashev";1;"2798";3;2;3;47;376;370;2;3;206;0;2;39;10
"oleg-nenashev";1;"2796";4;0;1;1;1;1;6;5;210;0;2;55;14
"stephenc";1;"2794";1;0;1;1;15;10;6;6;9;NA;1;43;43
"oleg-nenashev";1;"2793";3;0;1;1;3;3;1;13;258;0.5;2;134;43
"jglick";1;"2792";2;8;2;5;234;3;5;7;65;2;2;45;22.5
"jglick";1;"2791";3;4;1;1;10;4;2;5;13;1;3;59;15
"jglick";1;"2790";8;0;12;11;94;163;8;6;47;0;3;197;20
"aureliesalles";1;"2788";6;0;1;3;6;6;1;3;8;0;4;124;22
"TristanFAURE";1;"2787";3;5;2;1;14;0;10;7;37;0.5;2;46;16
"yogeek";1;"2786";1;0;2;2;3;3;2;3;0;NA;1;1;1
"oleg-nenashev";1;"2784";2;1;2;1;41;0;1;4;47;1;2;10;5
"SebastienFlochlay";1;"2783";1;0;1;1;1;1;1;11;0;NA;1;1;1
"stephenc";1;"2782";7;9;2;3;82;2;7;11;3;0;4;258;43
"stephenc";1;"2781";2;2;1;2;11;2;2;11;3;0;2;60;30
"daniel-beck";1;"2780";3;0;2;10;8;55;0;8;20;0.5;2;38;6
"daniel-beck";1;"2779";0;0;1;1;1;1;8;5;39;NA;NA;NA;NA
"jtnord";1;"2778";3;0;2;3;3;3;2;6;1;1;3;50;5
"daniel-beck";1;"2777";10;155;21;222;1642;952;18;3;69;1;2;134;6.5
"slide";1;"2774";1;1;2;1;5;0;1;5;20;NA;1;4;4
"oleg-nenashev";1;"2773";4;0;2;1;1;1;5;9;43;1;2;57;11
"stephenc";1;"2772";8;4;2;49;29;863;6;12;3;1;4;406;28
"stephenc";1;"2771";5;13;4;3;248;9;7;9;6;0.5;3;83;6
"Jimilian";1;"2770";0;0;1;2;20;5;1;6;64;NA;NA;NA;NA
"Jimilian";1;"2769";5;0;1;1;1;2;8;8;55;0;3;46;12
"urkon";1;"2767";0;3;1;1;0;2;0;6;10;NA;NA;NA;NA
"jglick";1;"2766";6;1;2;1;4;1;2;8;3;0;4;151;25
"oleg-nenashev";1;"2765";7;7;4;4;24;54;9;10;129;1;3;162;13
"daniel-beck";1;"2763";4;0;17;29;382;202;0;4;20;0;3;76;20
"Jimilian";1;"2762";8;2;2;2;53;2;21;7;31;0;3;443;42.5
"pjfanning";1;"2761";7;0;0;0;0;0;4;8;22;0;3;292;21
"Vlatombe";1;"2760";0;0;1;3;88;3;5;10;1;NA;NA;NA;NA
"daniel-beck";1;"2759";5;2;2;4;86;7;6;7;76;1.5;1;148;21
"stephenc";1;"2758";3;4;2;3;23;1;6;10;41;2.5;3;107;43
"daniel-beck";1;"2757";1;0;2;1;8;1412;1;5;14;NA;1;3;3
"daniel-beck";1;"2756";6;6;3;253;308;320;8;8;187;0;2;83;9.5
"kohsuke";1;"2755";2;0;3;2;2;1;0;1;2;0;2;20;10
"jglick";1;"2753";1;0;1;1;7;1;0;3;47;NA;1;26;26
"ydubreuil";1;"2752";3;3;1;1;12;30;5;10;20;1.5;3;86;18
"oleg-nenashev";1;"2751";1;0;1;1;1;1;1;9;156;NA;1;2;2
"stephenc";1;"2750";3;0;1;1;1;1;1;6;20;0;3;18;3
"jglick";1;"2749";2;3;2;1;6;0;4;10;27;0;2;18;9
"varmenise";1;"2747";0;0;1;1;1;1;3;8;3;NA;NA;NA;NA
"oleg-nenashev";1;"2746";5;0;5;4;42;9;6;12;75;0;1;80;13
"stephenc";1;"2744";4;0;1;1;3;1;2;16;2;0;2;45;7.5
"KostyaSha";1;"2742";2;0;1;1;10;0;8;3;14;1;2;23;11.5
"jglick";1;"2739";1;0;1;3;60;2;2;13;2;NA;1;2;2
"jglick";1;"2738";1;3;1;3;30;6;2;16;28;NA;1;2;2
"daniel-beck";1;"2737";1;0;1;1;11;8;6;8;4;NA;1;7;7
"alvarolobato";1;"2735";2;7;2;2;24;1;2;7;3;1;2;8;4
"clguimanMSFT";1;"2734";4;4;1;1;8;1;22;9;20;5;2;60;13
"jglick";1;"2733";2;0;1;1;1;1;1;6;50;1;2;16;8
"jglick";1;"2732";6;8;3;3;94;78;10;7;2;0;3;115;16.5
"erral";1;"2731";1;0;1;5;13;13;0;3;53;NA;1;46;46
"jglick";1;"2728";4;0;2;44;1;106;3;5;2;0;3;21;3
"jglick";1;"2727";7;6;5;2;72;2;14;10;2;0;5;214;26
"Vlatombe";1;"2726";3;2;3;2;34;5;3;10;1;0.5;3;4;1
"varmenise";1;"2725";8;0;1;1;8;0;20;6;0;0;4;103;13
"olivergondza";1;"2724";6;0;2;2;4;21;29;9;50;1;3;277;34
"abayer";1;"2723";6;0;2;3;9;3;20;9;46;0;5;106;14
"jglick";1;"2722";16;3;2;2;5;1;21;2;2;1;5;443;24.5
"jglick";1;"2721";5;0;1;1;1;1;1;7;12;0.5;4;139;29
"oleg-nenashev";1;"2719";1;2;1;2;18;6;0;5;18;NA;1;43;43
"jsoref";1;"2718";9;12;154;142;254;254;27;1;0;0.5;4;188;12
"damianszczepanik";1;"2717";0;0;1;13;136;24;16;2;0;NA;NA;NA;NA
"batmat";1;"2716";2;0;1;1;1;1;1;6;28;0;1;41;20.5
"daspilker";1;"2715";10;0;1;1;1;1;35;5;2;1;4;171;14
"daniel-beck";1;"2714";0;0;1;1;8;13;1;8;0;NA;NA;NA;NA
"daniel-beck";1;"2713";0;0;1;1;2;2;1;8;2;NA;NA;NA;NA
"daniel-beck";1;"2712";1;0;1;6;27;2;2;6;0;NA;1;43;43
"ydubreuil";1;"2711";12;15;5;2;26;9;66;6;95;1;6;286;17.5
"fjcapdevila";1;"2710";1;0;1;1;1;1;0;2;0;NA;1;3;3
"oleg-nenashev";1;"2709";2;0;1;1;3;2;4;9;49;1;2;45;22.5
"KostyaSha";1;"2708";5;0;1;1;0;1;3;5;24;0;3;90;12
"KostyaSha";1;"2707";4;2;1;1;5;4;1;9;47;0;2;51;11
"damianszczepanik";1;"2706";1;1;1;22;327;25;6;2;0;NA;1;4;4
"rtyler";1;"2704";1;0;1;1;2;2;2;12;0;NA;1;6;6
"olivergondza";1;"2703";0;5;1;1;10;7;4;7;17;NA;NA;NA;NA
"rtyler";1;"2702";2;0;1;9;17;17;3;11;13;0;2;93;46.5
"csiden";1;"2701";14;1;2;1;16;2;3;9;442;0;4;283;19.5
"rtyler";1;"2700";5;0;1;9;10;10;13;13;50;1.5;4;132;18
"rtyler";1;"2699";3;0;1;1;1;1;4;9;25;0;2;27;8
"slide";1;"2698";10;18;3;1;61;27;1;3;44;0;3;268;16.5
"jglick";1;"2697";17;0;1;1;1;1;10;6;3;0.5;8;418;22
"daniel-beck";1;"2696";1;1;1;2;52;26;8;8;16;NA;1;2;2
"daniel-beck";1;"2695";10;1;1;1;2;2;6;9;18;0;4;457;20.5
"daniel-beck";1;"2693";0;2;1;1;1;1;28;6;15;NA;NA;NA;NA
"daniel-beck";1;"2692";2;0;1;2;8;4;6;7;128;4;2;11;5.5
"batmat";1;"2690";5;0;1;1;2;1;6;11;30;0.5;3;83;10
"damianszczepanik";1;"2688";1;4;1;12;165;12;1;2;0;NA;1;19;19
"sereinity";1;"2687";5;5;4;1;14;3;8;7;87;1.5;3;80;20
"jordimas";1;"2686";1;0;1;3;3;3;1;4;7;NA;1;1;1
"szpak";1;"2683";23;2;9;3;310;10;69;9;55;0;3;895;20
