"marcochirienti";1;"14886";1;0;1;1;2;2;0;5;26;NA;1;3;3
"joomdonation";1;"14880";2;0;2;2;4;30;0;7;28;0;2;5;2.5
"marcochirienti";1;"14879";1;0;1;27;0;27;0;4;15;NA;1;5;5
"marcochirienti";1;"14878";1;0;1;8;2;9;0;4;18;NA;1;6;6
"infograf768";1;"14877";0;0;1;1;0;4;0;5;23;NA;NA;NA;NA
"brianteeman";1;"14868";0;7;2;2;2;2;0;7;8;NA;NA;NA;NA
"brianteeman";1;"14866";3;0;4;5;8;6;0;3;74;0;3;65;21
"yasirunilan";1;"14862";4;0;3;1;1;1;0;9;44;0;4;50;12.5
"ciar4n";1;"14856";4;0;1;3;26;7;1;4;41;0;3;62;17
"brianteeman";1;"14854";1;0;1;3;9;9;0;3;14;NA;1;3;3
"infograf768";1;"14852";1;0;1;1;1;5;0;6;78;NA;1;5;5
"ciar4n";1;"14850";4;0;1;3;45;0;0;4;51;0;4;72;17
"marcochirienti";1;"14849";1;0;1;6;6;6;0;7;49;NA;1;3;3
"wilsonge";1;"14847";0;4;5;3;531;0;1;5;49;NA;NA;NA;NA
"C-Lodder";1;"14846";0;2;2;1;3;1;0;3;16;NA;NA;NA;NA
"brianteeman";1;"14845";3;8;1;12;12;12;1;2;25;0.5;2;49;14
"brianteeman";1;"14841";5;0;2;4;1;7;0;6;27;0;3;109;16
"brianteeman";1;"14840";4;0;1;1;0;1;2;3;36;0;4;55;13
"joomdonation";1;"14836";4;0;1;1;6;0;2;4;63;0;4;67;17
"brianteeman";1;"14827";18;8;4;1;5;5;2;9;12;0;7;358;19.5
"brianteeman";1;"14823";4;0;1;2;2;2;0;3;93;0;4;70;18
"alikon";1;"14814";9;0;4;3;10;6;1;5;27;0;4;153;15
"ciar4n";1;"14813";7;2;2;5;72;2;3;9;37;0;6;154;21
"infograf768";1;"14801";4;0;1;1;11;7;1;8;129;0;3;95;23.5
"laoneo";1;"14800";5;5;4;3;31;11;1;9;118;0;4;76;20
"laoneo";1;"14798";1;0;1;3;3;3;0;4;59;NA;1;21;21
"laoneo";1;"14797";12;2;2;1;2;2;1;5;79;0;5;233;17.5
"laoneo";1;"14795";14;0;2;1;15;24;1;5;109;0;4;250;12
"Hackwar";1;"14792";1;0;1;1;1;1;0;8;4;NA;1;9;9
"infograf768";1;"14786";3;1;1;3;121;10;1;6;60;0;3;63;21
"csthomas";1;"14782";2;0;1;4;8;6;1;8;72;1;2;46;23
"C-Lodder";1;"14780";1;0;1;1;22;20;0;3;33;NA;1;21;21
"tonypartridge";1;"14779";0;0;1;2;2;2;0;10;8;NA;NA;NA;NA
"tonypartridge";1;"14778";0;0;1;1;1;1;0;11;2;NA;NA;NA;NA
"brianteeman";1;"14776";1;0;1;1;2;2;0;5;61;NA;1;18;18
"C-Lodder";1;"14773";0;0;3;5;85;95;0;5;38;NA;NA;NA;NA
"ciar4n";1;"14770";1;0;2;5;15;7;0;5;33;NA;1;21;21
"brianteeman";1;"14756";0;0;1;2;2;2;0;5;16;NA;NA;NA;NA
"C-Lodder";1;"14751";1;0;1;1;1;1;0;7;11;NA;1;21;21
"csthomas";1;"14750";5;0;2;16;488;716;0;8;145;0;4;252;25
"yvesh";1;"14748";16;5;21;16;196;54;1;10;63;0;4;685;44.5
"tonypartridge";1;"14747";7;0;4;2;12;1;5;9;189;0.5;3;103;12
"csthomas";1;"14746";1;0;1;3;9;3;0;5;21;NA;1;2;2
"C-Lodder";1;"14739";2;2;3;8;76;56;1;4;22;0;2;32;16
"ciar4n";1;"14732";0;0;1;1;1;1;0;4;39;NA;NA;NA;NA
"ciar4n";1;"14731";5;0;2;4;9;2;1;6;39;0;3;131;23
"ciar4n";1;"14730";3;0;1;1;2;2;0;3;40;0;2;49;21
"csthomas";1;"14729";3;2;8;13;190;268;0;6;76;0.5;3;13;3
"C-Lodder";1;"14727";0;0;3;3;15;15;0;8;43;NA;NA;NA;NA
"wilsonge";1;"14726";3;0;1;2;4;4;0;4;80;0;2;110;31
"tonypartridge";1;"14725";3;0;4;80;2;264;0;8;14;0;3;61;20
"tonypartridge";1;"14724";5;0;1;5;0;17;0;8;12;0;3;68;18
"tonypartridge";1;"14723";2;0;1;1;1;1;0;6;15;0;2;33;16.5
"dgt41";1;"14722";0;0;2;171;181;207;0;3;23;NA;NA;NA;NA
"dgt41";1;"14720";0;0;1;1;0;2;0;5;23;NA;NA;NA;NA
"dgt41";1;"14718";1;0;2;6;144;10;0;4;53;NA;1;1;1
"brianteeman";1;"14717";1;0;1;2;4;4;1;4;27;NA;1;21;21
"tonypartridge";1;"14716";1;0;1;1;1;1;0;3;5;NA;1;3;3
"yvesh";1;"14715";1;0;63;106;502;301;0;4;2;NA;1;10;10
"tonypartridge";1;"14714";0;0;1;1;1;1;0;13;15;NA;NA;NA;NA
"brianteeman";1;"14713";3;0;1;2;2;2;0;4;18;0;2;14;3
"brianteeman";1;"14712";3;0;1;1;4;4;0;8;49;1;2;36;11
"dgt41";1;"14710";4;3;2;29;39;285;0;7;127;0;3;241;56
"brianteeman";1;"14705";0;0;1;1;1;1;1;5;37;NA;NA;NA;NA
"marcochirienti";1;"14685";3;0;1;5;5;5;1;7;30;0.5;2;61;21
"infograf768";1;"14683";5;0;1;24;61;82;1;7;66;0;4;150;24
"laoneo";1;"14681";7;2;5;1;33;4;7;8;108;0;4;173;21
"laoneo";1;"14679";4;0;2;2;12;4;3;10;101;0;2;64;17.5
"brianteeman";1;"14678";3;0;3;1;6;2;3;6;16;1;3;48;21
"brianteeman";1;"14676";10;0;3;1;4;4;2;7;14;0;5;306;21.5
"brianteeman";1;"14675";5;0;1;1;1;1;3;2;66;0.5;4;83;21
"brianteeman";1;"14668";3;0;1;5;5;5;0;2;12;0;2;55;21
"brianteeman";1;"14666";3;0;1;1;5;2;3;6;31;1;2;56;21
