"Krinkle";1;"3584";1;0;1;1;1;1;0;7;33;NA;1;1;1
"mgol";1;"3557";4;15;1;3;99;9;6;4;147;0;2;43;10
"gibson042";1;"3496";4;1;5;2;36;20;4;2;85;1;4;50;9.5
"gibson042";1;"3489";5;0;1;1;34;33;4;10;5;0.5;3;104;10
"alexlouden";1;"3486";2;0;1;1;1;1;0;5;85;0;2;34;17
"mgol";1;"3478";4;0;1;2;11;29;0;8;140;0;3;68;17.5
"gibson042";1;"3470";6;0;3;2;22;1;17;7;2;0;4;172;25
"gibson042";1;"3463";2;4;5;2;22;1;20;8;26;3;2;49;24.5
"TechQuery";1;"3462";8;38;8;2;64;1;40;4;63;1;6;195;24.5
"gibson042";1;"3460";1;0;1;1;1;1;0;4;8;NA;1;25;25
"gibson042";1;"3456";1;5;3;1;10;10;3;5;2;NA;1;26;26
"gibson042";1;"3445";1;4;4;2;10;8;5;6;2;NA;1;26;26
"all3fox";1;"3437";2;0;1;1;2;2;33;8;150;0;2;35;17.5
"mgol";1;"3385";10;24;3;11;90;37;47;4;155;1;4;165;17
"jbedard";1;"3367";7;0;1;2;38;15;55;7;97;0;6;200;21
"timmywil";1;"3279";0;0;1;5;24;32;1;6;82;NA;NA;NA;NA
"mgol";1;"3245";6;0;1;1;4;3;0;7;120;0;4;103;13
"markelog";1;"3233";10;28;1;15;135;73;1;8;111;0;5;184;16
"mgol";1;"3225";3;20;2;2;36;14;3;7;150;1;3;35;10
"mgol";1;"3210";12;42;1;3;74;2;8;11;128;0;6;420;18
"markelog";1;"3188";1;1;1;3;7;3;2;4;139;NA;1;19;19
"mgol";1;"3150";5;0;1;2;31;1;1;7;138;0;3;74;18
"markelog";1;"3148";8;36;3;51;346;347;3;1;80;0;3;366;32
"mgol";1;"3134";6;12;3;2;37;7;5;8;153;0;3;67;9.5
"markelog";1;"3121";7;32;1;3;95;27;3;7;25;0;5;135;22
"mgol";1;"3078";14;7;2;2;9;2;2;8;159;0;4;348;19
"markelog";1;"3076";4;7;1;2;16;7;2;7;109;1;4;53;15.5
"mgol";1;"3014";5;33;3;34;104;121;12;8;34;0;2;60;13
"mgol";1;"2949";1;33;1;23;70;151;12;9;65;NA;1;53;53
"timmywil";1;"2707";10;33;1;2;46;18;2;9;37;0;4;361;37
"dmethvin";1;"2693";2;3;1;2;42;45;0;8;14;0;2;2;1
"timmywil";1;"2678";4;0;1;3;39;4;1;7;82;0;3;167;23
"timmywil";1;"2665";1;0;1;2;6;12;3;10;16;NA;1;28;28
"timmywil";1;"2663";0;3;1;2;7;7;3;8;50;NA;NA;NA;NA
"timmywil";1;"2659";3;4;1;1;27;0;17;8;16;7.5;3;94;16
"mgol";1;"2581";16;1;1;7;15;105;6;5;10;0;3;1115;61
"mgol";1;"2524";4;0;1;1;1;1;1;4;14;0;2;54;11.5
"mgol";1;"2504";6;0;2;46;369;94;41;4;113;0;4;294;35
"timmywil";1;"2451";1;19;1;2;39;0;0;4;2;NA;1;5;5
"mgol";1;"2397";4;31;1;10;28;9;1;9;14;0;3;115;24
"mgol";1;"2369";4;52;3;18;135;42;12;5;137;2;3;19;4.5
"mgol";1;"2366";5;2;2;2;84;76;12;8;45;0;3;66;8
"gnarf";1;"2340";3;0;3;11;6511;464;37;3;6;0;1;88;35
"gnarf";1;"2326";4;41;2;12;6505;465;40;5;13;14;3;34;4
"timmywil";1;"2272";2;9;1;3;32;2;2;11;2;0;2;16;8
"timmywil";1;"2185";31;8;1;2;27;1;12;9;40;0;7;813;15
"mgol";1;"2166";2;5;1;1;3;6;0;7;89;0;1;85;42.5
"mgol";1;"2159";2;0;1;2;3;3;1;3;18;0;2;20;10
"mgol";1;"2154";0;8;1;3;49;58;10;7;32;NA;NA;NA;NA
"mgol";1;"2063";3;0;1;2;20;21;2;6;4;0;2;65;14
"mgol";1;"2061";4;2;1;3;46;20;3;11;31;0;2;164;39
"mgol";1;"2028";4;0;1;1;4;4;4;13;12;0;4;111;25
"mgol";1;"2027";7;0;1;1;1;0;4;6;14;0;2;200;24
"mgol";1;"2026";0;4;1;1;13;10;4;10;2;NA;NA;NA;NA
"markelog";1;"1910";2;2;1;1;24;11;1;5;19;1;2;30;15
"mgol";1;"1901";6;0;1;2;10;7;4;13;69;0;4;53;8
"mgol";1;"1842";31;1;1;3;49;4;91;10;14;0;4;1257;33
"mgol";1;"1837";14;80;1;41;254;1075;34;9;21;0;3;230;9.5
"mgol";1;"1822";6;2;1;2;1;18;0;6;2;0;4;182;27
"timmywil";1;"1620";5;2;2;9;105;70;1;8;5;0;3;66;13
"tjvantoll";1;"1588";10;1;1;2;18;1;3;5;0;0;4;476;28.5
"mgol";1;"1572";4;0;1;2;23;2;2;9;28;1;3;26;4
"mgol";1;"1563";4;0;1;1;1;8;0;9;26;0;2;45;6.5
"mgol";1;"1554";7;0;1;1;5;2;0;10;8;0;2;187;24
"jzaefferer";1;"1553";4;0;1;1;3;0;13;7;46;6;3;48;13
"jzaefferer";1;"1539";2;0;1;1;4;5;0;7;0;0;2;32;16
"mgol";1;"1529";0;3;1;4;8;40;6;5;80;NA;NA;NA;NA
"markelog";1;"1486";2;5;1;2;10;2;1;6;10;1;1;10;5
"mgol";1;"1436";6;4;1;2;11;9;33;5;20;1;2;255;39.5
"mgol";1;"1356";0;2;1;2;51;54;4;6;53;NA;NA;NA;NA
"mgol";1;"1354";1;3;1;3;52;40;5;6;53;NA;1;19;19
"mgol";1;"1353";0;0;1;35;992;590;0;13;18;NA;NA;NA;NA
"mgol";1;"1342";30;12;2;36;408;435;10;21;25;0;7;1730;36.5
"markelog";1;"1313";1;0;3;2;11;20;2;8;19;NA;1;1;1
"ctalkington";1;"1266";4;0;0;0;0;0;1;1;7;0;3;248;64.5
"gibson042";1;"1144";0;0;1;5;9;6;0;16;4;NA;NA;NA;NA
"markelog";1;"1128";0;0;2;1;13;10;1;10;7;NA;NA;NA;NA
"nanto";1;"1114";6;0;2;2;30;17;2;10;30;0;3;76;11.5
"dmethvin";1;"1105";0;0;5;1;20;190;4;3;11;NA;NA;NA;NA
"rwaldron";1;"1098";1;19;16;1;32;160;10;3;19;NA;1;1;1
"markelog";1;"1094";5;10;51;2;213;345;11;4;21;0.5;3;47;5
"mikesherov";1;"1092";5;4;1;2;86;99;0;9;0;0;2;199;29
"dmethvin";1;"1091";2;4;1;1;35;128;12;3;19;0;2;18;9
"markelog";1;"1090";4;4;2;2;80;71;13;4;49;0;3;84;18.5
"gibson042";1;"1046";13;0;1;12;112;111;0;5;18;0;7;660;41
"jaubourg";1;"1045";7;2;3;4;1501;2314;1;7;73;0;4;115;10
"jaubourg";1;"998";1;2;2;3;4;0;1;6;104;NA;1;17;17
"sindresorhus";1;"769";1;0;0;0;0;0;0;5;22;NA;1;13;13
"Krinkle";1;"768";0;0;1;1;1;1;0;7;2;NA;NA;NA;NA
"mikesherov";1;"763";0;8;2;6;51;101;1;12;81;NA;NA;NA;NA
"markelog";1;"762";1;0;1;1;5;6;0;4;27;NA;1;72;72
"gibson042";1;"754";0;3;1;1;11;8;2;2;18;NA;NA;NA;NA
"gibson042";1;"749";5;6;3;1;54;51;0;6;104;0;3;132;24
"rwaldron";1;"738";0;0;2;1;16;16;0;3;14;NA;NA;NA;NA
"datag";1;"730";0;0;1;1;1;1;3;6;0;NA;NA;NA;NA
"rwaldron";1;"679";0;0;1;2;6;6;4;6;0;NA;NA;NA;NA
"presbrey";1;"663";0;0;0;0;0;0;9;4;0;NA;NA;NA;NA
"rwaldron";1;"633";0;0;1;1;1;0;1;13;0;NA;NA;NA;NA
"dcherman";1;"585";0;0;1;1;1;1;1;8;27;NA;NA;NA;NA
"JustinDrake";1;"583";0;0;0;0;0;0;0;4;18;NA;NA;NA;NA
"rwaldron";1;"579";1;0;1;2;49;1;2;8;7;NA;1;5;5
"rwaldron";1;"565";0;0;13;12;50;50;0;4;0;NA;NA;NA;NA
"rwaldron";1;"564";0;0;1;2;13;13;0;5;0;NA;NA;NA;NA
"rwaldron";1;"563";0;0;1;1;6;6;0;3;0;NA;NA;NA;NA
"gnarf";1;"535";1;0;1;2;23;4;0;8;1;NA;1;4;4
"rwaldron";1;"531";0;0;2;1;36;26;1;2;0;NA;NA;NA;NA
"shichuan";1;"529";0;0;0;0;0;0;0;10;10;NA;NA;NA;NA
"rwaldron";1;"522";0;0;1;1;1;1;7;6;0;NA;NA;NA;NA
"rwaldron";1;"519";0;0;22;2;129;69;0;4;7;NA;NA;NA;NA
"dmethvin";1;"489";0;0;1;2;8;3;0;9;21;NA;NA;NA;NA
"dmethvin";1;"474";1;0;1;2;20;2;2;11;38;NA;1;10;10
"dmethvin";1;"473";11;0;3;1;6;3;2;7;43;0;5;286;21
"rwaldron";1;"468";4;0;2;2;15;1;8;7;7;0;2;85;12.5
"anton-ryzhov";1;"465";7;5;2;2;13;0;8;12;140;0;3;162;8
"dmethvin";1;"464";0;1;3;2;15;10;9;8;24;NA;NA;NA;NA
"rwaldron";1;"456";0;0;2;2;7;4;0;10;1;NA;NA;NA;NA
"rwaldron";1;"455";0;0;2;2;42;2;0;8;1;NA;NA;NA;NA
"rwaldron";1;"454";1;0;1;3;23;24;0;8;30;NA;1;4;4
"scottjehl";1;"451";1;0;1;1;3;2;2;10;72;NA;1;24;24
"rwaldron";1;"449";0;0;1;1;0;19;9;6;0;NA;NA;NA;NA
"rwaldron";1;"448";0;0;1;1;8;8;9;7;8;NA;NA;NA;NA
"rwaldron";1;"447";0;0;1;1;2;5;9;8;0;NA;NA;NA;NA
"rwaldron";1;"445";0;0;1;2;17;5;31;10;13;NA;NA;NA;NA
"rwaldron";1;"444";0;0;1;1;1;1;10;12;25;NA;NA;NA;NA
"rwaldron";1;"443";10;0;3;1;16;3;12;7;5;0;4;214;18
"Bubbi";1;"434";2;0;1;1;4;3;20;13;30;19;2;27;13.5
"rwaldron";1;"432";0;0;2;2;47;5;24;9;26;NA;NA;NA;NA
"DenisKnauf";1;"431";0;0;1;1;1;1;28;7;16;NA;NA;NA;NA
"rwaldron";1;"419";2;0;2;2;11;1;44;10;11;0;2;62;31
"rwaldron";1;"417";4;0;2;2;5;3;45;9;3;0;3;60;15
"gnarf";1;"416";6;3;3;4;39;6;45;15;19;0;4;239;43
"rwaldron";1;"412";0;0;1;3;18;2;50;10;15;NA;NA;NA;NA
"mikesherov";1;"385";0;0;0;0;0;0;0;4;84;NA;NA;NA;NA
"gnarf";1;"367";5;0;1;2;14;7;94;10;24;10.5;3;205;23
