"laudrup";1;"1132";3;0;0;0;0;0;3;7;91;1;2;252;112
"dorothychen";1;"1111";0;0;1;16;178;68;0;9;0;NA;NA;NA;NA
"zakhark";1;"1092";0;0;1;1;2;2;0;7;13;NA;NA;NA;NA
"zakhark";1;"1091";0;0;1;1;2;2;0;7;13;NA;NA;NA;NA
"zakhark";1;"1090";0;0;1;1;2;2;0;7;12;NA;NA;NA;NA
"dgottlieb";1;"1074";0;0;1;1;1;1;2;6;1;NA;NA;NA;NA
"ksuarz";1;"1032";0;0;1;1;772;0;1;4;4;NA;NA;NA;NA
"dhatch";1;"1000";0;0;1;3;0;80;8;3;3;NA;NA;NA;NA
"shelman";1;"878";0;0;0;0;0;0;0;7;0;NA;NA;NA;NA
"visemet";1;"818";0;0;1;21;2667;2;0;8;1;NA;NA;NA;NA
"aksaharan";1;"802";1;0;1;2;6;6;0;5;0;NA;1;1;1
"alexkleiman";1;"727";0;0;1;1;26;8;0;8;6;NA;NA;NA;NA
"spencerjackson";1;"719";0;0;1;4;51;10;0;7;5;NA;NA;NA;NA
"spencerjackson";1;"713";0;0;1;4;51;10;0;7;0;NA;NA;NA;NA
"hawka";1;"542";0;0;0;0;0;0;0;5;0;NA;NA;NA;NA
"dstorch";1;"527";1;0;1;2;14;20;0;8;6;NA;1;1;1
"jameswahlin";1;"519";0;0;1;1;20;0;0;6;0;NA;NA;NA;NA
"dstorch";1;"509";0;0;1;1;61;0;0;14;8;NA;NA;NA;NA
"johanhedin";1;"418";0;0;1;2;2;2;0;2;20;NA;NA;NA;NA
"TylerBrock";1;"395";0;0;1;1;1;1;0;9;4;NA;NA;NA;NA
"TylerBrock";1;"394";0;0;1;1;2;0;0;6;4;NA;NA;NA;NA
"jameswahlin";1;"375";0;0;1;1;4;1;0;5;29;NA;NA;NA;NA
"craiggwilson";1;"374";0;0;1;4;463;23;0;9;11;NA;NA;NA;NA
"asya999";1;"369";0;0;1;1;1;1;0;3;9;NA;NA;NA;NA
"rozza";1;"362";0;0;1;1;53;2;0;11;0;NA;NA;NA;NA
"idbentley";1;"358";0;0;3;8;931;6;0;4;3;NA;NA;NA;NA
"utaal";1;"330";0;0;1;1;2;2;0;9;0;NA;NA;NA;NA
"utaal";1;"329";0;0;2;9;1919;5;0;4;4;NA;NA;NA;NA
"daveh86";1;"328";0;0;1;1;3;2;0;1;10;NA;NA;NA;NA
"utaal";1;"327";0;0;1;1;2;2;0;12;0;NA;NA;NA;NA
"utaal";1;"326";0;0;1;2;8;17;0;10;5;NA;NA;NA;NA
"utaal";1;"325";0;0;2;6;601;0;1;4;4;NA;NA;NA;NA
"utaal";1;"324";0;0;1;8;132;30;1;8;9;NA;NA;NA;NA
"tychoish";1;"318";0;0;1;1;1;1;6;9;0;NA;NA;NA;NA
