"superbort";1;"8454";1;0;1;1;10;8;0;8;39;NA;1;5;5
"jexner";1;"8448";2;0;2;2;64;1;1;5;14;0;2;35;17.5
"terfendail";1;"8446";1;0;1;1;1;1;0;10;33;NA;1;1;1
"alalek";1;"8443";1;0;1;3;6;0;0;6;0;NA;1;1;1
"egorpugin";1;"8439";1;0;1;1;1;1;0;7;58;NA;1;3;3
"matrush";1;"8437";1;0;2;1;3;3;0;4;9;NA;1;1;1
"csukuangfj";1;"8433";1;0;1;1;1;1;1;3;42;NA;1;3;3
"sovrasov";1;"8430";1;0;1;4;33;14;1;8;0;NA;1;1;1
"khnaba";1;"8424";4;0;1;3;45;18;1;6;48;0;2;41;10.5
"terfendail";1;"8423";1;2;1;4;27;1;2;8;13;NA;1;1;1
"berak";1;"8422";1;0;1;2;17;10;1;9;13;NA;1;1;1
"berak";1;"8416";1;0;1;1;0;10;2;4;12;NA;1;1;1
"khnaba";1;"8406";3;0;1;5;180;81;4;8;198;0.5;2;34;14
"khnaba";1;"8404";1;2;1;2;25;5;4;7;40;NA;1;1;1
"avartenkov";1;"8401";1;1;1;2;60;53;5;5;25;NA;1;1;1
"alalek";1;"8393";1;0;1;1;3;0;6;7;0;NA;1;1;1
"ottogin";1;"8388";1;0;1;1;1;1;0;4;24;NA;1;31;31
"csukuangfj";1;"8383";1;2;2;1;7;1;1;2;40;NA;1;1;1
"csukuangfj";1;"8380";1;0;1;1;3;3;0;6;40;NA;1;1;1
"hailong-wang";1;"8379";1;0;1;1;2;2;0;6;13;NA;1;1;1
"kudeh";1;"8378";1;0;1;1;1;1;0;5;75;NA;1;1;1
"mshabunin";1;"8376";1;0;1;9;7;17;2;3;20;NA;1;1;1
"Sahloul";1;"8375";1;2;1;1;2;1;1;10;20;NA;1;1;1
"justayak";1;"8373";3;5;4;3;103;4;10;5;77;1.5;2;96;25
"csukuangfj";1;"8371";1;0;1;1;2;2;1;2;40;NA;1;1;1
"csukuangfj";1;"8370";1;0;1;1;23;0;1;5;40;NA;1;1;1
"csukuangfj";1;"8368";1;0;1;1;2;2;0;7;51;NA;1;1;1
"khnaba";1;"8367";1;2;3;4;131;1;2;5;28;NA;1;1;1
