"maclover7";1;"28516";1;0;1;10;10;10;0;6;7;NA;1;37;37
"claudiob";1;"28510";1;0;1;1;0;5;0;3;29;NA;1;37;37
"claudiob";1;"28509";1;0;1;1;5;0;0;4;26;NA;1;37;37
"claudiob";1;"28501";1;0;1;1;0;8;0;7;63;NA;1;37;37
"Erol";1;"28498";3;0;1;1;1;1;0;7;9;0;3;29;11
"jhawthorn";1;"28497";3;0;1;2;10;2;1;6;43;0.5;2;147;5
"jmgarnier";1;"28493";2;0;1;1;4;2;0;10;28;0;1;177;88.5
"kamipo";1;"28487";0;0;1;2;5;11;0;4;0;NA;NA;NA;NA
"y-yagi";1;"28486";1;2;1;5;51;1;0;5;30;NA;1;13;13
"y-yagi";1;"28482";2;0;1;1;1;1;0;9;12;0;2;14;7
"y-yagi";1;"28481";2;0;1;1;3;3;1;7;35;1;2;14;7
"kamipo";1;"28479";3;0;2;3;4;4;1;7;4;0.5;2;26;7
"spdawson";1;"28477";3;0;1;1;1;1;0;7;20;0;2;174;23
"spdawson";1;"28476";3;0;1;1;15;13;0;8;0;0;2;174;23
"y-yagi";1;"28475";3;0;1;3;16;4;0;8;22;0;3;40;13
"kamipo";1;"28474";2;0;1;3;12;2;2;9;15;0;2;6;3
"kamipo";1;"28473";0;0;2;4;20;20;2;4;31;NA;NA;NA;NA
"matthewd";1;"28469";0;0;1;7;60;59;1;7;93;NA;NA;NA;NA
"baerjam";1;"28467";2;0;1;1;15;1;2;7;25;2;2;151;75.5
"kmcphillips";1;"28465";3;0;3;8;230;40;0;5;98;0;2;54;13
"pixeltrix";1;"28462";0;0;1;4;48;32;0;7;72;NA;NA;NA;NA
"vipulnsward";1;"28460";0;0;1;2;5;5;0;3;0;NA;NA;NA;NA
"georgeclaghorn";1;"28453";4;1;1;5;50;1;1;5;88;0;3;85;24
"adamgamble";1;"28450";2;1;1;1;1;1;5;10;56;4;1;17;8.5
"kmcphillips";1;"28448";3;0;2;7;229;35;1;5;43;0.5;2;53;13
"y-yagi";1;"28446";2;0;1;1;7;7;3;9;0;3;2;24;12
"denniszelada";1;"28445";2;3;1;1;11;0;1;11;21;0;2;146;73
"budnik";1;"28444";1;2;1;1;3;4;1;5;55;NA;1;140;140
"dhh";1;"28427";0;0;2;3;7;19;0;5;5;NA;NA;NA;NA
"mtsmfm";1;"28426";1;0;1;1;34;36;0;4;133;NA;1;13;13
"pixeltrix";1;"28425";0;0;3;5;214;38;0;6;89;NA;NA;NA;NA
"eugeneius";1;"28423";2;0;1;2;0;2;0;4;14;0;2;14;7
"y-yagi";1;"28422";1;0;1;1;7;7;0;8;21;NA;1;13;13
"tangposmarvin";1;"28421";4;0;1;1;1;1;2;6;26;1;3;171;13
"claudiob";1;"28420";1;0;1;1;4;0;0;7;6;NA;1;33;33
"benoittgt";1;"28412";2;2;1;1;5;0;1;8;30;1;2;149;74.5
"fphilipe";1;"28410";1;0;1;1;0;3;0;6;30;NA;1;1;1
"y-yagi";1;"28409";1;0;1;2;57;2;1;6;20;NA;1;13;13
"claudiob";1;"28407";1;0;1;1;17;0;0;6;9;NA;1;1;1
"chukitow";1;"28406";4;0;2;1;1;1;6;10;28;0;4;55;6.5
"olimart";1;"28404";2;0;1;1;1;1;0;4;3;0;2;151;75.5
"mikecmpbll";1;"28399";5;0;1;2;22;12;1;6;80;0;4;172;9
"vipulnsward";1;"28392";0;0;1;1;1;1;0;7;0;NA;NA;NA;NA
"bogdanvlviv";1;"28390";1;0;1;1;2;2;0;6;2;NA;1;13;13
"vipulnsward";1;"28389";0;0;1;1;1;1;0;5;0;NA;NA;NA;NA
"javan";1;"28385";4;0;1;3;38;1;2;7;61;0;2;223;35
"shime";1;"28381";8;10;1;21;55;55;2;4;0;0;4;66;7
"shime";1;"28380";2;0;1;1;3;4;0;4;0;0;2;16;8
"y-yagi";1;"28378";1;0;1;1;4;8;0;6;0;NA;1;13;13
"baerjam";1;"28375";1;0;1;1;1;1;0;7;13;NA;1;140;140
"godfat";1;"28373";4;0;1;2;15;4;0;8;91;0;3;169;13
"kamipo";1;"28372";1;0;1;3;2;6;2;5;0;NA;1;3;3
"kamipo";1;"28371";1;0;1;1;4;7;2;5;17;NA;1;3;3
"kamipo";1;"28370";0;0;1;1;1;1;0;5;4;NA;NA;NA;NA
"mylake";1;"28369";5;0;1;1;2;2;4;9;434;2;4;343;36
"y-yagi";1;"28368";0;3;1;1;13;0;5;4;39;NA;NA;NA;NA
"jasl";1;"28356";2;3;1;1;1;9;5;4;19;0;2;165;82.5
"Edouard-chin";1;"28355";4;0;1;3;48;0;1;4;44;0;3;98;21
"kamipo";1;"28354";0;0;1;3;14;2;0;12;23;NA;NA;NA;NA
"alpaca-tc";1;"28352";2;0;1;3;17;1;4;2;15;4;2;156;78
"kamipo";1;"28351";0;0;1;3;13;0;1;2;15;NA;NA;NA;NA
"mtsmfm";1;"28341";7;0;1;3;6;4;9;4;81;0;3;407;70
"k3rni";1;"28340";3;0;1;1;3;0;1;7;83;0.5;2;174;23
"y-yagi";1;"28338";1;0;1;1;1;1;0;6;17;NA;1;13;13
"tjschuck";1;"28336";3;0;1;1;63;0;0;7;22;0;2;21;6
"tjschuck";1;"28335";3;0;1;1;71;0;0;7;7;0;2;55;13
"tjschuck";1;"28334";3;0;1;1;71;0;0;6;119;0;2;80;29
"y-yagi";1;"28326";0;0;1;1;2;2;0;9;6;NA;NA;NA;NA
"schneems";1;"28321";0;0;1;2;40;8;3;5;189;NA;NA;NA;NA
"y-yagi";1;"28320";1;0;1;1;2;2;0;7;0;NA;1;11;11
"bogdanvlviv";1;"28318";1;0;1;5;4;49;11;5;2;NA;1;3;3
"kamipo";1;"28305";0;0;1;3;8;4;0;2;11;NA;NA;NA;NA
"y-yagi";1;"28301";4;0;1;1;1;1;1;7;35;0;3;36;9
"kamipo";1;"28296";2;0;1;1;2;2;0;7;127;0;2;29;14.5
"kamipo";1;"28295";0;1;1;3;17;1;1;5;2;NA;NA;NA;NA
"kamipo";1;"28293";1;0;1;3;8;12;0;3;4;NA;1;21;21
"maicher";1;"28289";3;6;1;1;18;2;3;6;17;1.5;2;132;32
"tejasbubane";1;"28288";1;0;1;1;1;1;0;8;19;NA;1;4;4
"kamipo";1;"28287";2;0;1;3;25;5;0;5;26;0;2;60;30
"robin850";1;"28286";5;4;1;6;73;10;1;6;55;0;3;161;19
"y-yagi";1;"28284";1;0;1;1;9;7;0;6;24;NA;1;4;4
"y-yagi";1;"28283";6;0;1;1;1;1;0;7;96;0;3;108;14.5
"kamipo";1;"28282";2;0;1;2;10;7;0;8;68;0;1;8;4
"vipulnsward";1;"28280";0;0;1;1;5;5;0;6;0;NA;NA;NA;NA
"tenderlove";1;"28276";0;0;5;3;78;46;1;7;57;NA;NA;NA;NA
"pixeltrix";1;"28272";1;3;4;8;398;0;0;7;121;NA;1;9;9
"dijonkitchen";1;"28271";1;0;1;1;1;1;0;4;2;NA;1;4;4
"tenderlove";1;"28267";0;0;1;2;3;3;0;5;15;NA;NA;NA;NA
"0oneo";1;"28265";5;0;1;1;1;1;1;6;118;0;3;88;21
"y-yagi";1;"28264";5;0;1;2;30;1;2;10;34;1;3;57;11
"Erol";1;"28260";2;0;1;1;1;1;0;8;10;0;2;5;2.5
"ChakreshwarSharma";1;"28259";1;6;1;1;3;0;2;6;51;NA;1;4;4
"yahonda";1;"28257";3;0;1;2;6;5;4;9;92;0;2;105;40
"acrich";1;"28255";3;0;0;0;0;0;1;7;103;0;2;30;6
"tzabaman";1;"28250";11;2;1;2;15;0;4;5;12;0;2;731;17
"y-yagi";1;"28245";4;0;1;1;1;1;1;5;31;0;3;75;7.5
"pixeltrix";1;"28242";0;0;1;4;46;17;1;7;31;NA;NA;NA;NA
"y-yagi";1;"28239";3;0;1;1;1;1;0;6;16;0;3;8;3
"lzap";1;"28237";1;0;1;1;1;1;0;5;31;NA;1;2;2
"y-yagi";1;"28230";0;0;1;1;1;1;0;6;2;NA;NA;NA;NA
"tarebyte";1;"28226";1;0;1;1;2;0;0;6;96;NA;1;1;1
"mtsmfm";1;"28223";10;2;1;2;29;1;3;8;97;0;3;358;40.5
"kenta-s";1;"28222";0;0;1;2;2;2;0;6;4;NA;NA;NA;NA
"kamipo";1;"28220";2;0;1;5;10;42;1;6;77;1;2;68;34
"kamipo";1;"28217";0;2;1;2;17;8;0;6;30;NA;NA;NA;NA
"y-yagi";1;"28215";0;0;1;1;1;1;0;6;35;NA;NA;NA;NA
"kamipo";1;"28214";0;0;1;1;1;1;1;7;5;NA;NA;NA;NA
"y-yagi";1;"28212";0;0;1;1;1;1;0;6;5;NA;NA;NA;NA
"cefigueiredo";1;"28210";0;3;2;1;35;7;1;9;95;NA;NA;NA;NA
"yahonda";1;"28208";5;0;1;1;1;1;1;11;384;0;2;116;15
"pixeltrix";1;"28204";0;8;1;6;149;8;4;5;235;NA;NA;NA;NA
"baerjam";1;"28202";1;1;1;1;4;0;1;8;50;NA;1;5;5
"kirs";1;"28199";0;0;1;1;4;1;0;3;103;NA;NA;NA;NA
"y-yagi";1;"28196";2;3;1;2;25;3;0;6;33;0;2;6;3
"eugeneius";1;"28191";2;0;1;2;30;2;19;9;87;0;2;41;20.5
"annejohnson";1;"28190";1;0;1;1;8;2;0;12;36;NA;1;11;11
"kamipo";1;"28188";1;2;1;4;8;8;0;4;8;NA;1;12;12
"kamipo";1;"28187";0;2;1;1;3;0;0;6;59;NA;NA;NA;NA
"kirs";1;"28186";2;2;1;1;4;1;0;2;32;0;2;55;27.5
"renchap";1;"28185";3;6;1;1;34;5;15;9;123;2;2;26;9
"eugeneius";1;"28183";3;0;1;2;3;1;0;8;81;0;2;67;14
"y-yagi";1;"28182";3;4;1;8;47;18;11;5;99;5.5;3;19;5
"y-yagi";1;"28180";1;0;1;1;0;1;0;3;4;NA;1;3;3
"kamipo";1;"28179";2;0;1;1;0;1;0;5;15;0;1;28;14
"kami-zh";1;"28177";1;0;1;1;100;102;0;6;22;NA;1;3;3
"kamipo";1;"28176";1;0;1;4;3;11;0;6;13;NA;1;2;2
"sevenseacat";1;"28175";1;0;1;1;1;1;0;7;0;NA;1;2;2
"vipulnsward";1;"28173";0;0;1;1;3;3;0;3;0;NA;NA;NA;NA
"kamipo";1;"28172";4;0;1;13;306;338;0;5;30;0;2;200;28
"kirs";1;"28169";0;0;1;2;2;1;0;9;45;NA;NA;NA;NA
"kirs";1;"28167";1;0;1;2;15;0;1;4;30;NA;1;18;18
"dixpac";1;"28162";1;0;1;1;8;0;0;6;14;NA;1;11;11
"y-yagi";1;"28160";1;2;1;1;2;2;2;7;39;NA;1;8;8
"dylanahsmith";1;"28158";0;0;1;4;16;2;1;7;267;NA;NA;NA;NA
"robin850";1;"28157";0;2;2;5;58;3;1;4;88;NA;NA;NA;NA
"aripollak";1;"28154";5;0;2;3;43;3;21;6;2;0;3;207;26
"y-yagi";1;"28150";0;0;1;2;10;0;0;8;243;NA;NA;NA;NA
"kmcphillips";1;"28147";14;5;1;6;206;22;20;15;224;0;2;1579;41
"treiff";1;"28145";0;2;1;1;12;1;0;6;7;NA;NA;NA;NA
"lucasmazza";1;"28144";3;11;1;4;35;27;0;6;31;0;2;105;46
"chancancode";1;"28142";3;0;2;5;35;5;0;5;6;0;3;47;8
"y-yagi";1;"28141";1;0;2;3;49;2;0;8;534;NA;1;2;2
"stouset";1;"28139";17;44;1;2;16;17;7;6;28;0;6;842;41
"rwz";1;"28138";2;0;1;2;11;1;1;8;65;0;2;6;3
"schneems";1;"28137";4;2;1;2;52;11;2;6;163;0;3;43;10
"chancancode";1;"28131";0;0;1;1;1;1;0;3;20;NA;NA;NA;NA
"kaspth";1;"28128";0;0;4;18;485;39;0;5;2;NA;NA;NA;NA
"dhh";1;"28127";0;0;1;17;27;482;0;4;12;NA;NA;NA;NA
"y-yagi";1;"28125";0;0;1;2;16;2;0;7;17;NA;NA;NA;NA
"vfonic";1;"28120";2;1;1;1;1;0;5;10;50;4;1;31;15.5
"matthewd";1;"28114";0;0;1;2;9;1;0;5;17;NA;NA;NA;NA
"bolek";1;"28112";0;0;1;2;8;8;1;7;49;NA;NA;NA;NA
"y-yagi";1;"28105";0;0;1;2;8;7;1;6;38;NA;NA;NA;NA
"HashNotAdam";1;"28104";1;0;1;2;3;1;0;7;36;NA;1;3;3
"y-yagi";1;"28103";1;0;1;1;1;1;0;9;0;NA;1;11;11
"fernandes";1;"28100";3;0;0;0;0;0;0;7;38;0;2;83;23
"rafaelfranca";1;"28098";2;14;2;13;407;70;1;6;33;20;2;11;5.5
"prathamesh-sonpatki";1;"28096";5;8;3;1;267;0;24;10;0;0.5;3;60;11
"matthewd";1;"28095";6;0;1;2;69;0;0;9;94;0;4;653;75
"dhh";1;"28093";0;0;1;7;13;13;0;14;62;NA;NA;NA;NA
"sikachu";1;"28092";0;0;1;2;8;1;0;6;80;NA;NA;NA;NA
"kenta-s";1;"28089";2;3;1;2;4;4;0;7;0;0;2;23;11.5
"y-yagi";1;"28088";1;0;1;1;1;1;0;10;24;NA;1;13;13
"rubys";1;"28087";4;0;1;1;1;1;0;5;44;0;3;110;25
"eileencodes";1;"28083";4;0;1;8;80;32;0;7;163;0;2;236;50
"meinac";1;"28081";2;0;1;2;3;3;1;7;2;0;2;27;13.5
"ck3g";1;"28079";3;2;1;5;9;9;0;10;12;0;2;181;37
"bogdanvlviv";1;"28073";1;0;2;4;8;9;1;4;68;NA;1;13;13
"kamipo";1;"28070";0;0;1;1;2;2;1;4;9;NA;NA;NA;NA
"st0012";1;"28069";7;0;1;2;2;2;0;6;52;0;2;145;10
"kamipo";1;"28068";2;0;2;8;156;205;22;7;0;0;2;29;14.5
"Erol";1;"28063";6;0;1;2;41;1;10;13;77;0;5;219;23.5
"y-yagi";1;"28062";1;2;1;2;16;1;6;12;78;NA;1;13;13
"andrewhood125";1;"28061";5;0;1;3;19;4;9;5;14;0;3;210;22
"y-yagi";1;"28059";1;0;1;2;2;1;2;8;0;NA;1;13;13
"y-yagi";1;"28058";2;0;1;2;1;23;0;12;4;0;2;24;12
"sngeth";1;"28056";8;1;1;2;18;1;32;5;17;0;5;209;10
"robertomiranda";1;"28055";7;0;1;2;2;2;4;3;40;0;6;97;12
"kamipo";1;"28053";1;0;1;1;5;5;0;6;18;NA;1;3;3
"notapatch";1;"28049";5;0;1;1;1;1;0;7;28;0;3;201;17
"Erol";1;"28047";3;0;1;1;1;1;0;5;10;0;3;18;4
"kamipo";1;"28042";0;0;1;2;8;4;5;7;0;NA;NA;NA;NA
"kenta-s";1;"28040";2;1;1;1;5;4;1;6;10;1;2;24;12
"kaspth";1;"28038";28;31;41;17;482;27;7;3;104;0;8;1477;38.5
"Sen-Zhang";1;"28026";4;0;1;11;11;11;0;6;125;0;3;184;17
"spk";1;"28022";11;1;1;1;5;4;8;4;51;0;4;483;31
"frewsxcv";1;"28018";2;0;1;1;1;1;0;8;35;0;2;141;70.5
"mtsmfm";1;"28017";4;0;1;3;6;0;26;7;103;1;3;61;14.5
"kenta-s";1;"28016";2;0;1;1;3;3;0;8;11;0;2;24;12
"iguchi1124";1;"28013";4;0;2;2;8;2;4;5;12;2;3;173;15
"fareastside";1;"28006";7;3;1;3;21;2;11;6;73;1;4;376;43
"kamipo";1;"28000";1;0;1;1;0;2;0;5;0;NA;1;15;15
"yahonda";1;"27999";1;0;1;1;14;11;0;8;347;NA;1;13;13
"kamipo";1;"27997";0;0;1;1;1;0;0;7;7;NA;NA;NA;NA
"ream88";1;"27996";3;0;1;1;1;1;0;5;4;0;3;172;22
"koic";1;"27993";2;0;1;1;2;2;1;8;170;1;2;145;72.5
"kenta-s";1;"27991";1;0;1;1;1;1;0;9;20;NA;1;13;13
"kamipo";1;"27986";0;4;1;4;13;1;0;15;0;NA;NA;NA;NA
"kenta-s";1;"27984";2;1;1;1;2;2;0;2;0;0;2;25;12.5
"Edouard-chin";1;"27982";1;0;2;2;0;2;0;5;17;NA;1;13;13
"kamipo";1;"27981";6;1;1;5;17;17;1;7;0;0;3;267;35.5
"kamipo";1;"27974";1;0;1;12;4;11;0;9;2;NA;1;1;1
"kenta-s";1;"27973";2;0;1;1;1;1;0;4;34;0;2;16;8
"eugeneius";1;"27972";3;0;2;3;27;9;1;11;38;0;2;52;13
"kamipo";1;"27962";1;7;3;7;111;60;13;8;19;NA;1;43;43
"jordanlewis";1;"27961";9;3;1;3;10;24;4;7;437;0;4;1355;56
"y-yagi";1;"27959";2;0;1;2;8;13;0;3;29;0;2;14;7
"kamipo";1;"27957";9;0;2;2;18;10;0;2;5;0;3;615;25
"maclover7";1;"27954";1;0;1;1;10;0;0;13;8;NA;1;7;7
"dijonkitchen";1;"27952";1;0;1;1;1;1;0;2;0;NA;1;140;140
"st0012";1;"27950";4;2;1;1;5;0;1;9;0;0;3;21;3
"betesh";1;"27945";7;0;1;3;16;1;0;7;121;0;4;173;7
"y-yagi";1;"27941";4;7;1;5;34;10;12;7;19;1;3;155;37
"y-yagi";1;"27940";0;0;2;7;7;23;0;5;28;NA;NA;NA;NA
"kamipo";1;"27939";1;0;1;2;14;1;41;5;2;NA;1;13;13
"y-yagi";1;"27938";1;0;1;1;1;1;0;6;0;NA;1;11;11
"namusyaka";1;"27935";4;0;1;5;18;1;1;11;44;0;2;23;5.5
"kamipo";1;"27933";1;0;1;2;3;3;0;6;10;NA;1;1;1
"kamipo";1;"27929";1;0;1;1;0;42;1;4;36;NA;1;10;10
"y-yagi";1;"27928";3;0;1;4;5;6;0;4;33;0;3;34;13
"st0012";1;"27926";3;6;1;3;3;3;7;6;58;0.5;3;206;39
"robin850";1;"27925";12;2;1;4;49;4;14;5;85;0;4;511;28.5
"kenta-s";1;"27924";6;2;1;3;12;0;0;4;24;0;4;60;11
"martijn";1;"27922";2;0;0;0;0;0;1;7;43;6;2;5;2.5
"bf4";1;"27919";4;24;1;21;29;29;0;2;11;0;3;147;11.5
"koic";1;"27915";1;0;1;1;1;1;1;10;236;NA;1;5;5
"kenta-s";1;"27904";6;1;1;2;3;1;6;6;2;0;5;61;12.5
"kirs";1;"27902";4;2;1;4;10;10;2;6;14;1;4;35;10.5
"y-yagi";1;"27900";2;0;1;3;25;1;1;5;25;1;2;14;7
"jaredbeck";1;"27898";3;0;1;1;9;7;1;3;41;0.5;3;17;2
"meagar";1;"27896";4;0;1;1;1;1;0;8;56;0;3;213;34
"y-yagi";1;"27891";2;0;1;2;6;0;0;5;36;0;2;17;8.5
"kamipo";1;"27885";1;0;1;1;1;1;0;6;2;NA;1;3;3
"kamipo";1;"27884";0;0;1;7;18;6;5;2;27;NA;NA;NA;NA
"koic";1;"27881";5;0;1;1;14;6;1;8;70;1;3;280;26
"y-yagi";1;"27880";1;0;1;1;1;1;0;10;10;NA;1;13;13
"kenta-s";1;"27870";7;0;1;2;3;2;10;5;77;1;3;138;16
"y-yagi";1;"27869";0;0;1;1;1;0;0;5;11;NA;NA;NA;NA
"y-yagi";1;"27867";2;0;1;1;1;0;1;5;66;1;2;14;7
"y-yagi";1;"27866";1;0;1;1;1;1;0;3;15;NA;1;13;13
"composerinteralia";1;"27865";6;5;1;3;17;2;3;3;40;0;4;225;18
"robin850";1;"27863";6;37;2;5;51;16;20;7;100;2;2;189;19.5
"yahonda";1;"27859";2;0;2;2;25;11;0;7;310;0;2;14;7
"mtsmfm";1;"27858";1;0;1;3;12;1;0;5;22;NA;1;13;13
"kenta-s";1;"27857";1;0;1;1;6;1;0;4;7;NA;1;13;13
"kenta-s";1;"27856";2;0;1;1;1;1;0;8;0;0;2;14;7
"kevinzwhuang";1;"27855";2;0;1;1;2;2;0;6;50;3;2;145;72.5
"y-yagi";1;"27853";1;0;1;1;1;1;0;8;0;NA;1;13;13
"tenderlove";1;"27851";1;1;5;4;47;57;0;2;69;NA;1;1;1
"apauly";1;"27850";2;1;1;3;18;7;1;4;36;1;2;157;78.5
"joevandyk";1;"27849";14;0;1;1;2;1;1;5;85;0;5;440;24.5
"jaredbeck";1;"27847";0;0;1;1;2;0;0;6;16;NA;NA;NA;NA
"kenta-s";1;"27846";1;0;1;1;13;2;0;5;14;NA;1;13;13
"richseviora";1;"27842";4;2;1;2;39;0;2;6;32;0;3;158;8
"kamipo";1;"27838";3;0;1;2;11;0;2;8;58;0;2;59;9
