"gaearon";1;"9252";1;0;1;1;0;5;0;3;7;NA;1;1;1
"gaearon";1;"9247";0;1;1;1;64;66;0;3;31;NA;NA;NA;NA
"gaearon";1;"9246";0;0;1;1;17;0;0;5;21;NA;NA;NA;NA
"bvaughn";1;"9238";2;0;1;2;9;2;1;4;0;1;2;50;25
"gaearon";1;"9235";0;0;1;1;21;0;0;6;22;NA;NA;NA;NA
"bernard-lin";1;"9234";0;0;2;1;6;5;0;1;115;NA;NA;NA;NA
"tinglof";1;"9233";2;0;1;1;1;1;2;5;24;0;1;117;58.5
"gaearon";1;"9225";1;0;1;4;470;0;0;6;18;NA;1;8;8
"aickin";1;"9221";3;6;4;4;778;0;4;9;70;0;2;60;19
"shergin";1;"9219";1;2;2;3;95;5;2;8;129;NA;1;1;1
"CodinCat";1;"9215";1;0;1;1;3;3;0;7;0;NA;1;1;1
"gaearon";1;"9209";0;1;9;70;88;3768;3;2;114;NA;NA;NA;NA
"bvaughn";1;"9197";0;4;3;9;388;121;4;3;104;NA;NA;NA;NA
"bvaughn";1;"9196";0;0;1;3;5;5;1;7;30;NA;NA;NA;NA
"sebmarkbage";1;"9195";0;0;1;1;1;0;0;3;2;NA;NA;NA;NA
"sebmarkbage";1;"9194";2;0;1;2;93;7;0;10;89;0;2;10;5
"acdlite";1;"9187";2;7;7;5;89;7;1;7;38;1;2;22;11
"jergason";1;"9179";0;0;1;1;4;0;1;6;0;NA;NA;NA;NA
"bernard-lin";1;"9170";1;0;4;1;1;1;0;4;94;NA;1;1;1
"spicyj";1;"9165";0;0;2;1;5;0;0;7;0;NA;NA;NA;NA
"gadtfly";1;"9160";2;0;1;1;2;3;0;7;16;0;2;12;6
"spicyj";1;"9155";0;0;1;2;2;2;0;4;8;NA;NA;NA;NA
"gaearon";1;"9153";1;0;2;5;18;25;0;5;48;NA;1;15;15
"acdlite";1;"9145";0;0;2;2;49;25;8;6;3;NA;NA;NA;NA
"gaearon";1;"9144";6;0;1;1;1;1;1;11;55;0;2;176;31.5
"gaearon";1;"9143";0;0;2;2;20;20;0;5;0;NA;NA;NA;NA
