"oranagra";1;"3875";1;0;1;1;2;2;0;10;0;NA;1;3;3
"badboy";1;"3784";1;0;1;1;1;1;0;4;14;NA;1;1;1
"MiterV1";1;"3778";2;0;1;1;2;4;0;6;6;0;2;65;32.5
"badboy";1;"3734";1;0;1;1;5;5;5;6;29;NA;1;3;3
"oranagra";1;"3720";3;0;2;13;774;8;10;3;60;4;3;437;8
"oranagra";1;"3712";1;0;1;1;1;1;25;6;18;NA;1;1;1
"jstncarvalho";1;"3696";1;0;1;1;1;1;1;9;9;NA;1;10;10
"dvirsky";1;"3686";1;0;1;1;3;3;2;7;29;NA;1;3;3
"yossigo";1;"3680";1;0;1;1;4;0;0;4;14;NA;1;17;17
"badboy";1;"3673";3;0;1;1;1;0;6;6;39;3;2;76;22
"wshn13";1;"3663";1;0;1;1;2;2;0;8;23;NA;1;2;2
"itamarhaber";1;"3661";1;0;1;2;3;2;11;9;0;NA;1;2;2
"itamarhaber";1;"3657";3;0;1;1;1;1;54;7;2;0;2;47;15
"lamby";1;"3652";1;0;1;1;1;1;0;6;0;NA;1;1;1
"yossigo";1;"3651";0;0;1;1;1;1;1;5;0;NA;NA;NA;NA
"dvirsky";1;"3648";1;0;1;1;3;1;0;5;2;NA;1;2;2
"andyli029";1;"3643";1;0;1;1;1;1;20;2;0;NA;1;2;2
"oranagra";1;"3616";2;0;1;1;19;13;30;10;20;2;2;165;82.5
"deep011";1;"3612";1;0;1;1;1;1;2;7;0;NA;1;15;15
"hylepo";1;"3605";1;0;2;1;1;1;36;7;7;NA;1;1;1
"oranagra";1;"3603";1;0;1;1;3;3;39;6;0;NA;1;2;2
"dvirsky";1;"3581";2;0;1;1;1;1;2;7;0;0;2;19;9.5
"guybe7";1;"3579";1;0;1;1;7;7;0;5;8;NA;1;4;4
"deep011";1;"3575";3;0;1;1;3;3;5;6;0;2.5;2;72;33
"jybaek";1;"3573";1;0;1;1;1;0;3;3;5;NA;1;1;1
"MichaelTSS";1;"3568";1;0;1;1;1;1;9;1;0;NA;1;2;2
"sunheehnus";1;"3565";1;0;1;1;3;2;10;5;3;NA;1;11;11
"melo";1;"3560";3;0;1;1;1;1;0;7;432;0;2;156;35
"yyoshiki41";1;"3547";1;0;1;1;1;2;24;2;18;NA;1;2;2
"charsyam";1;"3514";1;0;1;1;1;1;39;8;17;NA;1;5;5
"dvirsky";1;"3511";1;0;1;4;52;3;0;2;7;NA;1;3;3
"ZhukovAlexander";1;"3498";1;0;1;1;1;1;99;4;0;NA;1;1;1
"wyxustcsa09";1;"3492";3;0;1;1;1;1;0;6;12;0.5;2;89;29
"guoxiao";1;"3429";1;0;0;0;0;0;0;8;11;NA;1;3;3
"QuChen88";1;"3426";2;0;1;1;1;1;1;13;33;0;1;16;8
"sskorgal";1;"3365";2;0;1;1;1;1;4;11;0;0;1;13;6.5
"yossigo";1;"3342";1;0;1;1;1;1;1;4;0;NA;1;3;3
"rojingeorge";1;"3340";3;0;3;1;5;0;43;12;55;21;2;19;6
"tielei";1;"3338";1;0;1;1;2;2;0;12;33;NA;1;4;4
"yossigo";1;"3336";1;0;1;5;26;2;1;2;0;NA;1;7;7
"dvirsky";1;"3335";1;0;1;2;13;1;1;3;0;NA;1;16;16
"yossigo";1;"3331";2;0;2;1;13;6;2;4;0;2;1;51;25.5
"yossigo";1;"3330";1;0;1;13;38;38;3;8;65;NA;1;80;80
"mishan";1;"3324";2;0;1;1;1;1;7;6;11;3;2;4;2
"zshipko";1;"3313";1;0;1;1;15;5;1;4;0;NA;1;2;2
"jspraul";1;"3303";1;0;1;1;1;0;3;13;204;NA;1;2;2
"yossigo";1;"3301";1;0;1;1;1;0;0;11;24;NA;1;4;4
"andyli029";1;"3300";1;0;1;1;1;1;3;9;0;NA;1;3;3
"catwell";1;"3296";5;0;3;3;56;42;5;5;11;0;2;205;46
"catwell";1;"3295";1;0;1;3;17;10;5;4;0;NA;1;27;27
"yossigo";1;"3294";2;0;1;1;14;7;5;8;0;4;1;19;9.5
"yossigo";1;"3293";3;0;2;3;40;13;8;7;125;0;1;201;36
"ideal";1;"3283";1;0;1;1;1;1;16;6;3;NA;1;3;3
"wenduo";1;"3282";6;0;1;1;4;0;16;10;77;0;3;115;14
"jamespedwards42";1;"3281";1;0;0;0;0;0;17;4;0;NA;1;1;1
"itamarhaber";1;"3278";3;0;1;1;1;1;2;5;21;1;3;93;13
"MOON-CLJ";1;"3274";2;0;1;1;1;1;20;12;8;5;2;3;1.5
"oranagra";1;"3264";6;0;2;1;20;9;23;14;9;0;2;241;29
