"tboucher";1;"8643";1;0;1;1;1;1;0;11;153;NA;1;2;2
"jnothman";1;"8634";2;0;4;3;33;1;0;7;15;0;2;49;24.5
"lmcinnes";1;"8629";0;0;1;1;1;1;0;10;29;NA;NA;NA;NA
"hiqua";1;"8616";6;0;1;2;2;2;2;3;7;0;2;241;41.5
"sid-kap";1;"8612";1;0;1;1;1;1;0;4;27;NA;1;1;1
"sid-kap";1;"8610";0;0;1;1;2;2;0;5;32;NA;NA;NA;NA
"m1so";1;"8609";0;0;1;1;1;1;0;5;132;NA;NA;NA;NA
"scooler";1;"8600";1;0;1;1;1;1;0;6;63;NA;1;4;4
"guiniol";1;"8598";13;14;3;2;21;5;5;6;115;0;4;390;20
"hbertrand";1;"8591";4;0;2;2;4;1;1;6;180;0;3;15;3
"glemaitre";1;"8580";6;1;4;1;13;0;0;14;215;0;3;260;20.5
"ja9harper";1;"8578";1;0;2;1;2;2;0;11;123;NA;1;7;7
"PTRWang";1;"8576";14;24;31;4;34;11;2;7;127;0;3;443;16.5
"rishikksh20";1;"8571";2;0;1;1;2;2;3;11;139;1;2;7;3.5
"leereeves";1;"8569";3;2;2;2;16;10;2;8;51;0.5;2;10;2
"gedeck";1;"8567";6;3;5;3;27;5;6;14;135;0;4;185;11
"Sentient07";1;"8565";2;0;1;1;2;2;8;9;2;0;2;11;5.5
"glemaitre";1;"8562";2;0;1;1;1;1;0;8;142;0;1;18;9
"lesteve";1;"8561";2;0;1;1;1;1;0;6;13;0;2;18;9
"icyblade";1;"8560";2;0;1;1;1;1;0;3;131;0;2;33;16.5
"rishikksh20";1;"8552";2;3;6;4;10;20;3;7;132;3;1;35;17.5
"lmcinnes";1;"8551";1;1;2;1;12;1;1;11;33;NA;1;5;5
"brownsarahm";1;"8548";4;2;7;1;13;4;1;7;19;0;3;240;28
"Trion129";1;"8542";24;1;5;2;34;17;6;13;159;0;7;1011;31.5
"tfolkman";1;"8538";6;1;2;2;11;9;2;10;126;0;5;312;24
"nikitasingh981";1;"8537";2;6;6;1;15;0;0;11;24;0;2;124;62
"matthew-brett";1;"8536";10;0;2;2;5;15;2;9;14;0;5;381;26.5
"mehak-sachdeva";1;"8527";5;2;2;2;17;10;1;7;161;0;5;174;9
"EFerriss";1;"8524";3;1;3;1;7;0;0;8;184;0;3;11;5
"Ellen-Co2";1;"8521";4;2;1;1;2;1;0;3;214;0;3;95;3
"Namiya";1;"8518";6;0;1;1;6;4;0;9;126;0;4;186;19
"rishikksh20";1;"8516";6;0;5;1;7;4;9;6;149;3;4;417;45.5
"katelie";1;"8514";21;2;5;1;2;1;5;3;144;0;7;818;27
"shubham0704";1;"8513";5;0;1;1;0;2;2;5;130;0;4;262;27
"aabadie";1;"8502";8;0;1;1;1;0;1;6;7;0;4;220;7.5
"jakevdp";1;"8496";4;0;2;2;9;0;1;7;12;0;2;212;42
"almer-t";1;"8495";1;0;1;1;1;1;1;7;141;NA;1;115;115
"lesteve";1;"8492";2;0;2;17;511;400;5;5;30;5;2;115;57.5
"mathurinm";1;"8483";6;0;1;2;3;2;1;9;126;0;5;257;11.5
"josephsalmon";1;"8473";3;1;1;1;6;2;2;6;128;0;3;212;9
"jnothman";1;"8469";1;0;1;1;5;0;2;10;4;NA;1;2;2
"tguillemot";1;"8462";2;0;1;1;1;1;0;8;114;1;2;21;10.5
"rishikksh20";1;"8456";8;0;8;7;17;11;7;7;231;1;5;300;20
"MarcoFalke";1;"8455";2;0;1;1;1;1;1;7;18;1;2;108;54
"glemaitre";1;"8452";6;1;2;3;55;1;2;8;148;0;5;184;14.5
"lesteve";1;"8444";1;0;1;1;7;4;0;4;33;NA;1;6;6
"tzano";1;"8442";4;0;1;1;1;1;0;5;16;0;2;12;2.5
"jnothman";1;"8440";3;7;4;2;74;43;1;9;0;0;3;130;5
"Morikko";1;"8437";2;1;3;1;7;0;1;12;145;0;2;122;61
"lesteve";1;"8435";3;0;1;1;2;1;0;12;66;0;3;259;53
"tzano";1;"8432";6;3;5;6;9;9;0;6;25;0;3;371;33.5
"NelleV";1;"8427";8;0;2;1;1;1;1;11;39;0;5;240;21.5
"reiinakano";1;"8421";2;0;1;1;3;0;9;6;125;9;2;89;44.5
