"kmiya";1;"1329";0;0;1;1;1;1;0;4;2;NA;NA;NA;NA
"JanespenCerpus";1;"1326";2;0;1;1;1;1;0;7;92;0;1;34;17
"dreis2211";1;"1320";0;0;1;3;8;48;0;4;2;NA;NA;NA;NA
"wilkinsona";1;"1302";0;0;1;1;11;12;0;7;100;NA;NA;NA;NA
"wilkinsona";1;"1301";1;0;1;1;2;2;0;11;2;NA;1;1;1
"vpavic";1;"1298";1;0;1;2;4;4;1;6;3;NA;1;7;7
"bclozel";1;"1293";6;13;5;62;4893;629;29;7;0;0;3;1142;180.5
"markhobson";1;"1287";0;0;1;6;28;4;5;5;23;NA;NA;NA;NA
"trisberg";1;"1286";2;0;1;1;91;13;6;8;58;1;1;48;24
"dreis2211";1;"1285";0;0;1;1;14;7;8;4;2;NA;NA;NA;NA
"moores-expedia";1;"1269";4;0;1;1;2;2;0;8;58;0;3;50;9.5
"kazuki43zoo";1;"1266";0;0;1;2;85;1;0;9;6;NA;NA;NA;NA
"fdesu";1;"1254";0;0;1;1;2;2;2;4;27;NA;NA;NA;NA
"sdeleuze";1;"1251";7;0;1;5;94;8;8;10;70;0;2;410;58
"rstoyanchev";1;"1248";0;0;4;8;540;314;0;3;0;NA;NA;NA;NA
"dreis2211";1;"1241";0;0;1;6;37;10;0;9;2;NA;NA;NA;NA
"kazuki43zoo";1;"1233";0;0;1;2;35;0;0;7;6;NA;NA;NA;NA
"bclozel";1;"1220";0;0;1;6;65;13;10;6;7;NA;NA;NA;NA
"violetagg";1;"1210";1;0;1;2;21;1;0;2;10;NA;1;1;1
"bclozel";1;"1209";0;0;1;50;875;1913;7;5;38;NA;NA;NA;NA
"bclozel";1;"1199";0;0;2;10;163;64;4;7;152;NA;NA;NA;NA
"dreis2211";1;"1185";0;0;1;1;9;3;0;4;2;NA;NA;NA;NA
"bclozel";1;"1178";0;0;2;6;577;6;4;6;162;NA;NA;NA;NA
"bclozel";1;"1175";10;3;4;14;904;50;6;6;13;0;3;710;70
"nkjackzhang";1;"1166";1;0;1;1;1;1;0;6;11;NA;1;7;7
"sdeleuze";1;"1152";0;0;2;10;263;19;1;5;6;NA;NA;NA;NA
"nkjackzhang";1;"1085";1;0;1;1;1;1;0;4;57;NA;1;1;1
"fj";1;"1050";1;0;1;1;1;1;25;7;65;NA;1;3;3
"rwinch";1;"1044";7;0;1;2;25;3;1;4;46;0;4;217;31
"Enigo";1;"1042";1;4;1;2;31;1;0;7;56;NA;1;10;10
"bclozel";1;"1017";2;0;2;4;187;6;4;9;76;2;2;91;45.5
"sbrannen";1;"981";3;0;1;10;488;17;2;5;29;0;3;187;52
"poutsma";1;"963";0;0;1;3;147;83;0;7;28;NA;NA;NA;NA
"garyrussell";1;"935";0;0;1;2;120;0;0;5;25;NA;NA;NA;NA
"bclozel";1;"843";3;4;1;5;198;42;1;4;113;0.5;2;119;42
"Youmoo";1;"827";1;0;0;0;0;0;0;2;0;NA;1;1;1
"kazuki43zoo";1;"796";0;0;1;1;3;3;0;8;24;NA;NA;NA;NA
"kazuki43zoo";1;"793";1;0;1;1;1;1;0;5;28;NA;1;7;7
"kazuki43zoo";1;"792";1;0;1;1;0;12;0;3;24;NA;1;7;7
"kazuki43zoo";1;"791";1;0;1;1;1;0;0;9;24;NA;1;7;7
