Project;Main PL;LoC;Commits;Last Commit;Total PR;Total Devs;Stars;forks;Activity;MonthstoNow;Years;Fist_PR;Months_PR;avg_PR_Month
angular-js;JavaScript;472;6K;Mar_o/2017;4391;2762;55;27,5;01/11/04;149;12;02/09/10;79;56
bitcoin;c++;165;13K;Mar_o/2017;371;293;11,6;7,5;01/08/09;92;7;19/12/10;76;5
bootstrap;JavaScript;48.5;15K;Mar_o/2017;2818;2162;107,7;49,3;01/04/11;72;6;19/08/11;68;41
caffe;c++;73.9;4K;Mar_o/2017;293;233;16,6;10,1;01/09/13;43;3;24/11/13;41;7
d3;JavaScript;41.5;4K;Mar_o/2017;311;282;61,3;16,3;01/09/10;79;6;30/09/10;79;4
django;Python;236;24K;Mar_o/2017;2959;1739;24;9,8;01/07/05;141;11;28/04/12;60;49
docker;Go;194;31K;Mar_o/2017;872;707;40,5;12,2;01/01/13;51;4;20/01/13;51;17
flask;Python;9.6;2K;Mar_o/2017;240;216;25,7;81;01/04/10;84;7;13/04/10;84;3
jenkins;JavaScript;1.08;24K;Mar_o/2017;229;187;8;3,5;01/03/06;133;11;24/11/10;77;3
joomla;PHP;368;28K;Mar_o/2017;909;482;2,2;2,4;01/09/05;139;11;27/09/11;67;14
jquery;JavaScript;45.4;6K;Mar_o/2017;917;648;43,7;12,2;01/03/06;133;11;02/09/10;79;12
kubernetes;Go;1.42;45K;Mar_o/2017;447;349;21,3;7,3;01/06/14;34;2;06/06/14;34;13
laravel;PHP;;5K;Mar_o/2017;991;740;30,4;9,9;01/06/11;70;5;10/06/11;70;14
mongo;c++;1.14;37K;Mar_o/2017;689;338;11;3;01/10/07;114;9;03/09/10;79;9
opencv;c++;1.61;20K;Mar_o/2017;350;275;14,1;11;01/05/10;83;6;26/07/12;57;6
rails;Ruby;245;60K;Mar_o/2017;1671;1320;34,8;14,2;01/11/04;149;12;01/04/09;96;17
react;JavaScript;104;8K;Mar_o/2017;601;516;61,6;11,3;01/05/13;47;3;29/05/13;47;13
redis;c;142;6K;Mar_o/2017;333;268;22;8,3;01/03/09;97;8;23/01/10;87;4
scikit-learn;Python;191;21K;Mar_o/2017;425;334;17;9,4;01/01/10;87;7;31/08/10;80;5
spring-framework;JavaScript;648;14K;Mar_o/2017;685;446;12,7;9,7;01/06/08;106;8;09/02/11;74;9
tensorflow;c++;738;15K;Mar_o/2017;409;343;50,2;23,4;01/11/15;17;1;09/11/15;17;24
