"Project";"Comments Merged";"Comments unMerged";"Comments Review Merged";"Comments Review unMerged";"Commits Merged";"Commits UnMerged";"ChangedFiles Merged";"ChangedFiles UnMerged";"AddedLines Merged";"AddedLines UnMerged";"DeletedLines Merged";"DeletedLines UnMerged"
"angular-js";3.06;4.75;2.36;0.44;2.17;1.48;9.26;5.4;315.75;508.29;231.63;30.75
"bitcoin";7.12;6.67;3.12;0.94;1.95;34.17;4.48;31.36;96.72;3056.67;39.02;4287.77
"bootstrap";1.75;3;0.54;0.31;1.84;2.64;2.92;4.28;56.73;459.43;65.45;176.13
"caffe";4.09;3.64;0.99;0.35;4.26;16.92;7.13;18.07;303.52;2960.5;3105.61;284.26
"d3";1.99;3.19;0.46;0.12;0.04;0.04;0.04;0.03;0.21;1.62;0.21;0.02
"django";1.78;2.88;2.43;1.15;1.17;25.89;7.24;74.28;52.67;1876.07;62.61;1621.17
"docker";6.35;6.34;2.54;0.93;2.59;2.47;5.95;5.1;231.73;188.21;125.98;82.69
"flask";1.88;3.75;0.53;0.34;1.25;2.58;1.72;2.7;18.63;82.8;14.12;5.83
"jenkins";6.67;5.31;4.11;1.02;3.6;2.12;8.87;2.53;117.91;81.8;57.2;8.05
"joomla";5.95;5.95;0.68;0.55;3.11;2.7;11.24;28.4;161.97;1327.18;137.56;623.36
"jquery";2.38;4.27;2.96;0.97;2.2;1.26;3.27;0.99;95.6;106.01;44.28;7.62
"laravel";1.79;2.95;0.15;0.24;0.84;0.86;0.95;4.72;6.65;364.72;2.56;41.72
"mongo";0.3;2.75;0.02;0.55;1.54;1.67;2.62;47.12;110.66;5076.84;18.45;4101.65
"opencv";2.23;3.73;1.11;0.39;1.75;2.67;3.62;78.34;201.5;9549.5;63.9;5521.22
"rails";3.06;4.94;1.37;0.77;1.41;1.82;2.82;5.59;26.89;85.47;15.71;146.9
"react";3.29;4.45;3.67;0.72;2.66;2.31;5.63;3.05;152.23;141.21;105.94;145.51
"redis";2.21;1.98;0.21;0;1.4;10.51;1.82;12.07;31.12;1488.33;11.55;77.18
"scikit-learn";7.5;8.94;5.57;3.8;3.19;4.07;3.03;3.98;49.12;1143.06;566.52;301.2
"spring-framework";1.49;1.94;0.37;0.03;1.25;18.57;6.81;2.58;864.75;60.97;600.83;30.81
"tensorflow";4.66;6.38;1.64;1.12;8.96;1.81;27.79;3.68;1333.12;295.26;675.55;26.84
"kubernetes";10.61;10.42;4.33;1.65;1.38;28.34;9.17;50.45;574.23;8545.42;390.88;3024.78
