"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"mdolk";453;3;0;1;1;1;1;TRUE
"dandoyon";576;3;0;1;1;1;1;TRUE
"dandoyon";564;5;0;3;3;36;2;TRUE
"dandoyon";515;5;2;2;2;65;4;TRUE
"dandoyon";495;2;0;1;15;40;38;TRUE
"tonitt";525;1;0;1;3;146;133;FALSE
"marcenuc";746;1;0;3;2;9;9;TRUE
"marcenuc";574;2;0;1;1;1;1;TRUE
"marcenuc";567;4;0;1;2;6;5;TRUE
"marcenuc";566;5;0;1;1;1;1;TRUE
"marcenuc";545;2;0;2;2;9;1;TRUE
"hekke";568;9;4;5;2;46;2;FALSE
"TEHEK";7685;5;0;1;1;12;1;TRUE
"TEHEK";1616;2;0;1;1;1;1;TRUE
"TEHEK";675;1;0;1;2;33;1;TRUE
"TEHEK";659;3;0;2;2;0;0;TRUE
"TEHEK";604;4;0;2;2;17;1;TRUE
"TEHEK";603;1;0;3;3;130;12;TRUE
"TEHEK";593;1;0;3;3;129;11;TRUE
"TEHEK";572;8;0;2;2;37;2;TRUE
"dmanek";696;1;0;1;2;9;0;TRUE
"dmanek";695;3;0;3;2;35;19;TRUE
"dmanek";668;1;0;2;4;19;16;TRUE
"dmanek";650;3;0;1;3;1586;1332;TRUE
"dmanek";640;5;2;5;2;69;30;TRUE
"dmanek";616;5;1;3;2;40;1;TRUE
"dmanek";587;1;0;1;1;0;1;TRUE
"dmanek";575;3;3;3;2;35;19;TRUE
"bartes";676;2;0;2;4;16;0;FALSE
"bartes";666;3;0;2;2;35;9;FALSE
"bartes";665;2;0;3;2;42;3;FALSE
"bartes";664;6;0;2;2;3;0;FALSE
"bartes";663;1;0;2;2;29;7;FALSE
"bartes";662;2;0;1;2;6;1;FALSE
"bartes";661;1;0;2;2;36;6;FALSE
"bartes";577;3;0;6;1;14;1;FALSE
"ijonlester";598;2;0;0;0;0;0;FALSE
"kstep";723;15;0;0;0;0;0;TRUE
"kstep";720;4;0;0;0;0;0;TRUE
"kstep";601;9;0;0;0;0;0;TRUE
"nateflink";649;4;0;1;1;1;1;FALSE
"tleruitte";10748;5;0;1;2;21;2;TRUE
"tleruitte";10747;2;0;0;0;0;0;TRUE
"tleruitte";2121;3;0;1;2;12;1;TRUE
"tleruitte";2045;10;0;1;2;16;6;TRUE
"tleruitte";890;4;0;1;1;2;5;TRUE
"tleruitte";848;2;0;1;2;84;5;TRUE
"tleruitte";671;4;0;1;1;15;1;TRUE
"mhansen";691;1;0;0;0;0;0;TRUE
"msgilligan";699;1;0;1;1;1;1;TRUE
"ludicast";722;1;0;1;1;1;1;TRUE
"groner";1242;2;0;1;2;14;0;TRUE
"groner";987;5;0;1;2;4;0;TRUE
"groner";728;2;1;3;2;26;1;TRUE
"groner";330;5;0;1;1;5;3;TRUE
"groner";125;3;0;4;3;11;2;TRUE
"groner";102;2;0;1;1;1;1;TRUE
"alkis";792;1;0;0;0;0;0;TRUE
"alkis";730;1;0;0;0;0;0;TRUE
"alkis";13;5;0;0;0;0;0;TRUE
"alkis";12;2;0;0;0;0;0;TRUE
"alkis";11;1;0;0;0;0;0;TRUE
"alkis";9;1;0;0;0;0;0;TRUE
"alkis";8;1;0;0;0;0;0;TRUE
"alkis";7;1;0;0;0;0;0;TRUE
"alkis";6;1;0;0;0;0;0;TRUE
"alkis";5;2;0;0;0;0;0;TRUE
"manuel-woelker";6515;4;0;1;2;27;0;TRUE
"manuel-woelker";739;2;0;1;1;7;0;TRUE
"stephanebisson";1570;1;0;1;2;13;0;TRUE
"stephanebisson";1291;8;0;4;2;101;3;TRUE
"stephanebisson";744;2;0;2;1;1;1;TRUE
"robertjd";752;4;0;0;0;0;0;FALSE
"recht";1283;3;0;1;1;1;1;FALSE
"recht";829;1;0;1;1;1;1;FALSE
"recht";756;6;0;1;1;1;1;FALSE
"ysiadf";777;3;0;1;1;7;7;FALSE
"danielzen";812;5;0;9;1;86;1;TRUE
"danielzen";795;1;0;6;2;122;18;TRUE
"danielzen";790;2;0;1;1;44;5;TRUE
