"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"davatron5000";8;1;0;0;0;0;0;FALSE
"davecardwell";28;9;0;0;0;0;0;FALSE
"davecardwell";27;2;0;0;0;0;0;FALSE
"tabacco";35;1;0;0;0;0;0;FALSE
"nvartolomei";37;1;0;0;0;0;0;FALSE
"hogart";40;7;0;0;0;0;0;FALSE
"speg";45;1;0;0;0;0;0;FALSE
"wibron";55;13;0;1;1;7;0;FALSE
"lukeholder";59;1;0;0;0;0;0;FALSE
"optikfluffel";69;14;0;2;3;30;8;FALSE
"shamanime";70;1;0;1;4;26;7;FALSE
"yadoga";165;3;0;1;1;1;1;TRUE
"yadoga";163;1;0;43;25;1644;225;TRUE
"yadoga";91;1;0;17;11;1184;827;TRUE
"zachpendleton";106;2;0;0;0;0;0;FALSE
"vvdpzz";107;2;0;1;1;1;1;FALSE
"peburrows";112;4;0;1;2;31;31;FALSE
"sweikenb";115;2;0;0;0;0;0;FALSE
"dagmar";122;1;0;0;0;0;0;FALSE
"dagmar";120;4;0;0;0;0;0;FALSE
"emilkje";6665;1;0;1;2;0;2;FALSE
"emilkje";121;2;0;3;5;19;19;FALSE
"rspeer";132;4;0;1;3;7;4;FALSE
"eduard-io";134;2;0;0;0;0;0;FALSE
"nikku";183;5;0;1;1;1;1;FALSE
"nikku";141;4;0;3;1;12;6;FALSE
"kamui545";301;1;0;0;0;0;0;FALSE
"kamui545";166;2;0;0;0;0;0;FALSE
"kamui545";150;1;0;0;0;0;0;FALSE
"bdalziel";157;2;0;2;3;8;2;FALSE
"mikea";173;5;0;3;3;14;5;FALSE
"lincolnthree";179;3;0;1;1;2;2;FALSE
"connor";368;2;0;0;0;0;0;FALSE
"connor";187;8;0;0;0;0;0;FALSE
"chripede";196;1;0;0;0;0;0;FALSE
"bitbonsai";200;1;0;1;2;2;0;FALSE
"khoogheem";207;3;0;0;0;0;0;FALSE
"Timothee";208;4;0;0;0;0;0;FALSE
"dyve";2230;1;0;0;0;0;0;FALSE
"dyve";2173;3;0;0;0;0;0;FALSE
"dyve";2166;3;0;0;0;0;0;FALSE
"dyve";1983;10;1;0;0;0;0;FALSE
"dyve";210;4;0;0;0;0;0;FALSE
"obeattie";212;5;0;0;0;0;0;FALSE
"marksands";236;3;0;0;0;0;0;FALSE
"EgoAleSum";3691;3;5;0;0;0;0;FALSE
"EgoAleSum";3346;9;0;0;0;0;0;FALSE
"EgoAleSum";2932;2;0;0;0;0;0;FALSE
"EgoAleSum";249;16;0;0;0;0;0;FALSE
"blakejakopovic";251;1;0;1;1;1;0;FALSE
"dmyers";351;6;0;0;0;0;0;FALSE
"dmyers";255;2;3;0;0;0;0;FALSE
"rafikk";262;2;0;0;0;0;0;FALSE
"beinstein";264;2;0;1;1;9;0;FALSE
"petervandenabeele";274;1;0;0;0;0;0;FALSE
"petervandenabeele";273;1;0;0;0;0;0;FALSE
"snapshot";277;2;0;1;1;4;4;FALSE
"lightglitch";317;7;0;0;0;0;0;FALSE
"lightglitch";279;0;0;0;0;0;0;FALSE
"JeanMertz";286;1;0;0;0;0;0;FALSE
"scott-stewart";1417;1;0;1;1;1;1;FALSE
"scott-stewart";300;2;0;1;3;8;1;FALSE
"lvivier";308;13;0;0;0;0;0;FALSE
"futoase";311;1;0;0;0;0;0;FALSE
"erikdahlstrand";319;1;0;0;0;0;0;FALSE
"ncuesta";323;14;0;0;0;0;0;FALSE
"wlangstroth";326;0;0;0;0;0;0;FALSE
"pal";353;2;0;1;1;1;1;FALSE
"josegonzalez";356;15;0;0;0;0;0;FALSE
"lmazardo";384;1;0;1;5;36;36;FALSE
"philipp-spiess";390;1;0;0;0;0;0;FALSE
"philipp-spiess";389;1;0;0;0;0;0;FALSE
"coreyward";4520;0;0;1;1;1;1;FALSE
"coreyward";395;1;0;1;1;2;2;FALSE
"billyvg";3015;2;0;1;1;13;2;TRUE
"billyvg";2117;1;0;1;1;2;2;TRUE
"billyvg";411;2;0;2;2;273;19;TRUE
"leereilly";3568;1;0;1;2;2;2;FALSE
"leereilly";413;1;0;1;1;1;1;FALSE
"joearcher";421;1;0;0;0;0;0;FALSE
"tonio";425;1;0;0;0;0;0;FALSE
"mkchandler";996;4;0;0;0;0;0;FALSE
"mkchandler";902;1;0;0;0;0;0;FALSE
"mkchandler";430;1;0;0;0;0;0;FALSE
