"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"zhongwen";75;1;0;0;0;0;0;FALSE
"rowlanddepp";97;6;2;16;21;619;92;FALSE
"aravindhm";380;5;0;2;6;420;2;TRUE
"aravindhm";379;1;0;368;187;13971;4974;TRUE
"aravindhm";137;8;3;4;5;140;10;TRUE
"aravindhm";116;6;4;2;4;218;0;TRUE
"mguillau";121;6;0;2;4;128;0;FALSE
"blackball";225;7;1;1;11;30;50;TRUE
"blackball";224;1;0;101;129;8453;1541;TRUE
"blackball";214;6;0;3;11;29;52;TRUE
"blackball";204;3;0;3;12;44;69;TRUE
"blackball";202;7;2;4;2;4;3;TRUE
"eendebakpt";1247;3;0;4;3;14;2;FALSE
"eendebakpt";1233;0;0;1;2;11;0;FALSE
"eendebakpt";292;1;0;2;1;12;5;FALSE
"eendebakpt";289;1;1;2;1;10;4;FALSE
"moskewcz";1972;1;0;1;1;1;0;FALSE
"moskewcz";308;9;0;92;38;5655;8;FALSE
"moskewcz";307;4;0;91;38;5657;8;FALSE
"yinxusen";345;1;0;1;1;1;1;FALSE
"luotao1";453;1;0;1;1;1;1;FALSE
"luotao1";411;1;0;1;1;7;7;FALSE
"luotao1";400;5;1;2;3;129;36;FALSE
"luotao1";397;2;0;1;1;119;34;FALSE
"borisgin";544;29;23;9;17;2660;316;TRUE
"borisgin";542;4;0;164;46;3239;1368;TRUE
"borisgin";439;58;2;3;7;418;150;TRUE
"borisgin";437;1;0;37;23;1161;62;TRUE
"abhi2610";503;0;0;0;0;0;0;FALSE
"yzhuan";564;2;0;1;1;3;3;TRUE
"egavves";575;2;0;243;140;7139;1983;TRUE
"anguyen8";619;1;0;1;1;1;1;FALSE
"vikkamath";636;1;0;1;1;1;1;TRUE
"ankurhanda";638;1;0;164;86;5230;1464;TRUE
"OpenHero";727;4;1;10;57;1658;34;TRUE
"OpenHero";709;6;0;268;57;1587;118;TRUE
"OpenHero";707;1;0;524;166;9582;2819;TRUE
"OpenHero";652;1;0;525;169;10021;2839;TRUE
"OpenHero";643;19;0;520;169;9940;2823;TRUE
"huyng";667;8;0;23;3;43;2;TRUE
"to3i";688;2;0;5;5;208;51;TRUE
"zayd";697;8;0;2;0;0;0;FALSE
"ekodeto";746;0;0;8;77;29845;140;FALSE
"cvondrick";1460;1;0;0;0;0;0;FALSE
"cvondrick";1395;1;0;0;0;0;0;FALSE
"cvondrick";777;2;0;0;0;0;0;FALSE
"yajiedesign";788;2;0;7;2;16;2;TRUE
"yajiedesign";783;2;0;1;1;1;2;TRUE
"dutran";792;6;0;0;0;0;0;FALSE
"dutran";791;2;0;0;0;0;0;FALSE
"zszhong";932;0;0;0;0;0;0;TRUE
"zszhong";844;3;1;0;0;0;0;TRUE
"Alanqc";887;0;0;13;17;6682;94;FALSE
"clemenscorny";918;3;0;0;0;0;0;TRUE
"alemagnani";1038;1;0;1;1;1;1;FALSE
"alemagnani";937;8;0;1;31;2521;47;FALSE
"lelayf";1018;4;0;3;4;132;0;FALSE
"lelayf";1017;1;0;6;4;132;0;FALSE
"yangcha";1135;3;5;5;4;7;6;TRUE
"yangcha";1134;0;0;10;125;1328;1241;TRUE
"benjaminklein";1151;3;0;1;1;2;2;TRUE
"benjaminklein";1145;2;0;19;127;1530;1235;TRUE
"dbbert";1198;4;0;2;1;1;4;TRUE
"yjxiong";1213;0;0;6;7;96;5;FALSE
"vimalthilak";1216;4;0;1;2;2;0;FALSE
"leonardt";1237;9;0;3;1;12;3;FALSE
"gpascualg";1262;1;0;0;0;0;0;FALSE
"ssafar";1263;6;4;1;6;351;2;TRUE
"mdenil";1268;4;1;2;2;4;1;FALSE
"weichengkuo";1279;1;0;0;0;0;0;FALSE
"amiralush";1367;26;7;4;3;2087;0;FALSE
"bearpaw";1378;1;0;13;64;4375;10;FALSE
"yangyanli";1400;1;0;1;2;5;0;FALSE
"BestSonny";1437;2;0;1;2;8;1;FALSE
"mcheshkov";1481;1;0;1;1;4;5;FALSE
"mcheshkov";1480;4;2;3;5;294;1;FALSE
"arcadiaphy";1493;2;0;0;0;0;0;FALSE
"sio2boss";1562;1;0;1;2;8;1;FALSE
"anoopcherian";1583;0;0;228;196;7545;2574;TRUE
"sanchom";1594;5;0;0;0;0;0;FALSE
"ruipimenta";1671;1;0;4;15;505;2;TRUE
"ruipimenta";1601;0;0;261;212;12438;2728;TRUE
"piiswrong";1660;2;0;1;2;3;4;FALSE
"vpestret";1665;2;0;6;5;72;2;FALSE
"beniz";2028;1;0;1;1;1;0;FALSE
"beniz";1683;6;0;4;3;27;4;FALSE
"tschmidt23";1711;0;0;0;0;0;0;FALSE
"yxgeng";1713;2;0;37;15;599;35;FALSE
"madduci";1714;14;0;0;0;0;0;FALSE
"slayton58";2737;15;1;1;11;694;54;TRUE
"slayton58";1854;2;0;7;16;199;86;TRUE
"slayton58";1739;13;5;4;16;192;82;TRUE
"nakosung";1759;9;0;0;0;0;0;FALSE
"javelinjs";1814;4;0;1;1;1;0;FALSE
"marcino239";1828;1;0;1;35;67;36;FALSE
"yanii";1900;7;0;1;5;213;28;FALSE
"yanii";1865;10;0;1;4;297;0;FALSE
"erogol";1890;10;2;0;0;0;0;TRUE
"erogol";1889;0;0;0;0;0;0;TRUE
"erogol";1870;0;0;0;0;0;0;TRUE
"yanweifu";1881;1;0;6;16;410;39;FALSE
"songjmcn";1886;2;0;1;2;210;0;TRUE
"songjmcn";1885;1;0;396;280;15491;7461;TRUE
"gitter-badger";1909;1;0;1;1;2;0;FALSE
"mees";1920;3;0;1;1;1;1;FALSE
"hmyeong";1953;0;0;0;0;0;0;FALSE
"Lupino";1964;3;1;0;0;0;0;FALSE
"axel-angel";1984;4;0;1;1;6;5;FALSE
"jukkaho";2026;0;0;5;3;175;42;FALSE
"dgmp88";2046;3;0;1;2;23;23;FALSE
"kencoken";2048;1;0;5;4;397;52;FALSE
"classner";2136;4;0;0;0;0;0;FALSE
"classner";2084;7;0;101;103;3192;1599;FALSE
"ducksoup";2098;1;0;7;5;146;45;TRUE
"paengs";2117;0;0;0;0;0;0;FALSE
"deercoder";2154;2;0;1;1;1;1;FALSE
"SnShine";2183;1;0;0;0;0;0;FALSE
"lunochod";2195;232;9;93;223;33555;6807;FALSE
