"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"drio";218;1;0;0;0;0;0;FALSE
"chrisgemignani";231;24;1;0;0;0;0;FALSE
"futuraprime";232;3;0;0;0;0;0;FALSE
"syntagmatic";275;3;0;0;0;0;0;FALSE
"syntagmatic";179;19;3;0;0;0;0;FALSE
"enjalot";290;2;0;0;0;0;0;FALSE
"boothead";292;6;0;0;0;0;0;TRUE
"AWinterman";298;1;0;0;0;0;0;FALSE
"abernier";316;1;0;0;0;0;0;FALSE
"bixente";321;1;0;0;0;0;0;FALSE
"GunioRobot";355;0;0;0;0;0;0;FALSE
"ajcollins";374;3;0;0;0;0;0;FALSE
"drslump";416;1;0;0;0;0;0;FALSE
"bbroeksema";440;11;0;0;0;0;0;FALSE
"mccannf";442;1;0;0;0;0;0;FALSE
"twooster";458;6;0;0;0;0;0;FALSE
"conorbranagan";465;5;0;0;0;0;0;FALSE
"abh";491;2;0;0;0;0;0;FALSE
"jwhitley";495;11;1;0;0;0;0;FALSE
"indec";507;13;0;0;0;0;0;TRUE
"alex";517;3;0;0;0;0;0;FALSE
"luispedro";519;2;0;0;0;0;0;FALSE
"ZeeAgency";521;3;0;0;0;0;0;TRUE
"g2010a";567;2;0;0;0;0;0;FALSE
"loganlinn";574;13;0;0;0;0;0;FALSE
"justincormack";579;15;0;0;0;0;0;FALSE
"RichMorin";588;4;0;0;0;0;0;FALSE
"zenmoto";589;2;0;0;0;0;0;TRUE
"mmeisel";597;4;0;0;0;0;0;TRUE
"jonseymour";602;2;0;0;0;0;0;TRUE
"marcneuwirth";616;5;0;0;0;0;0;FALSE
"dcporter";617;4;0;0;0;0;0;FALSE
"gigadude";631;2;0;0;0;0;0;FALSE
"eghm";648;2;0;0;0;0;0;FALSE
"dadleyy";649;1;0;0;0;0;0;FALSE
"shawnbot";2209;7;0;0;0;0;0;FALSE
"shawnbot";1618;6;0;0;0;0;0;FALSE
"shawnbot";660;8;0;0;0;0;0;FALSE
"sj26";671;3;0;0;0;0;0;FALSE
"krid";676;2;0;0;0;0;0;TRUE
"paatsinsuwan";694;1;0;0;0;0;0;FALSE
"tcha-tcho";702;4;0;0;0;0;0;FALSE
"theJohnnyBrown";724;1;0;0;0;0;0;FALSE
"snoble";759;23;0;0;0;0;0;TRUE
"snoble";731;10;0;0;0;0;0;TRUE
"gabrielmontagne";732;18;0;0;0;0;0;FALSE
