"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"thoward";127;2;0;0;0;0;0;FALSE
"devfacet";151;1;0;0;0;0;0;FALSE
"nictuku";284;1;0;1;5;221;73;FALSE
"lfn3";352;8;9;7;1;36;8;FALSE
"btbytes";545;1;0;0;0;0;0;FALSE
"diwakergupta";606;1;0;1;1;1;1;FALSE
"pasky";659;3;0;1;2;27;6;FALSE
"crohr";704;3;0;1;1;1;1;FALSE
"ebastos";722;7;0;0;0;0;0;FALSE
"lwf";756;1;0;1;1;1;1;FALSE
"anthonybishopric";991;4;5;5;12;887;127;TRUE
"anthonybishopric";861;7;4;6;1;1;1;TRUE
"tonyfabeen";906;2;1;1;2;10;6;FALSE
"bgehrich";981;5;0;0;0;0;0;FALSE
"felixbuenemann";999;9;0;1;1;151;0;FALSE
"sjbalaji";1014;5;2;1;2;32;31;FALSE
"justinsb";8896;35;9;9;9;125;62;TRUE
"justinsb";8891;2;0;1;1;2;6;TRUE
"justinsb";8890;2;0;1;1;8;0;TRUE
"justinsb";8888;3;0;1;5;84;42;TRUE
"justinsb";1056;17;0;2;5;164;2;TRUE
"justinsb";1016;11;0;25;11;356;127;TRUE
"ismell";1571;15;0;1;1;2;2;FALSE
"ismell";1031;5;0;1;1;2;2;FALSE
"gregkh";1062;17;0;0;0;0;0;FALSE
"jkingyens";1100;5;0;2;1;5;0;FALSE
"jkingyens";1071;1;0;25;2;132;125;FALSE
"ceralena";1152;3;0;0;0;0;0;FALSE
"zsol";1196;4;0;1;1;5;5;FALSE
"apatil";7242;7;0;1;2;8;2;TRUE
"apatil";1302;9;1;11;5;228;145;TRUE
"apatil";1275;15;0;3;4;13;1;TRUE
"steeve";1368;2;0;1;1;5;1;TRUE
"ykumar6";1372;0;0;27;2;132;125;FALSE
"drewcsillag";1618;24;0;0;0;0;0;FALSE
"drewcsillag";1604;0;2;0;0;0;0;FALSE
"drewcsillag";1506;1;0;0;0;0;0;FALSE
"drewcsillag";1383;30;18;0;0;0;0;FALSE
"siliconcow";1397;10;0;4;4;292;0;FALSE
"dhda";1465;7;0;0;0;0;0;FALSE
"moretea";1498;19;10;2;2;125;7;FALSE
"fourdollars";1610;7;0;0;0;0;0;TRUE
"colszowka";1707;7;0;1;1;3;0;FALSE
"lispmeister";1718;6;0;1;1;1;1;TRUE
"supermarin";1748;2;0;1;1;3;0;FALSE
"scottstamp";9646;6;0;2;1;3;3;TRUE
"scottstamp";9645;1;0;1;1;2;2;TRUE
"scottstamp";1763;1;0;1;1;3;1;TRUE
"dispalt";1765;1;0;0;0;0;0;FALSE
"demon012";1767;6;0;1;1;8;0;FALSE
"ikbrunel";1778;1;0;0;0;0;0;FALSE
"ikbrunel";1774;3;0;0;0;0;0;FALSE
"daguar";1808;2;0;1;1;1;1;FALSE
"philipbergen";1844;15;0;1;1;1;1;FALSE
"groundwater";1873;16;0;3;2;72;0;FALSE
"lazzarello";1910;6;0;1;1;2;1;FALSE
"rculbertson";1924;18;0;1;4;61;3;FALSE
"cdunklau";2017;4;0;2;1;40;11;TRUE
"colinsurprenant";2042;6;0;1;1;64;0;FALSE
"pastudan";2050;3;0;1;1;1;1;FALSE
"canoon";2054;15;3;1;4;114;25;FALSE
"KushalP";2213;3;0;5;2;29;4;FALSE
"KushalP";2062;11;0;2;2;2;0;FALSE
"amattn";2064;4;0;0;0;0;0;FALSE
"lachie";2083;4;0;4;5;75;7;FALSE
"whiteley";2092;3;0;1;1;1;1;FALSE
"idetik";2104;1;0;10;28;1025;660;FALSE
"wagerlabs";2337;8;0;0;0;0;0;FALSE
"wagerlabs";2266;22;3;0;0;0;0;FALSE
"amckinley";2301;8;0;1;2;38;0;FALSE
"amckinley";2297;1;0;1;2;40;1;FALSE
"adrianlzt";2310;8;0;1;1;1;1;FALSE
"stephenmw";2323;9;3;3;6;57;23;FALSE
"brendandburns";2347;7;0;1;1;3;3;FALSE
"denevell";2406;1;0;1;2;2;2;FALSE
"mahendra";2416;16;6;8;2;8;3;FALSE
"binaryphile";2450;5;0;1;1;3;0;FALSE
"overplumbum";2455;2;0;1;3;95;9;FALSE
"iangcarroll";2458;1;0;0;0;0;0;FALSE
"ido";2487;2;0;0;0;0;0;FALSE
"pkwarren";2524;1;0;1;1;17;8;FALSE
"gusennan";2529;12;4;0;0;0;0;FALSE
"paultag";2555;10;0;1;2;4;1;FALSE
"dillera";2572;3;2;1;1;51;0;TRUE
"philipcristiano";2573;1;1;0;0;0;0;FALSE
"dvoet";2687;64;0;1;7;62;28;FALSE
"dvoet";2600;1;0;4;4;16;3;FALSE
"puffnfresh";2608;1;0;0;0;0;0;FALSE
"alvinlai";2634;5;0;1;1;1;1;FALSE
"nha";2639;8;1;0;0;0;0;FALSE
"rinrinne";2832;7;0;1;5;19;6;FALSE
"jhorey";4795;14;0;6;5;138;42;TRUE
"jhorey";2839;1;0;8;5;21;4;TRUE
"lhazlewood";2845;12;0;1;1;4;3;FALSE
"rmillner";2902;64;7;1;10;59;10;FALSE
"scjudd";2905;3;0;1;1;5;3;FALSE
"huckphin";2906;1;0;1;1;0;2;FALSE
"kasiajanocha";2956;8;0;1;2;6;0;FALSE
"cvlc";2974;51;9;1;6;554;81;FALSE
"chilicat";2976;6;0;0;0;0;0;FALSE
"kevinwallace";3055;2;0;0;0;0;0;TRUE
"kevinwallace";2979;70;3;0;0;0;0;TRUE
"calebTomlinson";3026;6;5;1;2;32;5;FALSE
"wouterd";3042;8;0;3;1;42;40;FALSE
"iemejia";3054;2;0;0;0;0;0;FALSE
"mmoulton";3067;1;0;1;2;2;0;FALSE
"papanikge";3093;1;0;1;2;5;8;FALSE
"bravely";3164;0;0;1;1;8;0;FALSE
"riywo";3204;3;0;1;1;2;0;FALSE
"dangra";3209;3;2;1;1;6;4;FALSE
"jeffxor";3220;2;0;0;0;0;0;FALSE
"wking";9598;10;0;5;1;11;7;FALSE
"wking";6070;12;4;10;14;219;1;FALSE
"wking";3216;17;0;1;7;155;5;FALSE
"niklas";3235;16;4;3;4;10;6;FALSE
"rbinsztock";3319;2;0;1;1;3;3;FALSE
"paulczar";16610;6;0;1;1;7;0;FALSE
"paulczar";3332;2;0;1;2;11;4;FALSE
"thomas-holmes";3342;4;0;1;1;1;0;FALSE
"inthecloud247";3354;5;0;1;1;2;0;FALSE
"abierbaum";3360;15;2;3;3;53;2;FALSE
"sdwr98";3397;4;0;2;0;0;0;FALSE
"interlock";3452;14;0;1;1;20;1;FALSE
"jvermillard";3890;15;3;1;2;28;6;FALSE
"jvermillard";3505;18;3;1;4;14;1;FALSE
"aalexand";3536;1;0;1;1;1;1;FALSE
"dz0ny";3601;4;0;1;1;1;1;FALSE
"savingschampion";3602;6;2;1;1;7;0;FALSE
"kenshin54";6418;6;0;1;1;2;1;FALSE
"kenshin54";3604;9;0;10;16;757;41;FALSE
"amatas";3627;5;0;1;1;2;1;FALSE
"soccermitchy";3659;8;0;2;6;51;2;FALSE
"cheneydeng";3733;1;0;11;6;214;9;FALSE
"cheneydeng";3732;0;0;2;6;117;9;FALSE
"cheneydeng";3731;0;0;19;6;118;11;FALSE
"cheneydeng";3719;0;0;8;1;71;16;FALSE
