"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"Reisen";272;3;0;1;1;11;0;TRUE
"felixhummel";280;5;0;3;1;6;5;FALSE
"jab";292;2;0;1;1;2;2;FALSE
"Poincare";499;1;0;1;1;1;1;FALSE
"Poincare";355;7;2;2;1;80;0;FALSE
"Poincare";302;2;0;1;1;1;1;FALSE
"Poincare";300;3;0;1;1;3;1;FALSE
"Poincare";296;3;0;4;2;35;6;FALSE
"Poincare";295;0;0;4;2;35;6;FALSE
"ab3";319;1;0;3;2;112;0;FALSE
"elmcrest";335;1;0;0;0;0;0;FALSE
"lolsborn";336;2;0;1;2;30;1;TRUE
"dorkitude";340;1;0;2;1;3;3;TRUE
"joeyespo";341;4;0;1;1;4;0;FALSE
"cybertoast";343;2;0;1;1;34;2;TRUE
"sojin";346;0;0;1;2;13;1;FALSE
"7footmoustache";349;1;0;0;0;0;0;TRUE
"simonz05";365;0;0;0;0;0;0;FALSE
"davidthewatson";366;1;0;0;0;0;0;FALSE
"mfa";383;5;0;4;1;6;1;FALSE
"ash211";408;1;0;1;1;1;1;TRUE
"ib-lundgren";447;2;0;1;1;1;0;FALSE
"dgerber";463;3;0;0;0;0;0;TRUE
"dgerber";156;1;0;0;0;0;0;TRUE
"lifeisstillgood";490;1;0;0;0;0;0;FALSE
"tomekwojcik";504;0;0;2;11;119;0;FALSE
"stepanbujnak";523;2;0;0;0;0;0;FALSE
"bobuk";535;1;0;0;0;0;0;FALSE
"yunfan";545;5;0;1;1;1;0;FALSE
"wibblymat";554;7;0;0;0;0;0;FALSE
"dgilman";558;3;0;2;1;15;0;FALSE
"obestwalter";581;3;0;0;0;0;0;FALSE
"techniq";597;2;0;1;5;257;11;FALSE
"tomasd";604;1;0;1;1;7;1;FALSE
"puzzlet";627;8;0;6;29;438;358;FALSE
"martijnvermaat";629;1;0;1;1;3;1;FALSE
"dhilipsiva";638;3;0;0;0;0;0;FALSE
"ming13";643;1;0;0;0;0;0;FALSE
"joequery";652;11;0;1;1;5;0;FALSE
"lovesh";656;3;0;2;3;71;9;FALSE
"danielchatfield";657;0;0;0;0;0;0;FALSE
"DazWorrall";670;2;0;1;2;8;1;FALSE
"frockdesigns";675;9;0;1;1;21;0;FALSE
"victortrac";694;2;0;2;2;2;2;FALSE
"mattbasta";698;3;0;0;0;0;0;FALSE
"netspyer";2076;14;0;1;1;1;0;FALSE
"netspyer";703;4;0;1;1;1;1;FALSE
"masklinn";711;6;0;1;1;8;0;FALSE
"omh";715;1;0;1;1;4;4;FALSE
"lgastako";717;6;0;1;2;82;0;FALSE
"demianbrecht";726;6;0;0;0;0;0;FALSE
"gatagat";727;1;0;1;1;9;9;FALSE
"CMGS";753;3;0;0;0;0;0;FALSE
"liks79";1739;3;0;1;1;2;2;FALSE
"liks79";756;4;0;173;173;10738;1;FALSE
"mblayman";761;2;0;1;1;4;0;FALSE
"devilicecream";790;8;0;2;3;109;3;FALSE
"mostafar";792;12;1;3;2;16;1;FALSE
"vivekagr";814;1;0;1;1;1;1;FALSE
"mortbauer";845;1;0;1;1;1;0;FALSE
"teaguesterling";848;0;0;1;0;0;0;FALSE
"teaguesterling";847;0;0;1;0;0;0;FALSE
"ktmud";849;2;0;1;1;5;0;FALSE
"heuer";867;2;0;0;0;0;0;FALSE
"ashishb";875;4;0;1;1;2;2;FALSE
"zvin";880;1;0;1;2;19;1;FALSE
"ykumar6";888;5;0;1;1;1;0;FALSE
"acoomans";893;9;0;3;2;23;0;FALSE
"Godley";910;0;0;1;1;3;1;FALSE
"ics";911;8;0;2;1;3;0;FALSE
"phaer";915;3;0;0;0;0;0;FALSE
"yukiChow";916;0;0;5;5;41;8;TRUE
"uniphil";921;1;0;1;1;3;0;FALSE
"andymckay";924;2;0;1;1;1;1;FALSE
"davislx";929;2;0;1;4;35;1;FALSE
"zhangliyong";930;3;0;2;2;24;8;FALSE
"Tim-Erwin";940;2;0;2;1;2;1;FALSE
"bbenne10";951;3;0;0;0;0;0;FALSE
"madflow";954;1;0;0;0;0;0;FALSE
"awebdeveloper";957;4;0;1;1;1;1;FALSE
"codeape2";958;15;0;1;3;19;1;FALSE
"jso";959;1;0;1;1;3;1;FALSE
"gillestasse";970;4;0;1;1;5;0;FALSE
"adrianmoisey";979;2;0;1;1;1;0;FALSE
"markoj";982;1;0;1;1;1;0;FALSE
"hiroakis";987;3;0;1;4;51;1;FALSE
"WoutervdBrink";991;3;0;0;0;0;0;FALSE
"robsonpeixoto";1003;1;0;0;0;0;0;FALSE
"mallyvai";1013;6;0;1;1;8;6;FALSE
"mitgr81";1017;2;0;1;1;8;2;FALSE
"fureigh";1018;1;0;1;1;1;0;FALSE
"koddsson";1028;5;0;6;3;48;5;FALSE
"tvieira";1029;2;0;1;6;9;9;FALSE
"andrewsmedina";1053;2;0;1;1;4;4;FALSE
"smurfix";1056;8;0;1;1;8;1;FALSE
"caspervg";1093;10;0;6;2;17;0;FALSE
"ctava";1109;14;0;1;6;101;2;FALSE
"ctava";1107;1;0;1;6;102;3;FALSE
"ctava";1103;1;0;10;7;76;5;FALSE
"master-zhuang";1116;13;0;1;1;2;2;FALSE
"tdihp";1119;3;0;1;1;2;2;FALSE
"itmard";1120;1;0;0;0;0;0;FALSE
"toader";1136;6;0;0;0;0;0;FALSE
"iurisilvio";1141;1;0;0;0;0;0;FALSE
"stefanooldeman";1142;3;0;1;1;12;12;FALSE
"alanhamlett";1537;6;5;5;1;21;2;TRUE
"alanhamlett";1515;12;3;2;7;49;13;TRUE
"alanhamlett";1176;7;0;3;5;31;7;TRUE
"tokheim";1178;0;0;1;3;23;0;FALSE
"WyseNynja";1184;7;0;0;0;0;0;TRUE
"frabcus";1195;2;0;1;1;2;0;FALSE
"gcallsen";1203;8;4;1;3;41;3;TRUE
"nickretallack";1209;14;7;4;3;22;2;FALSE
"Hasimir";1223;10;0;2;1;4;2;FALSE
"epadillas";1236;1;0;1;1;3;1;FALSE
"mastier";1253;1;0;0;0;0;0;FALSE
"eugene-eeo";1258;6;0;0;0;0;0;FALSE
"dhamaniasad";1260;4;0;1;1;1;0;FALSE
"AndrewBMartin";1275;2;0;1;1;1;1;TRUE
"kevmo";1287;0;0;1;1;1;1;FALSE
"noirbizarre";1301;11;0;2;3;63;4;FALSE
"Jayin";1306;1;0;0;0;0;0;FALSE
"melvin0008";1320;4;0;4;13;700;0;FALSE
"KarelJakubec";1331;1;0;1;1;1;1;FALSE
"univerio";1337;3;0;1;2;17;1;FALSE
"guilleJB";1339;1;0;2;1;4;1;FALSE
"pjhampton";1363;2;0;0;0;0;0;FALSE
"mayankgupta173";1365;6;2;1;1;22;6;FALSE
"alexpantyukhin";2091;2;0;1;1;1;5;TRUE
"alexpantyukhin";2090;0;0;1;1;1;1;TRUE
"alexpantyukhin";1390;15;9;8;7;53;2;TRUE
"jasonTu";1399;1;0;0;0;0;0;FALSE
"tonyxty";1402;0;0;0;0;0;0;FALSE
"tonyxty";1400;0;0;0;0;0;0;FALSE
"bsandrow";1401;2;0;1;1;1;1;TRUE
"ldgeo";1403;4;0;1;2;6;1;FALSE
"pythonpb13";1404;2;0;1;1;15;15;FALSE
"amaneight";1405;1;0;0;0;0;0;FALSE
"adambyrtek";1416;48;23;13;7;181;98;FALSE
"adambyrtek";1408;11;4;3;4;31;1;FALSE
"emilecaron";1428;0;0;1;1;23;2;FALSE
"iszlai";1436;1;0;5;2;29;47;FALSE
"mreinhardt";1439;2;0;3;3;74;0;FALSE
"garaden";1767;3;7;1;3;86;17;FALSE
"garaden";1451;13;0;1;3;85;17;FALSE
"goneri";1458;0;0;1;1;2;1;FALSE
"nitori";1468;5;0;1;1;38;0;FALSE
"sinwoobang";1472;3;0;0;0;0;0;FALSE
"igncp";1486;3;0;0;0;0;0;FALSE
"igncp";1476;6;0;0;0;0;0;FALSE
"igncp";1475;0;0;0;0;0;0;FALSE
"tonyseek";1479;7;0;1;2;99;0;FALSE
"rawrgulmuffins";1834;2;0;1;20;20;20;FALSE
"rawrgulmuffins";1482;4;0;6;2;16;1;FALSE
"ZhangBohan";1487;2;0;1;1;1;1;FALSE
"jmagnusson";1493;23;1;2;1;4;10;FALSE
"AlexKhodaverdian";1495;4;0;1;1;42;0;FALSE
"reduxionist";1501;3;0;0;0;0;0;FALSE
"killerbat00";1514;0;0;0;0;0;0;FALSE
"yecllsl";1522;1;0;1;0;0;0;FALSE
"mbr";1536;8;4;1;1;8;1;FALSE
"bartigor";1542;0;0;0;0;0;0;FALSE
"clementallen";1549;2;0;0;0;0;0;FALSE
"cashaddy";1566;1;0;0;0;0;0;FALSE
"vivekanand1101";1567;2;1;4;2;43;47;FALSE
"dkoleary88";1595;1;0;1;1;1;1;FALSE
"LennartP";1596;13;0;0;0;0;0;FALSE
"inirudebwoy";1598;3;0;2;1;6;0;TRUE
"belanhd";1609;1;0;1;1;1;0;FALSE
"ABaldwinHunter";1613;5;0;0;0;0;0;FALSE
"guyskk";1634;5;1;2;2;41;1;FALSE
"mscalora";1636;1;0;2;5;192;62;FALSE
"2080";1638;0;0;5;5;41;8;FALSE
"yshlodha";1643;16;0;1;3;10;3;FALSE
"yshlodha";1642;3;0;5;3;4;3;FALSE
"rochacbruno";1653;1;0;0;0;0;0;FALSE
"Satender052";1657;2;0;0;0;0;0;FALSE
"daimon99";1659;1;0;2;1;5;4;FALSE
"daimon99";1658;0;0;1;1;4;4;FALSE
