"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"ringerc";1325;28;4;3;8;262;10;TRUE
"ringerc";1324;8;4;1;1;26;3;TRUE
"cmfcmf";1343;8;0;1;1;10;9;FALSE
"ygge";1346;7;0;1;1;1;1;FALSE
"cjbush";1381;6;8;3;4;34;6;FALSE
"GregOriol";1382;14;0;1;1;2;0;FALSE
"llibicpep";1409;3;0;0;0;0;0;FALSE
"cschoell";1427;6;3;1;2;7;2;FALSE
"mar-io";1457;5;0;1;2;2;2;FALSE
"metaspace";1465;2;2;1;1;2;0;FALSE
"ruoxijiang";1471;4;0;3;1;1;1;TRUE
"oharboe";1478;21;2;1;1;5;3;FALSE
"olenz";1535;0;0;1;1;1;0;TRUE
"olenz";145;3;0;4;6;31;1;TRUE
"jieryn";1537;4;0;2;2;15;2;TRUE
"baskaran-md";1544;10;0;1;1;2;3;FALSE
"draugz";1545;1;0;1;2;37;26;FALSE
"brunocarneiro";1582;2;4;2;4;27;2;FALSE
"chynten";1602;4;0;0;0;0;0;FALSE
"chynten";1599;5;0;0;0;0;0;FALSE
"mmlegrand";1605;4;7;4;2;11;5;TRUE
"sathiya-mit";1632;0;6;0;0;0;0;FALSE
"raintean";1646;0;0;0;0;0;0;FALSE
"dietmax";1695;4;0;0;0;0;0;FALSE
"jhoblitt";1718;3;0;1;1;1;1;FALSE
"ari";1746;25;0;4;2;11;12;FALSE
"gv2011";1752;1;2;3;2;66;58;FALSE
"gv2011";1751;0;0;3;2;66;58;FALSE
"rolsdorph";1769;3;1;2;1;22;0;TRUE
"hashar";1775;4;0;1;4;8;5;FALSE
"Jochen-A-Fuerbacher";1792;4;1;1;1;11;0;FALSE
"mrooney";1829;5;1;3;1;9;11;FALSE
"vvv444";1844;8;0;1;1;3;0;FALSE
"jninnes";1885;10;0;2;5;38;17;FALSE
"seryl";1909;9;0;1;1;3;3;FALSE
"seryl";1901;3;0;1;1;3;3;FALSE
"Grizzlyt";1903;1;0;9275;9291;240718;163600;TRUE
"paulmillar";1906;6;0;1;1;40;0;FALSE
"ScoobyChris";1912;8;0;5;5;37;4;FALSE
"ScoobyChris";1911;0;0;4;5;39;4;FALSE
"RCFans";1925;1;0;2;1;1;1;FALSE
"ngksternhagen";1944;2;0;1;1;1;1;FALSE
"lukaszkarnasiewicz";1947;7;2;1;1;11;6;FALSE
"lukaszkarnasiewicz";1946;0;0;1;1;11;6;FALSE
"NBardelot";1954;2;0;1;2;24;5;FALSE
"vvitayau";1966;3;0;1;1;1;1;FALSE
"ozcanovunc";2005;6;0;0;0;0;0;FALSE
"OscarRobertRodriguez";2030;3;1;6;1;2;1;FALSE
"ajub";189;1;0;25;12;2107;0;FALSE
"ajub";96;3;0;8;3;494;0;FALSE
"ajub";91;1;0;1;6;713;0;FALSE
"wgriffiths";190;1;0;0;0;0;0;FALSE
"ffo";192;4;0;2;0;0;0;FALSE
"thomasmorse";209;3;0;1;1;2;2;FALSE
"sshekher";212;2;5;4;10;92;18;FALSE
"fieldmar";215;1;0;1;1;14;5;TRUE
"simoleone";224;7;0;1;1;8;5;FALSE
"awarddev";229;7;0;1;1;73;69;FALSE
"ralfEdmund";237;10;3;2;2;17;0;FALSE
"isware";240;1;0;1;3;60;28;FALSE
"stefanbrausch";241;1;0;3;1;1;0;TRUE
"cspotcode";246;1;0;1;1;20;0;FALSE
"freimair";259;3;0;3;3;43;0;FALSE
"freimair";257;3;0;5;10;66;3;FALSE
"rborer";1045;6;2;2;21;158;158;TRUE
"rborer";452;2;0;5;1;19;16;TRUE
"rborer";281;1;0;1;1;29;21;TRUE
"jaakkopaakkonen";288;4;0;1;1;9;4;FALSE
"illicitonion";290;1;0;0;0;0;0;FALSE
"emanuelez";523;1;0;1;1;1;1;TRUE
"emanuelez";449;11;0;1;4;37;40;TRUE
"emanuelez";446;1;0;2;4;37;40;TRUE
"emanuelez";303;1;0;1;1;21;11;TRUE
"motlin";305;1;0;0;0;0;0;TRUE
"justinedelson";306;2;0;1;3;30;0;TRUE
"blueyed";308;1;0;1;2;12;6;TRUE
"mzs-github";312;1;0;1;2;12;5;FALSE
"Elbandi";321;1;0;2;1;25;11;TRUE
"Elbandi";314;1;0;1;1;2;0;TRUE
"costincaraivan";322;1;0;2;2;33;7;TRUE
