"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"jlleblanc";218;38;0;4;6;9537;0;FALSE
"jlleblanc";3;15;0;2;1;4;1;FALSE
"kyleledbetter";529;4;0;3;4;22;25;TRUE
"kyleledbetter";449;1;0;1;2;133;2;TRUE
"kyleledbetter";444;0;0;2;6;22;8;TRUE
"kyleledbetter";443;7;0;2;4;101;29;TRUE
"kyleledbetter";37;5;2;2;1;11;11;TRUE
"kyleledbetter";5;12;0;1;1;8;8;TRUE
"tbela99";22;1;0;1;1;1;1;FALSE
"TBK0000";44;2;0;0;0;0;0;FALSE
"TBK0000";28;6;0;0;0;0;0;FALSE
"drmmr763";3788;46;3;8;1283;0;1285;TRUE
"drmmr763";1761;0;0;2;1;0;1;TRUE
"drmmr763";1760;3;0;4;1;6;3;TRUE
"drmmr763";1759;2;0;3;1;12;14;TRUE
"drmmr763";1253;0;0;1;1;1;1;TRUE
"drmmr763";1252;1;0;2;1;8;1;TRUE
"drmmr763";1241;0;0;1;1;1;1;TRUE
"drmmr763";1228;7;1;1;2;16;2;TRUE
"drmmr763";1225;0;0;1;3;4110;3920;TRUE
"drmmr763";1224;3;0;1;2;38;19;TRUE
"drmmr763";1223;9;1;5;1;6;4;TRUE
"drmmr763";40;2;0;1;3;175;34;TRUE
"carson3511";64;5;2;0;0;0;0;FALSE
"montano";79;1;0;1;1;1;0;FALSE
"gpongelli";507;12;0;4;2;8;8;TRUE
"gpongelli";384;1;0;1;1;1;1;TRUE
"gpongelli";307;14;12;12;46;4509;105;TRUE
"gpongelli";169;2;0;12;12;50;7;TRUE
"gpongelli";166;5;0;44;86;6941;221;TRUE
"gpongelli";84;1;0;78;328;12895;5197;TRUE
"WebMechanic";132;3;0;0;0;0;0;TRUE
"WebMechanic";131;2;0;0;0;0;0;TRUE
"WebMechanic";88;6;0;0;0;0;0;TRUE
"Naouak";741;5;0;1;1;1;1;TRUE
"Naouak";90;4;0;2;3;15;4;TRUE
"wicaksono";92;2;0;1;3;248;0;TRUE
"wicaksono";91;1;0;1;1;0;0;TRUE
"simbus82";97;3;0;2;1;1;1;FALSE
"M-Falken";104;7;0;1;1;1;1;FALSE
"ahmadrusli";110;1;0;1;1;1;2;FALSE
"ahmadrusli";109;3;0;1;1;1;1;FALSE
"ahmadrusli";108;3;0;1;1;0;5;FALSE
"advans";115;4;0;1;49;4720;10361;FALSE
"rcorral";116;9;0;4;16;18749;2;FALSE
"fxstein";120;1;0;2;1;1;1;FALSE
"pollen8";7126;12;2;2;11;38;24;TRUE
"pollen8";2092;4;0;4;3;18;2;TRUE
"pollen8";2061;1;0;6;4;29;48;TRUE
"pollen8";707;5;0;6;6;807;75;TRUE
"pollen8";123;2;0;13;5;159;3;TRUE
"j16sdiz";125;2;2;0;0;0;0;FALSE
"pepellou";128;2;0;1;1;2;0;TRUE
"klauswilms";138;5;4;4;2;4;2;TRUE
"klauswilms";129;3;0;1;1;2;2;TRUE
"qawemlilo";136;2;0;1;1;89;0;FALSE
"benjaminpick";229;1;0;3;3;121;24;TRUE
"benjaminpick";160;5;0;5;1;6;4;TRUE
"benjaminpick";143;1;0;5;1;1;1;TRUE
"AstDerek";152;3;1;1;1;38;57;FALSE
"AstDerek";151;4;1;1;1;46;60;FALSE
"JonahBraun";154;9;0;1;1;18;14;FALSE
"JonahBraun";153;11;0;1;1;45;0;FALSE
"cheryeong";736;1;0;1;1;1;1;TRUE
"cheryeong";735;0;0;92;2456;5719;3511;TRUE
"cheryeong";159;3;0;1;1;2;2;TRUE
"AndOne1974";165;1;0;1;3;3;3;FALSE
"aaronschmitz";562;1;0;1;1;1;1;TRUE
"aaronschmitz";347;1;0;2;1;2;1;TRUE
"aaronschmitz";318;0;0;1;1;6;35;TRUE
"aaronschmitz";168;3;0;2;2;19;3;TRUE
"projeteweb";177;3;0;1;1;2;1;FALSE
"wdaniels";199;2;0;1;1;2;2;FALSE
"wdaniels";198;5;0;39;69;283;233;FALSE
"wdaniels";185;4;3;57;63;170;139;FALSE
