"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"gurdiga";428;2;0;0;0;0;0;FALSE
"andrew-sayers--slando";429;3;0;1;1;1;0;FALSE
"hlian";430;5;0;0;0;0;0;FALSE
"stephenjudkins";435;6;0;2;1;4;0;FALSE
"caleb531";682;6;0;0;0;0;0;FALSE
"caleb531";437;7;0;0;0;0;0;FALSE
"plukevdh";438;4;0;2;2;28;9;FALSE
"josh";439;1;0;0;0;0;0;FALSE
"shesek";440;6;0;1;1;4;0;FALSE
"olivernn";441;1;0;1;4;21;14;FALSE
"kpozin";450;1;0;1;1;7;5;FALSE
"scott-hughes";452;3;0;0;0;0;0;FALSE
"scott-hughes";389;4;2;0;0;0;0;FALSE
"scott-hughes";388;7;0;0;0;0;0;FALSE
"scott-hughes";387;1;0;0;0;0;0;FALSE
"zacstewart";462;6;3;0;0;0;0;FALSE
"rotorz";469;3;0;0;0;0;0;FALSE
"moschel";470;6;8;1;2;16;3;FALSE
"zertosh";472;5;0;0;0;0;0;FALSE
"zertosh";471;5;2;0;0;0;0;FALSE
"yeikos";475;4;2;0;0;0;0;FALSE
"jigfox";479;3;0;1;2;8;2;FALSE
"scriptmaster";488;5;0;3;2;22;0;FALSE
"joelbirchler";493;9;0;1;1;3;3;FALSE
"jtaby";494;3;0;1;2;36;7;FALSE
"aitorciki";495;9;2;4;2;32;2;FALSE
"alexturpin";497;5;0;0;0;0;0;FALSE
"silentroach";1134;7;0;0;0;0;0;FALSE
"silentroach";1121;2;0;0;0;0;0;FALSE
"silentroach";498;5;0;0;0;0;0;FALSE
"jsoverson";501;5;0;0;0;0;0;FALSE
"Nemesis9765";505;2;5;0;0;0;0;FALSE
"Nemesis9765";504;1;0;0;0;0;0;FALSE
"shrage";506;1;0;1;1;24;3;FALSE
"hooper";516;2;0;0;0;0;0;FALSE
"ConradIrwin";517;2;0;1;3;13;2;FALSE
"tomgrohl";518;5;2;0;0;0;0;FALSE
"tomgrohl";241;3;2;0;0;0;0;FALSE
"br41n0t1cs";521;2;4;1;2;58;9;FALSE
"padolsey";526;7;0;4;1;7;5;TRUE
"doflah";527;7;1;0;0;0;0;FALSE
"Wilfred";532;4;0;0;0;0;0;FALSE
"bmustiata";533;1;9;0;0;0;0;FALSE
"berkerpeksag";536;1;2;0;0;0;0;TRUE
"berkerpeksag";534;1;0;0;0;0;0;TRUE
"charliesome";537;6;0;4;2;18;5;FALSE
"geoffhuston";542;4;0;0;0;0;0;FALSE
"JangoSteve";544;1;3;1;2;5;4;FALSE
"Southern";546;5;0;0;0;0;0;FALSE
"Southern";545;1;0;0;0;0;0;FALSE
"matthewmueller";1474;7;0;1;1;1;4;TRUE
"matthewmueller";548;1;0;1;1;0;2;TRUE
"mikaelkaron";779;1;0;0;0;0;0;FALSE
"mikaelkaron";549;1;0;0;0;0;0;FALSE
"ryanflorence";557;29;1;1;2;17;16;FALSE
"ryanflorence";185;1;0;1;10;16049;0;FALSE
"mattheworiordan";559;6;0;1;2;13;2;FALSE
"mattheworiordan";558;4;2;1;2;9;2;FALSE
"philmander";566;9;2;7;2;48;5;FALSE
"SaraJo";567;4;0;1;1;1;1;FALSE
"LeonFedotov";570;5;0;0;0;0;0;FALSE
"rafbm";571;5;1;4;2;4;5;TRUE
"bmar";572;1;1;1;1;2;1;FALSE
"jyli7";573;3;0;1;2;56;32;FALSE
"KaneCohen";575;4;0;0;0;0;0;FALSE
"tobio";631;7;1;3;3;25;10;FALSE
"tobio";576;4;5;3;2;32;3;FALSE
"jrburke";1150;9;0;1;2;9;16;TRUE
"jrburke";586;6;0;2;7;35;24;TRUE
"jrburke";584;7;0;1;4;19;34;TRUE
"jrburke";331;3;0;1;3;34;2;TRUE
"jrburke";166;2;0;10;6;213;2;TRUE
"jrburke";25;1;0;5;1;5;0;TRUE
"gyoshev";599;1;0;1;2;32;3;FALSE
"hx";603;6;0;1;1;8;3;FALSE
"pimvdb";609;4;0;0;0;0;0;FALSE
"poopsnagle";617;2;0;1;1;1;1;FALSE
"taberh";618;2;0;0;0;0;0;FALSE
"Cokegod";620;2;0;0;0;0;0;FALSE
"cederigo";621;4;0;0;0;0;0;FALSE
"tojocky";638;2;0;1;2;3;3;FALSE
"tojocky";637;4;0;1;2;34;1;FALSE
"tojocky";635;5;0;5;4;33;2;FALSE
"tojocky";632;4;0;1;1;16;0;FALSE
"mashal";634;0;0;1;1;1;0;FALSE
"jamie-pate";636;5;4;1;1;4;3;FALSE
"rchmura";641;2;0;1;10;50;50;FALSE
"inspiredjw";645;8;0;0;0;0;0;FALSE
"inspiredjw";644;1;0;0;0;0;0;FALSE
