"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"klrkdekira";54;4;0;0;0;0;0;FALSE
"jkassemi";55;1;0;1;1;1;1;FALSE
"inthecloud247";65;7;0;1;1;1;1;FALSE
"inthecloud247";56;10;0;1;1;1;1;FALSE
"stvnrhodes";61;3;0;0;0;0;0;FALSE
"dgageot";336;2;0;1;1;0;5;FALSE
"rakyll";406;3;11;4;10;37;20;TRUE
"tmc";437;3;0;1;1;2;2;FALSE
"mohit";779;0;0;0;0;0;0;FALSE
"mohit";553;14;16;0;0;0;0;FALSE
"feczo";577;2;0;1;1;4;4;FALSE
"alexandrosm";631;0;0;1;1;1;1;FALSE
"stephanbuys";657;3;0;0;0;0;0;FALSE
"vishvananda";4821;8;0;1;1;23;5;FALSE
"vishvananda";4820;7;0;1;1;17;5;FALSE
"vishvananda";1440;5;6;1;1;43;2;FALSE
"flavio";1719;1;0;1;1;3;3;FALSE
"kerwin";1769;3;0;0;0;0;0;FALSE
"josselin-c";1774;7;2;1;1;17;2;FALSE
"ericanthonysilva";2101;3;0;1;1;1;1;FALSE
"jimwhite";2401;5;0;1;1;2;2;FALSE
"achanda";2422;3;0;1;1;0;1;FALSE
"lgs";2557;2;0;1;3;2;1;FALSE
"lgs";2543;8;0;1;1;9;9;FALSE
"jeffrey4l";2646;3;0;1;1;1;1;FALSE
"silasdavis";2649;10;0;2;1;266;241;FALSE
"premist";2669;2;0;1;1;1;1;FALSE
"zefhemel";2680;4;0;1;1;1;1;FALSE
"kiyoto";2727;3;0;1;1;1;1;FALSE
"timfpark";2997;6;0;1;1;2;2;FALSE
"georgepoenaru";3200;3;0;3;11;23;19;FALSE
"fossilet";3400;3;0;0;0;0;0;FALSE
"nhorman";6386;5;0;5;11;310;32;FALSE
"nhorman";3435;20;0;22;8;516;0;FALSE
"cedbossneo";3555;7;0;1;1;2;1;FALSE
"sorah";3632;4;0;1;4;116;2;FALSE
"ajlanghorn";3814;5;0;0;0;0;0;FALSE
"chanezon";4362;9;0;1;1;1;1;FALSE
"ruo91";4481;6;0;1;1;2;0;FALSE
"jerrykan";4888;4;0;0;0;0;0;FALSE
"cnaize";5302;10;0;1;1;1;1;FALSE
"cnaize";5298;3;0;1;1;2;0;FALSE
"shai-weinstein";5700;12;17;9;7;358;0;FALSE
"dennybritz";5839;11;0;1;1;2;13;FALSE
"mwuertinger";6254;3;0;1;1;2;2;FALSE
"jiangliyang";6273;3;3;1;5;202;44;FALSE
"etiennetremel";6474;8;0;2;9;23;23;FALSE
"mikeorzel2";6507;16;4;0;0;0;0;FALSE
"milesrichardson";6588;7;0;0;0;0;0;FALSE
"arunoda";6659;4;0;1;1;1;1;FALSE
"tshrklr";6688;6;0;1;1;1;1;FALSE
"mansoorj";7524;7;0;1;254;762;14;FALSE
"mansoorj";6829;3;0;1;218;654;14;FALSE
"mansoorj";6826;7;0;1;220;660;16;FALSE
"mansoorj";6715;10;0;1;283;849;19;FALSE
"drocsid";6827;4;0;2;1;5;1;FALSE
"avikram";6909;2;0;4;2;262;86;FALSE
"mhausenblas";7290;5;0;1;2;15;0;FALSE
"mhausenblas";7287;7;38;1;3;271;0;FALSE
"mrphoebs";7558;7;0;1;1;1;1;FALSE
"rljohnsn";8095;7;0;1;1;2;2;FALSE
"adam-erickson";8370;2;0;0;0;0;0;FALSE
"netalien";8387;1;0;1;1;1;1;FALSE
"netalien";8385;1;0;1;1;3;3;FALSE
"swarren83";11929;11;0;1;1;1;1;FALSE
"swarren83";8984;5;0;1;1;2;2;FALSE
"gijzelaerr";9109;5;0;1;1;1;1;FALSE
