"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"johnnye";19;5;0;0;0;0;0;FALSE
"kuzeko";41;2;0;0;0;0;0;FALSE
"kuzeko";40;9;0;0;0;0;0;FALSE
"richthegeek";387;2;0;1;1;11;11;FALSE
"richthegeek";54;1;0;2;2;23;1;FALSE
"gerrywastaken";61;4;0;1;2;2;1;FALSE
"samueldr";62;2;0;0;0;0;0;FALSE
"rolisz";65;1;0;0;0;0;0;FALSE
"hakre";67;1;0;0;0;0;0;FALSE
"funny-falcon";68;6;0;0;0;0;0;FALSE
"mywizz";74;2;0;1;1;2;0;FALSE
"binho";78;2;0;1;1;13;2;FALSE
"ralf57";95;1;0;0;0;0;0;FALSE
"akhawaja";145;1;0;0;0;0;0;FALSE
"akhawaja";144;2;0;0;0;0;0;FALSE
"tombenton";182;2;0;0;0;0;0;FALSE
"ccschmitz";303;3;0;0;0;0;0;TRUE
"ccschmitz";301;2;0;0;0;0;0;TRUE
"ccschmitz";184;5;0;0;0;0;0;TRUE
"chonthu";225;3;0;0;0;0;0;FALSE
"bmatschullat";227;7;0;0;0;0;0;FALSE
"mjaschen";2106;1;0;9;4;44;2;TRUE
"mjaschen";523;1;0;1;1;1;0;TRUE
"mjaschen";233;5;0;1;2;15;11;TRUE
"mjaschen";232;0;0;2;3;19;13;TRUE
"mjaschen";230;4;0;3;1;4;0;TRUE
"reith2004";231;0;0;2;1;1;1;FALSE
"guisehn";250;1;0;0;0;0;0;FALSE
"sqwk";392;2;0;0;0;0;0;FALSE
"sqwk";391;0;0;0;0;0;0;FALSE
"sqwk";274;1;0;0;0;0;0;FALSE
"sqwk";269;4;0;0;0;0;0;FALSE
"sqwk";268;0;0;0;0;0;0;FALSE
"sqwk";251;0;0;0;0;0;0;FALSE
"subdesign";277;2;0;0;0;0;0;TRUE
"mooseware";284;1;0;0;0;0;0;FALSE
"jahvi";513;6;0;0;0;0;0;FALSE
"jahvi";293;2;0;0;0;0;0;FALSE
"djtarazona";330;1;0;3;0;0;0;FALSE
"hassan-c";333;1;0;1;1;1;0;FALSE
"drewjoh";348;1;0;1;1;39;1;FALSE
"Perturbatio";1411;3;0;0;0;0;0;FALSE
"Perturbatio";390;0;0;0;0;0;0;FALSE
"swt83";419;1;0;0;0;0;0;FALSE
"swt83";417;2;0;0;0;0;0;FALSE
"swt83";413;2;0;0;0;0;0;FALSE
"swt83";412;5;0;0;0;0;0;FALSE
"swt83";411;3;0;0;0;0;0;FALSE
"swt83";410;0;0;0;0;0;0;FALSE
"swt83";409;0;0;0;0;0;0;FALSE
"serpentblade";418;1;0;1;2;36;15;FALSE
"mybigman";447;1;0;1;1;6;1;FALSE
"hovatterz";450;1;0;0;0;0;0;FALSE
"taskaz";460;0;0;1;3;18;7;FALSE
"fhjbalfoort";470;1;0;0;0;0;0;TRUE
"fhjbalfoort";469;0;0;0;0;0;0;TRUE
"fhjbalfoort";467;0;0;0;0;0;0;TRUE
"ryanabrams";500;2;0;0;0;0;0;FALSE
"ryanabrams";499;0;0;0;0;0;0;FALSE
"ryanabrams";495;0;0;0;0;0;0;FALSE
"atourino";497;1;0;1;1;1;1;FALSE
"wildlyinaccurate";896;7;2;0;0;0;0;FALSE
"wildlyinaccurate";539;9;0;0;0;0;0;FALSE
"atasever";540;1;0;0;0;0;0;FALSE
"maikeldaloo";554;1;0;0;0;0;0;FALSE
"reinyjunior";567;0;0;0;0;0;0;FALSE
"mrtimp";586;1;0;1;1;6;2;FALSE
"billortell";610;0;0;255;222;22936;1363;TRUE
"mileswebdesign";632;25;0;2;1;12;3;FALSE
"conradkleinespel";680;3;0;0;0;0;0;FALSE
"vpetrov";708;1;0;0;0;0;0;FALSE
"mdgrech";710;21;0;1;1;4;1;FALSE
