"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"chtitux";60;2;0;1;1;1;1;FALSE
"Keruspe";65;2;0;0;0;0;0;FALSE
"Keruspe";63;2;0;0;0;0;0;FALSE
"acmorrow";66;3;0;1;3;60;20;TRUE
"swapsmagic";69;3;0;2;1;10;2;FALSE
"boivie";181;21;0;2;3;205;8;FALSE
"boivie";72;2;0;1;1;3;1;FALSE
"nwin";73;3;0;0;0;0;0;FALSE
"nhooey";74;1;0;1;1;1;1;FALSE
"nickbruun";75;3;0;0;0;0;0;FALSE
"flaper87";78;0;0;0;0;0;0;FALSE
"karlseguin";127;1;0;0;0;0;0;FALSE
"karlseguin";106;3;0;0;0;0;0;FALSE
"karlseguin";79;0;0;0;0;0;0;FALSE
"pc";80;1;0;1;8;9;9;FALSE
"mlazarov";83;1;0;0;0;0;0;FALSE
"mbj";84;1;0;2;0;0;0;FALSE
"rnrn";90;1;0;0;0;0;0;FALSE
"reidmorrison";91;1;0;0;0;0;0;FALSE
"jmbejar";94;1;0;2;4;142;1;FALSE
"leejo";111;1;0;0;0;0;0;FALSE
"jlpc";131;3;0;0;0;0;0;FALSE
"Ry4an";136;2;0;53;52;578;124;TRUE
"sethml";138;2;0;1;4;93;5;FALSE
"jhuntwork";140;1;0;0;0;0;0;FALSE
"jhuntwork";139;1;0;0;0;0;0;FALSE
"jamespharaoh";142;3;0;2;3;9;5;FALSE
"larroy";208;2;0;0;0;0;0;TRUE
"larroy";193;1;0;0;0;0;0;TRUE
"larroy";191;3;0;0;0;0;0;TRUE
"larroy";145;0;0;0;0;0;0;TRUE
"r-stu31";149;1;0;4;3;23;1;FALSE
"wpjunior";153;1;0;1;1;4;4;FALSE
"evanlong";157;4;0;0;0;0;0;FALSE
"dibiasio";159;1;0;1;1;4;1;FALSE
"tedb";163;23;0;1;2;15;1;FALSE
"reflection";164;1;0;1;1;4;2;FALSE
"larubbio";165;1;0;0;0;0;0;FALSE
"tanakh";166;1;0;1;51;195;202;FALSE
"weyrick";237;1;0;0;0;0;0;TRUE
