"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"sbromle";1;2;0;6;3;13;8;TRUE
"Kangz";16;1;0;0;0;0;0;TRUE
"HSoft2";333;5;0;0;0;0;0;TRUE
"HSoft2";245;19;0;0;0;0;0;TRUE
"HSoft2";24;9;0;0;0;0;0;TRUE
"HSoft2";23;1;0;0;0;0;0;TRUE
"HSoft2";22;1;0;0;0;0;0;TRUE
"aashish-kumar";33;1;0;1;1;4;2;FALSE
"abhinavgupta";35;1;0;4;4;4;0;TRUE
"ritsz";38;2;1;0;0;0;0;FALSE
"KOLANICH";101;1;0;1;3;85;8;TRUE
"KOLANICH";93;1;0;3;9;138;133;TRUE
"KOLANICH";89;3;0;9;6;123;25;TRUE
"KOLANICH";41;2;0;2;2;49;1;TRUE
"lajos";70;6;0;1;4;40;12;FALSE
"kkaefer";114;4;0;3;7;579;131;FALSE
"askforeric";166;10;0;8;1;176;63;TRUE
"smokey42";210;9;1;2;1;75;0;FALSE
"smokey42";207;0;3;1;2;82;1;FALSE
"ml01172";211;1;0;3;1;2;1;FALSE
"ml01172";209;3;0;3;1;2;1;FALSE
"prlw1";282;5;3;3;7;153;69;TRUE
"drpaneas";292;7;0;0;0;0;0;FALSE
"yogidtu";437;3;0;1;1;1;1;FALSE
"yogidtu";436;2;1;1;1;1;1;FALSE
"bouk";449;7;0;2;2;67;15;FALSE
"prasannatsm";816;2;0;18;2;33;21;FALSE
"prasannatsm";463;8;0;14;7;379;1;FALSE
"thouis";495;5;0;1;1;4;7;FALSE
"thouis";494;1;0;1;1;4;7;FALSE
"kozinove";908;4;8;5;21;4830;1;FALSE
"kozinove";496;7;0;8;32;2142;3848;FALSE
"nikkadim";2425;9;0;1;1;2;2;TRUE
"nikkadim";517;2;0;535;451;169607;23077;TRUE
"nikkadim";516;0;0;531;448;169604;23065;TRUE
"nikkadim";515;0;0;1;1;1;0;TRUE
"nikkadim";507;2;0;1;1;1;0;TRUE
"gferry";522;0;0;539;450;169614;23077;TRUE
"gferry";510;9;0;5;1;8;0;TRUE
"Myzhar";513;6;0;0;0;0;0;FALSE
"cerceris";514;4;0;0;0;0;0;FALSE
"tsgouros";583;1;0;549;670;169345;26673;TRUE
"azeno";604;47;0;4;12;321;17;FALSE
"olegsklyarov";626;1;0;0;0;0;0;FALSE
"hmeine";639;2;0;1;1;1;1;FALSE
"eendebakpt";649;7;0;2;1;43;11;FALSE
"dslsanz";667;2;0;1;2;3;3;FALSE
"cvalles";672;4;0;1;1;2;2;FALSE
"dongng";673;2;0;0;0;0;0;FALSE
"chouclee";674;20;0;5;1;37;14;FALSE
"shachibista";685;11;0;1;1;24;0;FALSE
"mpenkov";689;2;0;1;1;6;6;FALSE
"stefan-w";693;7;0;0;0;0;0;FALSE
"godspeed1989";733;9;0;3;1;129;0;FALSE
"imaus10";741;4;0;1;1;5;1;FALSE
"rgap";851;4;0;0;0;0;0;FALSE
"gunnjo";863;7;0;2;4;7;0;FALSE
"noskill";876;7;0;2;3;91;7;FALSE
"caorong";890;5;0;1;1;3;3;TRUE
"onauparc";1013;5;8;4;8;708;0;FALSE
"Zeke86";1072;3;0;1;1;4;0;FALSE
"rigid";1134;8;0;0;0;0;0;FALSE
"lusteryu";1160;3;0;1213;2250;393192;185838;TRUE
"akapusti";1347;2;0;1;1;43;0;TRUE
"akapusti";1203;6;0;2;2;137;0;TRUE
"akapusti";1175;1;0;115;237;10016;4826;TRUE
"alfonsosanchezbeato";1188;11;0;9;35;3228;0;FALSE
"alfonsosanchezbeato";1181;5;0;2;0;0;0;FALSE
"alfonsosanchezbeato";1179;0;0;1;0;0;0;FALSE
"aceveggie";1227;40;88;39;7;1427;0;TRUE
"aceveggie";1223;0;0;19;7;1508;0;TRUE
"aceveggie";1218;1;0;12;7;1508;0;TRUE
"rageboge";1278;3;0;0;0;0;0;FALSE
"mgutekunst";1325;4;0;1;1;4;2;FALSE
"ramiromagalhaes";3031;3;0;1;3;32;30;FALSE
"ramiromagalhaes";1438;18;11;20;3;13;14;FALSE
"ramiromagalhaes";1350;3;0;3;61;345;345;FALSE
"ramiromagalhaes";1344;4;0;1;16;16;16;FALSE
"jwhitehill";1354;3;0;3;6;27;21;FALSE
"jwhitehill";1353;0;0;2;6;27;21;FALSE
"fanxu";1390;0;0;0;0;0;0;FALSE
"ZenBowman";1423;3;0;1;1;4;4;FALSE
"ZenBowman";1411;3;0;1;1;7;7;FALSE
"chinakook";1419;4;0;2;1;4;2;FALSE
"stspy";1424;1;0;1;1;5;0;FALSE
"const86";1523;3;0;1;1;10;6;FALSE
"alex77g2";1546;12;0;19;17;404;330;TRUE
"alex77g2";1524;2;0;36;19;1042;940;TRUE
"derfred";1571;19;4;13;13;1411;1013;FALSE
"arjuncomar";1600;8;0;0;0;0;0;FALSE
"markusjrmueller";1738;12;1;1;1;1;1;FALSE
"hqt08";1812;5;0;1;2;65;24;FALSE
"kwizart";1813;6;6;4;5;11;12;FALSE
"JoeSuber";1831;2;0;1;1;2;1;FALSE
"danschu";1893;2;0;1;2;44;0;FALSE
"myflyinggip";1955;3;0;1;1;14;4;FALSE
"myflyinggip";1938;5;0;1;1;14;4;FALSE
"myflyinggip";1896;2;0;1;1;7;0;FALSE
"rishabhsixfeet";1931;9;2;0;0;0;0;FALSE
"csabakeszegh";1947;13;0;4;5;65;36;FALSE
"epiodom";1964;9;0;1;3;19;5;TRUE
