"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"pbyrne";1932;3;0;2;2;50;0;FALSE
"jfelchner";1977;5;3;0;0;0;0;FALSE
"benjaminleesmith";1994;4;0;0;0;0;0;FALSE
"pol";2019;2;0;1;1;4;2;TRUE
"ipoval";2044;2;0;1;1;1;1;FALSE
"arkadiyk";2062;16;0;1;1;1;1;FALSE
"tgildea";2072;5;3;1;4;50;10;TRUE
"sethvargo";1993;37;6;0;0;0;0;FALSE
"jkrall";2079;3;1;1;2;43;1;FALSE
"mdoza";2096;2;1;3;2;32;0;FALSE
"sespindola";14953;2;0;1;1;1;0;TRUE
"sespindola";2170;6;1;2;3;10;7;TRUE
"hmcfletch";5034;23;1;8;3;155;26;TRUE
"hmcfletch";2175;1;0;2;5;43;3;TRUE
"gkfabs";2180;7;0;0;0;0;0;FALSE
"unamashana";2200;35;4;3;3;54;1;FALSE
"jasnow";9736;7;0;1;4;5;5;FALSE
"jasnow";2202;2;0;1;1;8;4;FALSE
"gnagno";2206;1;0;1;1;1;1;TRUE
"skippy";2227;12;0;1;2;13;0;FALSE
"tanelsuurhans";2264;2;0;1;1;1;1;FALSE
"arthurpsmith";2323;15;0;5;2;5;4;TRUE
"zubin";2409;1;0;0;0;0;0;FALSE
"Arsen7";2418;11;0;1;2;10;2;TRUE
"olek";2423;2;0;0;0;0;0;FALSE
"JeanMertz";2432;0;0;0;0;0;0;FALSE
"fastcatch";2433;1;0;2;1;5;3;FALSE
"valakirka";2441;2;0;1;3;50;7;FALSE
"jigfox";13146;8;0;1;2;12;1;TRUE
"jigfox";2664;5;3;1;2;7;1;TRUE
"jigfox";2472;2;0;1;1;3;0;TRUE
"ehlertij";2480;5;0;1;1;1;1;FALSE
"thinkerbot";2481;10;0;2;6;34;1;FALSE
"moro";2482;3;0;2;2;8;1;TRUE
"aglasgall";2487;2;0;1;2;12;1;FALSE
"pootsbook";2505;6;0;0;0;0;0;FALSE
"tekwiz";2520;3;0;1;2;46;1;FALSE
"tekwiz";2515;3;0;1;2;73;2;FALSE
"BrentWheeldon";2521;8;0;0;0;0;0;FALSE
"spangenberg";2529;2;0;1;1;1;0;FALSE
"german";2555;17;13;5;12;200;18;TRUE
"sandstrom";2578;2;0;0;0;0;0;FALSE
"ingeniarius";2599;6;5;3;2;9;1;FALSE
"karlseguin";2630;6;0;0;0;0;0;FALSE
"karlseguin";2617;2;0;0;0;0;0;FALSE
"vrinek";2623;5;2;2;1;7;2;FALSE
"bartocc";2626;4;0;1;2;4;2;FALSE
"jroes";9552;11;25;1;10;176;97;TRUE
"jroes";2643;3;0;1;2;5;3;TRUE
"god";2648;5;0;1;1;1;1;FALSE
"ivanvanderbyl";2649;48;0;5;3;15;0;TRUE
"dmajda";2658;3;0;0;0;0;0;TRUE
"sbounmy";3342;3;0;1;1;7;0;FALSE
"sbounmy";2698;8;0;1;2;9;1;FALSE
"gutenye";2737;4;0;1;2;11;0;TRUE
"jaredonline";2754;6;0;0;0;0;0;TRUE
"jaredonline";317;6;0;0;0;0;0;TRUE
"jaredonline";282;4;0;0;0;0;0;TRUE
"jaredonline";268;9;0;0;0;0;0;TRUE
"sergii-tkachenko";2790;2;0;0;0;0;0;FALSE
"joshnesbitt";2803;2;0;1;1;1;1;TRUE
"tanin47";2982;4;0;0;0;0;0;TRUE
"tanin47";2929;1;0;0;0;0;0;TRUE
