"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"martinbean";25;3;7;0;0;0;0;FALSE
"martinbean";15;5;0;0;0;0;0;FALSE
"lguzzon";8659;3;0;4;2;758;68;FALSE
"lguzzon";18;5;3;3;1;18;6;FALSE
"toddself";355;10;7;1;2;47;1;FALSE
"brettahale";361;3;0;1;1;12;12;FALSE
"yazaddaruvala";1428;3;2;2;2;79;42;FALSE
"yazaddaruvala";382;8;2;1;1;8;0;FALSE
"tommyh";433;5;0;1;2;25;1;FALSE
"pgherveou";508;15;7;3;4;88;10;FALSE
"weiribao";525;3;0;1;1;1;0;FALSE
"ide";536;11;2;2;2;41;3;FALSE
"youngjay";621;7;0;1;1;1;1;FALSE
"ul";689;3;0;1;2;3;0;FALSE
"justinfreitag";743;1;0;0;0;0;0;FALSE
"MalucoMarinero";756;11;11;7;5;234;4;FALSE
"joeyyang";828;2;6;3;1;35;61;FALSE
"joeyyang";802;5;0;2;1;77;41;FALSE
"wereHamster";859;5;3;2;1;34;1;FALSE
"radebrecht";868;5;0;1;5;20;7;FALSE
"brycekahle";938;24;6;3;7;558;21;FALSE
"ehd";943;9;0;1;1;3;0;FALSE
"glenn-murray-bse";960;3;0;5;4;115;4;FALSE
"tomap";1052;2;0;1;6;12;11;FALSE
"shauntrennery";1141;7;0;0;0;0;0;TRUE
"shauntrennery";1140;7;0;0;0;0;0;TRUE
"percyhanna";1221;10;0;2;2;129;8;FALSE
"insin";1233;2;0;0;0;0;0;FALSE
"actionnick";1240;9;3;3;2;20;5;FALSE
"mereskin";1249;4;0;1;1;22;1;FALSE
"rcs";1265;10;0;1;1;3;2;FALSE
"randylien";1271;1;0;1;1;1;0;FALSE
"thinkloop";1290;2;0;0;0;0;0;FALSE
"niki4810";1291;2;0;1;2;187;0;FALSE
"MarkNijhof";1321;2;0;2;2;95;1;FALSE
"MarkNijhof";1303;5;0;1;1;3;1;FALSE
"ugin";1307;7;0;0;0;0;0;FALSE
"DveMac";1347;6;0;10;11;477;1;FALSE
"DveMac";1339;5;0;3;6;111;2;FALSE
"swannodette";1346;8;0;1;1;1;1;FALSE
"karlmikko";1948;10;0;1;1;2;0;TRUE
"karlmikko";1372;1;0;2;1;1;0;TRUE
"sstur";1378;2;0;1;1;2;1;FALSE
"zichun";1385;9;2;2;2;9;0;FALSE
"jkimbo";1415;5;0;2;1;5;4;FALSE
"Raynos";1426;8;8;6;8;310;16;FALSE
"nathansobo";1439;9;0;1;1;1;1;FALSE
"muffs";1473;6;0;1;1;29;1;FALSE
"kramerc";1518;28;0;1;1;4;1;FALSE
"Meettya";1526;4;3;2;1;2;0;FALSE
"jonase";1769;5;0;2;4;9;1;TRUE
"jonase";1557;6;2;1;1;10;0;TRUE
"eddhannay";1594;3;0;0;0;0;0;FALSE
"eddhannay";1561;9;0;0;0;0;0;FALSE
"BetaRabbit";1574;4;0;1;1;1;1;FALSE
"thaggie";1600;1;1;0;0;0;0;TRUE
"popham";1613;9;0;12;3;97;0;FALSE
"simenbrekken";1682;3;0;1;1;1;1;FALSE
"nullobject";1702;7;0;1;1;2;0;TRUE
"jmcriffey";1709;8;7;9;4;34;7;FALSE
"ruanwz";1727;3;0;1;1;1;1;FALSE
"sebmak";1754;1;0;3;1;6;2;FALSE
"merriam";1787;7;6;6;1;75;3;FALSE
"jseppi";1859;3;4;0;0;0;0;TRUE
"zmbush";1862;2;0;0;0;0;0;FALSE
"jmandel";1872;1;0;1;1;1;1;FALSE
"patrickschneider23";1889;0;0;6;11;3181;10;TRUE
"evangoer";1918;4;1;2;2;13;12;FALSE
"marianoguerra";1932;1;3;1;4;45;6;FALSE
"wiredmax";1963;3;0;1;1;4;0;FALSE
"simonwhitaker";2004;2;0;1;1;14;2;FALSE
"simonwhitaker";2003;0;0;1;1;14;2;FALSE
"igorklopov";2013;8;0;0;0;0;0;FALSE
"jaketrent";2014;5;0;1;1;1;1;FALSE
"earlonrails";2022;2;0;1;1;2;5;FALSE
"kraf";2030;6;0;2;2;3;1;FALSE
"anatolikurtsevich";2031;7;0;2;7;468;283;FALSE
"thetalecrafter";2056;4;0;1;2;5;1;FALSE
"erikbrannstrom";2060;11;1;2;3;45;2;FALSE
"giantelk";4704;4;1;3;1;2;0;FALSE
"giantelk";2086;4;1;1;1;23;17;FALSE
"mtscout6";2092;4;0;1;3;76;0;FALSE
"deadlyicon";2099;5;0;1;1;1;1;FALSE
"orodio";2110;0;0;1;2;4;1;FALSE
"jonasi";2114;2;0;1;1;6;1;FALSE
"kossnocorp";2121;1;0;2;1;6;1;FALSE
"mtsyganov";2169;6;0;6;3;113;9;TRUE
"mtsyganov";2133;9;5;63;11;81;29;TRUE
"mtsyganov";2131;2;0;52;5;58;24;TRUE
"nickmerwin";2146;9;0;2;1;1;1;TRUE
"audreyt";2161;7;7;6;1;15;0;FALSE
"silver83";2172;10;0;1;1;1;1;FALSE
"arasmussen";3962;3;0;1;2;0;124;TRUE
"arasmussen";3954;3;1;2;3;33;21;TRUE
"arasmussen";2175;4;0;1;2;11;11;TRUE
"rowoot";2195;1;2;2;1;2;2;FALSE
"evanbleiweiss";2201;2;0;0;0;0;0;FALSE
"iepathos";2204;3;0;1;1;1;1;FALSE
"ateich";2213;5;0;1;1;1;1;FALSE
"kureikain";2217;4;0;1;1;1;0;FALSE
"cirocosta";2283;15;0;1;2;63;22;FALSE
"cirocosta";2220;10;11;1;2;69;2;FALSE
"pconerly";2221;4;1;1;1;1;1;FALSE
"pvenkatakrishnan";2233;4;2;1;1;21;0;FALSE
"2color";2248;2;0;1;1;1;1;FALSE
"lhausermann";2263;5;0;16;24;311;195;TRUE
"trevorbernard";2265;3;0;1;1;2;5;FALSE
"stephenjudkins";2289;8;0;1;2;25;1;FALSE
"jenshz";2353;11;0;1;2;52;0;FALSE
"plaxdan";2355;3;0;1;1;1;1;FALSE
"krawaller";2362;24;0;5;3;44;2;FALSE
"aackerman";2574;2;0;0;0;0;0;FALSE
"aackerman";2366;2;0;0;0;0;0;FALSE
"Robdel12";2369;2;0;1;1;2;1;FALSE
"TJZenkai";2389;5;0;1;2;8;8;FALSE
"fishbar";2422;2;0;1;1;1;1;FALSE
"warrd";2442;3;0;1;2;4;1;FALSE
"brendangibson";2462;3;0;1;1;1;1;FALSE
