"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"mleventi";250;1;0;1;1;1;1;FALSE
"mleventi";73;1;0;1;1;1;1;FALSE
"hungryblank";75;1;0;0;0;0;0;FALSE
"maxpert";99;1;0;164;54;1561;552;TRUE
"idaunis";225;2;0;2;3;160;64;FALSE
"zaa";240;1;0;0;0;0;0;FALSE
"nike-17";251;1;0;2;1;1;0;FALSE
"mcandre";311;2;0;3;2;12;0;FALSE
"mcandre";309;1;0;2;2;28;1;FALSE
"tchajed";314;3;0;2;1;13;7;FALSE
"0xffea";317;1;0;0;0;0;0;FALSE
"pete0emerson";351;1;0;1;1;1;1;FALSE
"hirose31";1155;3;0;1;4;16;8;FALSE
"hirose31";355;2;0;1;1;2;0;FALSE
"micrypt";377;1;0;0;0;0;0;FALSE
"amanelis";380;1;0;0;0;0;0;FALSE
"skomski";406;4;0;1;3;50;23;FALSE
"skomski";405;0;0;1;3;37;23;FALSE
"skomski";381;0;0;2;1;5;0;FALSE
"fritzy";411;0;0;1;4;47;1;TRUE
"fritzy";410;4;0;1;1;37;0;TRUE
"slact";424;4;0;3;6;32;15;FALSE
"rebx";463;3;0;1;1;2;2;TRUE
"vijaydev";467;1;0;1;1;1;1;FALSE
"alicebob";487;6;0;0;0;0;0;TRUE
"idank";503;0;0;1;1;1;1;FALSE
"pumasuede";513;0;0;0;0;0;0;FALSE
"cwalsh";517;3;0;1;1;1;1;FALSE
"cababunga";534;1;0;1;2;21;1;FALSE
"msteinert";537;10;0;1;2;6;2;FALSE
"christianparpart";554;11;0;1;3;33;0;FALSE
"zircote";571;0;0;0;0;0;0;FALSE
"eryx";578;1;0;1;1;1;2;FALSE
"trapezoid";582;2;0;1;1;1;1;TRUE
"mgp";1351;0;0;0;0;0;0;TRUE
"mgp";605;1;0;0;0;0;0;TRUE
"jroith";615;1;0;296;169;17996;13330;TRUE
"rnamiki";629;1;0;1;3;37;1;FALSE
"anfernee";644;1;0;1;2;5;3;FALSE
"oscardelben";657;1;0;1;1;4;4;FALSE
"liquidgecka";679;6;0;0;0;0;0;FALSE
"kemitix";682;1;0;0;0;0;0;FALSE
"aluzzardi";717;25;0;10;12;1300;6;FALSE
"bensie";719;1;0;0;0;0;0;FALSE
"holic";729;0;0;1;1;8;2;FALSE
"ambakshi";752;0;0;387;185;22687;14089;TRUE
"manuelmeurer";1897;0;0;1;1;1;1;TRUE
"manuelmeurer";765;1;0;1;1;1;1;TRUE
"calebperkins";781;0;0;1;1;2;2;FALSE
"donzell";790;5;0;1;5;11;23;FALSE
"arsenm";795;1;0;2;2;71;35;TRUE
"skx";827;1;0;0;0;0;0;FALSE
"toice";829;0;0;1;1;1;0;FALSE
"darashi";835;1;0;4;1;5;5;FALSE
"tricknotes";848;2;0;34;219;85219;13;FALSE
"tricknotes";836;1;0;1;1;1;1;FALSE
"ldm5180";2236;0;0;1;12;43;16;FALSE
"ldm5180";843;0;0;1;12;42;16;FALSE
"ldm5180";842;0;0;1;12;42;16;FALSE
"ldm5180";838;1;0;1;1;2;2;FALSE
"dubek";851;1;0;1;1;4;1;FALSE
"doismellburning";854;3;0;2;1;5;5;FALSE
"dvdplm";858;7;0;2;1;9;0;TRUE
"ccding";897;1;0;0;0;0;0;TRUE
"ccding";880;8;8;0;0;0;0;TRUE
"ccding";878;3;0;0;0;0;0;TRUE
"srned";908;4;0;1;1;2;0;FALSE
"jimothyGator";909;4;0;0;0;0;0;FALSE
"jiripospisil";927;3;0;1;1;2;0;FALSE
"thorduri";945;0;0;0;0;0;0;FALSE
"daniel-levin";951;1;0;2;1;5;0;FALSE
"daniel-levin";950;0;0;1;1;6;0;FALSE
"chilts";960;0;0;1;1;1;1;FALSE
"stamhe";982;1;0;8;5;16;3;TRUE
"stamhe";976;3;0;3;377;4;1;TRUE
"stamhe";975;1;0;2;239;5;1;TRUE
"stamhe";974;1;0;2;239;5;1;TRUE
"stamhe";973;4;0;9;5;15;2;TRUE
"stamhe";971;0;0;1;8;10866;253;TRUE
"papanikge";1507;0;0;1;2;17;17;FALSE
"papanikge";988;1;0;1;1;6;6;FALSE
"danielbprice";997;0;0;1;1;6;1;TRUE
"mezzatto";1012;1;0;0;0;0;0;FALSE
"matteobaglini";1014;1;0;1;1;1;1;FALSE
"jumping";1038;1;0;1;1;1;1;FALSE
"jumping";1037;0;0;1;1;2;2;FALSE
"dim";1051;0;0;35;42;779;262;FALSE
"ripcurld0";1681;0;0;0;0;0;0;TRUE
"ripcurld0";1227;0;0;0;0;0;0;TRUE
"ripcurld0";1223;1;0;0;0;0;0;TRUE
"ripcurld0";1222;0;0;0;0;0;0;TRUE
"ripcurld0";1182;0;0;0;0;0;0;TRUE
"ripcurld0";1055;0;0;0;0;0;0;TRUE
"sneakycain";1059;3;0;0;0;0;0;FALSE
"xiaost7";1464;0;0;1;1;1;1;FALSE
"xiaost7";1062;2;0;1;2;3;2;FALSE
"melvyn-sopacua";1066;0;0;10;2;64;44;FALSE
"bakwc";1076;1;0;1;2;64;0;FALSE
"JensRantil";1102;2;0;1;1;1;1;FALSE
"seifer";1108;4;0;0;0;0;0;FALSE
"Bamco";1115;1;0;1;1;1;1;FALSE
"jgeiger";1116;1;0;0;0;0;0;FALSE
"jw2013";1498;0;0;1;1;5;5;FALSE
"jw2013";1142;1;0;4;1;5;5;FALSE
"TrafeX";1146;0;0;2;2;24;20;FALSE
"nsabine";1148;0;0;1;1;5;5;FALSE
"flygoast";1149;1;0;1;2;20;3;FALSE
"bbonev";1160;1;0;0;0;0;0;FALSE
"k0da";1181;2;0;1;1;2;0;FALSE
"ybrs";1186;2;0;1;1;7;0;FALSE
"scottjg";1188;1;0;1;1;2;2;FALSE
"nickleefly";1190;0;0;704;253;31723;16104;TRUE
"dilcom";1196;0;0;0;0;0;0;FALSE
"dilcom";1195;0;0;0;0;0;0;FALSE
"eyolfson";1197;0;0;0;0;0;0;FALSE
"anthonyu";1202;2;0;0;0;0;0;FALSE
"parhamr";1237;1;0;1;3;7;1;FALSE
"xgwang";1243;0;0;0;0;0;0;FALSE
"xgwang";1242;0;0;0;0;0;0;FALSE
"philips";1246;1;0;1;1;1;1;FALSE
"bobzilladev";1971;3;0;1;5;15;0;FALSE
"bobzilladev";1247;1;0;1;5;15;0;FALSE
"Maxime2";1260;1;0;4;2;2;2;TRUE
"josiahcarlson";1280;1;0;1;2;40;8;FALSE
"hsb0818";1327;0;0;4;1;5;1;TRUE
"hsb0818";1324;0;0;4;1;5;1;TRUE
"hsb0818";1323;0;0;3;1;4;1;TRUE
"hsb0818";1322;0;0;2;1;2;0;TRUE
"hsb0818";1321;0;0;1;1;1;0;TRUE
"hsb0818";1320;0;0;5;2;6;2;TRUE
"hsb0818";1319;0;0;4;2;3;1;TRUE
"hsb0818";1300;1;0;3;2;2;1;TRUE
"reterVision";1304;1;0;1;1;14;8;FALSE
"anupshendkar";1313;1;0;1;1;1;1;FALSE
