"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"jansoe";573;11;3;0;0;0;0;TRUE
"jansoe";243;14;0;0;0;0;0;TRUE
"diogojc";348;16;29;0;0;0;0;FALSE
"bvtrach";429;2;0;2;3;2;2;TRUE
"cavorite";459;1;0;1;2;15;2;TRUE
"chermes";476;5;1;17;6;354;1;FALSE
"gwtaylor";563;2;0;5;3;85;2;FALSE
"leonpalafox";645;4;0;1;1;1;1;TRUE
"fcostin";650;23;13;9;3;125;40;TRUE
"schwarty";2561;16;2;3;3;45;6;TRUE
"schwarty";2207;7;13;5;1;63;23;TRUE
"schwarty";1982;1;0;1;1;1;1;TRUE
"schwarty";1060;32;15;13;2;70;39;TRUE
"schwarty";687;34;25;12;5;203;2;TRUE
"smoitra87";689;10;3;16;26;121;97;TRUE
"joonazzz";775;16;8;3;3;126;7;TRUE
"BenoitDamota";816;17;0;0;0;0;0;FALSE
"grenoya";827;1;0;0;0;0;0;TRUE
"tobigue";915;12;0;0;0;0;0;FALSE
"sgenoud";941;38;17;14;5;404;5;FALSE
"cricketsong";987;20;3;17;4;136;6;FALSE
"cjauvin";1087;23;1;4;2;30;6;TRUE
"ephes";5122;12;0;18;35;58672;52811;TRUE
"ephes";1135;36;7;1;1;124;75;TRUE
"ephes";1125;16;3;4;3;38;1;TRUE
"ephes";1124;1;0;3;3;374;1;TRUE
"ephes";1122;15;0;2;1;343;1;TRUE
"briancheung";1436;2;0;26;1;1;1;TRUE
"briancheung";1165;23;39;22;2;227;33;TRUE
"ynd";1200;136;124;66;9;684;0;FALSE
"guyrt";1286;9;1;5;4;8;5;TRUE
"coreylynch";1334;28;5;2;4;7132;48;TRUE
"coreylynch";1297;16;1;8;2;5;4;TRUE
"v3ss0n";1339;19;0;1;1;127;0;FALSE
"v3ss0n";1338;25;0;2;2;131;0;FALSE
"omangin";1348;26;0;13;7;668;47;FALSE
"pzc";1375;6;0;62;55;839;347;TRUE
"sjackman";1402;3;0;1;1;4;2;TRUE
"MarkyV";1502;1;0;3;10;105;103;TRUE
"MarkyV";1448;6;5;48;201;1907;1635;TRUE
"sdicker8";1497;24;1;3;3;46;23;TRUE
"bcajes";1516;11;2;7;1;69;0;TRUE
"bcajes";1498;7;2;2;1;70;2;TRUE
"yedtoss";1503;25;4;8;4;528;1;FALSE
"wrichert";1735;15;17;9;3;174;38;TRUE
"wrichert";1537;14;3;29;112;989;14251;TRUE
"mluessi";1583;49;7;6;4;468;9;TRUE
"RONNCC";1594;3;0;1;1;13;1;FALSE
"JohnFNovak";1611;28;21;26;2;70;16;FALSE
"basvandenberg";1623;4;0;0;0;0;0;TRUE
"basvandenberg";1620;3;0;0;0;0;0;TRUE
"dmollaaliod";1640;8;0;2;2;8;3;TRUE
"aflag";1682;3;0;1;1;23;21;FALSE
"dclambert";1714;6;47;0;0;0;0;FALSE
"archipleago-creature";1738;2;0;1;1;4;2;FALSE
"gatagat";3338;8;0;3;2;36;1;TRUE
"gatagat";1746;6;0;1;2;10;1;TRUE
"lqdc";1895;4;0;0;0;0;0;TRUE
"lqdc";1821;14;7;0;0;0;0;TRUE
"lqdc";1776;47;14;0;0;0;0;TRUE
"JakeMick";1786;8;0;5;2;24;6;FALSE
"yanirs";1806;29;0;1;1;15;10;FALSE
"flxb";1847;4;0;2;2;15;2;TRUE
"seamusabshere";1849;8;0;1;2;34;5;TRUE
"kevinhughes27";1885;27;6;5;6;771;0;FALSE
"kevinhughes27";1861;5;6;2;1;22;3;FALSE
"stevekochscience";1866;2;0;1;1;3;2;TRUE
"luoq";1867;18;41;17;11;726;856;FALSE
"johnb30";1889;6;0;1;1;85;0;FALSE
"abhirk";1928;3;0;1;1;50;30;FALSE
"arnaudsj";1949;10;2;1;7;1563;1;FALSE
"jmmcd";1969;1;0;1;1;3;3;TRUE
"dashesy";2340;7;19;7;2;686;6;FALSE
"dashesy";1970;13;1;2;1;10;2;FALSE
"nzer0";2026;1;0;1;1;2;2;TRUE
"andreas-hjortgaard";2030;2;4;4;4;52;6;FALSE
"IssamLaradji";3204;145;157;41;14;2619;3;TRUE
