"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"filosganga";3;1;0;4788;1;2;2;FALSE
"bedla";7;6;0;1;2;278;15;TRUE
"costin";11;3;0;2;9;526;15;FALSE
"costin";9;1;0;3;9;137;11;FALSE
"twicksell";18;1;0;4;8;454;26;FALSE
"lepirlouit";20;1;0;0;0;0;0;FALSE
"ttddyy";1144;3;0;1;3;257;1;TRUE
"ttddyy";639;1;0;1;2;31;0;TRUE
"ttddyy";173;1;0;1;1;40;47;TRUE
"ttddyy";75;6;0;1;2;85;8;TRUE
"ttddyy";72;2;0;1;2;267;0;TRUE
"ttddyy";43;7;0;1;24;1171;142;TRUE
"ttddyy";31;4;0;1;12;531;0;TRUE
"ttddyy";23;2;0;1;1;5;0;TRUE
"swachter";28;4;0;0;0;0;0;FALSE
"scottfrederick";30;10;0;1;4;389;0;FALSE
"marschall";1282;1;0;1;1;3;3;TRUE
"marschall";1281;1;0;1;3;6;6;TRUE
"marschall";1280;4;0;1;1;2;4;TRUE
"marschall";1206;1;0;1;28;58;58;TRUE
"marschall";1205;1;0;1;2;2;5;TRUE
"marschall";1204;0;0;1;2;1;5;TRUE
"marschall";1003;2;0;1;1;5;1;TRUE
"marschall";797;1;0;1;3;16;10;TRUE
"marschall";527;1;0;1;6;10;17;TRUE
"marschall";526;1;0;1;12;63;64;TRUE
"marschall";525;1;0;1;9;70;70;TRUE
"marschall";524;1;0;1;12;39;39;TRUE
"marschall";523;1;0;1;7;22;22;TRUE
"marschall";522;1;0;1;10;41;43;TRUE
"marschall";521;1;0;1;11;0;12;TRUE
"marschall";520;1;0;1;13;0;21;TRUE
"marschall";519;1;0;1;1;7;6;TRUE
"marschall";518;2;0;1;14;97;107;TRUE
"marschall";463;1;0;1;1;11;3;TRUE
"marschall";397;1;0;1;1;3;3;TRUE
"marschall";295;4;0;1;3;339;0;TRUE
"marschall";292;5;0;1;8;562;0;TRUE
"marschall";222;15;0;1;8;606;1;TRUE
"marschall";64;4;0;1;1;7;1;TRUE
"marschall";37;6;0;1;2;30;17;TRUE
"marschall";34;5;0;1;11;12;30;TRUE
"dmak";334;1;0;14;2;141;23;TRUE
"dmak";330;7;0;15;2;196;92;TRUE
"dmak";306;13;0;13;2;234;51;TRUE
"dmak";235;1;0;11;2;101;0;TRUE
"dmak";129;16;0;10;2;561;0;TRUE
"dmak";128;16;0;14;3;315;11;TRUE
"dmak";89;1;0;9;2;311;0;TRUE
"dmak";88;9;1;9;2;491;0;TRUE
"dmak";40;4;0;7;0;0;0;TRUE
"mjkrumlauf";44;5;0;0;0;0;0;TRUE
"jyothim";52;2;0;7;2;271;3;TRUE
"jyothim";51;0;0;7;33;171;81;TRUE
"giovannidalloglio";219;3;0;2;19;744;34;TRUE
"giovannidalloglio";201;4;0;174;1087;10227;36994;TRUE
"giovannidalloglio";80;5;9;1;19;428;63;TRUE
"giovannidalloglio";54;5;0;3;234;11767;2009;TRUE
"Abdull";55;4;0;0;0;0;0;FALSE
"tburch";56;10;0;1;9;120;15;FALSE
"shred";60;4;0;0;0;0;0;FALSE
"dukehoops";63;2;0;1;2;80;3;TRUE
"lhotari";731;1;0;1;1;12;6;FALSE
"lhotari";531;1;0;1;4;31;0;FALSE
"lhotari";65;1;0;1;1;6;1;FALSE
"Dridi";66;4;0;0;0;0;0;TRUE
"djkieras";68;3;0;0;0;0;0;TRUE
"allnightlong";70;5;0;0;0;0;0;FALSE
"sgri";71;2;0;2;2;2;2;FALSE
"movink";74;5;0;2;1;140;0;FALSE
"davidthexton";78;2;0;1;8;2386;2231;FALSE
"JanecekPetr";81;1;0;0;0;0;0;TRUE
"rcrathore";82;1;0;1;1;2;1;TRUE
"obecker";307;0;0;1;1;17;4;TRUE
"obecker";85;5;1;1;6;52;43;TRUE
"ianbrandt";90;1;1;1;1;187;5;TRUE
"matsev";536;2;0;1;2;524;0;TRUE
"matsev";535;2;0;1;1;18;18;TRUE
"matsev";504;5;0;1;2;618;0;TRUE
"matsev";91;4;0;1;4;2;13;TRUE
"DavidBiesack";92;4;0;0;0;0;0;TRUE
"maxcom";93;3;0;1;2;9;1;TRUE
"tmeighen";130;1;0;1;3;15;2;TRUE
"tmeighen";96;4;0;1;2;128;6;TRUE
"jexp";100;1;0;1;1;2;1;FALSE
"remast";102;4;0;2;6;266;0;FALSE
"edalquist";165;1;0;0;0;0;0;FALSE
"edalquist";164;2;0;0;0;0;0;FALSE
"edalquist";103;1;0;0;0;0;0;FALSE
"satyapalreddy";114;4;0;1;16;522;60;TRUE
"jjYBdx4IL";119;2;0;0;0;0;0;FALSE
"wkleu";127;2;0;1;2;92;2;FALSE
"wkleu";126;2;0;1;2;92;2;FALSE
"billkoch";138;1;0;1;4;273;4;FALSE
"isopov";145;3;0;1;1;1;0;FALSE
"tempredirect";153;3;0;1;5;107;6;TRUE
"tempredirect";152;0;0;1;5;90;4;TRUE
"karlbennett";644;2;0;1;6;299;12;FALSE
"karlbennett";261;4;0;1;1;2;2;FALSE
"karlbennett";259;1;0;1;1;1;1;FALSE
"karlbennett";170;1;0;1;1;1;1;FALSE
"mdeinum";1140;2;0;2;2;81;7;TRUE
"mdeinum";1006;1;0;1;2;42;4;TRUE
"mdeinum";838;1;0;1;1;1;1;TRUE
"mdeinum";552;1;0;1;2;18;6;TRUE
"mdeinum";551;13;0;2;2;128;33;TRUE
"mdeinum";234;2;0;20;264;455;271;TRUE
"mdeinum";174;1;0;1;1;13;1;TRUE
"ericweinberg";175;4;0;1;1;19;14;FALSE
"EzequielB";179;1;0;2;2;2;6;TRUE
"EzequielB";178;1;0;1;1;117;0;TRUE
"EzequielB";177;2;0;1;1;1;1;TRUE
"stuartgunter";180;1;0;1;2;6;3;FALSE
"zhouzhonghua";264;1;0;3;3;31;2;FALSE
"zhouzhonghua";182;1;0;3;3;31;2;FALSE
"zhengxiaochuan";193;1;0;1;1;1;1;FALSE
"KingBuzzer";1115;2;0;1;1;1;1;TRUE
"KingBuzzer";196;0;0;1;1;1;1;TRUE
"habuma";204;1;0;1;1;1;0;FALSE
"acogoluegnes";236;1;0;1;1;8;1;TRUE
"acogoluegnes";233;1;0;1;1;25;0;TRUE
