"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"keon";13;0;0;0;0;0;0;FALSE
"webmaven";38;2;0;2;2;3;3;FALSE
"makky3939";55;2;0;1;1;1;1;FALSE
"ptarjan";60;8;0;1;1;1;1;FALSE
"brendan-rius";90;2;0;1;1;1;1;FALSE
"aertoria";99;3;2;1;1;3;0;FALSE
"seankim902";102;1;0;1;1;1;1;FALSE
"jeffdonahue";113;7;1;2;1;70;8;FALSE
"javierblasco";155;1;0;1;1;7;5;FALSE
"javierblasco";154;0;0;0;0;0;0;FALSE
"mtourne";157;4;0;1;1;18;3;FALSE
"brendandburns";158;1;0;1;4;6;6;FALSE
"formido";283;1;0;1;1;1;1;FALSE
"asseldonk";298;0;0;1;1;2;2;FALSE
"milijan";314;0;0;1;7;32;31;FALSE
"jordanpn";340;3;0;1;2;17;3;FALSE
"jamesliu96";409;0;0;1;1;1;1;FALSE
"nikhilk";423;0;0;1;1;19;0;FALSE
"aidangomez";432;1;0;1;1;2;2;FALSE
"hammer";437;2;0;1;1;2;2;TRUE
"zfrenchee";453;3;0;0;0;0;0;FALSE
"sdemyanov";517;1;0;1;1;98;0;FALSE
"sdemyanov";515;1;0;1;1;2;0;FALSE
"rldotai";569;5;0;2;1;4;4;FALSE
"MarkDaoust";573;9;0;1;2;88;0;TRUE
"joshburkart";656;2;0;1;1;1;1;FALSE
"klangner";742;6;2;0;0;0;0;FALSE
"klangner";741;4;0;0;0;0;0;FALSE
"jfsantos";764;26;1;1;2;13;1;TRUE
"jfsantos";749;15;0;1;2;13;12;TRUE
"jeremybarnes";763;30;0;1;6;1418;109;FALSE
"brchiu";792;20;0;1;2;2;2;TRUE
"naveensundarg";805;9;0;1;1;2;2;TRUE
"cesarsalgado";1278;2;0;1;1;1;1;TRUE
"cesarsalgado";1260;2;0;1;1;1;1;TRUE
"cesarsalgado";828;8;0;3;3;8;8;TRUE
"flrgsr";840;6;0;1;1;670;392;FALSE
"wasserfuhr";849;2;0;1;1;1;1;TRUE
"wasserfuhr";844;6;0;1;1;1;1;TRUE
"nikriek";850;3;0;1;1;2;2;TRUE
"PatrickChrist";853;7;0;3;2;3;0;FALSE
"eguven";854;5;0;1;1;7;7;TRUE
"xsankar";860;3;0;1;1;1;1;TRUE
"xsankar";858;5;0;1;1;2;2;TRUE
"cg31";1144;2;0;2;8;18;5;TRUE
"cg31";1133;4;0;1;1;1;1;TRUE
"cg31";1120;6;1;1;2;27;78;TRUE
"cg31";1118;1;0;1;1;26;53;TRUE
"cg31";1090;8;0;2;17;34;17;TRUE
"cg31";1059;4;0;1;6;12;5;TRUE
"cg31";887;6;0;2;1;2;1;TRUE
"cg31";872;3;0;292;369;370;118902;TRUE
"cg31";863;3;0;2;8;8;3;TRUE
"shreyasva";948;2;9;1;2;7;1;FALSE
"shreyasva";866;10;0;1;1;1;1;FALSE
"lzlarryli";871;16;0;1;6;3196;2434;FALSE
"timothyjlaurent";873;25;1;1;1;10;0;TRUE
"seanpavlov";879;7;0;1;1;2;2;FALSE
"manipopopo";882;18;0;2;2;159;41;FALSE
"emmjaykay";893;2;0;0;0;0;0;TRUE
"emmjaykay";886;2;0;0;0;0;0;TRUE
"emmjaykay";884;7;2;0;0;0;0;TRUE
"edevil";892;7;0;1;1;1;1;TRUE
"memo";894;20;0;1;1;9;0;TRUE
"ah-";895;8;0;1;1;2;2;FALSE
"eduardo-elizondo";904;2;0;0;0;0;0;FALSE
"furaoing";909;6;0;1;1;12;2;FALSE
"noahlitvin";919;4;0;1;5;7;7;FALSE
"thagikura";926;14;0;2;1;85;0;TRUE
"bellaj";930;1;0;20;1;198;0;FALSE
"rthouvenin";940;6;9;2;1;202;99;FALSE
"mtamburrano";963;10;0;1;1;18;10;FALSE
"dvyukov";967;9;0;1;10;1236;113;FALSE
"cwhy";972;8;0;2;1;1;0;TRUE
"sasbluesea";974;2;0;1;1;1;1;FALSE
"sasbluesea";973;4;0;1;1;1;1;FALSE
"lukas-krecan";984;10;0;1;1;5;2;TRUE
"TronicLT";986;4;0;4;2;7;9;FALSE
"luckluca";989;6;0;1;1;4;2;FALSE
"amcnamara";995;6;0;1;1;2;1;FALSE
"Mandar-Shinde";1003;11;0;3;1;12;14;TRUE
"povi";1023;5;0;1;1;1;1;TRUE
"rizzomichaelg";1042;1;0;1;1;1;1;TRUE
"yoneken";1094;3;0;0;0;0;0;TRUE
"yoneken";1058;2;0;0;0;0;0;TRUE
"lucaswiser";1249;15;0;1;2;27;16;TRUE
"lucaswiser";1247;2;0;1;2;23;12;TRUE
"lucaswiser";1202;4;0;5;2;23;12;TRUE
"lucaswiser";1081;5;0;2;2;62;7;TRUE
