user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
mdolk;453;3;0;1;1;1;1
dandoyon;576;3;0;1;1;1;1
dandoyon;564;5;0;3;3;36;2
dandoyon;515;5;2;2;2;65;4
dandoyon;495;2;0;1;15;40;38
tonitt;525;1;0;1;3;146;133
marcenuc;746;1;0;3;2;9;9
marcenuc;574;2;0;1;1;1;1
marcenuc;567;4;0;1;2;6;5
marcenuc;566;5;0;1;1;1;1
marcenuc;545;2;0;2;2;9;1
hekke;568;9;4;5;2;46;2
TEHEK;7685;5;0;1;1;12;1
TEHEK;1616;2;0;1;1;1;1
TEHEK;675;1;0;1;2;33;1
TEHEK;659;3;0;2;2;0;0
TEHEK;604;4;0;2;2;17;1
TEHEK;603;1;0;3;3;130;12
TEHEK;593;1;0;3;3;129;11
TEHEK;572;8;0;2;2;37;2
dmanek;696;1;0;1;2;9;0
dmanek;695;3;0;3;2;35;19
dmanek;668;1;0;2;4;19;16
dmanek;650;3;0;1;3;1586;1332
dmanek;640;5;2;5;2;69;30
dmanek;616;5;1;3;2;40;1
dmanek;587;1;0;1;1;0;1
dmanek;575;3;3;3;2;35;19
bartes;676;2;0;2;4;16;0
bartes;666;3;0;2;2;35;9
bartes;665;2;0;3;2;42;3
bartes;664;6;0;2;2;3;0
bartes;663;1;0;2;2;29;7
bartes;662;2;0;1;2;6;1
bartes;661;1;0;2;2;36;6
bartes;577;3;0;6;1;14;1
ijonlester;598;2;0;0;0;0;0
kstep;723;15;0;0;0;0;0
kstep;720;4;0;0;0;0;0
kstep;601;9;0;0;0;0;0
nateflink;649;4;0;1;1;1;1
tleruitte;10748;5;0;1;2;21;2
tleruitte;10747;2;0;0;0;0;0
tleruitte;2121;3;0;1;2;12;1
tleruitte;2045;10;0;1;2;16;6
tleruitte;890;4;0;1;1;2;5
tleruitte;848;2;0;1;2;84;5
tleruitte;671;4;0;1;1;15;1
mhansen;691;1;0;0;0;0;0
msgilligan;699;1;0;1;1;1;1
ludicast;722;1;0;1;1;1;1
groner;1242;2;0;1;2;14;0
groner;987;5;0;1;2;4;0
groner;728;2;1;3;2;26;1
groner;330;5;0;1;1;5;3
groner;125;3;0;4;3;11;2
groner;102;2;0;1;1;1;1
alkis;792;1;0;0;0;0;0
alkis;730;1;0;0;0;0;0
alkis;13;5;0;0;0;0;0
alkis;12;2;0;0;0;0;0
alkis;11;1;0;0;0;0;0
alkis;9;1;0;0;0;0;0
alkis;8;1;0;0;0;0;0
alkis;7;1;0;0;0;0;0
