user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
davatron5000;8;1;0;0;0;0;0
davecardwell;28;9;0;0;0;0;0
davecardwell;27;2;0;0;0;0;0
tabacco;35;1;0;0;0;0;0
nvartolomei;37;1;0;0;0;0;0
hogart;40;7;0;0;0;0;0
speg;45;1;0;0;0;0;0
wibron;55;13;0;1;1;7;0
lukeholder;59;1;0;0;0;0;0
optikfluffel;69;14;0;2;3;30;8
shamanime;70;1;0;1;4;26;7
yadoga;165;3;0;1;1;1;1
yadoga;163;1;0;43;25;1644;225
yadoga;91;1;0;17;11;1184;827
zachpendleton;106;2;0;0;0;0;0
vvdpzz;107;2;0;1;1;1;1
peburrows;112;4;0;1;2;31;31
sweikenb;115;2;0;0;0;0;0
dagmar;122;1;0;0;0;0;0
dagmar;120;4;0;0;0;0;0
emilkje;6665;1;0;1;2;0;2
emilkje;121;2;0;3;5;19;19
rspeer;132;4;0;1;3;7;4
eduard-io;134;2;0;0;0;0;0
nikku;183;5;0;1;1;1;1
nikku;141;4;0;3;1;12;6
kamui545;301;1;0;0;0;0;0
kamui545;166;2;0;0;0;0;0
kamui545;150;1;0;0;0;0;0
bdalziel;157;2;0;2;3;8;2
mikea;173;5;0;3;3;14;5
lincolnthree;179;3;0;1;1;2;2
connor;368;2;0;0;0;0;0
connor;187;8;0;0;0;0;0
chripede;196;1;0;0;0;0;0
bitbonsai;200;1;0;1;2;2;0
khoogheem;207;3;0;0;0;0;0
Timothee;208;4;0;0;0;0;0
dyve;2230;1;0;0;0;0;0
dyve;2173;3;0;0;0;0;0
dyve;2166;3;0;0;0;0;0
dyve;1983;10;1;0;0;0;0
dyve;210;4;0;0;0;0;0
obeattie;212;5;0;0;0;0;0
marksands;236;3;0;0;0;0;0
EgoAleSum;3691;3;5;0;0;0;0
EgoAleSum;3346;9;0;0;0;0;0
EgoAleSum;2932;2;0;0;0;0;0
EgoAleSum;249;16;0;0;0;0;0
blakejakopovic;251;1;0;1;1;1;0
dmyers;351;6;0;0;0;0;0
dmyers;255;2;3;0;0;0;0
rafikk;262;2;0;0;0;0;0
beinstein;264;2;0;1;1;9;0
petervandenabeele;274;1;0;0;0;0;0
petervandenabeele;273;1;0;0;0;0;0
snapshot;277;2;0;1;1;4;4
lightglitch;317;7;0;0;0;0;0
lightglitch;279;0;0;0;0;0;0
JeanMertz;286;1;0;0;0;0;0
scott-stewart;1417;1;0;1;1;1;1
scott-stewart;300;2;0;1;3;8;1
lvivier;308;13;0;0;0;0;0
futoase;311;1;0;0;0;0;0
erikdahlstrand;319;1;0;0;0;0;0
ncuesta;323;14;0;0;0;0;0
wlangstroth;326;0;0;0;0;0;0
pal;353;2;0;1;1;1;1
josegonzalez;356;15;0;0;0;0;0
lmazardo;384;1;0;1;5;36;36
philipp-spiess;390;1;0;0;0;0;0
philipp-spiess;389;1;0;0;0;0;0
coreyward;4520;0;0;1;1;1;1
coreyward;395;1;0;1;1;2;2
billyvg;3015;2;0;1;1;13;2
billyvg;2117;1;0;1;1;2;2
billyvg;411;2;0;2;2;273;19
leereilly;3568;1;0;1;2;2;2
leereilly;413;1;0;1;1;1;1
joearcher;421;1;0;0;0;0;0
tonio;425;1;0;0;0;0;0
mkchandler;996;4;0;0;0;0;0
mkchandler;902;1;0;0;0;0;0
mkchandler;430;1;0;0;0;0;0
ggustafsson;434;3;0;0;0;0;0
RobVanGroenewoud;448;5;0;2;6;44;19
dscape;457;4;0;2;1;4;4
bauhouse;466;9;0;69;10;3479;0
damiancarrillo;470;2;0;0;0;0;0
lancehunt;477;1;0;0;0;0;0
behaba;482;7;0;5;16;5683;0
enortham;515;3;0;1;1;8;8
brennanmceachran;523;4;0;0;0;0;0
Josean1011;526;1;0;1;1;8;3
pelme;7092;2;0;1;1;2;0
pelme;2484;1;0;0;0;0;0
pelme;2481;4;0;0;0;0;0
pelme;2461;1;0;0;0;0;0
pelme;2423;8;0;0;0;0;0
pelme;529;1;0;0;0;0;0
liamks;534;70;0;1;7;63;14
millusdk;832;1;0;0;0;0;0
millusdk;540;1;0;0;0;0;0
tblobaum;543;0;0;72;48;5267;3631
bholub;1686;5;0;0;0;0;0
bholub;564;1;0;0;0;0;0
antonmoiseev;570;3;0;0;0;0;0
theill;581;29;0;0;0;0;0
codehack;584;2;0;0;0;0;0
greygeek;3840;3;0;1;1;4;3
greygeek;3081;8;0;2;1;16;7
greygeek;592;4;0;3;3;33;17
greygeek;591;3;0;1;1;161;159
NeoCN;594;8;0;0;0;0;0
mikedfunk;595;2;0;0;0;0;0
scottkf;859;1;0;0;0;0;0
scottkf;858;1;0;0;0;0;0
scottkf;612;2;3;0;0;0;0
scottkf;596;1;0;0;0;0;0
spung;597;1;0;1;3;4;4
anteksiler;602;1;0;0;0;0;0
anteksiler;601;0;0;0;0;0;0
samcome;604;1;0;0;0;0;0
storborg;743;1;0;0;0;0;0
storborg;657;7;0;0;0;0;0
storborg;614;14;0;0;0;0;0
