user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
zhongwen;75;1;0;0;0;0;0
rowlanddepp;97;6;2;16;21;619;92
aravindhm;380;5;0;2;6;420;2
aravindhm;379;1;0;368;187;13971;4974
aravindhm;137;8;3;4;5;140;10
aravindhm;116;6;4;2;4;218;0
mguillau;121;6;0;2;4;128;0
blackball;225;7;1;1;11;30;50
blackball;224;1;0;101;129;8453;1541
blackball;214;6;0;3;11;29;52
blackball;204;3;0;3;12;44;69
blackball;202;7;2;4;2;4;3
eendebakpt;1247;3;0;4;3;14;2
eendebakpt;1233;0;0;1;2;11;0
eendebakpt;292;1;0;2;1;12;5
eendebakpt;289;1;1;2;1;10;4
moskewcz;1972;1;0;1;1;1;0
moskewcz;308;9;0;92;38;5655;8
moskewcz;307;4;0;91;38;5657;8
yinxusen;345;1;0;1;1;1;1
luotao1;453;1;0;1;1;1;1
luotao1;411;1;0;1;1;7;7
luotao1;400;5;1;2;3;129;36
luotao1;397;2;0;1;1;119;34
borisgin;544;29;23;9;17;2660;316
borisgin;542;4;0;164;46;3239;1368
borisgin;439;58;2;3;7;418;150
borisgin;437;1;0;37;23;1161;62
abhi2610;503;0;0;0;0;0;0
yzhuan;564;2;0;1;1;3;3
egavves;575;2;0;243;140;7139;1983
anguyen8;619;1;0;1;1;1;1
vikkamath;636;1;0;1;1;1;1
ankurhanda;638;1;0;164;86;5230;1464
OpenHero;727;4;1;10;57;1658;34
OpenHero;709;6;0;268;57;1587;118
OpenHero;707;1;0;524;166;9582;2819
OpenHero;652;1;0;525;169;10021;2839
OpenHero;643;19;0;520;169;9940;2823
huyng;667;8;0;23;3;43;2
to3i;688;2;0;5;5;208;51
zayd;697;8;0;2;0;0;0
ekodeto;746;0;0;8;77;29845;140
cvondrick;1460;1;0;0;0;0;0
cvondrick;1395;1;0;0;0;0;0
cvondrick;777;2;0;0;0;0;0
yajiedesign;788;2;0;7;2;16;2
yajiedesign;783;2;0;1;1;1;2
dutran;792;6;0;0;0;0;0
dutran;791;2;0;0;0;0;0
zszhong;932;0;0;0;0;0;0
zszhong;844;3;1;0;0;0;0
Alanqc;887;0;0;13;17;6682;94
clemenscorny;918;3;0;0;0;0;0
alemagnani;1038;1;0;1;1;1;1
alemagnani;937;8;0;1;31;2521;47
lelayf;1018;4;0;3;4;132;0
lelayf;1017;1;0;6;4;132;0
yangcha;1135;3;5;5;4;7;6
yangcha;1134;0;0;10;125;1328;1241
benjaminklein;1151;3;0;1;1;2;2
benjaminklein;1145;2;0;19;127;1530;1235
dbbert;1198;4;0;2;1;1;4
yjxiong;1213;0;0;6;7;96;5
vimalthilak;1216;4;0;1;2;2;0
leonardt;1237;9;0;3;1;12;3
gpascualg;1262;1;0;0;0;0;0
ssafar;1263;6;4;1;6;351;2
mdenil;1268;4;1;2;2;4;1
weichengkuo;1279;1;0;0;0;0;0
amiralush;1367;26;7;4;3;2087;0
bearpaw;1378;1;0;13;64;4375;10
yangyanli;1400;1;0;1;2;5;0
BestSonny;1437;2;0;1;2;8;1
mcheshkov;1481;1;0;1;1;4;5
mcheshkov;1480;4;2;3;5;294;1
arcadiaphy;1493;2;0;0;0;0;0
sio2boss;1562;1;0;1;2;8;1
anoopcherian;1583;0;0;228;196;7545;2574
sanchom;1594;5;0;0;0;0;0
ruipimenta;1671;1;0;4;15;505;2
ruipimenta;1601;0;0;261;212;12438;2728
piiswrong;1660;2;0;1;2;3;4
vpestret;1665;2;0;6;5;72;2
beniz;2028;1;0;1;1;1;0
beniz;1683;6;0;4;3;27;4
tschmidt23;1711;0;0;0;0;0;0
yxgeng;1713;2;0;37;15;599;35
madduci;1714;14;0;0;0;0;0
slayton58;2737;15;1;1;11;694;54
slayton58;1854;2;0;7;16;199;86
slayton58;1739;13;5;4;16;192;82
nakosung;1759;9;0;0;0;0;0
javelinjs;1814;4;0;1;1;1;0
marcino239;1828;1;0;1;35;67;36
yanii;1900;7;0;1;5;213;28
yanii;1865;10;0;1;4;297;0
erogol;1890;10;2;0;0;0;0
erogol;1889;0;0;0;0;0;0
erogol;1870;0;0;0;0;0;0
yanweifu;1881;1;0;6;16;410;39
songjmcn;1886;2;0;1;2;210;0
songjmcn;1885;1;0;396;280;15491;7461
gitter-badger;1909;1;0;1;1;2;0
mees;1920;3;0;1;1;1;1
hmyeong;1953;0;0;0;0;0;0
Lupino;1964;3;1;0;0;0;0
axel-angel;1984;4;0;1;1;6;5
jukkaho;2026;0;0;5;3;175;42
dgmp88;2046;3;0;1;2;23;23
kencoken;2048;1;0;5;4;397;52
classner;2136;4;0;0;0;0;0
classner;2084;7;0;101;103;3192;1599
ducksoup;2098;1;0;7;5;146;45
paengs;2117;0;0;0;0;0;0
deercoder;2154;2;0;1;1;1;1
SnShine;2183;1;0;0;0;0;0
lunochod;2195;232;9;93;223;33555;6807
kevinbache;2204;5;0;4;7;353;6
nzikos;2222;1;0;7;12;957;1310
SpikingNeurons;4775;0;0;10;877;113079;211
SpikingNeurons;2264;1;0;3;19;192;83
pclove1;2271;1;0;3;9;281;242
eshelman;2279;9;0;1;1;3;1
ddetone;2283;3;0;17;10;1373;0
danielhauagge;2284;0;0;0;0;0;0
cseward;3528;0;0;4;9;420;1
cseward;2327;1;0;5;5;222;7
cseward;2324;0;0;6;5;213;7
mitmul;2326;0;0;1;1;1;0
gpapan;2385;0;0;18;86;9443;494
jnhwkim;2408;1;0;3;4;99;6
aspsnake;2416;0;0;1;37;4668;180
Hsinfu;2476;1;0;2;3;22;22
devxoul;2489;3;0;0;0;0;0
simonandluna;2516;0;0;2;5;7;6
TrifonT;2529;0;0;1;1;1;1
waldol1;2539;1;0;59;93;16116;35
wangyida;3103;5;0;0;0;0;0
wangyida;2603;39;22;91;92;2171;2025
wangyida;2552;4;0;2;72;2308;1863
yzhsjtu;3131;0;0;1;0;0;0
