user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
drio;218;1;0;0;0;0;0
chrisgemignani;231;24;1;0;0;0;0
futuraprime;232;3;0;0;0;0;0
syntagmatic;275;3;0;0;0;0;0
syntagmatic;179;19;3;0;0;0;0
enjalot;290;2;0;0;0;0;0
boothead;292;6;0;0;0;0;0
AWinterman;298;1;0;0;0;0;0
abernier;316;1;0;0;0;0;0
bixente;321;1;0;0;0;0;0
GunioRobot;355;0;0;0;0;0;0
ajcollins;374;3;0;0;0;0;0
drslump;416;1;0;0;0;0;0
bbroeksema;440;11;0;0;0;0;0
mccannf;442;1;0;0;0;0;0
twooster;458;6;0;0;0;0;0
conorbranagan;465;5;0;0;0;0;0
abh;491;2;0;0;0;0;0
jwhitley;495;11;1;0;0;0;0
indec;507;13;0;0;0;0;0
alex;517;3;0;0;0;0;0
luispedro;519;2;0;0;0;0;0
ZeeAgency;521;3;0;0;0;0;0
g2010a;567;2;0;0;0;0;0
loganlinn;574;13;0;0;0;0;0
justincormack;579;15;0;0;0;0;0
RichMorin;588;4;0;0;0;0;0
zenmoto;589;2;0;0;0;0;0
mmeisel;597;4;0;0;0;0;0
jonseymour;602;2;0;0;0;0;0
marcneuwirth;616;5;0;0;0;0;0
dcporter;617;4;0;0;0;0;0
gigadude;631;2;0;0;0;0;0
eghm;648;2;0;0;0;0;0
dadleyy;649;1;0;0;0;0;0
shawnbot;2209;7;0;0;0;0;0
shawnbot;1618;6;0;0;0;0;0
shawnbot;660;8;0;0;0;0;0
sj26;671;3;0;0;0;0;0
krid;676;2;0;0;0;0;0
paatsinsuwan;694;1;0;0;0;0;0
tcha-tcho;702;4;0;0;0;0;0
theJohnnyBrown;724;1;0;0;0;0;0
snoble;759;23;0;0;0;0;0
snoble;731;10;0;0;0;0;0
gabrielmontagne;732;18;0;0;0;0;0
nevir;744;12;0;0;0;0;0
nevir;734;3;0;0;0;0;0
gregsymons;745;11;0;0;0;0;0
mikeycgto;757;2;9;0;0;0;0
NathanaelA;758;5;0;0;0;0;0
vogievetsky;766;3;0;0;0;0;0
jamierytlewski;776;1;0;0;0;0;0
habeanf;789;4;0;0;0;0;0
javisantana;802;7;0;0;0;0;0
scholarsmate;817;1;0;0;0;0;0
nicanor-b;818;0;0;0;0;0;0
gunn;833;11;0;0;0;0;0
jbeard4;838;1;0;0;0;0;0
muddydixon;1738;1;0;0;0;0;0
muddydixon;1091;0;0;0;0;0;0
muddydixon;905;2;0;0;0;0;0
muddydixon;849;2;0;0;0;0;0
gollmann;855;3;0;0;0;0;0
jnordberg;856;1;0;0;0;0;0
makyo;857;3;0;0;0;0;0
ludoo;883;1;0;0;0;0;0
rgarcia;886;1;0;0;0;0;0
mnmly;889;2;0;0;0;0;0
mrmicjam;901;3;0;0;0;0;0
evanworley;933;10;0;0;0;0;0
rushton;1031;2;1;0;0;0;0
rushton;961;1;0;0;0;0;0
gedejong;967;2;0;0;0;0;0
mila76;984;2;0;0;0;0;0
danse;995;1;0;0;0;0;0
ajtulloch;1001;1;0;0;0;0;0
christophermanning;1003;3;0;0;0;0;0
paulgb;1014;2;0;0;0;0;0
gghh;1023;2;0;0;0;0;0
smcgivern;1106;1;0;0;0;0;0
smcgivern;1028;8;0;0;0;0;0
kriscarle;1044;8;0;0;0;0;0
tmcw;1047;1;0;0;0;0;0
darwin;1055;4;0;0;0;0;0
jomido;1058;2;0;0;0;0;0
kevincarrogan;1060;4;0;0;0;0;0
aogriffiths;1071;1;0;0;0;0;0
karmi;1072;2;0;0;0;0;0
fanktom;1073;24;6;0;0;0;0
purohit;1086;0;0;0;0;0;0
leonardseymore;1093;0;0;0;0;0;0
bm-w;1132;10;0;0;0;0;0
ilyabo;1147;2;0;0;0;0;0
iterion;1165;4;1;0;0;0;0
AndruByrne;1169;10;0;0;0;0;0
jisaacks;1173;15;4;0;0;0;0
gbradley;1174;1;0;0;0;0;0
raganesh;1189;1;0;0;0;0;0
Swatinem;1200;1;1;0;0;0;0
scottcheng;1201;22;0;0;0;0;0
mcandre;1227;4;0;0;0;0;0
mcandre;1225;1;0;0;0;0;0
sarvaje;1237;1;0;0;0;0;0
aprilrd;1239;2;0;0;0;0;0
Sigfried;1244;1;0;0;0;0;0
sammyt;1250;21;0;0;0;0;0
moshbitten;1251;5;0;0;0;0;0
shilad;1252;3;0;0;0;0;0
christophe-g;2159;0;0;0;0;0;0
christophe-g;1256;3;4;0;0;0;0
mrcarlosrendon;1261;6;4;0;0;0;0
kosiakk;1271;3;0;0;0;0;0
Freeyorp;1272;2;0;0;0;0;0
notlion;1274;5;0;0;0;0;0
mhsmith;1299;21;2;0;0;0;0
bigsley;1310;8;0;0;0;0;0
adnan-wahab;1426;1;0;0;0;0;0
adnan-wahab;1328;1;0;0;0;0;0
zhuangya;1338;2;0;0;0;0;0
pjanik;1343;7;0;0;0;0;0
timmywil;1377;6;0;0;0;0;0
tschaub;1378;3;0;0;0;0;0
jberns88;1390;1;0;0;0;0;0
MrCox;2397;2;0;0;0;0;0
MrCox;1393;0;0;0;0;0;0
tfforums;1429;1;0;0;0;0;0
Ta4i;1441;2;0;0;0;0;0
couchand;1502;2;0;0;0;0;0
couchand;1501;4;0;0;0;0;0
marcuskrahl;1512;5;0;0;0;0;0
sebastianseilund;1516;20;0;0;0;0;0
herrstucki;1523;4;0;0;0;0;0
Bamboofantasy;1537;0;0;0;0;0;0
carlsverre;1539;3;0;0;0;0;0
IvanRave;1553;1;0;0;0;0;0
Yahasana;1557;4;5;0;0;0;0
jaspervdg;1568;1;0;0;0;0;0
mathiasbynens;1569;3;0;0;0;0;0
bradens;1571;1;0;0;0;0;0
hlvoorhees;1574;3;1;0;0;0;0
jrideout;1614;1;0;0;0;0;0
jrideout;1598;3;0;0;0;0;0
ameyms;1603;2;0;0;0;0;0
sulmanen;1612;1;0;0;0;0;0
PartTimeLegend;1629;1;0;0;0;0;0
danielsu;1651;1;0;0;0;0;0
gka;2003;19;0;0;0;0;0
gka;1669;2;0;0;0;0;0
mourner;1677;7;0;0;0;0;0
rassie;1678;3;0;0;0;0;0
pawarmahen;1683;0;0;0;0;0;0
tcp;1743;6;0;0;0;0;0
tcp;1709;1;0;0;0;0;0
volkmuth;1717;2;0;0;0;0;0
phillipalexander;1723;1;0;0;0;0;0
voidstardb;1725;3;0;0;0;0;0
vijithassar;1732;0;0;0;0;0;0
musically-ut;1744;3;0;0;0;0;0
telic;1749;3;0;0;0;0;0
salomvary;1758;6;0;0;0;0;0
regiskuckaertz;1764;7;0;0;0;0;0
jakevdp;1779;9;0;0;0;0;0
kdamball;1807;1;0;0;0;0;0
esjewett;1811;2;0;0;0;0;0
ChALkeR;1829;5;0;0;0;0;0
Etro2148;1854;1;0;0;0;0;0
kaidjohnson;1856;1;0;0;0;0;0
PrajitR;1869;3;0;0;0;0;0
PrajitR;1866;2;0;0;0;0;0
KuanSheng;1867;0;0;0;0;0;0
ljani;1874;4;0;0;0;0;0
duggiefresh;1882;2;0;0;0;0;0
MichaelHilton;1891;1;0;0;0;0;0
Rich-Harris;1894;3;0;0;0;0;0
rpoconn;1898;1;0;0;0;0;0
uu1101;1905;4;0;0;0;0;0
Wattenberger;1916;1;0;0;0;0;0
otarazan;1930;2;0;0;0;0;0
lewis500;1932;1;0;0;0;0;0
programmist;1938;4;0;0;0;0;0
gmaclennan;1954;1;0;0;0;0;0
davelandry;1957;1;0;0;0;0;0
jonsadka;2090;3;3;0;0;0;0
jonsadka;1961;9;0;0;0;0;0
Anmo;1966;1;0;0;0;0;0
Anmo;1964;3;0;0;0;0;0
osharim;1967;2;0;0;0;0;0
rkophs;1973;1;0;0;0;0;0
serhalp;2001;1;0;0;0;0;0
serhalp;1974;3;0;0;0;0;0
ufenegga;1991;1;0;0;0;0;0
mdunaev;1993;1;0;0;0;0;0
mtraynham;2011;1;0;0;0;0;0
lebolo;2019;25;0;0;0;0;0
jchlapinski;2022;6;0;0;0;0;0
Y--;2042;4;0;0;0;0;0
jshanley;2044;5;0;0;0;0;0
mariusnita;2052;3;0;0;0;0;0
dribnet;2056;3;0;0;0;0;0
dorotka;2070;1;0;0;0;0;0
martoranod;2077;3;0;0;0;0;0
pelson;2080;2;0;0;0;0;0
mgold;2128;1;0;0;0;0;0
mgold;2082;1;0;0;0;0;0
alon;2091;2;0;0;0;0;0
kwyip;2098;0;0;0;0;0;0
floledermann;2102;5;0;0;0;0;0
visvirial;2121;1;0;0;0;0;0
ganchengyuan1990;2125;1;0;0;0;0;0
nitram509;2134;2;0;0;0;0;0
benlesh;2136;3;0;0;0;0;0
turbolent;2150;2;0;0;0;0;0
eric-poitras;2151;4;0;0;0;0;0
tpreusse;2170;1;0;0;0;0;0
vsn4ik;2171;0;0;0;0;0;0
brett-miller;2177;2;0;0;0;0;0
JoshSGman;2178;1;0;0;0;0;0
wassx;2194;3;1;0;0;0;0
vladh;2210;1;0;0;0;0;0
RudolfHattenkofer;2216;6;0;0;0;0;0
ericandrewlewis;2218;1;0;0;0;0;0
alexandersimoes;2221;1;0;0;0;0;0
wilg;2222;1;1;0;0;0;0
Caster;2237;3;0;0;0;0;0
portante;2238;3;0;0;0;0;0
skywinder;2264;1;0;0;0;0;0
johnstark;2266;1;0;0;0;0;0
hyunkim9123;2356;3;0;0;0;0;0
tobgu;2357;1;0;0;0;0;0
tarioch;2362;1;0;0;0;0;0
robinhouston;2377;3;0;0;0;0;0
mgetz;2379;6;0;0;0;0;0
