user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
jvc26;3;7;0;1;2;42;45
niwinz;678;3;0;27;50;779;557
niwinz;555;2;0;1;2;38;1
niwinz;66;0;0;1;3;64;3
niwinz;65;3;0;1;7;84;1
niwinz;41;17;4;1;8;266;17
niwinz;33;0;0;14;8;253;15
niwinz;4;5;0;3;8;206;15
remiprev;5;2;0;1;2;24;45
yuvadm;6;2;0;1;1;0;0
JCB-K;7;3;0;0;0;0;0
davehughes;8;4;0;0;0;0;0
tvaughan;12;5;1;0;0;0;0
robgolding;36;3;0;1;2;2;18
kennethreitz;40;0;0;0;0;0;0
gerardo-orozco;42;2;2;8;6;135;8
natebragg;46;9;0;1;22;428;310
pzinovkin;2241;6;1;0;0;0;0
pzinovkin;308;1;0;0;0;0;0
pzinovkin;62;1;0;0;0;0;0
pzinovkin;49;8;0;0;0;0;0
ei-grad;54;2;0;1;1;4;4
tylerball;55;1;0;0;0;0;0
pvanderlinden;56;2;0;2;4;70;2
bradbeattie;59;4;0;2;1;13;8
bradbeattie;58;1;0;1;1;1;1
programmerq;60;0;0;1;1;2;0
httpdss;63;3;0;1;1;0;2
stephenmuss;499;2;2;0;0;0;0
stephenmuss;64;1;0;0;0;0;0
valhallasw;67;1;0;2;2;14;10
newmaniese;74;1;0;1;1;12;3
newmaniese;73;1;0;1;1;12;3
newmaniese;72;0;0;193;201;3211;1609
newmaniese;71;1;0;1;1;11;2
eamonnfaherty;77;1;0;1;1;3;2
crodjer;576;19;10;10;6;73;2
crodjer;454;4;0;55;36;637;164
crodjer;453;0;0;6;5;96;10
crodjer;452;1;0;3;5;37;5
crodjer;95;3;2;11;4;174;24
crodjer;78;7;0;7;7;127;17
datajockey;83;1;0;1;7;30;9
bmihelac;2246;1;8;1;5;118;4
bmihelac;1005;1;0;1;2;19;2
bmihelac;698;1;0;1;5;25;2
bmihelac;697;1;0;40;66;912;220
bmihelac;390;1;0;1;1;4;0
bmihelac;163;1;0;1;1;2;2
bmihelac;84;3;0;3;5;25;2
rafaduran;96;3;0;2;1;3;3
rafaduran;91;2;0;1;1;3;3
rafaduran;85;2;0;1;1;4;4
davedash;87;5;0;1;1;1;1
jpic;8024;2;0;1;1;8;1
jpic;7785;2;2;1;2;11;0
jpic;7681;20;20;9;4;43;3
jpic;6368;1;0;1;1;3;1
jpic;6037;23;1;1;5;42;51
jpic;4824;3;8;2;2;40;2
jpic;4822;1;0;2;2;32;2
jpic;4821;1;0;568;3470;34949;93378
jpic;4747;12;5;5;3;42;4
jpic;4684;11;0;2;3;30;2
jpic;795;5;16;19;5;133;11
jpic;763;1;0;1;1;1;1
jpic;761;0;2;4;2;7;8
jpic;732;1;0;1;1;10;18
jpic;88;7;0;2;2;2;2
jacobh;3030;1;0;1;2;7;0
jacobh;100;1;0;1;1;4;1
vsajip;102;1;0;5;1;1;1
fabianbuechler;618;17;5;8;14;971;698
fabianbuechler;108;4;0;1;9;636;463
msabramo;110;2;4;2;3;22;0
littke;111;1;0;0;0;0;0
svartalf;113;3;0;0;0;0;0
saschpe;1759;1;7;1;4;51;1
saschpe;1718;1;0;1;1;3;0
saschpe;1717;3;0;1;2;2;1
saschpe;695;7;1;2;5;20;2
saschpe;150;7;3;2;5;30;2
saschpe;114;5;0;1;5;30;2
raulcd;3983;2;0;0;0;0;0
raulcd;3443;1;0;0;0;0;0
raulcd;118;1;0;0;0;0;0
raulcd;115;0;0;0;0;0;0
westfeld;116;1;0;0;0;0;0
pvl;135;1;0;1;1;10;1
pvl;131;0;0;1;1;12;1
pvl;120;1;0;1;5;65;0
JannKleen;126;0;0;1;3;38;5
audreyr;128;3;0;2;1;45;33
nmfm;132;1;0;1;2;21;0
chrisglass;133;1;0;1;4;48;6
kennethlove;5033;1;0;1;1;2;0
kennethlove;145;4;0;5;5;67;4
fuu;147;2;2;0;0;0;0
dgerzo;591;1;0;1;1;2;1
dgerzo;148;4;0;1;1;2;2
tsaylor;151;2;0;2;2;3;3
cobalys;180;5;0;3;9;100;29
cobalys;152;1;0;3;4;42;2
nagisa;170;1;0;0;0;0;0
nagisa;154;3;0;0;0;0;0
Psycojoker;4466;1;0;2;1;11;0
Psycojoker;4402;1;0;1;1;6;2
Psycojoker;155;1;0;2;1;10;1
ekkus93;158;4;3;0;0;0;0
ChameleonRed;2648;1;5;3;1;5;0
ChameleonRed;160;4;0;1;1;8;7
errx;2454;3;0;1;1;1;1
errx;939;1;0;1;2;3;2
errx;161;1;0;1;2;11;0
ximi;162;1;0;1;1;1;1
tuxcanfly;1761;1;0;1;1;2;1
tuxcanfly;1748;1;7;1;3;16;0
tuxcanfly;1716;3;5;1;3;12;3
tuxcanfly;1687;1;0;1;1;1;1
tuxcanfly;660;1;0;1;3;53;12
tuxcanfly;165;1;6;4;2;41;0
tuxcanfly;164;1;0;1;2;41;0
jairtrejo;166;1;0;0;0;0;0
jnns;2473;1;0;1;1;1;1
jnns;167;1;0;1;1;1;0
tomkins;169;1;0;1;3;17;1
gabrielgrant;171;1;0;1;1;1;1
aashudwivedi;172;1;0;1;2;3;3
bradleyayers;234;1;0;1;1;25;30
bradleyayers;174;2;0;70;142;4264;2777
adw0rd;175;3;0;5;3;29;1
bhuztez;178;13;0;12;50;329;59
bhuztez;177;1;0;1;6;54;21
dittaeva;205;3;4;1;1;1;1
dittaeva;179;1;0;1;1;7;7
deniscostadsc;181;2;0;3;0;0;0
alrra;184;1;0;0;0;0;0
babymastodon;189;3;0;1;1;1;0
ulope;3545;14;0;1;3;232;151
ulope;190;2;0;1;4;65;1
aptwebapps;191;0;0;1;1;0;4
kevinschaul;194;1;0;1;2;21;2
doismellburning;3102;1;0;1;1;2;1
doismellburning;196;3;0;1;1;1;1
danielsokolowski;1423;3;0;1;1;3;5
danielsokolowski;1284;1;0;1;1;19;2
danielsokolowski;787;2;0;3;2;9;8
danielsokolowski;198;1;0;1;3;50;14
micolous;1222;1;5;24;95;914;302
micolous;1202;1;0;3;3;89;1
micolous;373;1;0;609;2974;115279;105171
micolous;201;10;0;12;5;42;3
sjaensch;202;3;0;5;2;16;6
mtigas;203;1;0;0;0;0;0
mariocesar;465;1;0;1;1;4;0
mariocesar;461;1;0;1;5;29;1
mariocesar;206;1;0;1;1;3;3
Miserlou;4596;1;0;2;4;28;2
Miserlou;211;1;0;1;1;1;1
goinnn;1936;11;0;1;5;30;0
goinnn;1292;1;0;3;5;14;3
goinnn;1291;7;0;1;4;16;3
goinnn;217;4;0;8;4;33;14
nsb;219;0;0;2;3;20;9
