user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
thoward;127;2;0;0;0;0;0
devfacet;151;1;0;0;0;0;0
nictuku;284;1;0;1;5;221;73
lfn3;352;8;9;7;1;36;8
btbytes;545;1;0;0;0;0;0
diwakergupta;606;1;0;1;1;1;1
pasky;659;3;0;1;2;27;6
crohr;704;3;0;1;1;1;1
ebastos;722;7;0;0;0;0;0
lwf;756;1;0;1;1;1;1
anthonybishopric;991;4;5;5;12;887;127
anthonybishopric;861;7;4;6;1;1;1
tonyfabeen;906;2;1;1;2;10;6
bgehrich;981;5;0;0;0;0;0
felixbuenemann;999;9;0;1;1;151;0
sjbalaji;1014;5;2;1;2;32;31
justinsb;8896;35;9;9;9;125;62
justinsb;8891;2;0;1;1;2;6
justinsb;8890;2;0;1;1;8;0
justinsb;8888;3;0;1;5;84;42
justinsb;1056;17;0;2;5;164;2
justinsb;1016;11;0;25;11;356;127
ismell;1571;15;0;1;1;2;2
ismell;1031;5;0;1;1;2;2
gregkh;1062;17;0;0;0;0;0
jkingyens;1100;5;0;2;1;5;0
jkingyens;1071;1;0;25;2;132;125
ceralena;1152;3;0;0;0;0;0
zsol;1196;4;0;1;1;5;5
apatil;7242;7;0;1;2;8;2
apatil;1302;9;1;11;5;228;145
apatil;1275;15;0;3;4;13;1
steeve;1368;2;0;1;1;5;1
ykumar6;1372;0;0;27;2;132;125
drewcsillag;1618;24;0;0;0;0;0
drewcsillag;1604;0;2;0;0;0;0
drewcsillag;1506;1;0;0;0;0;0
drewcsillag;1383;30;18;0;0;0;0
siliconcow;1397;10;0;4;4;292;0
dhda;1465;7;0;0;0;0;0
moretea;1498;19;10;2;2;125;7
fourdollars;1610;7;0;0;0;0;0
colszowka;1707;7;0;1;1;3;0
lispmeister;1718;6;0;1;1;1;1
supermarin;1748;2;0;1;1;3;0
scottstamp;9646;6;0;2;1;3;3
scottstamp;9645;1;0;1;1;2;2
scottstamp;1763;1;0;1;1;3;1
dispalt;1765;1;0;0;0;0;0
demon012;1767;6;0;1;1;8;0
ikbrunel;1778;1;0;0;0;0;0
ikbrunel;1774;3;0;0;0;0;0
daguar;1808;2;0;1;1;1;1
philipbergen;1844;15;0;1;1;1;1
groundwater;1873;16;0;3;2;72;0
lazzarello;1910;6;0;1;1;2;1
rculbertson;1924;18;0;1;4;61;3
cdunklau;2017;4;0;2;1;40;11
colinsurprenant;2042;6;0;1;1;64;0
pastudan;2050;3;0;1;1;1;1
canoon;2054;15;3;1;4;114;25
KushalP;2213;3;0;5;2;29;4
KushalP;2062;11;0;2;2;2;0
amattn;2064;4;0;0;0;0;0
lachie;2083;4;0;4;5;75;7
whiteley;2092;3;0;1;1;1;1
idetik;2104;1;0;10;28;1025;660
wagerlabs;2337;8;0;0;0;0;0
wagerlabs;2266;22;3;0;0;0;0
amckinley;2301;8;0;1;2;38;0
amckinley;2297;1;0;1;2;40;1
adrianlzt;2310;8;0;1;1;1;1
stephenmw;2323;9;3;3;6;57;23
brendandburns;2347;7;0;1;1;3;3
denevell;2406;1;0;1;2;2;2
mahendra;2416;16;6;8;2;8;3
binaryphile;2450;5;0;1;1;3;0
overplumbum;2455;2;0;1;3;95;9
iangcarroll;2458;1;0;0;0;0;0
ido;2487;2;0;0;0;0;0
pkwarren;2524;1;0;1;1;17;8
gusennan;2529;12;4;0;0;0;0
paultag;2555;10;0;1;2;4;1
dillera;2572;3;2;1;1;51;0
philipcristiano;2573;1;1;0;0;0;0
dvoet;2687;64;0;1;7;62;28
dvoet;2600;1;0;4;4;16;3
puffnfresh;2608;1;0;0;0;0;0
alvinlai;2634;5;0;1;1;1;1
nha;2639;8;1;0;0;0;0
rinrinne;2832;7;0;1;5;19;6
jhorey;4795;14;0;6;5;138;42
jhorey;2839;1;0;8;5;21;4
lhazlewood;2845;12;0;1;1;4;3
rmillner;2902;64;7;1;10;59;10
scjudd;2905;3;0;1;1;5;3
huckphin;2906;1;0;1;1;0;2
kasiajanocha;2956;8;0;1;2;6;0
cvlc;2974;51;9;1;6;554;81
chilicat;2976;6;0;0;0;0;0
kevinwallace;3055;2;0;0;0;0;0
kevinwallace;2979;70;3;0;0;0;0
calebTomlinson;3026;6;5;1;2;32;5
wouterd;3042;8;0;3;1;42;40
iemejia;3054;2;0;0;0;0;0
mmoulton;3067;1;0;1;2;2;0
papanikge;3093;1;0;1;2;5;8
bravely;3164;0;0;1;1;8;0
riywo;3204;3;0;1;1;2;0
dangra;3209;3;2;1;1;6;4
jeffxor;3220;2;0;0;0;0;0
wking;9598;10;0;5;1;11;7
wking;6070;12;4;10;14;219;1
wking;3216;17;0;1;7;155;5
niklas;3235;16;4;3;4;10;6
rbinsztock;3319;2;0;1;1;3;3
paulczar;16610;6;0;1;1;7;0
paulczar;3332;2;0;1;2;11;4
thomas-holmes;3342;4;0;1;1;1;0
inthecloud247;3354;5;0;1;1;2;0
abierbaum;3360;15;2;3;3;53;2
sdwr98;3397;4;0;2;0;0;0
interlock;3452;14;0;1;1;20;1
jvermillard;3890;15;3;1;2;28;6
jvermillard;3505;18;3;1;4;14;1
aalexand;3536;1;0;1;1;1;1
dz0ny;3601;4;0;1;1;1;1
savingschampion;3602;6;2;1;1;7;0
kenshin54;6418;6;0;1;1;2;1
kenshin54;3604;9;0;10;16;757;41
amatas;3627;5;0;1;1;2;1
soccermitchy;3659;8;0;2;6;51;2
cheneydeng;3733;1;0;11;6;214;9
cheneydeng;3732;0;0;2;6;117;9
cheneydeng;3731;0;0;19;6;118;11
cheneydeng;3719;0;0;8;1;71;16
boopathi;3735;2;0;0;0;0;0
rasputnik;3803;1;0;0;0;0;0
burningTyger;3891;6;0;1;1;7;7
webmat;3917;4;0;1;1;6;0
dininski;3923;1;0;0;0;0;0
schvin;3953;7;0;1;1;3;1
rumple;3962;5;0;2;2;3;1
rumple;3961;0;0;3;1;1;2
chadoh;3999;5;0;1;1;6;0
chadoh;3998;8;0;1;1;1;1
kalyanceg;4170;2;0;1;2;79;6
kalyanceg;4024;9;0;2;5;92;1
tim-mit;4047;8;1;1;7;127;29
robsonpeixoto;4139;3;0;0;0;0;0
reivanen;4179;5;0;1;1;1;1
mitalia;4203;2;0;0;0;0;0
joefiorini;4247;2;0;1;1;1;1
moltar;4256;5;0;1;1;2;0
russroy;4286;2;0;1;1;1;0
thlorenz;4305;4;0;1;1;25;0
danielwegener;4344;1;0;1;1;4;0
ruebenramirez;4374;2;0;1;1;1;1
ruebenramirez;4373;2;0;1;1;1;1
timops;4375;2;0;1;1;1;1
codingfoo;4401;2;0;0;0;0;0
wil;4409;3;0;0;0;0;0
korfuri;4414;19;0;1;2;2;2
jedsmith;4434;0;0;0;0;0;0
olberger;4497;3;15;4;1;22;3
coocood;4573;2;0;2;1;14;0
newgoliath;4585;7;5;1;1;5;3
outrunthewolf;4586;4;0;3;1;3;3
amscanne;4626;3;0;2;9;339;8
jontewks;4637;2;0;0;0;0;0
hwong;4732;1;0;1;1;1;1
paulproteus;4735;10;0;1;1;3;3
kscherer;6217;4;2;0;0;0;0
kscherer;4807;2;0;0;0;0;0
usui-tk;4847;4;0;0;0;0;0
r-cheologist;4957;8;0;1;1;6;0
rodrigoma;5043;4;0;1;1;1;1
bernardopericacho;5044;0;0;99;64;1914;438
bjaglin;10500;3;0;1;2;2;2
bjaglin;8489;12;4;2;3;67;14
bjaglin;7268;20;2;0;0;0;0
bjaglin;5917;4;0;1;1;3;0
bjaglin;5107;5;0;1;1;1;0
madhatter;5141;16;0;4;2;4;2
perttierkkila;5426;2;0;1;2;2;23
Sirclicksalot;5465;11;29;4;1;62;49
Etsukata;5492;5;0;1;5;13;0
plinnell;5527;7;0;1;1;7;6
sukramlitt;5542;5;0;1;1;1;1
tuhrig;5548;1;0;0;0;0;0
vincentmayers;5555;7;0;1;1;6;0
joshwertheim;5586;8;0;1;1;1;1
samccone;5637;20;0;1;2;4;1
zinic;5980;3;6;1;4;263;161
zinic;5649;7;3;1;14;833;246
fruitl00p;5728;15;0;0;0;0;0
fruitl00p;5675;3;1;0;0;0;0
jumanjiman;5683;5;0;0;0;0;0
softboysxp;5767;1;0;1;3;160;52
bopm;5796;5;0;0;0;0;0
ktap;8467;6;0;1;2;5;1
ktap;8306;5;0;1;2;5;1
ktap;5817;37;1;2;2;3;1
ktap;5815;1;0;1;1;10;0
magnetikonline;5902;10;0;0;0;0;0
nosoq;5969;1;0;1;3;89;66
jwalter;5986;1;0;1;1;14;11
fibo;5992;1;0;0;0;0;0
ammmir;6014;2;0;1;3;7;2
imain;8826;21;12;1;2;110;0
imain;8348;29;13;3;19;416;4
imain;6243;2;0;2;10;130;0
imain;6061;8;13;1;10;248;0
rissem;6115;1;0;1;1;1;1
andredublin;6151;4;0;0;0;0;0
alshopov;6478;3;1;5;1;38;0
alshopov;6477;1;0;1;1;30;0
alshopov;6177;3;2;3;1;31;0
brondsem;6188;3;0;1;1;3;3
harshavardhana;6190;68;3;4;4;103;17
dkinzer;6236;4;0;1;1;1;1
agborkowski;6266;0;0;1;1;1;1
jonseymour;6327;3;0;2;1;7;9
jonseymour;6271;4;0;2;1;6;2
misfo;6310;3;0;1;1;1;1
ligfx;6311;8;0;0;0;0;0
kumarn33;6332;5;3;1;1;8;4
kumarn33;6326;1;0;1;1;8;4
mchiron;6336;3;0;1;1;1;1
rblomberg;6344;4;0;1;1;12;0
richarvey;6364;8;2;0;0;0;0
richarvey;6358;2;0;0;0;0;0
aegrumet;6373;1;0;1;1;1;0
jimmidyson;6392;3;0;2;4;261;0
ashish1099;6398;5;0;1;1;1;1
Sepero;6404;3;0;1;1;9;0
ManuelWeiss;6444;3;0;1;1;3;0
ManuelWeiss;6412;3;0;1;1;3;0
piclez;6423;6;0;27;37;161;90
manfredzab;6453;9;0;4;1;3;4
clouddrd;6582;12;0;1;1;5;0
clouddrd;6562;1;0;4;1;2;7
clouddrd;6537;1;0;14;1;1;7
jloosfelt;6584;2;0;0;0;0;0
eggtree;6596;4;0;1;1;8;5
dhammika;6609;19;0;1;4;58;1
freman;6662;20;21;1;9;203;15
bqbn;6691;4;0;0;0;0;0
Xe;6710;3;0;0;0;0;0
leedm777;6739;2;0;1;1;0;2
TheDevilOnLine;6774;2;0;1;1;1;1
Denrybin;6779;1;0;1;1;170;133
Denrybin;6778;1;0;1;1;170;133
phstudy;6862;6;0;1;1;2;2
brutasse;6869;20;7;0;0;0;0
keithbentrup;6930;12;3;0;0;0;0
Keirua;6963;0;0;0;0;0;0
ljk;6995;4;1;1;1;19;0
korya;7036;1;0;1;1;8;10
nubs;7076;6;0;1;1;1;1
zhongyi-altiscale;7145;3;0;1;5;33;7
notnoop;7177;4;0;1;1;1;1
SegFaultx64;7197;3;0;0;0;0;0
capoferro;7478;2;0;1;10;76;59
capoferro;7222;11;3;5;44;482;364
maosmurf;7224;1;0;0;0;0;0
nfnty;7254;2;0;0;0;0;0
nfnty;7240;13;1;0;0;0;0
gaodayue;7270;3;0;1;1;2;3
merlin83;8935;5;0;1;3;7;0
merlin83;8934;4;0;1;3;7;0
merlin83;7289;2;0;1;3;25;2
merlin83;7287;2;0;1;3;25;2
jpanganiban;7297;2;2;4;2;13;2
peterbourgon;7323;9;0;0;0;0;0
ambakshi;7408;18;1;1;1;15;5
jemc;7450;4;0;1;1;3;1
j0nathan-ll0yd;7504;2;0;2;1;18;0
neeravkumar;7508;10;1;8;3;103;11
hgschmie;7617;1;0;1;1;1;1
hgschmie;7616;12;0;1;4;128;8
ochapman;7624;3;0;1;1;1;1
dragon788;7637;6;2;1;1;9;0
jesset;7646;9;0;0;0;0;0
jesset;7645;4;0;0;0;0;0
ewencp;7666;2;0;1;1;1;1
Grynn;7703;10;0;0;0;0;0
sammcj;7711;2;0;1;1;1;0
Bwooce;7737;1;0;3;3;149;129
augustoroman;7739;9;0;0;0;0;0
spilio;7760;10;0;0;0;0;0
eik3;7783;6;3;0;0;0;0
frank-dspeed;7849;3;0;2;2;2;2
mustafaakin;7882;4;0;1;1;1;1
tedyoung;7917;8;2;3;2;53;147
ekristen;11891;4;2;2;2;7;3
ekristen;7937;7;0;1;1;1;1
sjtm;7945;3;0;1;1;3;0
Dufgui;8031;3;1;3;2;9;2
hustcat;14800;7;2;1;25;4391;0
hustcat;11988;8;2;2;2;4;5
hustcat;8082;1;0;1;1;11;1
vnagarnaik;8099;5;0;1;5;1096;2
SaiedKazemi;8185;3;0;1;4;7;3
SaiedKazemi;8184;5;0;4;4;7;3
isanych;9477;2;0;3;1;2;2
isanych;8314;5;0;1;1;1;1
isanych;8312;0;0;1;1;1;1
stela5;8327;1;0;3;1;3;2
alaw005;8355;2;1;1;1;2;2
scharf;8359;15;6;1;1;33;0
namhyung;8394;15;0;2;2;70;4
seongyeol37;8406;18;2;4;5;145;7
thesteve0;8466;12;0;1;1;2;1
cbosdo;8491;16;0;12;55;8796;181
hickeng;8589;6;0;1;30;167;77
kcampion;8655;10;0;1;1;6;2
kcampion;8596;16;3;1;1;6;2
vladia;8600;4;0;1;5;110;0
roidelapluie;8613;2;0;1;1;1;1
jijojv;8616;3;0;1;1;1;1
adrianolek;8633;2;0;1;1;1;1
baoruxing;8698;0;0;1;0;0;0
xb;8731;7;0;4;3;72;13
xb;8729;0;0;3;3;63;7
alexoj;8738;4;0;1;1;13;0
snibug;9068;5;0;1;6;114;1
snibug;8774;1;0;1;2;14;0
yankay;8783;0;0;1;1;1;1
jdowd;8858;0;0;1;1;2;0
jdowd;8857;5;0;1;1;2;0
ars3n;8922;8;0;1;1;0;0
ars3n;8918;2;0;20;37;1105;168
shouya;8925;2;0;0;0;0;0
aweiteka;8957;7;0;1;2;31;3
jdstrand;9034;3;0;1;1;125;18
meirf;9053;3;0;1;1;1;1
j0hnst0n;9055;4;0;1;1;19;17
rboyer;9060;8;0;0;0;0;0
fsniper;9096;12;6;3;5;129;70
larose;9119;18;9;3;5;57;33
simon3z;9146;27;1;1;7;702;0
ThierryAbalea;9186;1;0;1;1;1;1
aholler;9196;2;0;1;1;1;1
joshwilsdon;9232;17;0;1;2;198;25
alex-ethier;9264;1;0;2;1;2;2
humaton;9333;10;1;1;2;2;1
JustAdam;9383;6;0;2;9;179;39
JustAdam;9338;7;0;1;7;109;9
mrflip;9410;11;0;1;1;2;2
eloycoto;9415;5;0;2;3;67;9
macdweller;9498;2;1;2;7;134;1
philwhln;9568;2;0;0;0;0;0
jperla;9585;2;0;1;8;380;0
rayqiu;9632;1;0;1;1;2;1
tatsuya6502;9664;5;0;0;0;0;0
tatsuya6502;9663;1;0;0;0;0;0
jankoprowski;9670;7;0;1;1;1;1
IanCal;9714;7;6;2;1;24;5
panticz;9724;7;0;1;1;1;1
panticz;9723;5;0;1;1;2;2
will-ob;9726;8;0;1;1;31;1
josephkern;9761;23;5;14;4;90;12
josephkern;9744;3;0;1;1;31;5
dove-young;9916;24;9;2;5;83;11
dove-young;9901;0;0;5;3;53;2
sdake;9905;2;0;1;3;12;0
