user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
Reisen;272;3;0;1;1;11;0
felixhummel;280;5;0;3;1;6;5
jab;292;2;0;1;1;2;2
Poincare;499;1;0;1;1;1;1
Poincare;355;7;2;2;1;80;0
Poincare;302;2;0;1;1;1;1
Poincare;300;3;0;1;1;3;1
Poincare;296;3;0;4;2;35;6
Poincare;295;0;0;4;2;35;6
ab3;319;1;0;3;2;112;0
elmcrest;335;1;0;0;0;0;0
lolsborn;336;2;0;1;2;30;1
dorkitude;340;1;0;2;1;3;3
joeyespo;341;4;0;1;1;4;0
cybertoast;343;2;0;1;1;34;2
sojin;346;0;0;1;2;13;1
7footmoustache;349;1;0;0;0;0;0
simonz05;365;0;0;0;0;0;0
davidthewatson;366;1;0;0;0;0;0
mfa;383;5;0;4;1;6;1
ash211;408;1;0;1;1;1;1
ib-lundgren;447;2;0;1;1;1;0
dgerber;463;3;0;0;0;0;0
dgerber;156;1;0;0;0;0;0
lifeisstillgood;490;1;0;0;0;0;0
tomekwojcik;504;0;0;2;11;119;0
stepanbujnak;523;2;0;0;0;0;0
bobuk;535;1;0;0;0;0;0
yunfan;545;5;0;1;1;1;0
wibblymat;554;7;0;0;0;0;0
dgilman;558;3;0;2;1;15;0
obestwalter;581;3;0;0;0;0;0
techniq;597;2;0;1;5;257;11
tomasd;604;1;0;1;1;7;1
puzzlet;627;8;0;6;29;438;358
martijnvermaat;629;1;0;1;1;3;1
dhilipsiva;638;3;0;0;0;0;0
ming13;643;1;0;0;0;0;0
joequery;652;11;0;1;1;5;0
lovesh;656;3;0;2;3;71;9
danielchatfield;657;0;0;0;0;0;0
DazWorrall;670;2;0;1;2;8;1
frockdesigns;675;9;0;1;1;21;0
victortrac;694;2;0;2;2;2;2
mattbasta;698;3;0;0;0;0;0
netspyer;2076;14;0;1;1;1;0
netspyer;703;4;0;1;1;1;1
masklinn;711;6;0;1;1;8;0
omh;715;1;0;1;1;4;4
lgastako;717;6;0;1;2;82;0
demianbrecht;726;6;0;0;0;0;0
gatagat;727;1;0;1;1;9;9
CMGS;753;3;0;0;0;0;0
liks79;1739;3;0;1;1;2;2
liks79;756;4;0;173;173;10738;1
mblayman;761;2;0;1;1;4;0
devilicecream;790;8;0;2;3;109;3
mostafar;792;12;1;3;2;16;1
vivekagr;814;1;0;1;1;1;1
mortbauer;845;1;0;1;1;1;0
teaguesterling;848;0;0;1;0;0;0
teaguesterling;847;0;0;1;0;0;0
ktmud;849;2;0;1;1;5;0
heuer;867;2;0;0;0;0;0
ashishb;875;4;0;1;1;2;2
zvin;880;1;0;1;2;19;1
ykumar6;888;5;0;1;1;1;0
acoomans;893;9;0;3;2;23;0
Godley;910;0;0;1;1;3;1
ics;911;8;0;2;1;3;0
phaer;915;3;0;0;0;0;0
yukiChow;916;0;0;5;5;41;8
uniphil;921;1;0;1;1;3;0
andymckay;924;2;0;1;1;1;1
davislx;929;2;0;1;4;35;1
zhangliyong;930;3;0;2;2;24;8
Tim-Erwin;940;2;0;2;1;2;1
bbenne10;951;3;0;0;0;0;0
madflow;954;1;0;0;0;0;0
awebdeveloper;957;4;0;1;1;1;1
codeape2;958;15;0;1;3;19;1
jso;959;1;0;1;1;3;1
gillestasse;970;4;0;1;1;5;0
adrianmoisey;979;2;0;1;1;1;0
markoj;982;1;0;1;1;1;0
hiroakis;987;3;0;1;4;51;1
WoutervdBrink;991;3;0;0;0;0;0
robsonpeixoto;1003;1;0;0;0;0;0
mallyvai;1013;6;0;1;1;8;6
mitgr81;1017;2;0;1;1;8;2
fureigh;1018;1;0;1;1;1;0
koddsson;1028;5;0;6;3;48;5
tvieira;1029;2;0;1;6;9;9
andrewsmedina;1053;2;0;1;1;4;4
smurfix;1056;8;0;1;1;8;1
caspervg;1093;10;0;6;2;17;0
ctava;1109;14;0;1;6;101;2
ctava;1107;1;0;1;6;102;3
ctava;1103;1;0;10;7;76;5
master-zhuang;1116;13;0;1;1;2;2
tdihp;1119;3;0;1;1;2;2
itmard;1120;1;0;0;0;0;0
toader;1136;6;0;0;0;0;0
iurisilvio;1141;1;0;0;0;0;0
stefanooldeman;1142;3;0;1;1;12;12
alanhamlett;1537;6;5;5;1;21;2
alanhamlett;1515;12;3;2;7;49;13
alanhamlett;1176;7;0;3;5;31;7
tokheim;1178;0;0;1;3;23;0
WyseNynja;1184;7;0;0;0;0;0
frabcus;1195;2;0;1;1;2;0
gcallsen;1203;8;4;1;3;41;3
nickretallack;1209;14;7;4;3;22;2
Hasimir;1223;10;0;2;1;4;2
epadillas;1236;1;0;1;1;3;1
mastier;1253;1;0;0;0;0;0
eugene-eeo;1258;6;0;0;0;0;0
dhamaniasad;1260;4;0;1;1;1;0
AndrewBMartin;1275;2;0;1;1;1;1
kevmo;1287;0;0;1;1;1;1
noirbizarre;1301;11;0;2;3;63;4
Jayin;1306;1;0;0;0;0;0
melvin0008;1320;4;0;4;13;700;0
KarelJakubec;1331;1;0;1;1;1;1
univerio;1337;3;0;1;2;17;1
guilleJB;1339;1;0;2;1;4;1
pjhampton;1363;2;0;0;0;0;0
mayankgupta173;1365;6;2;1;1;22;6
alexpantyukhin;2091;2;0;1;1;1;5
alexpantyukhin;2090;0;0;1;1;1;1
alexpantyukhin;1390;15;9;8;7;53;2
jasonTu;1399;1;0;0;0;0;0
tonyxty;1402;0;0;0;0;0;0
tonyxty;1400;0;0;0;0;0;0
bsandrow;1401;2;0;1;1;1;1
ldgeo;1403;4;0;1;2;6;1
pythonpb13;1404;2;0;1;1;15;15
amaneight;1405;1;0;0;0;0;0
adambyrtek;1416;48;23;13;7;181;98
adambyrtek;1408;11;4;3;4;31;1
emilecaron;1428;0;0;1;1;23;2
iszlai;1436;1;0;5;2;29;47
mreinhardt;1439;2;0;3;3;74;0
garaden;1767;3;7;1;3;86;17
garaden;1451;13;0;1;3;85;17
goneri;1458;0;0;1;1;2;1
nitori;1468;5;0;1;1;38;0
sinwoobang;1472;3;0;0;0;0;0
igncp;1486;3;0;0;0;0;0
igncp;1476;6;0;0;0;0;0
igncp;1475;0;0;0;0;0;0
tonyseek;1479;7;0;1;2;99;0
rawrgulmuffins;1834;2;0;1;20;20;20
rawrgulmuffins;1482;4;0;6;2;16;1
ZhangBohan;1487;2;0;1;1;1;1
jmagnusson;1493;23;1;2;1;4;10
AlexKhodaverdian;1495;4;0;1;1;42;0
reduxionist;1501;3;0;0;0;0;0
killerbat00;1514;0;0;0;0;0;0
yecllsl;1522;1;0;1;0;0;0
mbr;1536;8;4;1;1;8;1
bartigor;1542;0;0;0;0;0;0
clementallen;1549;2;0;0;0;0;0
cashaddy;1566;1;0;0;0;0;0
vivekanand1101;1567;2;1;4;2;43;47
dkoleary88;1595;1;0;1;1;1;1
LennartP;1596;13;0;0;0;0;0
