user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
gurdiga;428;2;0;0;0;0;0
andrew-sayers--slando;429;3;0;1;1;1;0
hlian;430;5;0;0;0;0;0
stephenjudkins;435;6;0;2;1;4;0
caleb531;682;6;0;0;0;0;0
caleb531;437;7;0;0;0;0;0
plukevdh;438;4;0;2;2;28;9
josh;439;1;0;0;0;0;0
shesek;440;6;0;1;1;4;0
olivernn;441;1;0;1;4;21;14
kpozin;450;1;0;1;1;7;5
scott-hughes;452;3;0;0;0;0;0
scott-hughes;389;4;2;0;0;0;0
scott-hughes;388;7;0;0;0;0;0
scott-hughes;387;1;0;0;0;0;0
zacstewart;462;6;3;0;0;0;0
rotorz;469;3;0;0;0;0;0
moschel;470;6;8;1;2;16;3
zertosh;472;5;0;0;0;0;0
zertosh;471;5;2;0;0;0;0
yeikos;475;4;2;0;0;0;0
jigfox;479;3;0;1;2;8;2
scriptmaster;488;5;0;3;2;22;0
joelbirchler;493;9;0;1;1;3;3
jtaby;494;3;0;1;2;36;7
aitorciki;495;9;2;4;2;32;2
alexturpin;497;5;0;0;0;0;0
silentroach;1134;7;0;0;0;0;0
silentroach;1121;2;0;0;0;0;0
silentroach;498;5;0;0;0;0;0
jsoverson;501;5;0;0;0;0;0
Nemesis9765;505;2;5;0;0;0;0
Nemesis9765;504;1;0;0;0;0;0
shrage;506;1;0;1;1;24;3
hooper;516;2;0;0;0;0;0
ConradIrwin;517;2;0;1;3;13;2
tomgrohl;518;5;2;0;0;0;0
tomgrohl;241;3;2;0;0;0;0
br41n0t1cs;521;2;4;1;2;58;9
padolsey;526;7;0;4;1;7;5
doflah;527;7;1;0;0;0;0
Wilfred;532;4;0;0;0;0;0
bmustiata;533;1;9;0;0;0;0
berkerpeksag;536;1;2;0;0;0;0
berkerpeksag;534;1;0;0;0;0;0
charliesome;537;6;0;4;2;18;5
geoffhuston;542;4;0;0;0;0;0
JangoSteve;544;1;3;1;2;5;4
Southern;546;5;0;0;0;0;0
Southern;545;1;0;0;0;0;0
matthewmueller;1474;7;0;1;1;1;4
matthewmueller;548;1;0;1;1;0;2
mikaelkaron;779;1;0;0;0;0;0
mikaelkaron;549;1;0;0;0;0;0
ryanflorence;557;29;1;1;2;17;16
ryanflorence;185;1;0;1;10;16049;0
mattheworiordan;559;6;0;1;2;13;2
mattheworiordan;558;4;2;1;2;9;2
philmander;566;9;2;7;2;48;5
SaraJo;567;4;0;1;1;1;1
LeonFedotov;570;5;0;0;0;0;0
rafbm;571;5;1;4;2;4;5
bmar;572;1;1;1;1;2;1
jyli7;573;3;0;1;2;56;32
KaneCohen;575;4;0;0;0;0;0
tobio;631;7;1;3;3;25;10
tobio;576;4;5;3;2;32;3
jrburke;1150;9;0;1;2;9;16
jrburke;586;6;0;2;7;35;24
jrburke;584;7;0;1;4;19;34
jrburke;331;3;0;1;3;34;2
jrburke;166;2;0;10;6;213;2
jrburke;25;1;0;5;1;5;0
gyoshev;599;1;0;1;2;32;3
hx;603;6;0;1;1;8;3
pimvdb;609;4;0;0;0;0;0
poopsnagle;617;2;0;1;1;1;1
taberh;618;2;0;0;0;0;0
Cokegod;620;2;0;0;0;0;0
cederigo;621;4;0;0;0;0;0
tojocky;638;2;0;1;2;3;3
tojocky;637;4;0;1;2;34;1
tojocky;635;5;0;5;4;33;2
tojocky;632;4;0;1;1;16;0
mashal;634;0;0;1;1;1;0
jamie-pate;636;5;4;1;1;4;3
rchmura;641;2;0;1;10;50;50
inspiredjw;645;8;0;0;0;0;0
inspiredjw;644;1;0;0;0;0;0
cmc3cn;648;4;0;1;1;3;3
cmc3cn;647;0;0;1;1;1;1
cmc3cn;364;1;0;1;1;1;6
cmc3cn;363;5;7;2;1;19;16
cmc3cn;351;5;3;2;2;25;24
heygrady;656;4;13;6;2;105;57
nmjesus;657;1;0;1;1;23;0
wolever;658;21;0;0;0;0;0
lrsjng;660;5;0;0;0;0;0
stereobooster;662;14;37;9;16;773;305
cagataygurturk;670;7;0;0;0;0;0
adebree;724;8;0;1;2;19;1
adebree;673;1;3;4;2;16;3
keithamus;674;3;0;0;0;0;0
vlazar;683;8;0;2;2;62;21
brunoais;696;6;1;1;1;10;3
brunoais;685;1;0;1;1;13;2
janis-grigaluns;691;4;1;0;0;0;0
avoidwork;697;1;0;0;0;0;0
amonat;699;16;0;1;1;0;6
rkatic;700;8;0;1;1;2;11
rkatic;402;14;0;9;2;81;19
rkatic;368;0;11;8;2;26;3
rkatic;366;26;0;10;1;26;14
rkatic;356;15;0;1;2;9;9
rkatic;349;1;0;2;1;16;8
rkatic;10;3;0;27;4;77;10
rkatic;1;1;0;23;4;76;10
Oskariok;702;8;0;1;1;1;1
jbruni;703;1;0;0;0;0;0
stephband;706;7;0;0;0;0;0
braddunbar;708;4;0;0;0;0;0
spartan-developer;709;3;0;1;2;5;2
tks2103;714;19;4;3;2;10;7
treyhunner;952;11;0;1;20;160;160
treyhunner;780;2;0;1;18;651;651
treyhunner;715;10;0;1;1;36;0
BigBlueHat;716;11;0;1;1;25;2
laughinghan;719;18;30;15;4;50;0
laughinghan;717;24;5;5;4;66;41
laughinghan;395;15;4;2;2;23;5
subzey;722;7;6;0;0;0;0
SineSwiper;732;8;5;1;2;5;5
jbt;744;13;0;1;1;7;2
rewish;748;35;15;6;2;45;0
flowersinthesand;751;8;0;0;0;0;0
kgn;752;5;0;0;0;0;0
imsky;756;4;0;0;0;0;0
KillerX;757;3;0;0;0;0;0
farmdawgnation;1007;39;15;0;0;0;0
farmdawgnation;764;41;18;0;0;0;0
najamkhn;767;1;0;0;0;0;0
tricknotes;1132;0;0;1;1;3;3
tricknotes;1131;2;0;3;1;6;8
tricknotes;770;1;0;1;1;0;1
MoonScript;789;1;0;1;3;34;6
MoonScript;772;8;6;2;3;37;3
MoonScript;771;4;2;2;2;20;3
culshaw;773;3;0;1;1;20;3
Radagaisus;784;1;0;0;0;0;0
marcelometal;791;3;0;1;1;1;1
ljharb;794;4;0;1;1;5;1
ljharb;179;5;0;1;1;3;1
queequac;996;2;1;3;1;1;1
queequac;800;12;4;1;2;16;3
dvirazulay;806;6;0;0;0;0;0
jefferyto;808;5;16;8;2;42;6
runejuhl;809;3;0;0;0;0;0
uhtred;812;5;0;0;0;0;0
private-face;814;13;6;2;2;71;37
kborchers;824;1;0;1;1;1;1
fat;833;2;0;1;1;5;1
visiongeist;834;7;0;1;2;27;8
ChadKillingsworth;845;5;1;0;0;0;0
nowres;847;2;0;1;3;8;2
nowres;846;1;2;1;1;3;0
antishok;851;1;0;1;2;10;3
antishok;849;3;0;2;4;14;3
faulkner;853;0;2;1;6;19;19
lancejpollard;863;9;0;0;0;0;0
mgreter;866;11;0;0;0;0;0
mgreter;306;2;1;0;0;0;0
elijahmanor;903;4;5;3;3;46;8
elijahmanor;886;9;5;76;41;1644;1565
elijahmanor;880;0;0;3;1;28;2
elijahmanor;870;12;0;1;1;7;1
danielchatfield;875;1;1;0;0;0;0
danielchatfield;873;1;0;0;0;0;0
danielchatfield;871;3;0;0;0;0;0
willguitaradmfar;872;0;0;0;0;0;0
NikGovorov;878;3;0;2;2;24;1
temich;881;8;3;0;0;0;0
catrope;884;18;0;1;1;1;1
lyle-nel;885;1;2;0;0;0;0
tedliang;891;3;1;5;2;15;3
wwalser;897;14;9;1;2;7;3
wwalser;896;5;0;1;2;23;3
dgalvez;1181;12;0;5;4;77;1
dgalvez;919;2;0;1;1;1;1
dgalvez;914;4;0;2;2;54;4
dgalvez;899;31;0;3;5;23;44
jugglinmike;904;1;0;1;1;1;1
mekwall;905;2;0;3;1;3;3
helix;906;3;1;1;1;1;1
staabm;918;1;0;1;1;1;1
staabm;908;2;4;3;1;13;2
aaronj1335;911;16;0;3;1;7;2
matjae;913;8;0;2;2;14;1
rvagg;920;9;8;0;0;0;0
godmar;921;12;0;1;1;1;1
coopersemantics;924;7;2;2;2;30;2
vlakoff;925;3;0;1;1;1;1
eikes;928;16;5;0;0;0;0
joyvuu-dave;929;3;0;1;1;1;1
callumacrae;931;2;0;1;1;5;6
onyxrev;934;6;0;1;1;7;0
onyxrev;933;0;0;1;1;876;869
crdx;935;3;0;0;0;0;0
shikolay;943;2;0;0;0;0;0
lihanli;1409;2;0;1;3;29;1
lihanli;1385;9;1;1;2;9;0
lihanli;945;5;0;1;1;3;4
yiminghe;1241;9;14;0;0;0;0
yiminghe;1240;16;0;0;0;0;0
yiminghe;1005;2;0;0;0;0;0
yiminghe;999;4;2;0;0;0;0
yiminghe;950;1;5;0;0;0;0
yiminghe;948;3;0;0;0;0;0
jonathansampson;1537;5;5;5;1;9;2
jonathansampson;951;1;6;2;1;1;1
bentruyman;988;8;5;0;0;0;0
bentruyman;979;1;0;0;0;0;0
bentruyman;966;9;3;0;0;0;0
bentruyman;957;1;0;0;0;0;0
james-huston;993;0;4;4;3;94;16
james-huston;964;0;0;1;1;11;0
james-huston;963;0;0;1;1;2;0
james-huston;962;0;0;2;1;3;1
james-huston;961;0;0;1;1;4;0
james-huston;960;1;0;1;1;2;0
james-huston;959;2;0;1;1;10;0
saiwong;987;5;2;4;2;101;58
saiwong;968;1;0;1;1;1;1
saiwong;965;0;0;1;4;29;2
elgreg;982;2;0;0;0;0;0
elgreg;969;2;2;0;0;0;0
rascalking;970;0;0;0;0;0;0
morgangraphics;971;0;1;2;2;10;1
cobrajs;972;2;0;2;2;57;1
eruizdechavez;992;0;0;0;0;0;0
eruizdechavez;990;1;0;0;0;0;0
eruizdechavez;985;0;0;0;0;0;0
eruizdechavez;973;0;0;0;0;0;0
carldanley;976;1;0;0;0;0;0
aakinwunmi;977;0;0;1;3;9;4
ikhair;984;0;0;1;1;8;8
ikhair;978;2;0;2;1;0;2
mpetrovich;981;1;0;2;3;29;1
mpetrovich;980;0;0;2;4;67;1
tomfuertes;1210;7;0;0;0;0;0
tomfuertes;989;1;0;0;0;0;0
bmelton;994;21;0;1;1;1;1
gbraad;995;3;3;1;2;7;1
Gvozd;1001;1;0;0;0;0;0
DFoxinator;1010;0;0;1;1;6;1
iamnoah;1011;5;5;4;2;18;0
chadparry;1021;4;1;1;2;74;3
chadparry;1015;25;1;3;1;1;1
lukemelia;1019;20;4;1;1;1;1
PaulBRamos;1068;1;0;1;2;42;4
PaulBRamos;1053;0;0;1;1;798;598
PaulBRamos;1052;15;0;2;3;9;97
PaulBRamos;1047;8;10;20;43;1754;2045
PaulBRamos;1033;8;7;2;2;43;3
PaulBRamos;1023;4;3;1;2;62;1
knightli;1026;8;0;1;1;2;2
rspilker;1027;8;0;1;1;1;1
eeroan;1028;3;4;0;0;0;0
jiahut;1029;2;0;1;1;1;1
maranomynet;1030;9;7;0;0;0;0
jguang;1031;1;0;9;7;157;49
aFarkas;1655;2;0;1;1;3;3
aFarkas;1035;2;7;2;2;13;7
aFarkas;342;15;2;2;1;5;15
aFarkas;213;2;0;1;3;10;3
arjun024;1512;8;4;0;0;0;0
arjun024;1451;1;0;0;0;0;0
arjun024;1040;2;0;0;0;0;0
tarruda;1048;7;0;1;1;1;1
angryziber;1049;1;0;0;0;0;0
bsorbo;1050;13;2;4;2;13;0
buu700;1055;2;0;0;0;0;0
chrisaljoudi;1057;8;0;0;0;0;0
ralt;1072;2;0;0;0;0;0
evanworley;1088;8;0;1;2;29;4
hasclass;1089;12;0;5;2;19;6
chshouyu;1099;1;0;0;0;0;0
Kangaroopower;1100;4;1;0;0;0;0
Homlean;1101;0;0;0;0;0;0
damienklinnert;1102;4;0;0;0;0;0
isaacs;1103;26;18;1;2;25;17
razic;1106;4;0;0;0;0;0
adamcoulombe;1111;16;3;6;2;50;2
Sysaninster;1113;3;0;1;1;7;3
danilsomsikov;1127;2;1;2;2;17;1
danilsomsikov;1122;2;0;1;1;6;0
jbottigliero;2728;2;0;1;1;1;8
jbottigliero;1126;1;0;1;1;2;2
gucong3000;1378;1;0;0;0;0;0
gucong3000;1372;2;0;0;0;0;0
gucong3000;1370;1;0;0;0;0;0
gucong3000;1133;1;0;0;0;0;0
andrewplummer;1153;5;4;0;0;0;0
andrewplummer;1140;21;0;0;0;0;0
xta;1141;6;0;0;0;0;0
byroot;1142;8;0;1;1;5;0
JanMiksovsky;1149;1;11;2;2;14;1
JanMiksovsky;1148;5;0;55;59;1018;618
shalecraig;1154;0;0;1;1;0;1
asgardsinc;1157;1;0;1;1;1;0
JeyKeu;1159;4;0;0;0;0;0
gajdaw;1161;10;0;2;1;115;0
