user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
ringerc;1325;28;4;3;8;262;10
ringerc;1324;8;4;1;1;26;3
cmfcmf;1343;8;0;1;1;10;9
ygge;1346;7;0;1;1;1;1
cjbush;1381;6;8;3;4;34;6
GregOriol;1382;14;0;1;1;2;0
llibicpep;1409;3;0;0;0;0;0
cschoell;1427;6;3;1;2;7;2
mar-io;1457;5;0;1;2;2;2
metaspace;1465;2;2;1;1;2;0
ruoxijiang;1471;4;0;3;1;1;1
oharboe;1478;21;2;1;1;5;3
olenz;1535;0;0;1;1;1;0
olenz;145;3;0;4;6;31;1
jieryn;1537;4;0;2;2;15;2
baskaran-md;1544;10;0;1;1;2;3
draugz;1545;1;0;1;2;37;26
brunocarneiro;1582;2;4;2;4;27;2
chynten;1602;4;0;0;0;0;0
chynten;1599;5;0;0;0;0;0
mmlegrand;1605;4;7;4;2;11;5
sathiya-mit;1632;0;6;0;0;0;0
raintean;1646;0;0;0;0;0;0
dietmax;1695;4;0;0;0;0;0
jhoblitt;1718;3;0;1;1;1;1
ari;1746;25;0;4;2;11;12
gv2011;1752;1;2;3;2;66;58
gv2011;1751;0;0;3;2;66;58
rolsdorph;1769;3;1;2;1;22;0
hashar;1775;4;0;1;4;8;5
Jochen-A-Fuerbacher;1792;4;1;1;1;11;0
mrooney;1829;5;1;3;1;9;11
vvv444;1844;8;0;1;1;3;0
jninnes;1885;10;0;2;5;38;17
seryl;1909;9;0;1;1;3;3
seryl;1901;3;0;1;1;3;3
Grizzlyt;1903;1;0;9275;9291;240718;163600
paulmillar;1906;6;0;1;1;40;0
ScoobyChris;1912;8;0;5;5;37;4
ScoobyChris;1911;0;0;4;5;39;4
RCFans;1925;1;0;2;1;1;1
ngksternhagen;1944;2;0;1;1;1;1
lukaszkarnasiewicz;1947;7;2;1;1;11;6
lukaszkarnasiewicz;1946;0;0;1;1;11;6
NBardelot;1954;2;0;1;2;24;5
vvitayau;1966;3;0;1;1;1;1
ozcanovunc;2005;6;0;0;0;0;0
OscarRobertRodriguez;2030;3;1;6;1;2;1
ajub;189;1;0;25;12;2107;0
ajub;96;3;0;8;3;494;0
ajub;91;1;0;1;6;713;0
wgriffiths;190;1;0;0;0;0;0
ffo;192;4;0;2;0;0;0
thomasmorse;209;3;0;1;1;2;2
sshekher;212;2;5;4;10;92;18
fieldmar;215;1;0;1;1;14;5
simoleone;224;7;0;1;1;8;5
awarddev;229;7;0;1;1;73;69
ralfEdmund;237;10;3;2;2;17;0
isware;240;1;0;1;3;60;28
stefanbrausch;241;1;0;3;1;1;0
cspotcode;246;1;0;1;1;20;0
freimair;259;3;0;3;3;43;0
freimair;257;3;0;5;10;66;3
rborer;1045;6;2;2;21;158;158
rborer;452;2;0;5;1;19;16
rborer;281;1;0;1;1;29;21
jaakkopaakkonen;288;4;0;1;1;9;4
illicitonion;290;1;0;0;0;0;0
emanuelez;523;1;0;1;1;1;1
emanuelez;449;11;0;1;4;37;40
emanuelez;446;1;0;2;4;37;40
emanuelez;303;1;0;1;1;21;11
motlin;305;1;0;0;0;0;0
justinedelson;306;2;0;1;3;30;0
