user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
jlleblanc;218;38;0;4;6;9537;0
jlleblanc;3;15;0;2;1;4;1
kyleledbetter;529;4;0;3;4;22;25
kyleledbetter;449;1;0;1;2;133;2
kyleledbetter;444;0;0;2;6;22;8
kyleledbetter;443;7;0;2;4;101;29
kyleledbetter;37;5;2;2;1;11;11
kyleledbetter;5;12;0;1;1;8;8
tbela99;22;1;0;1;1;1;1
TBK0000;44;2;0;0;0;0;0
TBK0000;28;6;0;0;0;0;0
drmmr763;3788;46;3;8;1283;0;1285
drmmr763;1761;0;0;2;1;0;1
drmmr763;1760;3;0;4;1;6;3
drmmr763;1759;2;0;3;1;12;14
drmmr763;1253;0;0;1;1;1;1
drmmr763;1252;1;0;2;1;8;1
drmmr763;1241;0;0;1;1;1;1
drmmr763;1228;7;1;1;2;16;2
drmmr763;1225;0;0;1;3;4110;3920
drmmr763;1224;3;0;1;2;38;19
drmmr763;1223;9;1;5;1;6;4
drmmr763;40;2;0;1;3;175;34
carson3511;64;5;2;0;0;0;0
montano;79;1;0;1;1;1;0
gpongelli;507;12;0;4;2;8;8
gpongelli;384;1;0;1;1;1;1
gpongelli;307;14;12;12;46;4509;105
gpongelli;169;2;0;12;12;50;7
gpongelli;166;5;0;44;86;6941;221
gpongelli;84;1;0;78;328;12895;5197
WebMechanic;132;3;0;0;0;0;0
WebMechanic;131;2;0;0;0;0;0
WebMechanic;88;6;0;0;0;0;0
Naouak;741;5;0;1;1;1;1
Naouak;90;4;0;2;3;15;4
wicaksono;92;2;0;1;3;248;0
wicaksono;91;1;0;1;1;0;0
simbus82;97;3;0;2;1;1;1
M-Falken;104;7;0;1;1;1;1
ahmadrusli;110;1;0;1;1;1;2
ahmadrusli;109;3;0;1;1;1;1
ahmadrusli;108;3;0;1;1;0;5
advans;115;4;0;1;49;4720;10361
rcorral;116;9;0;4;16;18749;2
fxstein;120;1;0;2;1;1;1
pollen8;7126;12;2;2;11;38;24
pollen8;2092;4;0;4;3;18;2
pollen8;2061;1;0;6;4;29;48
pollen8;707;5;0;6;6;807;75
pollen8;123;2;0;13;5;159;3
j16sdiz;125;2;2;0;0;0;0
pepellou;128;2;0;1;1;2;0
klauswilms;138;5;4;4;2;4;2
klauswilms;129;3;0;1;1;2;2
qawemlilo;136;2;0;1;1;89;0
benjaminpick;229;1;0;3;3;121;24
benjaminpick;160;5;0;5;1;6;4
benjaminpick;143;1;0;5;1;1;1
AstDerek;152;3;1;1;1;38;57
AstDerek;151;4;1;1;1;46;60
JonahBraun;154;9;0;1;1;18;14
JonahBraun;153;11;0;1;1;45;0
cheryeong;736;1;0;1;1;1;1
cheryeong;735;0;0;92;2456;5719;3511
cheryeong;159;3;0;1;1;2;2
AndOne1974;165;1;0;1;3;3;3
aaronschmitz;562;1;0;1;1;1;1
aaronschmitz;347;1;0;2;1;2;1
aaronschmitz;318;0;0;1;1;6;35
aaronschmitz;168;3;0;2;2;19;3
projeteweb;177;3;0;1;1;2;1
wdaniels;199;2;0;1;1;2;2
wdaniels;198;5;0;39;69;283;233
wdaniels;185;4;3;57;63;170;139
rvsjoen;719;2;0;1;1;7;4
rvsjoen;189;3;0;1;3;3;3
fititnt;190;9;2;5;2;54;5
ilhooq;192;1;0;1;1;4;0
dgasparri;194;2;0;4;3;331;4
dgasparri;193;3;3;1;1;289;1
florianv;196;1;0;3;1;8;10
seanredmond;200;4;0;2;1;1;1
amh-mw;208;8;0;1;2;2;0
twentronix;1243;2;0;0;0;0;0
twentronix;716;1;0;0;0;0;0
twentronix;638;3;0;0;0;0;0
twentronix;214;4;0;0;0;0;0
mlipscomb;215;0;0;1;1;3;1
krileon;217;3;0;0;0;0;0
krileon;216;3;0;0;0;0;0
kropatschek;245;4;0;1;1;1;1
vess;250;1;0;0;0;0;0
paty1melo;253;4;0;5;13;61;10
paty1melo;252;0;0;2;10;39;0
paty1melo;251;3;1;5;13;61;10
Chris-Jones-Gill;2494;11;6;0;0;0;0
Chris-Jones-Gill;655;2;0;0;0;0;0
Chris-Jones-Gill;259;5;0;0;0;0;0
vovtz;260;2;0;1;1;3;1
asisti;263;2;0;4;4;15;1
asisti;262;1;0;4;4;15;1
pborreli;279;12;0;1;6;2;14
upsj;285;4;0;1;1;1;1
andreatarr;1298;0;0;1;11;26;2
andreatarr;456;1;0;1;1;1;1
andreatarr;451;2;0;1;2;67;38
andreatarr;450;2;0;2;2;139;42
andreatarr;447;5;0;1;1;4;0
andreatarr;446;2;0;1;7;3827;3968
andreatarr;438;1;0;1;1;4;1
andreatarr;422;1;0;1;3;21;6
andreatarr;394;1;0;1;1;2;1
andreatarr;393;1;0;1;2;10;1
andreatarr;380;1;0;1;1;1;0
andreatarr;357;3;0;14;210;5967;7086
andreatarr;342;3;0;1;3;3;3
andreatarr;308;2;0;1;39;159;165
andreatarr;299;2;0;72;729;52798;15153
andreatarr;289;0;0;119;541;43812;12440
bradp;292;2;0;0;0;0;0
vipantonio;333;5;1;14;2;14;18
vipantonio;320;3;0;10;1;75;44
case303;336;2;0;1;1;1;1
case303;321;2;0;1;1;1;1
juliopontes;758;0;0;0;0;0;0
juliopontes;505;6;0;0;0;0;0
juliopontes;472;26;15;0;0;0;0
juliopontes;432;1;0;0;0;0;0
juliopontes;327;7;0;0;0;0;0
enav;337;4;0;0;0;0;0
angieradtke;340;0;0;9;29;4022;4509
andergmartins;5342;4;0;22;9;169;98
andergmartins;2666;1;0;16;2;180;3
andergmartins;2662;2;0;14;1;20;1
andergmartins;2660;16;0;23;5;42;50
andergmartins;731;2;0;1;2;7;3
andergmartins;356;7;0;8;7;46;61
willfaulds;372;1;0;0;0;0;0
jneubauer;7653;23;2;4;3;3;3
jneubauer;7549;28;0;5;6;47;8
jneubauer;7548;1;0;1;1;6;4
jneubauer;848;1;0;1;1;0;4
jneubauer;398;1;0;1;1;62;64
jneubauer;397;1;0;1;2;107;103
jneubauer;396;0;0;2;3;166;167
samtlewis;454;2;0;1;1;1;1
Helrunar;462;4;0;0;0;0;0
Serhioromano;1563;1;0;0;0;0;0
Serhioromano;1119;0;0;0;0;0;0
Serhioromano;468;2;0;0;0;0;0
Serhioromano;467;0;0;0;0;0;0
judgestone;471;2;0;1;1;1;1
mneri;477;1;0;0;0;0;0
chalak;485;4;0;3;2;32;0
chalak;484;1;0;2;1;16;0
chalak;483;0;0;1;1;7;0
joomla-coder;494;1;0;1;3;3;1
bcordis;954;2;0;1;1;1;1
bcordis;952;2;0;9;1;1;1
bcordis;496;1;0;2;1;1;1
Kodemon;501;4;0;0;0;0;0
marcanuy;2417;2;0;1;1;1;1
marcanuy;726;6;0;1;1;15;2
marcanuy;502;1;0;1;1;2;4
obsidev;3690;5;1;2;1;1;1
obsidev;2475;6;0;1;1;1;1
obsidev;2464;2;0;1;1;4;8
obsidev;2463;3;0;1;1;3;3
obsidev;1508;1;0;3;2;28;9
obsidev;1240;6;2;4;18;164;219
obsidev;504;2;0;1;1;7;0
jmcameron;2842;46;0;27;7;7;8
jmcameron;976;10;0;75;2;506;1
jmcameron;975;12;6;127;12;1980;1
jmcameron;647;14;0;10;0;0;0
jmcameron;509;5;0;2;1;1;1
dustwolf;654;1;0;1;2;5;5
dustwolf;516;1;0;2;2;2;2
dustwolf;515;1;0;2;2;2;2
dustwolf;514;1;0;5;1;2;2
dustwolf;513;1;0;2;1;2;2
dustwolf;512;1;0;1;1;2;2
dustwolf;511;1;0;1;1;2;2
jewei;525;2;0;1;1;1;1
BenkiNew;528;2;0;0;0;0;0
poes-weather;531;2;0;0;0;0;0
JonasBrand;533;1;0;0;0;0;0
guilleva;541;1;0;1;1;1;1
nickanti;2324;0;0;1;1;1;1
nickanti;617;0;0;2;2;2;1
nickanti;616;0;0;1;1;1;0
nickanti;615;1;0;1;1;31;2
nickanti;614;1;0;1;7;7;7
nickanti;613;1;0;2;8;39;10
nickanti;612;2;0;1;9;13;13
nickanti;611;5;0;1;1;1;1
nickanti;610;3;0;6;6;10;10
nickanti;609;1;0;3;3;3;3
nickanti;585;2;0;1;1;28;0
nickanti;584;2;0;4;4;32;3
nickanti;567;1;0;3;3;7;7
nickanti;566;2;0;60;130;2625;790
nickanti;542;0;0;3;3;7;7
pilou-;545;1;0;0;0;0;0
dfritsch;3913;5;0;1;1;1;1
dfritsch;3591;4;0;1;2;11;6
dfritsch;1772;1;1;2;1;6;0
dfritsch;559;2;0;0;0;0;0
dfritsch;556;1;3;0;0;0;0
piggydoughnut;596;2;0;1;1;1;1
piggydoughnut;569;1;0;1;1;5;0
danyj;571;1;0;0;0;0;0
julienV;3502;20;0;6;6;130;1
julienV;1959;1;0;1;4;19;44
julienV;1523;0;0;1;5;104;0
julienV;879;3;0;1;3;16;4
julienV;779;8;0;1;1;1;1
julienV;583;1;0;1;1;1;1
makru83;587;4;0;2;1;37;0
jan/23;588;1;0;1;1;1;1
isalcedo;604;7;0;60;132;2878;784
CristinaSolana;4095;4;0;0;0;0;0
CristinaSolana;625;6;1;0;0;0;0
CristinaSolana;607;0;0;0;0;0;0
CristinaSolana;606;1;0;0;0;0;0
aekboy2010;608;0;0;1;1;1;1
thinkerytim;622;3;0;1;1;16;3
aleks-linya;1108;1;0;1;1;35;35
aleks-linya;1073;1;0;3;3;1;8
aleks-linya;864;2;1;8;16;35;27
aleks-linya;862;0;0;6;15;571;39
aleks-linya;729;2;0;7;3;43;8
aleks-linya;715;0;0;4;2;0;8
aleks-linya;703;0;0;1;1;1;1
aleks-linya;666;0;0;1;1;60;16
aleks-linya;650;6;0;1;1;82;52
tessamero;1210;3;0;1;1;2;2
tessamero;740;2;0;1;1;3;3
tessamero;651;2;0;1;1;1;1
ced1870;8693;17;0;1;1;3;0
ced1870;658;1;0;1;1;4;0
Networlds;663;7;0;1;1;1;1
griiettner;3872;1;3;0;0;0;0
griiettner;671;7;0;0;0;0;0
andrewnester;3397;2;1;5;3;338;17
andrewnester;3286;5;0;5;3;338;17
andrewnester;2338;4;0;1;1;21;27
andrewnester;679;3;0;1;1;2;2
gauthierl;690;0;0;4;2;112;145
gauthierl;686;0;0;9;11;79;75
gauthierl;683;0;0;1;2;11;6
SeanClement;696;15;0;0;0;0;0
fitorec;724;11;0;4;1;2;3
fitorec;700;3;0;1;1;1;0
minijoomla;3790;3;6;2;1;21;16
minijoomla;2721;0;0;1;1;11;1
minijoomla;2720;14;0;2;1;2;2
minijoomla;2719;4;4;1;1;21;18
minijoomla;2659;9;0;3;1;2;2
minijoomla;2647;4;0;1;1;1;7
minijoomla;2606;4;0;1;1;1;1
minijoomla;2287;4;0;1;1;6;3
minijoomla;1414;3;0;4;7;463;391
minijoomla;706;4;0;8;3;196;5
norbertschad;712;2;0;1;1;2;0
norbertschad;711;1;0;1;1;1;1
Lemings;2049;0;1;7;23;102;251
Lemings;1034;2;0;1;19;98;247
Lemings;912;3;0;2;24;86;481
Lemings;826;1;0;1;1;1;1
Lemings;821;1;0;1;3;123;0
Lemings;783;1;0;1;11;40;35
Lemings;771;1;0;1;9;28;29
Lemings;770;0;0;1;9;13;13
Lemings;754;0;0;34;494;15940;3596
Lemings;723;1;0;1;1;9;5
babsgosgens;727;5;0;2;2;2;2
rcarey;747;2;0;1;1;14;1
rcarey;734;10;0;7;9;79;0
eaxs;737;2;0;0;0;0;0
alexanderkjall;744;3;0;1;1;12;12
HLeithner;745;1;0;1;2;7;7
alwarren;756;2;0;1;1;4;4
aapis;772;1;0;0;0;0;0
matthewtbaker;780;7;1;1;1;1;1
samwilson;804;2;0;0;0;0;0
ercanozkaya;808;4;0;1;1;2;2
bentasker;1012;0;0;1;1;1;0
bentasker;1011;1;0;1;1;1;0
bentasker;998;2;0;2;41;41;41
bentasker;995;2;0;1;1;3;2
bentasker;994;6;0;1;1;3;2
bentasker;993;2;0;1;1;1;1
bentasker;992;2;0;1;1;1;1
bentasker;983;2;0;1;1;7;0
bentasker;868;1;0;2;1;3;3
bentasker;867;0;0;2;1;2;2
bentasker;866;0;0;2;1;3;3
bentasker;865;0;0;2;1;2;2
bentasker;836;2;0;1;3;16;1
bentasker;820;1;0;1;3;34;57
bentasker;819;0;0;2;2;48;0
bentasker;817;1;0;1;1;2;0
bentasker;816;0;0;1;1;2;0
bentasker;815;0;0;1;1;3;0
bentasker;812;1;0;1;1;1;1
bentasker;810;1;0;1;1;9;0
genu;3863;5;0;3;1;5;1
genu;843;0;0;10;7;28;28
garkell;10673;3;0;36;48;3389;1729
garkell;892;1;0;0;0;0;0
garkell;891;1;0;0;0;0;0
garkell;846;4;0;0;0;0;0
G3z;860;9;0;1;1;1;1
Eddy-vh;872;4;0;1;1;1;1
joomla-agency;6444;15;0;4;7;95;0
joomla-agency;916;5;0;1;1;0;4
joomla-agency;915;5;0;1;1;1;0
MDunkleSr;2771;2;0;2;2;4;4
MDunkleSr;2766;1;0;3;3;4;4
MDunkleSr;946;3;0;4;3;4;4
iansgoldstein;948;0;0;1;1;1;1
fede91it;949;1;0;1;1;3;2
andywer;972;17;0;0;0;0;0
novinfard;980;0;0;0;0;0;0
crperk44;1024;4;0;1;1;5;1
crperk44;1007;6;0;134;2469;6887;3618
owerDozza;1044;0;0;1;1;5;1
AmirolAhmad;1051;1;0;1242;4850;292673;192677
AmirolAhmad;1048;3;0;5;2;12;4
dtdpro;1058;3;0;3;1;4;4
joe-miller;1060;2;0;0;0;0;0
yylyyl;1095;2;0;5;2;8;8
yylyyl;1092;3;0;6;3;5;5
yylyyl;1071;5;0;2;2;18;15
rhertogh;1075;5;0;1;1;9;18
thimalk;1090;1;0;2;1;23;1
rlerdorf;1102;8;0;7;7;15;8
beneberle;1121;0;0;1;1;1;1
aaronhudon;1136;5;0;2;1;20;2
amouhzi;1158;2;1;0;0;0;0
bnisevic;1496;0;0;1;1;2;2
bnisevic;1207;3;0;1;1;1;1
zanardigit;2024;1;0;0;0;0;0
zanardigit;1211;1;2;0;0;0;0
jklein;1234;6;0;1;1;7;10
kingarthurpt;1262;1;0;0;0;0;0
kingarthurpt;1261;1;0;0;0;0;0
bhavya-nick;1268;4;0;1;1;6;1
wouerner;1281;2;0;0;0;0;0
JustPlainHigh;1296;6;0;0;0;0;0
JustPlainHigh;1295;6;0;0;0;0;0
yurii-github;1309;2;7;0;0;0;0
jhattara;1310;6;0;1;1;2;1
freakySevi;1314;3;0;0;0;0;0
Jiwoks;3847;2;0;4;2;29;0
Jiwoks;2189;3;0;1;1;1;1
Jiwoks;1318;0;0;2;1;1;1
EsterniTY;1369;2;0;1;1;1;1
zinferro;1415;4;0;2;2;59;24
Sandra97;1432;2;0;1;1;17;7
adidac;1447;13;0;1;5;10;5
jcata;1457;0;0;1;1;1;0
duongredweb;1482;0;0;1;1;3;3
duongredweb;1480;2;0;1;1;2;2
duongredweb;1469;1;0;1;1;1;1
duongredweb;1462;1;0;1;2;2;2
duongredweb;1461;1;0;1;1;1;1
luredweb;1827;1;2;2;3;60;8
luredweb;1826;0;0;3;3;63;8
luredweb;1488;1;0;1;2;38;2
luredweb;1487;0;0;1;1;21;2
luredweb;1479;0;0;1;1;2;0
luredweb;1468;0;0;1;1;1;1
luredweb;1465;0;0;1;2;8;1
luredweb;1463;1;0;1;1;16;0
khairedweb;1546;0;0;2;2;8;4
khairedweb;1492;0;0;1;1;3;3
khairedweb;1476;2;0;1;1;20;0
khairedweb;1464;2;0;1;1;1;1
locredweb;1494;2;0;2;4;69;2
locredweb;1489;2;0;2;3;3;2
locredweb;1470;2;0;1;2;2;1
locredweb;1466;2;0;1;3;68;1
sergiois;1506;1;0;2;6;23;19
sergiois;1501;2;0;1;6;22;18
djeu007;1512;1;0;1;3;3;3
djeu007;1510;4;0;1;1;0;4
djeu007;1507;0;0;1;1;0;4
djeu007;1502;1;0;1;3;4;4
tompap;1511;0;0;1;3;55;27
nachomora;1520;4;0;1;1;0;6
nextend;1547;5;0;4;1;2;3
yama;1548;1;0;1;12;74;43
BastianWie;1703;1;0;1;1;17;2
BastianWie;1557;0;0;1;1;17;2
elpescador-nl;1570;2;0;0;0;0;0
jariza;1577;1;0;1;1;1;1
aheinze;1609;7;0;0;0;0;0
oasisfleeting;1614;0;0;1003;2794;273812;67411
ErvisTusha;1629;6;1;0;0;0;0
pdxfixit;1859;5;0;0;0;0;0
pdxfixit;1637;3;0;0;0;0;0
yajiedesign;1695;5;0;4;2;2;2
yajiedesign;1677;3;0;4;2;2;2
epicdog;1728;1;1;2;1;7;2
epicdog;1727;1;1;2;1;1;1
palyga007;1733;0;0;1;1;2;0
anothercoder;1749;0;0;1;3;55;6
anothercoder;1738;2;0;1;3;19;7
anothercoder;1737;0;0;1;3;17;6
anothercoder;1736;1;1;1;3;18;6
anothercoder;1735;1;3;1;3;17;6
syncsynchalt;1752;4;0;0;0;0;0
thismahbub;4291;1;0;93;823;86935;15082
thismahbub;1793;4;0;0;0;0;0
kheruc;1795;17;0;0;0;0;0
neverendingo;1807;3;0;0;0;0;0
mchesh;1837;2;0;1;1;1;1
Netvisions;1905;0;0;2;1;1;1
Netvisions;1891;1;0;1;1;2;2
Netvisions;1890;0;0;1;1;2;2
Netvisions;1885;0;0;1;1;10;0
Netvisions;1883;0;0;2;1;50;8
Netvisions;1843;0;0;1;1;6;0
lszeremeta;1888;2;0;1;1;2;2
lszeremeta;1887;1;0;1;1;2;2
lszeremeta;1886;0;0;1;1;2;2
fxdm92;1945;22;0;4;144;6004;2148
colby-swandale;1951;1;0;0;0;0;0
isamrx;1952;3;0;1;1;4;3
noradtux;1954;3;1;0;0;0;0
mManishTrivedi;3432;2;0;2;1;2;2
mManishTrivedi;1995;10;0;3;1;2;2
JoshuaLewis;2020;1;0;1;1;6;0
Batch1211;2026;2;0;1;1;1;1
particthistle;2053;3;0;1;1;1;0
rawcat;2054;6;0;2;1;4;2
jatitoam;4812;8;0;1;2;10;1
jatitoam;4810;10;0;3;4;104;59
jatitoam;4793;9;0;2;1;16;0
jatitoam;2586;3;0;16;29;552;1213
jatitoam;2585;2;0;1;1;14;0
jatitoam;2075;0;0;1;1;13;0
WooDzu;2708;2;0;3;3;46;1
WooDzu;2695;6;0;1;1;1;1
WooDzu;2689;6;0;1;1;10;3
WooDzu;2078;13;1;5;5;397;5
dypsys;3428;3;0;2;2;8;2
dypsys;2096;0;0;1;1;17;0
sam-suresh;8549;7;2;7;5;8;0
sam-suresh;2104;0;0;1;1;164;164
juelisjr;3596;1;0;2;1;1;1
juelisjr;2113;5;0;1;1;1;1
Hutchy68;2131;1;0;4;70;0;2102
elasbandis;2148;0;1;1;1;3;1
creativeprogramming;9382;4;0;1;1;1;1
creativeprogramming;4908;0;0;3;1;6;2
creativeprogramming;2150;7;0;9;1;16;0
phalouvas;2436;5;0;0;0;0;0
phalouvas;2195;1;0;0;0;0;0
ssv445;10138;2;0;2;1;1;1
ssv445;2197;0;0;2;2;9;5
hovardkr;2215;0;0;3;4;317;14
hovardkr;2199;4;0;0;0;0;0
asuckar;2305;1;3;1;1;9;1
dex4er;2351;5;0;2;6;96;6
dex4er;2350;4;0;3;14;117;22
csbenjamin;2357;3;0;0;0;0;0
jtherczeg;9030;12;0;1;1;3;3
jtherczeg;2410;0;0;1;1;2;2
jtherczeg;2375;3;0;1;1;6;6
jtherczeg;2373;0;0;1;1;2;2
jtherczeg;2372;0;0;1;1;1;1
TJacksonVA;3621;1;0;1;1;4;4
TJacksonVA;3620;1;0;1;1;318;346
TJacksonVA;2378;1;0;1;1;6;6
mmleoni;2419;4;0;1;1;1;1
comproperty247;2450;1;0;1;1;1;1
comproperty247;2435;6;0;1;1;1;1
davidangel;2443;5;0;0;0;0;0
n-rodriguez;2454;2;0;0;0;0;0
n-rodriguez;2453;3;0;0;0;0;0
pchatz;2460;1;0;1;1;1;1
Stalib;3382;2;0;1;1;3;2
Stalib;2461;1;0;1;1;6;4
Wim72;2488;0;0;1;287;1;0
wonderslug;2509;5;0;1;1;1;1
adamsl;2529;0;0;0;0;0;0
grayz7z;3582;3;0;1;1;11;1
grayz7z;2537;0;0;1;1;1;1
gquadro;2549;1;0;1;1;1;1
zoreet;2564;12;0;4;2;5;5
bluefractals;2572;6;3;0;0;0;0
studio42;2678;15;0;0;0;0;0
studio42;2592;3;0;0;0;0;0
gauravjain028;4675;7;0;2;1;1;1
gauravjain028;2629;11;0;2;1;4;4
gauravjain028;2602;4;0;1;1;4;3
gauravjain028;2601;1;0;1;1;3;2
rjmarquez;2634;3;0;0;0;0;0
khanhlh;11524;1;0;4;2;8;2
khanhlh;6583;2;0;1;1;14;0
khanhlh;2639;1;0;1;1;1;1
khanhlh;2638;4;0;2;2;2;2
bobbravo2;2641;3;0;1;1;1;1
swiftMessenger;2655;1;0;1;1;64;67
jacob87o2;4029;3;0;1;1;1;1
jacob87o2;2669;1;0;2;2;24;2
ptarjan;2677;2;0;1;1;1;0
IberoMedia;2679;1;0;1;1;2;2
FriendlyHacker;4818;7;1;1;1;9;0
FriendlyHacker;4816;4;0;5;1;28;12
FriendlyHacker;2706;3;0;1;1;16;17
rahulteja16;2713;6;1;2;1;1;2
CamJN;2718;10;0;0;0;0;0
CamJN;2717;1;0;0;0;0;0
CamJN;2716;1;0;0;0;0;0
emavro;2734;2;0;1;9;188;35
idleog;2737;2;0;1;1;7;30
pasamio;2833;1;0;1;1;12;0
pasamio;2832;1;0;1;1;36;5
pasamio;2761;4;0;3;1;3;3
pasamio;2748;5;0;1;1;327;0
totten;2764;24;4;10;1;476;0
kunal-bajpai;2848;4;0;0;0;0;0
kunal-bajpai;2837;2;0;0;0;0;0
kunal-bajpai;2836;0;0;0;0;0;0
kunal-bajpai;2835;1;1;0;0;0;0
kunal-bajpai;2834;1;0;0;0;0;0
kunal-bajpai;2814;22;1;0;0;0;0
kunal-bajpai;2813;5;0;0;0;0;0
kunal-bajpai;2812;0;0;0;0;0;0
kunal-bajpai;2779;0;0;0;0;0;0
Iazel;2780;3;0;2;1;7;3
wkit;2782;2;0;1;1;3;2
wkit;2781;1;1;2;1;3;2
coolbung;2791;2;0;3;2;3;0
coolbung;2790;1;0;1;1;2;0
ylahav;2943;3;0;1;1;3;24
bygiro;8232;5;0;1;1;3;2
bygiro;4202;1;0;1;1;1;1
bygiro;4201;1;0;2;2;5;1
bygiro;4199;9;0;6;3;15;9
bygiro;3106;1;0;1;1;1;1
bygiro;3086;4;0;1;1;4;4
Narimm;3124;1;0;1;1;16;0
Narimm;3103;17;15;10;6;276;40
ribeirobreno;3130;7;3;0;0;0;0
CrandellWS;3138;8;0;0;0;0;0
Bhanudev;3139;8;7;3;1;11;0
AlexanderMeier;3725;0;0;1;1;4;3
AlexanderMeier;3153;2;0;3;1;4;3
lausianne;3178;7;0;1;1;8;5
tinajohnson;3179;7;0;1;3;3;3
RustyIngles;3185;5;0;1;1;6;6
dorinf;3221;1;0;3;6;203;3
Belgor;3247;6;0;1;1;1;1
w00fz;3274;12;0;0;0;0;0
thanhth85;3314;0;0;1;1;3;0
