user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
klrkdekira;54;4;0;0;0;0;0
jkassemi;55;1;0;1;1;1;1
inthecloud247;65;7;0;1;1;1;1
inthecloud247;56;10;0;1;1;1;1
stvnrhodes;61;3;0;0;0;0;0
dgageot;336;2;0;1;1;0;5
rakyll;406;3;11;4;10;37;20
tmc;437;3;0;1;1;2;2
mohit;779;0;0;0;0;0;0
mohit;553;14;16;0;0;0;0
feczo;577;2;0;1;1;4;4
alexandrosm;631;0;0;1;1;1;1
stephanbuys;657;3;0;0;0;0;0
vishvananda;4821;8;0;1;1;23;5
vishvananda;4820;7;0;1;1;17;5
vishvananda;1440;5;6;1;1;43;2
flavio;1719;1;0;1;1;3;3
kerwin;1769;3;0;0;0;0;0
josselin-c;1774;7;2;1;1;17;2
ericanthonysilva;2101;3;0;1;1;1;1
jimwhite;2401;5;0;1;1;2;2
achanda;2422;3;0;1;1;0;1
lgs;2557;2;0;1;3;2;1
lgs;2543;8;0;1;1;9;9
jeffrey4l;2646;3;0;1;1;1;1
silasdavis;2649;10;0;2;1;266;241
premist;2669;2;0;1;1;1;1
zefhemel;2680;4;0;1;1;1;1
kiyoto;2727;3;0;1;1;1;1
timfpark;2997;6;0;1;1;2;2
georgepoenaru;3200;3;0;3;11;23;19
fossilet;3400;3;0;0;0;0;0
nhorman;6386;5;0;5;11;310;32
nhorman;3435;20;0;22;8;516;0
cedbossneo;3555;7;0;1;1;2;1
sorah;3632;4;0;1;4;116;2
ajlanghorn;3814;5;0;0;0;0;0
chanezon;4362;9;0;1;1;1;1
ruo91;4481;6;0;1;1;2;0
jerrykan;4888;4;0;0;0;0;0
cnaize;5302;10;0;1;1;1;1
cnaize;5298;3;0;1;1;2;0
shai-weinstein;5700;12;17;9;7;358;0
dennybritz;5839;11;0;1;1;2;13
mwuertinger;6254;3;0;1;1;2;2
jiangliyang;6273;3;3;1;5;202;44
etiennetremel;6474;8;0;2;9;23;23
mikeorzel2;6507;16;4;0;0;0;0
milesrichardson;6588;7;0;0;0;0;0
arunoda;6659;4;0;1;1;1;1
tshrklr;6688;6;0;1;1;1;1
mansoorj;7524;7;0;1;254;762;14
mansoorj;6829;3;0;1;218;654;14
mansoorj;6826;7;0;1;220;660;16
mansoorj;6715;10;0;1;283;849;19
drocsid;6827;4;0;2;1;5;1
avikram;6909;2;0;4;2;262;86
mhausenblas;7290;5;0;1;2;15;0
mhausenblas;7287;7;38;1;3;271;0
mrphoebs;7558;7;0;1;1;1;1
rljohnsn;8095;7;0;1;1;2;2
adam-erickson;8370;2;0;0;0;0;0
netalien;8387;1;0;1;1;1;1
netalien;8385;1;0;1;1;3;3
swarren83;11929;11;0;1;1;1;1
swarren83;8984;5;0;1;1;2;2
gijzelaerr;9109;5;0;1;1;1;1
priezz;9318;15;0;1;1;1;1
gongysh2004;9567;8;1;1;1;3;3
ramr;9612;30;3;14;54;5951;614
vsopvsop;9660;4;0;0;0;0;0
michaeltchapman;9853;9;1;1;1;2;0
mhenniges;9868;25;2;3;6;50;19
nebelpfade;10089;11;0;1;1;2;2
multilinear;10355;13;7;5;5;29;0
F21;10512;6;0;1;1;10;1
F21;10469;8;0;1;1;1;1
jyrip;10741;15;0;0;0;0;0
praveenkumar;11295;5;0;1;1;4;4
khaker3;11315;1;0;12;10;62;48
arjanschaaf;11364;11;0;1;1;1;1
3cky;11693;18;5;4;2;29;9
bnprss;12017;18;0;8;1;62;14
bnprss;11810;15;1;1;1;2;2
yuanwr;11971;1;0;0;0;0;0
Snesha;12097;7;0;2;4;7;7
nickethier;12170;14;9;2;4;40;12
mariomarin;12346;29;0;9;2;188;35
jmccarty3;12363;9;0;1;2;3;6
jlebon;12601;9;0;1;1;7;0
pstengel;12608;12;0;0;0;0;0
asdfsx;12631;15;5;0;0;0;0
gregjhogan;12766;2;0;1;1;3;0
lleszczu;13993;0;0;1;0;0;0
lleszczu;12791;8;0;1;1;1;1
stuart-warren;12982;3;0;1;1;29;28
ngbinh;13175;18;0;1;2;4;5
jcderr;13263;11;0;1;1;3;4
roackb2;13423;47;18;6;1;82;63
javapapo;13433;11;10;0;0;0;0
jjainschigg-r;13456;14;0;1;18;97;0
evanphx;13616;23;1;1;1;27;0
oleg2oleg;14066;12;0;1;1;6;0
oleg2oleg;13948;7;0;1;1;6;0
ejemba;14115;8;7;2;2;16;1
thucatebay;14423;10;3;1;8;1680;3
shenshouer;15457;2;0;0;0;0;0
shenshouer;15280;5;0;1;0;0;0
shenshouer;15279;2;0;1;0;0;0
shenshouer;14634;6;0;7;284;2561;8184
jjmaestro;15060;7;13;1;1;507;317
jjmaestro;15059;14;3;1;1;19;8
MartinPodval;15547;16;0;1;2;0;4
DazWilkin;15880;10;0;0;0;0;0
sanabby;16682;40;4;1;16;487;21
sanabby;16681;3;0;1;15;488;27
sanabby;16251;6;0;127;26;282;26
sanabby;16150;4;0;125;27;272;38
qinguoan;16426;5;0;0;0;0;0
qinguoan;16420;3;0;0;0;0;0
qinguoan;16409;3;0;0;0;0;0
qinguoan;16408;3;0;0;0;0;0
qinguoan;16356;4;4;0;0;0;0
qinguoan;16351;3;0;0;0;0;0
