user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
johnnye;19;5;0;0;0;0;0
kuzeko;41;2;0;0;0;0;0
kuzeko;40;9;0;0;0;0;0
richthegeek;387;2;0;1;1;11;11
richthegeek;54;1;0;2;2;23;1
gerrywastaken;61;4;0;1;2;2;1
samueldr;62;2;0;0;0;0;0
rolisz;65;1;0;0;0;0;0
hakre;67;1;0;0;0;0;0
funny-falcon;68;6;0;0;0;0;0
mywizz;74;2;0;1;1;2;0
binho;78;2;0;1;1;13;2
ralf57;95;1;0;0;0;0;0
akhawaja;145;1;0;0;0;0;0
akhawaja;144;2;0;0;0;0;0
tombenton;182;2;0;0;0;0;0
ccschmitz;303;3;0;0;0;0;0
ccschmitz;301;2;0;0;0;0;0
ccschmitz;184;5;0;0;0;0;0
chonthu;225;3;0;0;0;0;0
bmatschullat;227;7;0;0;0;0;0
mjaschen;2106;1;0;9;4;44;2
mjaschen;523;1;0;1;1;1;0
mjaschen;233;5;0;1;2;15;11
mjaschen;232;0;0;2;3;19;13
mjaschen;230;4;0;3;1;4;0
reith2004;231;0;0;2;1;1;1
guisehn;250;1;0;0;0;0;0
sqwk;392;2;0;0;0;0;0
sqwk;391;0;0;0;0;0;0
sqwk;274;1;0;0;0;0;0
sqwk;269;4;0;0;0;0;0
sqwk;268;0;0;0;0;0;0
sqwk;251;0;0;0;0;0;0
subdesign;277;2;0;0;0;0;0
mooseware;284;1;0;0;0;0;0
jahvi;513;6;0;0;0;0;0
jahvi;293;2;0;0;0;0;0
djtarazona;330;1;0;3;0;0;0
hassan-c;333;1;0;1;1;1;0
drewjoh;348;1;0;1;1;39;1
Perturbatio;1411;3;0;0;0;0;0
Perturbatio;390;0;0;0;0;0;0
swt83;419;1;0;0;0;0;0
swt83;417;2;0;0;0;0;0
swt83;413;2;0;0;0;0;0
swt83;412;5;0;0;0;0;0
swt83;411;3;0;0;0;0;0
swt83;410;0;0;0;0;0;0
swt83;409;0;0;0;0;0;0
serpentblade;418;1;0;1;2;36;15
mybigman;447;1;0;1;1;6;1
hovatterz;450;1;0;0;0;0;0
taskaz;460;0;0;1;3;18;7
fhjbalfoort;470;1;0;0;0;0;0
fhjbalfoort;469;0;0;0;0;0;0
