user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
chtitux;60;2;0;1;1;1;1
Keruspe;65;2;0;0;0;0;0
Keruspe;63;2;0;0;0;0;0
acmorrow;66;3;0;1;3;60;20
swapsmagic;69;3;0;2;1;10;2
boivie;181;21;0;2;3;205;8
boivie;72;2;0;1;1;3;1
nwin;73;3;0;0;0;0;0
nhooey;74;1;0;1;1;1;1
nickbruun;75;3;0;0;0;0;0
flaper87;78;0;0;0;0;0;0
karlseguin;127;1;0;0;0;0;0
karlseguin;106;3;0;0;0;0;0
karlseguin;79;0;0;0;0;0;0
pc;80;1;0;1;8;9;9
mlazarov;83;1;0;0;0;0;0
mbj;84;1;0;2;0;0;0
rnrn;90;1;0;0;0;0;0
reidmorrison;91;1;0;0;0;0;0
jmbejar;94;1;0;2;4;142;1
leejo;111;1;0;0;0;0;0
jlpc;131;3;0;0;0;0;0
Ry4an;136;2;0;53;52;578;124
sethml;138;2;0;1;4;93;5
jhuntwork;140;1;0;0;0;0;0
jhuntwork;139;1;0;0;0;0;0
jamespharaoh;142;3;0;2;3;9;5
larroy;208;2;0;0;0;0;0
larroy;193;1;0;0;0;0;0
larroy;191;3;0;0;0;0;0
larroy;145;0;0;0;0;0;0
r-stu31;149;1;0;4;3;23;1
wpjunior;153;1;0;1;1;4;4
evanlong;157;4;0;0;0;0;0
dibiasio;159;1;0;1;1;4;1
tedb;163;23;0;1;2;15;1
reflection;164;1;0;1;1;4;2
larubbio;165;1;0;0;0;0;0
tanakh;166;1;0;1;51;195;202
weyrick;237;1;0;0;0;0;0
weyrick;229;2;0;0;0;0;0
weyrick;228;2;0;0;0;0;0
weyrick;168;2;0;0;0;0;0
jsr;178;7;0;1;3;68;0
jsr;176;1;0;1;2;4;0
jsr;170;1;0;3;5;253;111
tomassrnka;174;5;0;2;4;54;4
yanfoursquare;177;2;0;1;3;16;5
jjuran;189;0;0;0;0;0;0
jjuran;188;1;0;0;0;0;0
osheroff;194;2;0;2;3;34;14
osheroff;192;2;0;1;2;49;8
janimo;203;1;0;0;0;0;0
janimo;202;3;0;0;0;0;0
janimo;201;1;0;0;0;0;0
janimo;198;11;0;0;0;0;0
janimo;196;2;0;0;0;0;0
chx007;197;1;0;1;1;3;3
mengz0;199;4;0;12;395;233865;15
onyxmaster;210;2;3;0;0;0;0
JakubOboza;211;1;0;1;1;6;4
victorkab;212;1;0;2;2;94;7
afchin;213;13;3;2;5;550;432
amcfague;221;16;0;7;2;61;73
amcfague;218;1;0;1;1;1;1
amcfague;217;1;0;1;1;2;2
