user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
sbromle;1;2;0;6;3;13;8
Kangz;16;1;0;0;0;0;0
HSoft2;333;5;0;0;0;0;0
HSoft2;245;19;0;0;0;0;0
HSoft2;24;9;0;0;0;0;0
HSoft2;23;1;0;0;0;0;0
HSoft2;22;1;0;0;0;0;0
aashish-kumar;33;1;0;1;1;4;2
abhinavgupta;35;1;0;4;4;4;0
ritsz;38;2;1;0;0;0;0
KOLANICH;101;1;0;1;3;85;8
KOLANICH;93;1;0;3;9;138;133
KOLANICH;89;3;0;9;6;123;25
KOLANICH;41;2;0;2;2;49;1
lajos;70;6;0;1;4;40;12
kkaefer;114;4;0;3;7;579;131
askforeric;166;10;0;8;1;176;63
smokey42;210;9;1;2;1;75;0
smokey42;207;0;3;1;2;82;1
ml01172;211;1;0;3;1;2;1
ml01172;209;3;0;3;1;2;1
prlw1;282;5;3;3;7;153;69
drpaneas;292;7;0;0;0;0;0
yogidtu;437;3;0;1;1;1;1
yogidtu;436;2;1;1;1;1;1
bouk;449;7;0;2;2;67;15
prasannatsm;816;2;0;18;2;33;21
prasannatsm;463;8;0;14;7;379;1
thouis;495;5;0;1;1;4;7
thouis;494;1;0;1;1;4;7
kozinove;908;4;8;5;21;4830;1
kozinove;496;7;0;8;32;2142;3848
nikkadim;2425;9;0;1;1;2;2
nikkadim;517;2;0;535;451;169607;23077
nikkadim;516;0;0;531;448;169604;23065
nikkadim;515;0;0;1;1;1;0
nikkadim;507;2;0;1;1;1;0
gferry;522;0;0;539;450;169614;23077
gferry;510;9;0;5;1;8;0
Myzhar;513;6;0;0;0;0;0
cerceris;514;4;0;0;0;0;0
tsgouros;583;1;0;549;670;169345;26673
azeno;604;47;0;4;12;321;17
olegsklyarov;626;1;0;0;0;0;0
hmeine;639;2;0;1;1;1;1
eendebakpt;649;7;0;2;1;43;11
dslsanz;667;2;0;1;2;3;3
cvalles;672;4;0;1;1;2;2
dongng;673;2;0;0;0;0;0
chouclee;674;20;0;5;1;37;14
shachibista;685;11;0;1;1;24;0
mpenkov;689;2;0;1;1;6;6
stefan-w;693;7;0;0;0;0;0
godspeed1989;733;9;0;3;1;129;0
