user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
martinbean;25;3;7;0;0;0;0
martinbean;15;5;0;0;0;0;0
lguzzon;8659;3;0;4;2;758;68
lguzzon;18;5;3;3;1;18;6
toddself;355;10;7;1;2;47;1
brettahale;361;3;0;1;1;12;12
yazaddaruvala;1428;3;2;2;2;79;42
yazaddaruvala;382;8;2;1;1;8;0
tommyh;433;5;0;1;2;25;1
pgherveou;508;15;7;3;4;88;10
weiribao;525;3;0;1;1;1;0
ide;536;11;2;2;2;41;3
youngjay;621;7;0;1;1;1;1
ul;689;3;0;1;2;3;0
justinfreitag;743;1;0;0;0;0;0
MalucoMarinero;756;11;11;7;5;234;4
joeyyang;828;2;6;3;1;35;61
joeyyang;802;5;0;2;1;77;41
wereHamster;859;5;3;2;1;34;1
radebrecht;868;5;0;1;5;20;7
brycekahle;938;24;6;3;7;558;21
ehd;943;9;0;1;1;3;0
glenn-murray-bse;960;3;0;5;4;115;4
tomap;1052;2;0;1;6;12;11
shauntrennery;1141;7;0;0;0;0;0
shauntrennery;1140;7;0;0;0;0;0
percyhanna;1221;10;0;2;2;129;8
insin;1233;2;0;0;0;0;0
actionnick;1240;9;3;3;2;20;5
mereskin;1249;4;0;1;1;22;1
rcs;1265;10;0;1;1;3;2
randylien;1271;1;0;1;1;1;0
thinkloop;1290;2;0;0;0;0;0
niki4810;1291;2;0;1;2;187;0
MarkNijhof;1321;2;0;2;2;95;1
MarkNijhof;1303;5;0;1;1;3;1
ugin;1307;7;0;0;0;0;0
DveMac;1347;6;0;10;11;477;1
DveMac;1339;5;0;3;6;111;2
swannodette;1346;8;0;1;1;1;1
karlmikko;1948;10;0;1;1;2;0
karlmikko;1372;1;0;2;1;1;0
sstur;1378;2;0;1;1;2;1
zichun;1385;9;2;2;2;9;0
jkimbo;1415;5;0;2;1;5;4
Raynos;1426;8;8;6;8;310;16
nathansobo;1439;9;0;1;1;1;1
muffs;1473;6;0;1;1;29;1
kramerc;1518;28;0;1;1;4;1
Meettya;1526;4;3;2;1;2;0
jonase;1769;5;0;2;4;9;1
jonase;1557;6;2;1;1;10;0
eddhannay;1594;3;0;0;0;0;0
eddhannay;1561;9;0;0;0;0;0
BetaRabbit;1574;4;0;1;1;1;1
thaggie;1600;1;1;0;0;0;0
popham;1613;9;0;12;3;97;0
simenbrekken;1682;3;0;1;1;1;1
nullobject;1702;7;0;1;1;2;0
jmcriffey;1709;8;7;9;4;34;7
ruanwz;1727;3;0;1;1;1;1
sebmak;1754;1;0;3;1;6;2
merriam;1787;7;6;6;1;75;3
jseppi;1859;3;4;0;0;0;0
zmbush;1862;2;0;0;0;0;0
jmandel;1872;1;0;1;1;1;1
patrickschneider23;1889;0;0;6;11;3181;10
evangoer;1918;4;1;2;2;13;12
marianoguerra;1932;1;3;1;4;45;6
wiredmax;1963;3;0;1;1;4;0
simonwhitaker;2004;2;0;1;1;14;2
simonwhitaker;2003;0;0;1;1;14;2
igorklopov;2013;8;0;0;0;0;0
jaketrent;2014;5;0;1;1;1;1
earlonrails;2022;2;0;1;1;2;5
kraf;2030;6;0;2;2;3;1
anatolikurtsevich;2031;7;0;2;7;468;283
thetalecrafter;2056;4;0;1;2;5;1
erikbrannstrom;2060;11;1;2;3;45;2
giantelk;4704;4;1;3;1;2;0
giantelk;2086;4;1;1;1;23;17
mtscout6;2092;4;0;1;3;76;0
deadlyicon;2099;5;0;1;1;1;1
orodio;2110;0;0;1;2;4;1
jonasi;2114;2;0;1;1;6;1
kossnocorp;2121;1;0;2;1;6;1
mtsyganov;2169;6;0;6;3;113;9
mtsyganov;2133;9;5;63;11;81;29
mtsyganov;2131;2;0;52;5;58;24
nickmerwin;2146;9;0;2;1;1;1
audreyt;2161;7;7;6;1;15;0
silver83;2172;10;0;1;1;1;1
arasmussen;3962;3;0;1;2;0;124
arasmussen;3954;3;1;2;3;33;21
arasmussen;2175;4;0;1;2;11;11
rowoot;2195;1;2;2;1;2;2
evanbleiweiss;2201;2;0;0;0;0;0
iepathos;2204;3;0;1;1;1;1
ateich;2213;5;0;1;1;1;1
kureikain;2217;4;0;1;1;1;0
cirocosta;2283;15;0;1;2;63;22
cirocosta;2220;10;11;1;2;69;2
pconerly;2221;4;1;1;1;1;1
pvenkatakrishnan;2233;4;2;1;1;21;0
2color;2248;2;0;1;1;1;1
lhausermann;2263;5;0;16;24;311;195
trevorbernard;2265;3;0;1;1;2;5
stephenjudkins;2289;8;0;1;2;25;1
jenshz;2353;11;0;1;2;52;0
plaxdan;2355;3;0;1;1;1;1
krawaller;2362;24;0;5;3;44;2
aackerman;2574;2;0;0;0;0;0
aackerman;2366;2;0;0;0;0;0
Robdel12;2369;2;0;1;1;2;1
TJZenkai;2389;5;0;1;2;8;8
fishbar;2422;2;0;1;1;1;1
warrd;2442;3;0;1;2;4;1
brendangibson;2462;3;0;1;1;1;1
jadmz;2472;1;0;1;1;2;2
RP-3;2478;2;0;1;1;1;1
n1ghtmare;2491;3;0;1;1;3;3
isaiah;2495;5;0;0;0;0;0
appsforartists;2511;9;0;2;1;39;0
msujaws;2524;4;0;1;1;1;1
ChrisBland;2526;5;0;1;2;2;1
rszewczyk;2534;4;0;0;0;0;0
qbaty;2562;0;0;1;0;0;0
wilco42;2599;0;0;0;0;0;0
colindecarlo;2606;5;0;1;1;48;0
nicolasbrugneaux;2617;7;0;3;1;21;1
jleplomet;2638;1;0;1;4;231;1
xincici;2641;5;0;0;0;0;0
sebbean;2645;3;0;1;1;1;1
romanmatiasko;2663;2;0;0;0;0;0
romanmatiasko;2650;5;4;0;0;0;0
tcoopman;2683;4;0;1;1;1;1
carloguli;2685;3;0;1;1;4;2
gentooboontoo;2697;2;0;1;1;6;0
isiahmeadows;2702;3;0;0;0;0;0
pletcher;3144;9;0;1;1;6;0
pletcher;2717;5;0;1;3;96;0
magalhas;2720;1;0;1;1;3;3
ryanzec;2755;10;0;0;0;0;0
h1bomb;2876;4;0;15;22;1352;20
asvsfs;2879;2;2;2;1;2;2
asvsfs;2878;2;0;1;1;3;2
patcito;2888;0;0;3;2;30;0
andrew-d;2893;8;0;1;3;501;5
ysagal;2911;2;0;1;1;1;1
vinnymac;2934;1;0;14;688;96;75888
smonev;2947;4;2;2;1;10;5
ForbesLindesay;2975;10;0;1;1;5;7
brianleroux;2980;9;0;4;5;11;5
rjruizes;2989;3;0;0;0;0;0
charlieschwabacher;3002;4;0;2;2;10;4
tehp;3024;5;0;1;1;4;2
martinstein;3041;11;1;1;2;22;1
phillbaker;3072;5;0;1;1;15;0
timarney;7898;1;0;1;1;2;2
timarney;3106;0;0;2;1;5;2
timarney;3098;6;0;2;1;4;2
syrusakbary;3101;11;0;1;1;7;0
dsteinbach;3109;3;0;1;2;23;1
pablinos;3116;3;0;1;1;1;1
wyze;3127;2;0;0;0;0;0
jasom;3129;30;13;9;2;44;4
nhagen;3150;2;0;5;3;66;3
streeter;3184;4;0;2;1;3;3
zemirco;3197;2;0;1;1;2;0
jdeherrera;3199;4;0;1;1;2;0
banderson;3211;2;5;4;2;21;0
AlexKVal;3217;2;0;1;1;3;3
AlexKVal;3215;1;0;1;1;1;1
stefvhuynh;3235;2;0;0;0;0;0
TrySpace;3243;3;3;1;1;4;0
scttnlsn;3273;1;0;1;1;3;3
tobinibot;3307;1;0;1;1;4;0
bunnyc1986;3376;6;0;1;1;6;4
gareththackeray;3403;3;0;1;1;3;3
danielearwicker;3408;4;0;2;2;10;0
jamel;3434;4;0;1;1;2;2
mheiber;3447;5;5;5;2;25;14
gilbox;3454;5;0;1;1;2;2
listenloop;3462;3;0;1;1;1;1
jlgerber;3505;2;0;1;1;1;1
miaozhirui;6565;1;0;26;85;24441;4285
miaozhirui;5565;2;0;1;0;0;0
miaozhirui;3523;5;0;3865;883;64249;21409
hatched;3531;4;0;0;0;0;0
sumbach;3533;5;1;1;1;1;1
colinmegill;3554;40;0;0;0;0;0
timbur;3569;4;0;0;0;0;0
axross;3571;1;0;0;0;0;0
vtemian;3575;2;0;1;1;6;6
guybenron;3591;4;0;4;2;38;4
vgpena;3600;3;0;2;1;1;1
azproduction;3605;5;0;1;2;17;0
sumnulu;3630;2;0;1;1;1;1
caike;3674;7;1;0;0;0;0
frostney;3683;2;0;1;1;1;1
codesuki;3690;5;2;2;4;6;2
ponychicken;3704;4;0;0;0;0;0
framp;3808;4;0;1;4;34;47
framp;3718;7;11;5;6;162;3
nemoDreamer;3724;8;0;1;1;1;1
sejoker;3745;6;0;2;1;8;4
8064373836;3753;2;0;115;232;7078;4106
taiansu;3755;5;0;0;0;0;0
fliptopbox;3756;3;0;1;1;2;2
meatballhat;3759;9;0;1;1;1;0
byroot;3772;2;0;1;2;11;12
masterfung;3924;1;0;1;1;3;3
masterfung;3778;5;21;11;13;31;31
fdubost;3818;1;0;1;1;4;0
devknoll;3822;3;0;2;2;43;2
devknoll;3819;2;0;1;2;20;0
boopathi;3891;1;0;1;2;2;2
dujuanxian;3952;4;3;2;2;5;0
pwmckenna;3974;8;0;1;2;99;0
hesselink;4004;5;0;1;1;2;0
gdtrice;4024;2;0;0;0;0;0
izogain;4049;1;0;1;0;0;0
izogain;4048;0;0;1;0;0;0
izogain;4047;0;0;1;0;0;0
revolunet;4061;8;0;1;1;1;0
jocrau;4108;1;0;2;1;9;0
ekong2;4117;1;0;1;1;2;2
jmarceli;4122;7;0;1;1;1;1
Lucaslimay;4186;1;0;1;1;2;0
Lucaslimay;4181;4;0;1;1;1;0
gyzerok;4198;2;0;1;1;11;0
capaj;4225;4;0;1;1;1;1
restlessdesign;4228;5;0;2;2;32;2
jscheel;4253;4;0;1;3;3;2
rodocite;5179;3;0;1;1;2;2
rodocite;4271;2;0;1;1;3;3
dieppe;4303;7;0;4;4;539;10
drojas;4353;2;0;1;2;24;3
garbles;4421;2;0;1;1;3;0
radarhere;4426;0;0;0;0;0;0
dshm;4436;2;0;0;0;0;0
cristiancavalli;4463;3;3;3;1;7;1
niole;4482;19;13;13;2;45;7
thr0w;7226;3;0;3;3;87;16
thr0w;4504;8;0;9;5;475;4
gfogle;5264;10;8;10;5;329;1
gfogle;4522;7;0;9;1;12;0
manolopm;4536;4;0;1;1;2;0
joaomilho;4576;4;0;2;3;6;2
tgriesser;4620;7;0;1;2;29;1
johngoren;4642;3;2;0;0;0;0
jlas;4647;2;0;1;1;1;1
AlastairTaft;4659;6;0;2;2;3;3
linmic;4661;15;0;5;3;86;6
dvdplm;4669;6;0;1;2;8;6
dvdplm;4668;4;0;1;2;8;5
ajdinhedzic;4691;2;0;1;1;16;15
ianb;4708;2;0;1;1;2;2
cassiozen;8437;2;0;1;1;3;0
cassiozen;4716;4;0;1;2;66;0
mohitbhatia1994;4717;1;0;1;1;5;5
SpencerCDixon;4726;2;0;1;1;0;3
luis709394;4743;0;0;33;37;665;99
flipactual;4768;2;0;0;0;0;0
8398a7;4802;3;2;1;1;2;0
demohi;4815;3;0;1;1;2;0
phillipalexander;4816;0;0;1;1;1;0
Jyrno42;5082;1;0;1;3;4;2
Jyrno42;4828;1;0;1;4;129;0
wesbos;4849;3;0;1;1;1;1
cesine;4851;1;0;1;1;6;6
cgreening;4880;3;0;2;2;9;3
dorav;4955;1;0;0;0;0;0
davidmason;5022;1;0;2;2;47;11
davidmason;4968;16;0;2;2;47;11
joe-strummer;5009;1;0;2;1;2;2
eliudiaz;5035;1;0;288;720;142357;37570
beckiechoi;5037;4;0;1;1;8;6
xelad1;5049;6;0;2;1;1;1
loganhenson;5099;2;1;0;0;0;0
loganhenson;5098;1;1;0;0;0;0
kopijunkie;5114;1;0;1;1;1;1
vnovick;5145;2;0;5;9;578;3
line-o;5191;4;0;1;1;1;0
Prowindy;5206;1;0;1;1;2;0
iuriikozuliak;5210;8;0;1;1;2;0
jadekler;5220;9;7;1;5;20;5
urbanvikingr;5224;6;0;0;0;0;0
dgdblank;5234;3;0;1;1;1;1
gontux;5239;3;0;2;1;2;2
59naga;5241;1;0;1;1;6;6
neelance;5247;14;0;0;0;0;0
romainneutron;5257;13;0;1;6;7;7
nottoseethesun;5276;3;0;1;1;1;1
williamle8300;5294;5;0;1;1;3;5
williamle8300;5281;4;0;1;1;1;1
lukebayes;5283;0;0;1;1;2;2
iredelmeier;5299;3;0;1;2;61;1
koulmomo;5333;4;0;1;1;4;0
krainboltgreene;5357;3;0;1;1;2;2
bcomnes;5374;2;0;2;1;3;2
darul75;5389;4;0;1;2;2;4
frzng;5398;3;0;0;0;0;0
jdlehman;6361;8;4;1;4;76;5
jdlehman;5408;16;0;1;4;72;15
Agrosis;5418;18;0;1;1;9;0
ramiruhayel;5437;5;3;2;1;12;14
svgpath;5449;4;0;1;1;3;2
remojansen;5454;7;0;0;0;0;0
neridonk;5470;2;0;1;1;1;1
rppc;5615;1;0;1;1;12;1
rppc;5476;22;7;7;3;37;0
rppc;5475;8;0;250;3;52;7
rppc;5474;1;0;249;121;60535;7
mihaialexe;5480;0;0;86;145;12865;1077
handoing;5488;2;0;312;783;173403;37570
ParanormalCoder;6792;2;0;4;6;8;8
ParanormalCoder;5498;5;0;1;1;3;3
justanman;5514;2;0;0;0;0;0
hoodwink73;5521;4;0;0;0;0;0
XeeD;5530;2;0;1;2;41;0
XeeD;5528;8;0;1;2;22;2
jansedivy;5529;7;0;1;1;68;0
oguzzkilic;5557;4;0;3;3;10;10
shuaibiyy;5569;3;1;1;2;24;1
3den;5574;4;0;2;4;81;0
tombigel;5613;2;0;1;1;1;0
dompuiu;5621;6;0;0;0;0;0
stefk;5628;12;0;2;2;42;11
mmorearty;5629;3;0;1;1;10;0
jgatjens;5633;3;1;1;1;1;1
wcollar;5636;3;0;1;1;3;1
bouk;5642;2;0;1;3;23;7
booleanhunter;5647;9;1;2;1;69;0
vasanthk;5851;3;0;0;0;0;0
vasanthk;5657;2;0;0;0;0;0
hayesgm;5680;36;15;2;6;234;113
hayesgm;5666;4;1;1;3;72;4
tgandrews;5685;13;22;4;1;59;4
adnasa;5691;4;0;1;1;12;2
zz42466;5722;2;0;1;0;0;0
meghprkh;5727;7;0;1;1;2;0
dallonf;5740;3;0;1;1;2;0
TimeBandit;5758;2;4;1;1;1;1
kidwm;5764;3;0;1;3;10;0
atilacamurca;5774;6;0;1;1;1;1
Gaumigais;5795;1;0;167;226;20817;1870
amelierosser;5797;3;0;0;0;0;0
esgy;5808;3;0;1;1;2;1
Eruditious;5820;3;0;0;0;0;0
awinograd;5831;1;0;1;1;1;1
lina;5842;0;1;1;1;1;1
mkaschenko;5843;3;0;1;1;2;2
alunyov;5861;12;0;2;1;11;2
octaviantamasB;5866;0;0;178;234;20944;1944
benmills;5868;3;2;2;3;57;0
mdolbin;5879;25;6;4;5;106;0
trevordmiller;5890;3;0;1;2;7;0
danielrussellLA;5895;3;0;1;1;1;1
pvorona;5905;2;1;1;15;88;91
RandScullard;5973;16;0;1;3;16;1
RandScullard;5915;9;5;2;1;28;1
ericjim;5932;1;0;0;0;0;0
ericjim;5931;2;0;0;0;0;0
evcohen;5933;3;0;5;3;419;2
EcutDavid;5962;2;0;1;1;1;1
CorainChicago;5978;7;0;1;1;1;1
abutterworth;5989;3;0;1;3;233;124
abutterworth;5988;0;0;2;3;238;125
