user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
mleventi;250;1;0;1;1;1;1
mleventi;73;1;0;1;1;1;1
hungryblank;75;1;0;0;0;0;0
maxpert;99;1;0;164;54;1561;552
idaunis;225;2;0;2;3;160;64
zaa;240;1;0;0;0;0;0
nike-17;251;1;0;2;1;1;0
mcandre;311;2;0;3;2;12;0
mcandre;309;1;0;2;2;28;1
tchajed;314;3;0;2;1;13;7
0xffea;317;1;0;0;0;0;0
pete0emerson;351;1;0;1;1;1;1
hirose31;1155;3;0;1;4;16;8
hirose31;355;2;0;1;1;2;0
micrypt;377;1;0;0;0;0;0
amanelis;380;1;0;0;0;0;0
skomski;406;4;0;1;3;50;23
skomski;405;0;0;1;3;37;23
skomski;381;0;0;2;1;5;0
fritzy;411;0;0;1;4;47;1
fritzy;410;4;0;1;1;37;0
slact;424;4;0;3;6;32;15
rebx;463;3;0;1;1;2;2
vijaydev;467;1;0;1;1;1;1
alicebob;487;6;0;0;0;0;0
idank;503;0;0;1;1;1;1
pumasuede;513;0;0;0;0;0;0
cwalsh;517;3;0;1;1;1;1
cababunga;534;1;0;1;2;21;1
msteinert;537;10;0;1;2;6;2
christianparpart;554;11;0;1;3;33;0
zircote;571;0;0;0;0;0;0
eryx;578;1;0;1;1;1;2
trapezoid;582;2;0;1;1;1;1
mgp;1351;0;0;0;0;0;0
mgp;605;1;0;0;0;0;0
jroith;615;1;0;296;169;17996;13330
rnamiki;629;1;0;1;3;37;1
anfernee;644;1;0;1;2;5;3
oscardelben;657;1;0;1;1;4;4
liquidgecka;679;6;0;0;0;0;0
kemitix;682;1;0;0;0;0;0
aluzzardi;717;25;0;10;12;1300;6
bensie;719;1;0;0;0;0;0
holic;729;0;0;1;1;8;2
ambakshi;752;0;0;387;185;22687;14089
manuelmeurer;1897;0;0;1;1;1;1
manuelmeurer;765;1;0;1;1;1;1
calebperkins;781;0;0;1;1;2;2
donzell;790;5;0;1;5;11;23
arsenm;795;1;0;2;2;71;35
skx;827;1;0;0;0;0;0
toice;829;0;0;1;1;1;0
darashi;835;1;0;4;1;5;5
tricknotes;848;2;0;34;219;85219;13
tricknotes;836;1;0;1;1;1;1
ldm5180;2236;0;0;1;12;43;16
ldm5180;843;0;0;1;12;42;16
ldm5180;842;0;0;1;12;42;16
ldm5180;838;1;0;1;1;2;2
dubek;851;1;0;1;1;4;1
doismellburning;854;3;0;2;1;5;5
dvdplm;858;7;0;2;1;9;0
ccding;897;1;0;0;0;0;0
ccding;880;8;8;0;0;0;0
ccding;878;3;0;0;0;0;0
srned;908;4;0;1;1;2;0
jimothyGator;909;4;0;0;0;0;0
jiripospisil;927;3;0;1;1;2;0
thorduri;945;0;0;0;0;0;0
daniel-levin;951;1;0;2;1;5;0
daniel-levin;950;0;0;1;1;6;0
chilts;960;0;0;1;1;1;1
stamhe;982;1;0;8;5;16;3
stamhe;976;3;0;3;377;4;1
stamhe;975;1;0;2;239;5;1
stamhe;974;1;0;2;239;5;1
stamhe;973;4;0;9;5;15;2
stamhe;971;0;0;1;8;10866;253
papanikge;1507;0;0;1;2;17;17
papanikge;988;1;0;1;1;6;6
danielbprice;997;0;0;1;1;6;1
mezzatto;1012;1;0;0;0;0;0
matteobaglini;1014;1;0;1;1;1;1
jumping;1038;1;0;1;1;1;1
jumping;1037;0;0;1;1;2;2
dim;1051;0;0;35;42;779;262
ripcurld0;1681;0;0;0;0;0;0
ripcurld0;1227;0;0;0;0;0;0
ripcurld0;1223;1;0;0;0;0;0
ripcurld0;1222;0;0;0;0;0;0
ripcurld0;1182;0;0;0;0;0;0
ripcurld0;1055;0;0;0;0;0;0
sneakycain;1059;3;0;0;0;0;0
xiaost7;1464;0;0;1;1;1;1
xiaost7;1062;2;0;1;2;3;2
melvyn-sopacua;1066;0;0;10;2;64;44
bakwc;1076;1;0;1;2;64;0
JensRantil;1102;2;0;1;1;1;1
seifer;1108;4;0;0;0;0;0
Bamco;1115;1;0;1;1;1;1
jgeiger;1116;1;0;0;0;0;0
jw2013;1498;0;0;1;1;5;5
jw2013;1142;1;0;4;1;5;5
TrafeX;1146;0;0;2;2;24;20
nsabine;1148;0;0;1;1;5;5
flygoast;1149;1;0;1;2;20;3
bbonev;1160;1;0;0;0;0;0
k0da;1181;2;0;1;1;2;0
ybrs;1186;2;0;1;1;7;0
scottjg;1188;1;0;1;1;2;2
nickleefly;1190;0;0;704;253;31723;16104
dilcom;1196;0;0;0;0;0;0
dilcom;1195;0;0;0;0;0;0
eyolfson;1197;0;0;0;0;0;0
anthonyu;1202;2;0;0;0;0;0
parhamr;1237;1;0;1;3;7;1
xgwang;1243;0;0;0;0;0;0
xgwang;1242;0;0;0;0;0;0
philips;1246;1;0;1;1;1;1
bobzilladev;1971;3;0;1;5;15;0
bobzilladev;1247;1;0;1;5;15;0
Maxime2;1260;1;0;4;2;2;2
josiahcarlson;1280;1;0;1;2;40;8
hsb0818;1327;0;0;4;1;5;1
hsb0818;1324;0;0;4;1;5;1
hsb0818;1323;0;0;3;1;4;1
hsb0818;1322;0;0;2;1;2;0
hsb0818;1321;0;0;1;1;1;0
hsb0818;1320;0;0;5;2;6;2
hsb0818;1319;0;0;4;2;3;1
hsb0818;1300;1;0;3;2;2;1
reterVision;1304;1;0;1;1;14;8
anupshendkar;1313;1;0;1;1;1;1
stevestavropoulos;1317;2;0;2;1;6;1
dvberkel;1326;1;0;1;1;2;2
fesplugas;1338;1;0;0;0;0;0
allevo;1344;1;0;0;0;0;0
GoldenWings91;1345;0;0;1;1;5;5
haneefmubarak;1347;4;0;1;1;1;1
tixxdz;1348;7;0;9;11;34;37
abedra;1352;6;0;0;0;0;0
upcrob;1358;0;0;0;0;0;0
nmerdan;1371;4;0;2;6;31;21
nmerdan;1368;1;1;2;6;19;13
dlutxx;1386;0;0;0;0;0;0
dlutxx;1385;0;0;0;0;0;0
Aaron1011;1412;4;0;1;1;9;0
Aaron1011;1403;0;0;1;1;1;1
georgenicolaou;1418;0;0;1;1;4;1
celeritas17;1424;1;0;3;3;3;6
GavinJoyce;1435;1;0;1;1;2;2
benlovell;1436;0;0;1;1;12;12
wuddup;1441;0;0;1;1;19;19
liexusong;1450;5;0;631;252;30801;15999
reflection;1456;3;0;2;1;3;1
the100rabh;1475;1;0;1;1;2;1
alonisser;1486;0;0;1;1;5;3
dmitriiabramov;1513;0;0;1;5;8;8
kaitian521;2732;0;0;1;1;1;0
kaitian521;1516;2;0;1;1;2;2
alghak;1523;0;0;1;1;5;4
alghak;1519;2;0;1;1;13;13
agis-;1544;0;0;0;0;0;0
ic;1588;1;0;1;1;4;1
sarnold;1598;1;0;6;33;316;254
kuebler;1602;2;0;1;1;1;1
Joshua-Anderson;1610;0;0;0;0;0;0
lionel0806;1614;0;0;1;1;2;0
jbochi;1960;1;0;1;1;1;1
jbochi;1682;0;0;1;1;1;1
jbochi;1615;2;0;1;1;4;5
cubicdaiya;1631;0;0;0;0;0;0
tw-bert;1634;5;0;1;8;398;1
nagpach;1644;1;0;200;52;4071;1022
zhaojinqiang;2435;0;0;2;0;0;0
zhaojinqiang;1656;0;0;1;0;0;0
zhaojinqiang;1655;0;0;604;289;30153;6970
zhaojinqiang;1654;0;0;1;0;0;0
zhaojinqiang;1653;0;0;1;0;0;0
dchest;1673;0;0;0;0;0;0
milesmatthias;1683;9;0;2;1;6;0
whuqin;1685;1;0;1;1;1;0
jperla;1691;8;0;1;1;1;0
edgarsi;1696;0;0;1;1;1;1
hanael80;1719;4;0;0;0;0;0
hanael80;1714;0;0;0;0;0;0
dallasmarlow;1718;1;0;1;1;2;2
wjin;1741;0;0;3;3;3;5
wjin;1733;0;0;4;3;3;5
axos88;1740;2;0;1;1;1;1
axos88;1738;6;0;2;6;41;26
weswigham;1755;3;0;4;2;140;81
ericfrederich;1757;2;0;1;2;18;4
ericfrederich;1756;0;0;1270;278;40551;18152
coocood;1770;3;0;2;1;6;2
